lrknummer,naam,type,gemeente,bezoekdatum,jaar,kleur,kvk_vestiging,adres,postcode,plaats,Longitude,Latitude,lrk_url,houder/_text,houder_vanaf,geschillencommissie,kindplaatsen,soort,status
154653767,Kinderdagverblijf Ons Dorpje B.V.,KDV,Amsterdam,23-01-12,2012,oranje,,Meer en Vaart 368 b,1068LH,Amsterdam,4.8094217,52.3558424,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31016,,,,,,Niet meer geregistreerd
160504557,St. Paulusschool,BSO,Amsterdam,25-01-12,2012,geel,,Dufaystraat 19,1075GS,Amsterdam,4.868433,52.3529891,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=31647,,,,,,Niet meer geregistreerd
139734338,Simcha,BSO,Amsterdam,25-01-12,2012,oranje,27814726,Nieuw Herlaer 20,1083BD,Amsterdam,4.8870354,52.3264563,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=31630,TintelTuin B.V.,01/08/2005,Niet aangesloten,40,Buitenschoolse opvang,
350003993,Simcha,KDV,Amsterdam,25-01-12,2012,rood,27814726,Nieuw Herlaer 20,1083BD,Amsterdam,4.8870354,52.3264563,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32340,TintelTuin B.V.,01/08/2005,Niet aangesloten,46,Kinderdagverblijf,Geregistreerd
149511553,BSO Jan Ligthart,BSO,Amsterdam,31-01-12,2012,oranje,,Lindengracht 85,1015KD,Amsterdam,4.8849909,52.3801225,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=30754,,,,,,Niet meer geregistreerd
158367704,Partou KDV Wisseloord 102,KDV,Amsterdam,31-01-12,2012,groen,19590164,Wisseloord 102,1107ND,Amsterdam,4.9875437,52.2959745,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32037,Partou B.V.,01/22/2014,Aangesloten per 29-12-2015,55,Kinderdagverblijf,Geregistreerd
171448182,Plons,KDV,Amsterdam,1-02-12,2012,rood,,Rietwijkerstraat 77,1059VX,Amsterdam,4.8469874,52.3494598,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32314,,,,,,Niet meer geregistreerd
119025371,De Schaapskooi,KDV,Amsterdam,2-02-12,2012,geel,16806220,Kraaiennest 120,1104CH,Amsterdam,4.980605,52.3157509,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32202,De Geschudde Maat BV,04/15/2005,Aangesloten per 31-12-2015,32,Kinderdagverblijf,Geregistreerd
901540766,Noachs Ark,BSO,Amsterdam,2-02-12,2012,groen,16806220,Kraaiennest 120,1104CH,Amsterdam,4.980605,52.3157509,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=31639,De Geschudde Maat BV,06/29/2010,Aangesloten per 31-12-2015,30,Buitenschoolse opvang,
112499648,Goochem,BSO,Amsterdam,2-02-12,2012,geel,,Prof. R.Casimirstraat 32,1068KC,Amsterdam,4.8077817,52.3528616,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=31352,,,,,,Niet meer geregistreerd
112499946,Nanny Poppins,KDV,Amsterdam,2-02-12,2012,oranje,,Ceintuurbaan 306 H,1072GL,Amsterdam,4.8925069,52.3528131,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32699,,,,,,Niet meer geregistreerd
123030559,Partou BSO Slotermeerlaan 160,BSO,Amsterdam,3-02-12,2012,geel,,Slotermeerlaan 160,1063JW,Amsterdam,4.8219827,52.3836763,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=31724,,,,,,Niet meer geregistreerd
630058532,Omarm mij,KDV,Amsterdam,3-02-12,2012,rood,23606592,Admiraal De Ruijterweg 58 H,1056GL,Amsterdam,4.8614936,52.3713474,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=58758,,05/20/2015,Aangesloten per 04-04-2016,16,Kinderdagverblijf,Geregistreerd
