Overheid,Regeling,Ontvanger,Beleid,Realisatie,Jaar
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Subsidiering wet financiering politieke partijen,50Plus,1.2,393000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,ACOM,7.1,5000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,ACTIZ,2.3,4000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Aedes,1.1,5000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Anna Vastgoed en cultuur,2.2,7000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,BAM Woningbouw Noordoost,2.1,25000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Bemog Projectontwikkeling,2.1,54000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,BIM Media,2.1,43000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Cencobouw,2.2,100000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Centrum voor budgetmonitoring,2.3,11000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Subsidiering wet financiering politieke partijen,Christenunie,1.2,977000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Cooperatieve publieke versnellers U.A.,2.3,24000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Subsidiering wet financiering politieke partijen,D66,1.2,1641000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Deloitte consulting,2.2,12000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,EATON Industries,2.1,330000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Elan Wonen,2.1,120000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Electronic Commerce Platform Ned,6.2,45000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Energie Exploitatie Rijswijk Buiten,2.1,13000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder een regeling vallend,Erasmus Universiteit,1.1,50000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Overige niet onder regeling vallend,Erasmus Universiteit Rotterdam,7.1,28000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Subsidieregeling Europees Instutuut Bestuurskunde 2016,European Institute of Public Administration,7.1,265000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,European Knowledge network,1.2,135000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en kennisoverdracht wonen,Fac der Mij- en Gedragswetenschappen,2.3,16000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,Fac der Mij-en Gedragswetenschappen,1.2,102000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,FEDEC,2.1,82000,2015
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties en Wonen en Rijksdienst,Experimenten en Kennisoverdracht Wonen,FEDEC,2.1,2000,2015
