Plaatsnaam,Provincie,Land,url_akkoord,docpdf,doctxt,Latitude,Longitude
Aa en Hunze,Drenthe,Nederland,http://www.documentcloud.org/documents/2684867-001-Aa-en-Hunze-Coalitieakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684867/001-Aa-en-Hunze-Coalitieakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684867/001-Aa-en-Hunze-Coalitieakkoord-2014-2018.txt,53.010485,6.749528
Aalburg,Noord-Brabant,Nederland,http://www.documentcloud.org/documents/2684868-002-Aalburg-2014-04-29-15a-Hoofdlijnen.html,https://assets.documentcloud.org/documents/2684868/002-Aalburg-2014-04-29-15a-Hoofdlijnen.pdf,https://assets.documentcloud.org/documents/2684868/002-Aalburg-2014-04-29-15a-Hoofdlijnen.txt,51.752595,5.131877
Aalsmeer,Noord-Holland,Nederland,http://www.documentcloud.org/documents/2684869-003-Aalsmeer-2014-2018.html,https://assets.documentcloud.org/documents/2684869/003-Aalsmeer-2014-2018.pdf,https://assets.documentcloud.org/documents/2684869/003-Aalsmeer-2014-2018.txt,52.262164,4.761922
Aalten,Gelderland,Nederland,http://www.documentcloud.org/documents/2684870-004-Aalten-Coalitie-Akkoord-2014-2018-Op.html,https://assets.documentcloud.org/documents/2684870/004-Aalten-Coalitie-Akkoord-2014-2018-Op.pdf,https://assets.documentcloud.org/documents/2684870/004-Aalten-Coalitie-Akkoord-2014-2018-Op.txt,51.926667,6.580678
Achtkarspelen,Friesland,Nederland,http://www.documentcloud.org/documents/2684871-005-Achtkarspelen-Coalitie-Akkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684871/005-Achtkarspelen-Coalitie-Akkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684871/005-Achtkarspelen-Coalitie-Akkoord-2014-2018.txt,53.210357,6.153565
Alblasserdam,Zuid-Holland,Nederland,http://www.documentcloud.org/documents/2684872-006-Alblasserdam-Coalitieakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684872/006-Alblasserdam-Coalitieakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684872/006-Alblasserdam-Coalitieakkoord-2014-2018.txt,51.870337,4.670202
Albrandswaard,Zuid-Holland,Nederland,http://www.documentcloud.org/documents/2684875-007-Albrandswaard-Coalitieakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684875/007-Albrandswaard-Coalitieakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684875/007-Albrandswaard-Coalitieakkoord-2014-2018.txt,51.855654,4.401415
Alkmaar,Noord-Holland,Nederland,http://www.documentcloud.org/documents/2684877-008-Alkmaar-Coalitieakkoord-2015-2018.html,https://assets.documentcloud.org/documents/2684877/008-Alkmaar-Coalitieakkoord-2015-2018.pdf,https://assets.documentcloud.org/documents/2684877/008-Alkmaar-Coalitieakkoord-2015-2018.txt,52.632381,4.753375
Almelo,Overijssel,Nederland,http://www.documentcloud.org/documents/2684879-009-Almelo-Uitvoeringsprogramma-2014-2018.html,https://assets.documentcloud.org/documents/2684879/009-Almelo-Uitvoeringsprogramma-2014-2018.pdf,https://assets.documentcloud.org/documents/2684879/009-Almelo-Uitvoeringsprogramma-2014-2018.txt,52.367027,6.668492
Almere,Flevoland,Nederland,http://www.documentcloud.org/documents/2684881-010-Almere-Coalitieakkoord-2014-2018-DEF-De.html,https://assets.documentcloud.org/documents/2684881/010-Almere-Coalitieakkoord-2014-2018-DEF-De.pdf,https://assets.documentcloud.org/documents/2684881/010-Almere-Coalitieakkoord-2014-2018-DEF-De.txt,52.350785,5.264702
Alphen aan den Rijn,Zuid-Holland,Nederland,http://www.documentcloud.org/documents/2684882-011-Alphen-Aan-Den-Rijn-Coalitieakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684882/011-Alphen-Aan-Den-Rijn-Coalitieakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684882/011-Alphen-Aan-Den-Rijn-Coalitieakkoord-2014-2018.txt,52.127658,4.668851
Alphen-Chaam,Noord-Brabant,Nederland,http://www.documentcloud.org/documents/2684883-012-Alphen-Chaam-1-1-Bijlage-Bij-Voorstel-02-06A.html,https://assets.documentcloud.org/documents/2684883/012-Alphen-Chaam-1-1-Bijlage-Bij-Voorstel-02-06A.pdf,https://assets.documentcloud.org/documents/2684883/012-Alphen-Chaam-1-1-Bijlage-Bij-Voorstel-02-06A.txt,51.509135,4.861589
Ameland,Friesland,Nederland,http://www.documentcloud.org/documents/2685386-013-Ameland-Coalitieakkoord.html,https://assets.documentcloud.org/documents/2685386/013-Ameland-Coalitieakkoord.pdf,https://assets.documentcloud.org/documents/2685386/013-Ameland-Coalitieakkoord.txt,53.440564,5.658766
Amersfoort,Utrecht,Nederland,http://www.documentcloud.org/documents/2684885-014-Amersfoort-Coalitieakkoord-D66-VVD-CU-en.html,https://assets.documentcloud.org/documents/2684885/014-Amersfoort-Coalitieakkoord-D66-VVD-CU-en.pdf,https://assets.documentcloud.org/documents/2684885/014-Amersfoort-Coalitieakkoord-D66-VVD-CU-en.txt,52.156111,5.387827
Amstelveen,Noord-Holland,Nederland,http://www.documentcloud.org/documents/2684890-015-Amstelveen-Politieke-Agenda.html,https://assets.documentcloud.org/documents/2684890/015-Amstelveen-Politieke-Agenda.pdf,https://assets.documentcloud.org/documents/2684890/015-Amstelveen-Politieke-Agenda.txt,52.311421,4.870087
Amsterdam,Noord-Holland,Nederland,http://www.documentcloud.org/documents/2684893-016-Amsterdam-Coalitieakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684893/016-Amsterdam-Coalitieakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684893/016-Amsterdam-Coalitieakkoord-2014-2018.txt,52.370216,4.895168
Apeldoorn,Gelderland,Nederland,http://www.documentcloud.org/documents/2684894-017-Apeldoorn-Bestuursakkoord-2014-2018.html,https://assets.documentcloud.org/documents/2684894/017-Apeldoorn-Bestuursakkoord-2014-2018.pdf,https://assets.documentcloud.org/documents/2684894/017-Apeldoorn-Bestuursakkoord-2014-2018.txt,52.211157,5.969923
Appingedam,Groningen,Nederland,http://www.documentcloud.org/documents/2684896-018-Appingendam-Coalitieakkoord-2014-04-15-Saam.html,https://assets.documentcloud.org/documents/2684896/018-Appingendam-Coalitieakkoord-2014-04-15-Saam.pdf,https://assets.documentcloud.org/documents/2684896/018-Appingendam-Coalitieakkoord-2014-04-15-Saam.txt,53.320678,6.854422
Arnhem,Gelderland,Nederland,http://www.documentcloud.org/documents/2684897-019-Arnhem-Coalitieakkoord-2014-2018-MET-DE-STAD.html,https://assets.documentcloud.org/documents/2684897/019-Arnhem-Coalitieakkoord-2014-2018-MET-DE-STAD.pdf,https://assets.documentcloud.org/documents/2684897/019-Arnhem-Coalitieakkoord-2014-2018-MET-DE-STAD.txt,51.985103,5.89873
Assen,Drenthe,Nederland,http://www.documentcloud.org/documents/2684898-020-Assen-Collegeprogramma-2014-2018.html,https://assets.documentcloud.org/documents/2684898/020-Assen-Collegeprogramma-2014-2018.pdf,https://assets.documentcloud.org/documents/2684898/020-Assen-Collegeprogramma-2014-2018.txt,52.992753,6.564228
