AD officiele benaming,Nationale identificatie / Aansluitnummer,AD vestigingsadres,AD plaats,AD postcode,AD land,Internetadres aanbestedende dienst
Stichting ROC Midden Nederland,25638009,Kretadreef 61,Utrecht,3562 VA,Nederland,http://www.rocmn.nl
Gemeente Heerhugowaard,56658398,Parelhof 1,Heerhugowaard,1703 EZ,Nederland,http://www.heerhugowaard.nl
Gemeente Rotterdam,22071782,Galvanistraat 15,ROTTERDAM,3029 AD,Nederland,http://www.rotterdam.nl/inkoopenaanbesteding
Waterschapsbedrijf Limburg,481750102,Maria Theresialaan 99,Roermond,6043 CX,Nederland,http://www.wbl.nl
"Rijksgebouwendienst, Directie Projecten",552550970,Rijnstraat 8,Den Haag,2515 XP,Nederland,http://www.rgd.nl
Agentschap NL,12024663,Juliana van Stolberglaan 3,Den Haag,2595 CA,Nederland,http://www.agentschapnl.nl
"Ministerie van Defensie, Dienst Vastgoed Defensie",31833604,Spoorlaan 175,Tilburg,5038 CB,Nederland,http://www.defensie.nl/cdc
Dienst Justitiele Inrichtingen SSC,3814225,Sir Winston Churchilllaan 366,Rijswijk,2585 SJ,Nederland,http://www.dji.nl
Servicepunt71,292140280,Tweelingstraat 4,Leiden,2312 LX,Nederland,http://www.servicepunt71.nl
"Dienst Landelijk Gebied, regio West",532146326,Wilhelmina van Pruisenweg 52,Den Haag,2500 CG,Nederland,http://www.dienstlandelijkgebied.nl
Gemeente Overbetuwe,481953032,Dorpsstraat 67,Elst,6661 EH,Nederland,http://www.overbetuwe.nl
Ministerie van Veiligheid en Justitie/Bestuursdepartement/DBOB/Afdeling Inkoop,81541938,Schedeldoekshaven 100,Den Haag,2511 EX,Nederland,http://www.rijksoverheid.nl/ministeries/venj
Rijkswaterstaat dienst Noord-Nederland,55355916,Postbus 2301,Leeuwarden,8901 JH,Nederland,http://www.rijkswaterstaat.nl
Rijksgebouwendienst Directie Beheer,552550970,Rijnstraat 8,Den Haag,2515 XP,Nederland,http://www.rijksgebouwendienst.nl
"De provincie Noord-Brabant, voor deze Dienst Landelijk Gebied regio Zuid",532146326,Godsweerdersingel 10,Roermond,6040 KE,Nederland,http://www.dienstlandelijkgebied.nl
Gemeente Lelystad,311864748,Stadhuisplein 2,Lelystad,8232 ZX,Nederland,http://www.lelystad.nl
gemeente Landsmeer,22443872,Raadhuisstraat 1,Landsmeer,1121 XC,Nederland,http://www.landsmeer.nl
"Ministerie van Defensie, Dienst Vastgoed Defensie",31833604,Dr. Stolteweg 40,Zwolle,8004 DD,Nederland,http://www.defensie.nl/cdc
Rijkswaterstaat Dienst Infrastructuur,361633343,Griffioenlaan 2,Utrecht,3526 LA,Nederland,http://www.rijkswaterstaat.nl
Gemeente Heerenveen,311539253,Crackstraat 2,Heerenveen,8441 ES,Nederland,http://www.heerenveen.nl
Bosschap p/a Dienst Landelijk Gebied,532146326,Wilhelmina van Pruisenweg 52,Den Haag,2595 AN,Nederland,http://www.dienstlandelijkgebied.nl
De provincie Overijssel voor deze Dienst Landelijk gebied,532146326,postbus 10051,Zwolle,8000GB,Nederland,http://www.dienstlandelijkgebied.nl
Belastingdienst,12629279,J.F. Kennedylaan 8,Apeldoorn,7314 PS,Nederland,http://www.belastingdienst.nl
Gemeente Venray,60262744,Westsingel 1,Venray,5801 TT,Nederland,http://www.venray.nl
Provincie Noord-Brabant,422043498,Brabantlaan 1,s-Hertogenbosch,5216 TV,Nederland,http://www.brabant.nl
Gemeente Eindhoven,261529808,Stadhuisplein 1,Eindhoven,5611 EM,Nederland,http://www.eindhoven.nl
Rijkswaterstaat dienst Noord-Nederland,55355916,Zuidersingel 3,Leeuwarden,8911 AV,Nederland,http://www.rijkswaterstaat.nl
"Rijksgebouwendienst, Expertisecentrum Aanbesteden",552550970,Rijnstraat 8,Den Haag,2515 XP,Nederland,http://www.rijksgebouwendienst.nl
"Ministerie van Economische Zaken, Landbouw en Innovatie, Agentschap NL",12024663,Prinses Beatrixlaan 2,Den Haag,2595 AL,Nederland,http://www.agentschapnl.nl
Stichting Autoriteit FinanciÃƒÂ«le Markten,37377994,Vijzelgracht 50,AMSTERDAM,1017 HS,Nederland,http://www.afm.nl
Rijkswaterstaat Dienst Noordzee,3014117,Lange Kleiweg 34,Rijswijk,2288 GK,Nederland,http://www.rijkswaterstaat.nl
