AD officiele benaming,Nationale identificatie / Aansluitnummer,AD vestigingsadres,AD plaats,AD postcode,AD land,Internetadres aanbestedende dienst
Dienst JustitiÃƒÂ«le Inrichtingen,3814225,Sir Winston Churchillaan 366,Rijswijk,2585 SJ,Nederland,http://www.dji.nl
NCB Naturalis,41647282,Darwinweg 2,Leiden,2333 CR,Nederland,http://www.naturalis.nl
"Ministerie van Economische Zaken, Landbouw en Innovatie",502035258,Bezuidenhoutseweg 30,Den Haag,2594 AV,Nederland,http://www.rijksoverheid.nl/eleni
Belastingdienst/ Centrum voor facilitaire dienstverlening,12629279,Herman Gorterstraat 75,Utrecht,3511 EW,Nederland,http://www.belastingdienst.nl
Waterschap Hunze en Aa's,432129932,Aquapark 5,Veendam,9641PJ,Nederland,http://www.hunzeenaas.nl
"Rijksgebouwendienst, directie Beheer/KIK",552550970,Rijnstraat 8,Den Haag,2515 XP,Nederland,http://www.rijksgebouwendienst.nl
Haagse Inkoop Samenwerking (HIS),41625119,Wilhelmina van Pruisenweg 52,Den Haag,2595 AN,Nederland,http://www.de-werkmaatschappij.nl
K5-gemeenten,391655211,Koninginneweg 2,Lekkerkerk,2941 XJ,Nederland,http://www.k5-gemeenten.nl
"Staatsbosbeheer, voor deze Dienst Landelijk Gebied regio Zuid",532146326,Godsweerdersingel 10,Roermond,6041 GL,Nederland,http://www.dienstlandelijkgebied.nl
"Ministerie van Economische Zaken, Landbouw en Innovatie, Agentschap Telecom",371979323,Emmasingel 1,Groningen,9726 AH,Nederland,http://www.agentschaptelecom.nl
Rijksinstituut voor Volksgezondheid en Milieu (RIVM),50686124,A van Leeuwenhoeklaan 9,Bilthoven,3721 MA,Nederland,http://www.rivm.nl
Landelijke Faciliteit Rampenbestrijding,7671490,Chroomstraat 151,Zoetermeer,2718 RJ,Nederland,http://www.lfr.nl
Haagse Inkoop Samenwerking,41625119,Wilhelmina van Pruisenweg 52,Den Haag,2595 AN,Nederland,http://www.rijksoverheid.nl
gemeente Sittard-Geleen,40678403,Hub Dassenplein 1,Sittard,6131 LB,Nederland,http://www.sittard-geleen.nl
Havenbedrijf Rotterdam NV,53367972,Wilhelminakade 909,Rotterdam,3072 AP,Nederland,http://www.portofrotterdam.com
Rijkswaterstaat Noord-Brabant,51,Zuidwal 58,s-Hertogenbosch,5211 JK,Nederland,http://www.rijkswaterstaat.nl
Gemeente Almere,162046567,Stadhuisplein 1,Almere,1315 HR,Nederland,http://www.almere.nl
Dienst JustitiÃƒÂ«le Inrichtingen,3814225,Sir Winston Churchillaan 366,Rijswijk,2280 AE,Nederland,http://www.dji.nl
Rijkswaterstaat Zeeland,13347689,Poelendaelesingel 18,Middelburg,4335 JA,Nederland,http://www.rijkswaterstaat.nl
"ISGV: gemeenten Bussum, Huizen, Naarden, Wijdemeren en het Gewest Gooi en Vechtstreek",41657803,p/a Postbus 190,Loosdrecht,1230 AD,Nederland,http://www.isgv.nl
Belastingdienst,12629279,Tiberdreef 12,Utrecht,3561 GG,Nederland,http://www.belastingdienst.nl
Gemeente Eindhoven,261529808,Stadhuisplein 10,Eindhoven,5611 EM,Nederland,http://www.eindhoven.nl
"Servicepunt71, namens de gemeente Leiden",292140280,Tweelingstraat 4,Leiden,2312 LX,Nederland,http://www.servicepunt71.nl
Rijkswaterstaat Data-ICT-Dienst,5407590,Derde Werelddreef 1,Delft,2600 GA,Nederland,http://www.rijkswaterstaat.nl
Gemeente Waalre,362174090,Koningin Julianalaan 19,Waalre,5582 JV,Nederland,http://www.waalre.nl
Gemeente Wijdemeren,41657803,Rading 1,Loosdrecht,1231 KB,Nederland,http://www.wijdemeren.nl
Rijkswaterstaat Waterdienst,50661165,Zuiderwagenplein 2,Lelystad,8224 AD,Nederland,http://www.rijkswaterstaat.nl
Dienst Landelijk Gebied,532146326,Zuidersingel 3,Leeuwarden,8901 JA,Nederland,http://www.dienstlandelijkgebied.nl
Gemeente Venlo,54364892,Prinssesesingel 10,Venlo,5911 HT,Nederland,http://www.venlo.nl
"Dienst Landelijk Gebied, Regio Noord",532146326,Trompsingel 1,Groningen,9700 RM,Nederland,http://www.dienstlandelijkgebied.nl
Rijkswaterstaat Noord Brabant,12375365,p/a Avenue Ceramique 125,Maastricht,6221 KV,Nederland,http://www.rijkswaterstaat.nl
Het Bureau Beheer Landbouwgronden,532146326,Herman Gorterstraat 5,Utrecht,3511 EW,Nederland,http://www.dienstlandelijkgebied.nl
Provincie Overijssel,221853294,Luttenbergstraat 2,ZWOLLE,8012EE,Nederland,http://www.overijssel.nl
Rijkswaterstaat Programmadirectie Ruimte voor de Rivier,55477829,Eusebiusbuitensingel 66,Arnhem,6800 ED,Nederland,http://www.ruimtevoorderivier.nl
"Ministerie van Defensie, Divisie Vastgoed & Beveiliging",31833604,Herculeslaan 1,Utrecht,3509 AA,Nederland,http://www.defensie.nl/cdc/divisie_vastgoed_en_beveiliging
Dienst Landelijk Gebied,532146326,Rosendaalsestraat 64,Arnhem,6824 CM,Nederland,http://www.dienstlandelijkgebied.nl
"Gemeente: Asten, Bergeijk, Cranendonck, Deurne, Geldrop-Mierlo, Gemert-Bakel, Heeze-Leende, Laarbeek, Nuenen, Someren, Son en Breugel, Veldhoven, Bladel, Eersel, Reusel-De Mierden, Oirschot, Samenwerking Kempengemeenten (SK), SRE en VRBZO",221959283,Markt 1,Deurne,5751 BE,Nederland,http://www.bizob.nl
Gemeente Tilburg,32696202,Koningsplein 9,Tilburg,5038 WG,Nederland,http://www.tilburg.nl
"Ministerie van Defensie, Dienst Vastgoed Defensie Noord",31833604,Dr. Stolteweg 40,Zwolle,8045 AX,Nederland,http://www.defensie.nl/cdc
"Ministerie van Economische Zaken, Landbouw en Innovatie",502035258,Prins Clauslaan 8,Den Haag,2595 AJ,Nederland,http://www.rijksoverheid.nl/eleni
Boschap p/a Dienst Landelijk Gebied,532146326,Wilhelmina van Pruisenweg 52,Den Haag,2595 AN,Nederland,http://www.dienstlandelijkgebied.nl
UWV,48467678,La Guardiaweg 116,Amsterdam,1043 DL,Nederland,http://www.uwv.nl
Landelijk dienstencentrum voor de Rechtspraak,62041404,Uniceflaan 1,Utrecht,3527 WX,Nederland,http://www.rechtspraak.nl
"Ministerie van Defensie, Divisie Vastgoed & Beveiliging",31833604,Herculeslaan 1,Utrecht,3509 AA,Nederland,http://www.defensie.nl/cdc/divisie_vastgoed_en_beveiliging/
"Rijksgebouwendienst, Directie Projecten, afdeling DBFMO & Internationale Huisvesting, IPC 410",552550970,Korte Voorhout 7,Den Haag,2500 EZ,Nederland,http://www.rijksgebouwendienst.nl
RenQi,11965552,Energieweg 17,Groningen,9743 AN,Nederland,http://www.renqi.nl
Waterschap Groot Salland,40620890,Dr. van Thienenweg 1,Zwolle,8025 AL,Nederland,http://www.wgs.nl
Rijkswaterstaat Oost-Nederland,11644412,Eusebiusbuitensingel 66,Arnhem,6828HZ,Nederland,http://www.rijkswaterstaat.nl
Dienst JustitiÃƒÂ«le Inrichtingen,3814225,Sir Winston Churchillaan 366,Rijswijk,2285 SJ,Nederland,http://www.dji.nl
"Provincie Drenthe, d.t.k.v. Dienst Landelijk Gebied, regio Noord",532146326,Trompsingel 1,Groningen,9700 RM,Nederland,http://www.dienstlandelijkgebied.nl
Gemeente Renkum,121650034,Generaal Urquhartlaan 4,Oosterbeek,6861 GG,Nederland,http://www.renkum.nl
Gemeente Waalre,362174090,Koningin Julianalaan 19,Waalre,5582 JV,Nederland,
De Sovon,431637911,Arubastraat 4,Alkmaar,1825 PV,Nederland,http://www.sovon.nu
"Ministerie van Defensie, Dienst Vastgoed Defensie",31833604,Dr. Stolteweg 40,Zwolle,8025 AX,Nederland,http://www.defensie.nl/cdc
Belastingdienst,12629279,John F. Kennedylaan 8,Apeldoorn,9050,Nederland,http://www.belastingdienst.nl
Hoogheemraadschap van Schieland en de Krimpenerwaard,211567350,Maasboulevard 123,Rotterdam,3063 GK,Nederland,http://www.hhsk.nl
RET N.V.,59459593,Laan op Zuid 2,Rotterdam,3071 AA,Nederland,http://www.ret.nl
Gemeente Utrecht,71663234,Vliegend Hertlaan 1,UTRECHT,3526 KT,Nederland,http://www.utrecht.nl/concerninkoop
Stichting NHL,161955419,Rengerslaan 10,Leeuwarden,8918 DM,Nederland,http://www.nhl.nl
"Ministerie van Economische Zaken, Landbouw en Innovatie",502035258,Postbus 20401,Den Haag,2500EK,Nederland,http://www.rijksoverheid.nl/eleni
"Gemeenten in 't Gooi, Vecht en Eem",451541026,p/a Stadhuisplein 1,Amersfoort,3811 LM,Nederland,http://www.ctmsolution.nl
Gemeente Purmerend,56445072,Purmersteenweg 42,Purmerend,1441 DM,Nederland,http://www.purmerend.nl
"Ministerie van Volksgezondheid, Welzijn en Sport",41625119,Parnassusplein 5,Den Haag,2511 VX,Nederland,http://www.rijksoverheid.nl
Gemeente Nuenen,122154657,Jan van Schijnveltlaan 2,Nuenen,5671 CK,Nederland,http://www.nuenen.nl
"Rijksgebouwendienst, Directie Projecten",552550970,Rijnstraat 8,Den Haag,2515 XP,Nederland,http://www.rijksgebouwendienst.nl
"Ministerie van Defensie, Dienst Vastgoed Defensie",31833604,Dr. Stolteweg 40 40,Zwolle,8025 AX,Nederland,http://www.defensie.nl/cdc
Provincie Noord-Brabant,422043498,Brabantlaan 1,s-Hertogenbosch,5216TV,Nederland,http://www.brabant.nl
"Ministerie van Economische Zaken, Landbouw en Innovatie",502035258,Prins Clauslaan 8,Den Haag,2500 EK,Nederland,http://www.rijksoverheid.nl/eleni
Havenbedrijf Rotterdam NV,53367972,Wilhelminakade 909,Rotterdam,3002 AP,Nederland,http://www.portofrotterdam.com
Gemeente Waterland,20645788,Pierebaan 3,Monnickendam,1141 GV,Nederland,http://www.waterland.nl
Fontys Hogescholen,391650280,Het Eeuwsel 2,Eindhoven,5612 AS,Nederland,http://www.fontys.nl/inkoop
"Ministerie van Economische Zaken, Landbouw en Innovatie",502035258,Prinses Beatrixlaan 2,Den Haag,2595 AL,Nederland,http://www.rijksoverheid.nl/eleni
Centraal Orgaan opvang asielzoekers,37648401,sir Winston Churchilllaan 366,Rijswijk,2285 SJ,Nederland,http://www.coa.nl
Openbaar Ministerie,1670961,Papendorpseweg 65,Utrecht,3528 BJ,Nederland,http://www.om.nl
"Provincie FryslÃƒÂ¢n, voor deze Dienst Landelijk Gebied, Regio Noord",532146326,Zuidersingel 3,Leeuwarden,8901 JA,Nederland,http://www.dienstlandelijkgebied.nl
Dienst Landelijk Gebied namens provincie Noord-Holland,532146326,Sint Jacobsstraat 200,Utrecht,3511 BT,Nederland,http://www.dienstlandelijkgebied.nl
Gemeente Zijpe,2634666,Schagerweg 97,Schagerbrug,1751CB,Nederland,http://www.zijpe.nl
"Rijksgebouwendienst, Expertisecentrum Aanbesteden",552550970,Rijnstraat 8,s-Gravenhage,2515 XP,Nederland,http://www.rijksgebouwendienst.nl
"Ministerie van Defensie, Divisie Vastgoed & Beveiliging, Directie Zuid",31833604,Spoorlaan 175,Tilburg,5038 CB,Nederland,http://www.defensie.nl/cdc/divisie_vastgoed_en_beveiliging
Rijkswaterstaat Dienst Verkeer en Scheepvaart,201842937,Schoemakerstraat 97,Delft,2628 VK,Nederland,
UWV,48467678,La Guardiaweg 116,Amsterdam,1043 DL,Nederland,http://www.uwv.nl/marktplaats/index.aspx
Leerplein 055 (en PCBO Apeldoorn),452380892,Arnhemseweg 1,Apeldoorn,7301 GB,Nederland,http://www.leerplein055.nl
Nederlandse Voedsel en Warenautoriteit,171631515,Catharijnesingel 59,Utrecht,3511 GG,Nederland,http://www.vwa.nl
Intergemeentelijke Brandweer Oost- en Weststellingwerf,32047942,13 aprilstraat 42,Oosterwolde,8431 GE,Nederland,http://www.brandweer-ibow.nl
Ministerie van Buitenlandse Zaken,5910447,Bezuidenhoutseweg 67,Den Haag,2594 AC,Nederland,http://www.minbuza.nl
Nederlands Forensisch Instituut,40704888,Laan van Ypenburg 6,Den Haag,2497 GB,Nederland,http://www.forensischinstituut.nl
Samenwerkingsstichting VSG/CVO,592047710,Hoenderparkweg 61,Apeldoorn,7335 GR,Nederland,http://www.veluwseonderwijsgroep.nl
Gemeente Nuenen en Gemeente Son en Breugel,122154657,Jan van Schijnveltlaan 2,Nuenen,5671 CK,Nederland,http://www.nuenen.nl
"Ministerie van Defensie, Defensie Materieel Organisatie, Bedrijfsgroep IVENT",431575409,Herculeslaan 1,Utrecht,3584AB,Nederland,http://www.defensie.nl/cdc/ivent
Stichting ROGplus Nieuwe Waterweg Noord,11675464,Koningshoek 93050,Maassluis,3144 BA,Nederland,http://www.rogplus.nl
Rijkswaterstaat Noord-Nederland,55355916,Zuidersingel 3,Leeuwarden,8911 AV,Nederland,http://www.rijkswaterstaat.nl
Haagse Inkoop Samenwerking,22667073,Wilhelmina van Pruisenweg 52,Den Haag,2595 AN,Nederland,http://www.rijksoverheid.nl
Kamer van Koophandel Nederland,41638054,Watermolenlaan 1,Woerden,3447GT,Nederland,http://www.kvk.nl
Gemeente Eindhoven en Veiligheidsregio Brabant Zuid-Oost,261529808,Stadhuisplein 1,Eindhoven,5611 EM,Nederland,http://www.eindhoven.nl
"Staat der Nederlanden, ministerie van FinanciÃƒÂ«n, DG Belastingdienst",12629279,Tiberdreef 12,Utrecht,3561 GG,Nederland,http://www.belastingdienst.nl
Gemeente Schagen,60330884,Laan 19,Schagen,1741 EA,Nederland,http://www.schagen.nl
Stichting Wellant,362171850,Randhoeve 2,Houten,3992 XH,Nederland,http://www.wellant.nl
"Ministerie van Defensie, Divisie Vastgoed & Beveiliging",31833604,"Herculeslaan 1, Postbus 90004, 3509 AA, MPC 55A 1",Utrecht,3509 AA,Nederland,http://www.defensie.nl/cdc/divisie_vastgoed_en_beveiliging
"De provincie Overijssel, voor deze de Dienst Landelijk Gebied, regio Oost",532146326,LÃƒÂ¼beckplein 34,Zwolle,8000 GB,Nederland,http://www.dienstlandelijkgebied.nl
"Rijksgebouwendienst, Expertisecentrum Aanbesteden",552550970,Rijnstraat 8,Ã‚Â´s/Gravenhage,2515 XP,Nederland,http://www.rijksgebouwendienst.nl
Rijkswaterstaat Programmadirectie Ruimte voor de Rivier,55477829,Griffioenlaan 2,Utrecht,3526 LA,Nederland,http://www.ruimtevoorderivier.nl
Stichting Werelderfgoed Kinderdijk,152055887,Overwaard 2,Kinderdijk,2961 AT,Nederland,http://www.molenskinderdijk.nl
Rijkswaterstaat Dienst Zuid-Holland,132125978,Boompjes 200,Rotterdam,3011 XD,Nederland,
"De provincie Zeeland, voor deze de Dienst Landelijk Gebied, regio Zuid",532146326,Piet Heinstraat 77,Goes,4461 GL,Nederland,http://www.dienstlandelijkgebied.nl
ProRail B.V.,381962604,Arthur van Schendelstraat 670,Utrecht,3511 MJ,Nederland,http://www.aanbesteden.prorail.nl
"ROC van Amsterdam, VOvA en ROC Flevoland",6225881,Fraijlemaborg 141,Amsterdam,1102 CV,Nederland,http://www.rocva.nl
Haagse Inkoop Samenwerking (HIS) namens het Ministerie van FinanciÃƒÂ«n,81632927,Wilhelmina van Pruisenweg 52 7,Den Haag,2595 AN,Nederland,http://www.de-werkmaatschappij.nl
"Ministerie van Economische Zaken, Landbouw en Innovatie",502035258,Pr Clauslaan 8,Den Haag,2500 EK,Nederland,http://www.rijksoverheid.nl/eleni
Raad voor Rechtsbijstand,331659186,Croeselaan 15,Utrecht,3521 BJ,Nederland,http://www.rvr.org
Fontys Hogescholen,391650280,Het Eeuwsel 2,Eindhoven,5612 AS,Nederland,http://www.fontys.nl
"Ministerie van OCW, Dienst Uitvoering Onderwijs",211658528,Kempkensberg 12,Groningen,9722 TB,Nederland,http://www.duo.nl
"Rijksgebouwendienst, Expertisecentrum Aanbesteden",552550970,Rijnstraat 8,Ã‚Â´s-Gravenhage,2515 XP,Nederland,http://www.rijksgebouwendienst.nl
Rijkswaterstaat Data-ICT-Dienst,5407590,Derde Werelddreef 1,Delft,2622 HA,Nederland,http://www.rijkswaterstaat.nl/over_ons/adressen_en_diensten/landelijkediensten/data_ict_dienst/did.aspx/
"Provincie Drenthe, voor deze Dienst Landelijk Gebied, Regio Noord",532146326,Trompsingel 1,Groningen,9700 RM,Nederland,http://www.dienstlandelijkgebied.nl
"De provincie Zeeland, voor deze de Dienst Landelijk Gebied regio Zuid",532146326,Piet Heinstraat 77,Goes,4461 GL,Nederland,http://www.dienstlandelijkgebied.nl
Cure,591548592,Lodewijkstraat 3,Eindhoven,5652AC,Nederland,http://www.cureafval.nl
"Ministerie van Onderwijs, Cultuur en Wetenschap",8672720,Rijnstraat 50,Den Haag,2515 XP,Nederland,http://www.rijksoverheid.nl
Dienst Uitvoering Onderwijs,211658528,Kempkensberg 12,Groningen,9722 TB,Nederland,http://www.duo.nl
Veiligheidsregio Brabant-Zuidoost,541574175,Deken van Somerenstraat 2,Eindhoven,5611 KX,Nederland,http://www.vrbzo.nl
Vrije Universiteit Amsterdam,26682388,Prof. E.M. Meijerslaan 2,Amstelveen,1183 AV,Nederland,http://www.vu.nl
"Ministerie van Defensie, CDC Divisie Vastgoed & Beveiliging",31833604,Spoorlaan 175,Tilburg,5038 CB,Nederland,http://www.defensie.nl/cdc
Belastingdienst/Centrum voor facilitaire dienstverlening,12629279,Tiberdreef 12,Utrecht,3561 GG,Nederland,http://www.belastingdienst.nl
Rijkswaterstaat Corporate Dienst,142161529,Griffioenlaan 2,Utrecht,3526 LA,Nederland,http://www.rws.nl
"Dienst Landelijk Gebied, Regio Noord, namens de Provincie Drenthe",532146326,Trompsungel 1,Groningen,9700 RM,Nederland,http://www.dienstlandelijkgebied.nl
"Rijksgebouwendienst, Expertisecentrum Aanbesteden",552550970,(bezoekadres) Rijnstraat 8,Den Haag,2515 XP,Nederland,http://www.rijksgebouwendienst.nl
Haagse Inkoop Samenwerking namens Ministerie van FinanciÃƒÂ«n,81632927,Wilhelmina van Pruisenweg 52,Den Haag,2595 AN,Nederland,http://www.de-werkmaatschappij.nl
Dienst Uitvoering Onderwijs,211658528,Kempkensberg 12,Groningen,9722 TW,Nederland,http://www.duo.nl
Dienst Landelijk Gebied regio Oost,532146326,Rosendaalsestraat 64,Arnhem,6824 CM,Nederland,http://www.schapveluwerandmeren.nl
Oost NV,60486840,Meander 601,Arnhem,6802 EE,Nederland,http://www.oostnv.nl
"Ministerie van Defensie, Dienst Vastgoed Defensie",31833604,Herculeslaan 1,Utrecht,3584 AB,Nederland,http://www.defensie.nl/cdc
Gemeente Wijchen,542768331,Kasteellaan 22,Wijchen,6602 DE,Nederland,http://www.wijchen.nl
Korps landelijke politiediensten,21868710,Faunalaan 247,Driebergen,3972PP,Nederland,http://www.politie.nl/klpd
Gemeente Son en Breugel,42169539,Raadhuisplein 1,Son en Breugel,5691 AL,Nederland,
Haagse Inkoop Samenwerking (HIS) namens het Ministerie van Binnenlandse Zaken en Koninkrijkrelaties,41335830,Wilhelmina van Pruisenweg 52,Den Haag,2595 AN,Nederland,http://www.de-werkmaatsschappij.nl/
Gemeente Houten,35416829,Onderdoor 25,Houten,3995 DW,Nederland,http://www.houten.nl
"Dienst Landelijk Gebied, Projectbureau Sanering Asbestwegen",532146326,LÃƒÂ¼beckplein 34,Zwolle,8017JS,Nederland,http://www.saneringasbestwegen.nl
Gemeente Bergen,331553790,Raadhuisstraat 2,Nieuw-Bergen,5854 AX,Nederland,http://www.bergen.nl
Staatsbosbeheer,261881072,Princenhof Park 1,Driebergen,3972NG,Nederland,http://www.staatsbosbeheer.nl
"Ministerie van Economische Zaken, Landbouw en Innovatie",12024663,Muzenstraat 81,Den Haag,2511 WB,Nederland,http://www.consumentenautoriteit.nl
"Rijksgebouwendienst, Directie Beheer afdeling Inkoop",552550970,Rijnstraat 8,Den Haag,2515 XP,Nederland,http://www.rijksgebouwendienst.nl
Hogeschool van Amsterdam,56385074,Roeterstraat 31,Amsterdam,1018 WB,Nederland,http://www.hva.nl
Gemeente Venlo,54364892,Garnizoenweg 3,Venlo,5928 NA,Nederland,http://www.venlo.nl
"Ministerie van Defensie, Commando Landstrijdkrachten (DBGS)",151683036,Herculeslaan 1,Utrecht,3584 AB,Nederland,
Gemeente Huizen,59459613,Graaf Wichman 10,Huizen,1276 KB,Nederland,http://www.huizen.nl
Stichting de Zaanse Schans,562290547,Schansend 1,Zaandam,1509 AW,Nederland,http://www.zaanseschans.nl
Stichting Kromme Rijnstreek,22483169,Burgemeester Royaardslaan 1,Scherpenzeel,3925 GG,Nederland,http://www.streekhuiskrommerijn.nl
"Rijkswaterstaat Dienst Infrastructuur, Hoogheemraadschap Hollands Noorderkwartier",361633343,p/a Griffioenlaan 2,Utrecht,3526 LA,Nederland,http://www.rijkswaterstaat.nl
"Ministerie van Defensie, Koninklijke Marine",412151249,Chathamweg 1,Den Helder,1780 CA,Nederland,
"Ministerie van Defensie, Dienst Vastgoed Defensie, Directie Noord",31833604,Dr. Stolteweg 40,Zwolle,8004 DD,Nederland,http://www.defensie.nl/cdc
"Ministerie van Defensie, Dienst Vastgoed Defensie",31833604,Herculeslaan 1,Utrecht,3509 AA,Nederland,http://www.defensie.nl/cdc/vastgoed_en_beveiliging
Haagse Inkoop Samenwerking namens ministerie van VWS,41625119,Wilhelmina van Pruisenweg 52,Den Haag,2595 AN,Nederland,http://www.rijksoverheid.nl
Rijkswaterstaat Data-ICT-Dienst,5407590,Derde Werelddreef 1,Delft,2622 HA,Nederland,http://www.rijkswaterstaat.nl
Korps landelijke politiediensten,21868710,Postbus 100,Driebergen,3970AC,Nederland,http://www.politie.nl/klpd
Haagse Inkoop Samenwerking (HIS) namens het Ministerie van Volksgezondheid Welzijn en Sport,41625119,Wilhelmina van Pruisenweg 52,Den Haag,2595 AN,Nederland,
"Ministerie van Defensie, Dienst Vastgoed Defensie",31833604,Herculeslaan 1,Utrecht,3509AA,Nederland,http://www.defensie.nl/cdc/divisie_vastgoed_en_beveiliging
P-Direkt / Ministerie van Binnenlandse zaken,401758869,Schenkkade 100,Den Haag,2595 AS,Nederland,http://www.p-direkt.nl
Gemeente Schijndel,2819606,Markt 20,Schijndel,5482NG,Nederland,http://www.schijndel.nl
UWV,48467678,La Guardiaweg 94,Amsterdam,1043 DL,Nederland,http://www.uwv.nl
Gemeente Ferwerderadiel,24691071,Hegebeintumerdyk 2,Ferwert,9172PJ,Nederland,http://www.ferwerderadiel.nl
"Provincie FryslÃƒÂ¢n, voor deze: Dienst Landelijk Gebied Regio Noord",532146326,Zuidersingel 3,Leeuwarden,8901 JA,Nederland,http://www.dienstlandelijkgebied.nl
Dienst Landelijk Gebied regio Oost,532146326,Rosendaalsestraat 64,Arnhem,6800 ED,Nederland,http://www.dienstlandelijkgebied.nl
Gemeente Utrechtse Heuvelrug,251670300,Kerkplein 2,Doorn,3941 HV,Nederland,http://www.heuvelrug.nl
"Ministerie van Defensie, Defensie Materieel Organisatie, Bedrijfsgroep IVENT",431575409,Herculeslaan 1,Utrecht,3584AB,Nederland,http://www.defensie.nl/dmo/ivent/
Gemeente Heerenveen,311539253,Postbus 15000,Heerenveen,8440 GA,Nederland,http://www.heerenveen.nl
Veiligheids- en Gezondheidsregio Gelderland-Midden,54699017,Eusebiusbuitensingel 43,Arnhem,6828HZ,Nederland,
Gemeente Oirschot,182158371,Deken Frankenstraat 3,Oirschot,5688 AK,Nederland,http://www.oirschot.nl
Waterschap Rijn en IJssel,9689427,Liemersweg 2,Doetinchem,7006 GG,Nederland,http://www.wrij.nl
