domeinnaam,organisatie,organisatie-onderdeel
knmi.nl,IenM,KNMI
uwv.nl,SZW,UWV
rijksoverheid.nl,AZ,DPC
belastingdienst.nl,FIN,Belastingdienst
werk.nl,SZW,UWV
kvk.nl,EZ,KvK
overheid.nl,BZK,Logius
duo.nl,OCW,DUO
politie.nl,VenJ,Politie
koninklijkhuis.nl,AZ,RVD
kadaster.nl,IenM,Kadaster
rechtspraak.nl,VenJ,Raad voor de Rechtspraak
svb.nl,SZW,Svb
rijksbegroting.nl,FIN,
higherlevel.nl,EZ,RVO
rijkswaterstaat.nl,IenM,RWS
vananaarbeter.nl,IenM,BSK
werkenbijdefensie.nl,DEF,
cbs.nl,EZ,CBS
gahetna.nl,OCW,NA
inspectieonderwijs.nl,OCW,
amberalertnederland.nl,VenJ,Politie
crisis.nl,VenJ,NCTV
mijnpolitie.nl,VenJ,Politie
om.nl,VenJ,OM
acm.nl,EZ,ACM
consuwijzer.nl,EZ,
rivm.nl,VWS,RIVM
afm.nl,FIN,AFM
nl.espacenet.com,EZ,RVO
rijkshuisstijl.nl,AZ,DPC
defensie.nl,DEF,
domeinenrz.nl,FIN,DRZ
government.nl,AZ,
staatsbosbeheer.nl,EZ,SBB
nvwa.nl,EZ,VWA
justis.nl,VenJ,Dienst Justis
tno.nl,EZ,
digid.nl,BZK,Logius
weethoehetzit.nl,SZW,
uganda.nlambassade.org,BUZA,Postenweb
ind.nl,VenJ,IND
dji.nl,VenJ,DJI
cjib.nl,VenJ,CJIB
rsonac.org,BUZA,
dnb.nl,FIN,DNB
incidentmanagement.nl,IenM,RWS
cpb.nl,EZ,CPB
veva.nl,DEF,
arboportaal.nl,SZW,
inspectieszw.nl,SZW,SZW Inspectie
inburgeren.nl,OCW,DUO
e-overheid.nl,BZK,Logius
deutschland.nlbotschaft.org,BUZA,Postenweb
cultureelerfgoed.nl,OCW,
nationaalarchief.nl,OCW,NA
logius.nl,BZK,Logius
unitedkingdom.nlembassy.org,BUZA,Postenweb
alertonline.nl,VenJ,NCSC
coa.nl,VenJ,COA
rvr.org,VenJ,RVR
pbl.nl,IenM,PBL
data.overheid.nl,BZK,
infomil.nl,IenM,RWS
wodc.nl,VenJ,WODC
erasmushuis-in.nlmission.org,BUZA,
zakendoeninchina.org,BUZA,Postenweb
kinderbescherming.nl,VenJ,RVDK
thailand.nlambassade.org,BUZA,Postenweb
werkenbijdeeu.nl,BUZA,
erasmushuis.nlvertegenwoordiging.org,BUZA,Postenweb
colombia.nlembajada.org,BUZA,Postenweb
noordzeeloket.nl,IenM,RWS
helpdeskwater.nl,IenM,RWS
pianoo.nl,EZ,Pianoo
agentschaptelecom.nl,EZ,AT
cao.szw.nl,SZW,
kustwacht.nl,DEF,
china-cn.nlembassy.org,BUZA,Postenweb
indonesia-in.nlembassy.org,BUZA,Postenweb
dc.the-netherlands.org,BUZA,Postenweb
lerenenwerken.nl,SZW,UWV
waarderingskamer.nl,FIN,WK
cbi.eu,BUZA,RVO
vrom.bouwbesluit.com,BZK,
energiesubsidiewijzer.nl,EZ,RVO
