domeinnaam,organisatie,organisatie-onderdeel
southafrica.nlembassy.org,BUZA,Postenweb
russia-ru.nlembassy.org,BUZA,Postenweb
vaarweginformatie.nl,IenM,RWS
aimonline.nl,IenM,RWS
cbi.nl,BUZA,RVO
rsj.nl,VenJ,RSJ
tuinbouw.nl,EZ,DICTU
pakistan.nlembassy.org,BUZA,Postenweb
lintjes.nl,BZK,Kanselarij der Nederlandse Orden
,,
iran.nlembassy.org,BUZA,Postenweb
nctv.nl,VenJ,NCTV
japan-jp.nlembassy.org,BUZA,Postenweb
emissieautoriteit.nl,IenM,NEA
frankrijk.nlambassade.org,BUZA,Postenweb
china.nlambassade.org,BUZA,Postenweb
australia.nlembassy.org,BUZA,Postenweb
bkd.eu,EZ,BKD
marokko.nlambassade.org,BUZA,Postenweb
eherkenning.nl,EZ,Logius
antwerpen.nlconsulaat.org,BUZA,Postenweb
atlasleefomgeving.nl,IenM,BSK
grensinfopunt.nl,SZW,
forensischinstituut.nl,VenJ,NFI
uae.nlembassy.org,BUZA,Postenweb
duurzaamdoen.nl,IenM,BSK
maroc.nlambassade.org,BUZA,Postenweb
innovatie-estafette.nl,IenM,BSK
istanbul-tr.nlconsulate.org,BUZA,Postenweb
india.nlembassy.org,BUZA,Postenweb
republicadodominicana.nlembajada.org,BUZA,Postenweb
agentschapszw.nl,SZW,Agentschap SZW
indonesie.nlambassade.org,BUZA,Postenweb
spanje.nlambassade.org,BUZA,Postenweb
inspectieloket.nl,IenM,ILT
verenigdkoninkrijk.nlambassade.org,BUZA,Postenweb
dsta.nl,FIN,
rijksacademie.nl,FIN,
lafrance.nlambassade.org,BUZA,Postenweb
indonesia.nlembassy.org,BUZA,Postenweb
belgie.nlambassade.org,BUZA,Postenweb
cultuur.nl,OCW,
erfgoedinspectie.nl,OCW,EGI
turkije.nlambassade.org,BUZA,Postenweb
turkey-tr.nlembassy.org,BUZA,Postenweb
dusseldorf.nlkonsulat.org,BUZA,Postenweb
atnfi.nl,VenJ,NFI
burgernet.nl,VenJ,Politie
rechtvoorjou.nl,VenJ,Raad voor de Rechtspraak
wrr.nl,AZ,
ivenj.nl,VenJ,IVenJ
skal.nl,EZ,SKAL
rusland.nlambassade.org,BUZA,Postenweb
sudan.nlambassade.org,BUZA,Postenweb
justid.nl,VenJ,JustID
philippines.nlembassy.org,BUZA,Postenweb
onderwijsraad.nl,OCW,
trendsinbeeld.nl,OCW,
ghana.nlembassy.org,BUZA,Postenweb
suriname.nlambassade.org,BUZA,Postenweb
duitsland.nlambassade.org,BUZA,Postenweb
zwitserland.nlambassade.org,BUZA,Postenweb
internationaalondernemen.nl,EZ,RVO
regioatlas.nl,BZK,
thailand.nlembassy.org,BUZA,Postenweb
rva.nl,EZ,RVA
answerforbusiness.nl,EZ,RVO
peru.nlambassade.org,BUZA,Postenweb
china.nlembassy.org,BUZA,Postenweb
ruimtevoorderivier.nl,IenM,RWS
spaceoffice.nl,EZ,RVO
ukraine.nlembassy.org,BUZA,Postenweb
nationaalrapporteur.nl,VenJ,Nationaal Rapporteur Mensenhandel
es.rsonac.org,BUZA,
deltacommissaris.nl,IenM,BSK
istanbul.nlconsulaat.org,BUZA,Postenweb
mediatheekrijksoverheid.nl,AZ,DPC
stpetersburg-ru.nlconsulate.org,BUZA,Postenweb
iran.nlambassade.org,BUZA,Postenweb
autoriteitnvs.nl,IenM,ANVS
serbia.nlembassy.org,BUZA,Postenweb
saudiarabia.nlembassy.org,BUZA,Postenweb
oman.nlembassy.org,BUZA,Postenweb
newzealand.nlembassy.org,BUZA,Postenweb
egypt-ar.nlembassy.org,BUZA,Postenweb
dienstterugkeerenvertrek.nl,VenJ,GDI
hollandinvietnam.org,BUZA,Postenweb
georgia.nlembassy.org,BUZA,Postenweb
cfv.nl,BZK,CFV
singapore.nlembassy.org,BUZA,Postenweb
zuidafrika.nlambassade.org,BUZA,Postenweb
nak.nl,EZ,NAK
espana.nlembajada.org,BUZA,Postenweb
kasteelgroeneveld.nl,EZ,SBB
p-direkt.nl,BZK,UBR
egypt.nlembassy.org,BUZA,Postenweb
oekraine.nlambassade.org,BUZA,Postenweb
hongkong.nlconsulate.org,BUZA,Postenweb
brasil.nlembaixada.org,BUZA,Postenweb
dusseldorf.nlconsulaat.org,BUZA,Postenweb
dominicaanserepubliek.nlambassade.org,BUZA,Postenweb
nigeria.nlembassy.org,BUZA,Postenweb
vae.nlambassade.org,BUZA,Postenweb
shanghai-cn.nlconsulate.org,BUZA,Postenweb
italie.nlambassade.org,BUZA,Postenweb
kenia.nlembassy.org,BUZA,Postenweb
nieuwbouweurojust.nl,BZK,RVB
lebanon.nlembassy.org,BUZA,Postenweb
mexico.nlembajada.org,BUZA,Postenweb
kuwait.nlembassy.org,BUZA,Postenweb
meldknop.nl,EZ,NCSC
india.nlambassade.org,BUZA,Postenweb
peru.nlembajada.org,BUZA,Postenweb
bangladesh.nlembassy.org,BUZA,Postenweb
senegal.nlambassade.org,BUZA,Postenweb
earonline.nl,BZK,ICTU
echtscheidingsplan.nl,VenJ,RVR
forensischezorg.nl,VenJ,DJI
ifv.nl,VenJ,NIFV
infoterugkeer.nl,VenJ,DT&V
kcwj.nl,VenJ,
landelijkeadviescommissieplaatsing.nl,VenJ,Landelijke Adviescommissie Plaatsing
lbio.nl,VenJ,LBIO
ncsc.nl,VenJ,NCSC
nifpnet.nl,VenJ,DJI
rijksrecherche.nl,VenJ,OM
schadefonds.nl,VenJ,SGM
slachtofferinformatie-om.nl,VenJ,OM
stopheling.nl,VenJ,Politie
taskforcekinderenveilig.nl,VenJ,TKSM
vermistekinderen.nl,VenJ,LBVP
wijzeruitelkaar.nl,VenJ,RVR
riodejaneiro.nlconsulado.org,BUZA,Postenweb
macedonia.nlembassy.org,BUZA,Postenweb
colombia.nlambassade.org,BUZA,Postenweb
waddensea-worldheritage.org,EZ,
jordan.nlembassy.org,BUZA,Postenweb
rijksdienstcn.com,BZK,RCN
antennebureau.nl,EZ,AT
turkey.nlembassy.org,BUZA,Postenweb
platformduurzamehuisvesting.nl,EZ,RVO
brazilie.nlambassade.org,BUZA,Postenweb
tunisie-fr.nlambassade.org,BUZA,Postenweb
rijksfinancien.nl,FIN,
alger.nlambassade.org,BUZA,Postenweb
filipijnen.nlambassade.org,BUZA,Postenweb
argentina.nlembajada.org,BUZA,Postenweb
japan.nlambassade.org,BUZA,Postenweb
guangzhou-cn.nlconsulate.org,BUZA,Postenweb
saopaulo.nlconsulado.org,BUZA,Postenweb
biobasedeconomy.nl,EZ,RVO
australie.nlambassade.org,BUZA,Postenweb
singapore.nlambassade.org,BUZA,Postenweb
zweden.nlambassade.org,BUZA,Postenweb
griekenland.nlambassade.org,BUZA,Postenweb
ghana.nlambassade.org,BUZA,Postenweb
noorwegen.nlambassade.org,BUZA,Postenweb
verkiezingsuitslagen.nl,BZK,Kiesraad
ireland.nlembassy.org,BUZA,Postenweb
venezuela.nlembajada.org,BUZA,Postenweb
tunesie.nlambassade.org,BUZA,Postenweb
bics.nl,IenM,RWS
enterpriseeuropenetwork.nl,EZ,RVO
polen.nlambassade.org,BUZA,Postenweb
japan.nlembassy.org,BUZA,Postenweb
riodejaneiro.nlconsulaat.org,BUZA,Postenweb
forumstandaardisatie.nl,BZK,Logius
denemarken.nlambassade.org,BUZA,Postenweb
kenia.nlambassade.org,BUZA,Postenweb
munchen.nlkonsulat.org,BUZA,Postenweb
kazakhstan-ru.nlembassy.org,BUZA,Postenweb
hoogwaterbeschermingsprogramma.nl,IenM,RWS
argentinie.nlambassade.org,BUZA,Postenweb
ethiopia.nlembassy.org,BUZA,Postenweb
qatar.nlembassy.org,BUZA,Postenweb
canada.nlembassy.org,BUZA,Postenweb
erasmushuis.nlmission.org,BUZA,
biodiversiteit.nl,EZ,RVO
verbeteruwhuis.nl,EZ,RVO
italy.nlembassy.org,BUZA,Postenweb
chicago.the-netherlands.org,BUZA,Postenweb
southkorea.nlembassy.org,BUZA,Postenweb
malaysia.nlembassy.org,BUZA,Postenweb
oostenrijk.nlambassade.org,BUZA,Postenweb
shanghai.nlconsulaat.org,BUZA,Postenweb
mexico.nlambassade.org,BUZA,Postenweb
roemenie.nlambassade.org,BUZA,Postenweb
helpdeskbouwregels.nl,BZK,
istanbul.nlconsulate.org,BUZA,Postenweb
costarica.nlambassade.org,BUZA,Postenweb
naktuinbouw.nl,EZ,NAK
eu.nlvertegenwoordiging.org,BUZA,Postenweb
chile.nlembajada.org,BUZA,Postenweb
poland-pl.nlembassy.org,BUZA,Postenweb
uganda.nlembassy.org,BUZA,Postenweb
canada.the-netherlands.org,BUZA,Postenweb
ottawa.the-netherlands.org,BUZA,Postenweb
tsjechie.nlambassade.org,BUZA,Postenweb
trouwentegenjewil.nl,SZW,DPC
jordanie.nlambassade.org,BUZA,Postenweb
israel.nlembassy.org,BUZA,Postenweb
zimbabwe.nlembassy.org,BUZA,Postenweb
mali.nlambassade.org,BUZA,Postenweb
hongkong.nlconsulaat.org,BUZA,Postenweb
tanzania.nlembassy.org,BUZA,Postenweb
maleisie.nlambassade.org,BUZA,Postenweb
munchen.nlconsulaat.org,BUZA,Postenweb
hongarije.nlambassade.org,BUZA,Postenweb
ierland.nlambassade.org,BUZA,Postenweb
mineleni.nederlandsesoorten.nl,EZ,
nlog.nl,EZ,
stavoorjezaak.nl,EZ,Stavoorjezaak
costarica.nlembajada.org,BUZA,Postenweb
saopaulo.nlconsulaat.org,BUZA,Postenweb
egypte.nlambassade.org,BUZA,Postenweb
basisregistratiesienm.nl,IenM,BSK
nl.hollandinvietnam.org,BUZA,Postenweb
israel.nlambassade.org,BUZA,Postenweb
lesenegal.nlambassade.org,BUZA,Postenweb
finland.nlambassade.org,BUZA,Postenweb
hollandinthevalley.com,BUZA,
croatia.nlembassy.org,BUZA,Postenweb
libanon.nlambassade.org,BUZA,Postenweb
iraq.nlembassy.org,BUZA,Postenweb
italie.nlconsulaat.org,BUZA,Postenweb
norway.nlembassy.org,BUZA,Postenweb
hungary-hu.nlembassy.org,BUZA,Postenweb
zuidkorea.nlambassade.org,BUZA,Postenweb
kabinetvandekoning.nl,AZ,RVD
chili.nlambassade.org,BUZA,Postenweb
sudan.nlembassy.org,BUZA,Postenweb
irak.nlambassade.org,BUZA,Postenweb
greece.nlembassy.org,BUZA,Postenweb
bulgarije.nlambassade.org,BUZA,Postenweb
nieuwzeeland.nlambassade.org,BUZA,Postenweb
shanghai.nlconsulate.org,BUZA,Postenweb
romania.nlembassy.org,BUZA,Postenweb
nigeria.nlambassade.org,BUZA,Postenweb
italy.nlconsulate.org,BUZA,Postenweb
poland.nlembassy.org,BUZA,Postenweb
sweden.nlembassy.org,BUZA,Postenweb
cbho.nl,OCW,CBHO
pal.nlmission.org,BUZA,
bosnieherzegovina.nlambassade.org,BUZA,Postenweb
bosniaherzegovina.nlembassy.org,BUZA,Postenweb
kazakhstan.nlembassy.org,BUZA,Postenweb
libya.nlembassy.org,BUZA,Postenweb
algerije.nlambassade.org,BUZA,Postenweb
georgie.nlambassade.org,BUZA,Postenweb
klimaatmonitor.databank.nl,IenM,RWS
ceaweb.nl,FIN,CEA
nrgd.nl,VenJ,NRGD
luxemburg.nlambassade.org,BUZA,Postenweb
rdcongo.nlambassade.org,BUZA,Postenweb
tanzania.nlambassade.org,BUZA,Postenweb
rwanda.nlembassy.org,BUZA,Postenweb
stpetersburg.nlconsulate.org,BUZA,Postenweb
afghanistan.nlambassade.org,BUZA,Postenweb
albania.nlembassy.org,BUZA,Postenweb
lap2.nl,EZ,RVO
rwanda.nlambassade.org,BUZA,Postenweb
labelgique.nlambassade.org,BUZA,Postenweb
southkorea-kr.nlembassy.org,BUZA,Postenweb
cultuursubsidie.nl,OCW,
guangzhou.nlconsulaat.org,BUZA,Postenweb
kosovo.nlembassy.org,BUZA,Postenweb
cyprus.nlambassade.org,BUZA,Postenweb
yemen.nlembassy.org,BUZA,Postenweb
slovakia.nlembassy.org,BUZA,Postenweb
lemali.nlambassade.org,BUZA,Postenweb
larepubliquedubenin.nlambassade.org,BUZA,Postenweb
oeso.nlvertegenwoordiging.org,BUZA,Postenweb
bulgaria.nlembassy.org,BUZA,Postenweb
mozambique.nlambassade.org,BUZA,Postenweb
senegal.nlembassy.org,BUZA,Postenweb
drcongo.nlambassade.org,BUZA,Postenweb
finland.nlembassy.org,BUZA,Postenweb
alleenjijbepaalt.nl,VenJ,Taskforce overvallen
c2000.nl,VenJ,Politie
duurzaamdoor.nl,EZ,RVO
fvtdji.nl,VenJ,DJI
informatiehuismarien.nl,IenM,RWS
meetadviesdienst.nl,IenM,RWS
nis.rijkswaterstaat.nl,IenM,RWS
regioburgemeesters.nl,VenJ,OM
traderouteasia.nl,EZ,nVWA
albanie.nlambassade.org,BUZA,Postenweb
afghanistan.nlembassy.org,BUZA,Postenweb
qatar.nlambassade.org,BUZA,Postenweb
portugal.nlambassade.org,BUZA,Postenweb
malta.nlambassade.org,BUZA,Postenweb
eu.nlmission.org,BUZA,
stpetersburg.nlconsulaat.org,BUZA,Postenweb
ikkan.nl,SZW,
angola.nlambassade.org,BUZA,Postenweb
litouwen.nlambassade.org,BUZA,Postenweb
denmark.nlembassy.org,BUZA,Postenweb
raadvaneuropa.nlvertegenwoordiging.org,BUZA,Postenweb
srilanka.nlembassy.org,BUZA,Postenweb
kazachstan.nlambassade.org,BUZA,Postenweb
waterandthedutch.com,BUZA,
guangzhou.nlconsulate.org,BUZA,Postenweb
geneva.nlmission.org,BUZA,
navo.nlvertegenwoordiging.org,BUZA,Postenweb
hungary.nlembassy.org,BUZA,Postenweb
slovenia.nlembassy.org,BUZA,Postenweb
estland.nlambassade.org,BUZA,Postenweb
slovenie.nlambassade.org,BUZA,Postenweb
kabinetsformatie2012.nl,TK,
platformrijksoverheiddemo.nl,AZ,DPC
unesco.nlvertegenwoordiging.org,BUZA,Postenweb
azerbaijan.nlembassy.org,BUZA,Postenweb
koeweit.nlambassade.org,BUZA,Postenweb
cyprus.nlembassy.org,BUZA,Postenweb
lithuania.nlembassy.org,BUZA,Postenweb
latvia.nlembassy.org,BUZA,Postenweb
trinidadandtobago.nlembassy.org,BUZA,Postenweb
economicties.org,BUZA,
letland.nlambassade.org,BUZA,Postenweb
czechrepublic.nlembassy.org,BUZA,Postenweb
mozambique.nlembassy.org,BUZA,Postenweb
libie.nlambassade.org,BUZA,Postenweb
erkenningscommissie.nl,VenJ,
aanvalopoverval.nl,VenJ,Politie
civ-voetbal.com,VenJ,Politie
crisisacceptatie.nl,VenJ,NCTV
cvta.nl,VenJ,CVTA
dgvcentraal.humancontenthosting.nl,VenJ,DJI
discs.nl,VenJ,IND
festivalforensischezorg.nl,VenJ,DJI
fiu-nederland.nl,VenJ,Politie
gevangenispastor.nl,VenJ,DJI
hier-waak-ik.nl,VenJ,Politie
identiteitsdocumenten.nl,VenJ,IND
innovatierechtsbestel.nl,VenJ,DGRR
kombijdepolitie.nl,VenJ,Politie
mijnnfi.nl,VenJ,NFI
pasopkoper.nl,VenJ,DV
summercourt.nl,VenJ,OM
terugvoerplicht.nl,VenJ,DT&V
vraaghetdepolitie.nl,VenJ,Politie
kosovo.nlambassade.org,BUZA,Postenweb
angola.nlembassy.org,BUZA,Postenweb
azerbeidzjan.nlambassade.org,BUZA,Postenweb
geneve.nlvertegenwoordiging.org,BUZA,Postenweb
syrie.nlambassade.org,BUZA,Postenweb
psosamenwerken.wordpress.com,BUZA,
gemeenteloket.minszw.nl,SZW,
srilanka.nlambassade.org,BUZA,Postenweb
adviescommissiewater.nl,IenM,RWS
slowakije.nlambassade.org,BUZA,Postenweb
estonia.nlembassy.org,BUZA,Postenweb
malta.nlembassy.org,BUZA,Postenweb
cuba.nlembajada.org,BUZA,Postenweb
internetspiegel.nl,BZK,
verlofadviescollege.nl,VenJ,Adviescollege Verloftoetsing TBS
aerius.nl,EZ,DGA&N
ambassadeursoorten.nl,EZ,RVO
clientexport.nl,EZ,NVWA
codexalimentarius.nl,EZ,DGA&N
cokz.nl,EZ,COKZ
ctgb.nl,EZ,CTGB
doetinchem-wesel380kv.nl,EZ,DGETM/TeNNeT
grondkamers.nl,EZ,RVO
kcb.nl,EZ,KCB
miedenproject.nl,EZ,SBB
nl2040.nl,EZ,CPB
noord-west380kv.nl,EZ,DGETM/TeNNeT
opdrachtgeversforum.nl,EZ,
popprojectennederland.nl,EZ,RVO
randstad380kv-noordring.nl,EZ,DGETM/TeNNeT
randstad380kv-zuidring.nl,EZ,DGETM/TeNNeT
rda.nl,EZ,RDA
regiebureau-pop.nl,EZ,RVO
sodm.nl,EZ,SODM
topsectoren.nl,EZ,DGB&I
veiliginternetten.nl,EZ,ECP
verispect.nl,EZ,AT
zuid-west380kv.nl,EZ,DGETM/TeNNeT
southsudan.nlembassy.org,BUZA,Postenweb
vaticaanstad.nlambassade.org,BUZA,Postenweb
burundi.nlambassade.org,BUZA,Postenweb
collegevanrijksadviseurs.nl,BZK,RVB
lcw.demis.nl,IenM,RWS
locov.nl,IenM,BSK
tcbodem.nl,IenM,BSK
syria.nlembassy.org,BUZA,Postenweb
unvienna.nlmission.org,BUZA,
osce.nlmission.org,BUZA,
bolivia.nlambassade.org,BUZA,Postenweb
angola-pt.nlembassy.org,BUZA,Postenweb
bolivia.nlembajada.org,BUZA,Postenweb
nl.rsonac.org,BUZA,
panama.nlambassade.org,BUZA,Postenweb
nuclearforensics.eu,VenJ,NFI
sectorplannen.nl,SZW,
benin.nlambassade.org,BUZA,Postenweb
cert.nl,VenJ,CERT
nog.nl,VenJ,Politie
nucforexperts.nl,VenJ,NFI
pwdji.nl,VenJ,DJI
zestienmiljoenrechters.nl,VenJ,NCTB
zichtopdevreemdelingenketen.nl,VenJ,DGVZ
szwcongres.nl,SZW,
opcw.nlvertegenwoordiging.org,BUZA,Postenweb
vatican.nlembassy.org,BUZA,Postenweb
oefeningbonfire.nl,VenJ,Politie
2014.cbgjaarverslag.nl,VWS,CBG
557eb90be7ee5.momice.events,VenJ,
a13a16rotterdam.nl,IenM,RWS
a4delftschiedam.mett.nl,IenM,RWS
aanbiedersmedicijnen.nl,VWS,CIBG
aandeslagmetdeomgevingswet.nl,IenM,RWS
aanpakduurzaamgww.nl,IenM,RWS
aanpakregeldruk.nl,VWS,
aanvalopschooluitval.nl,OCW,
acropolis-eu.com,VWS,RIVM
acwet.nl,VenJ,
adviesorgaan-rmo.nl,VWS,
adviespuntklokkenluiders.nl,BZK,HvK
agendastad.nl,BZK,
ahn.nl,IenM,RWS
aivd.nl,BZK,AIVD
aivdhackathon.nl,BZK,AIVD
aivdkennisbank.nl,BZK,
algemenebestuursdienst.nl,BZK,ABD
allesisgezondheid.nl,VWS,RIVM
almanak.zboregister.overheid.nl,BZK,
almata.nl,VWS,
ambassadeconsulaat.pro,BUZA,Postenweb
ambassadepaysbasalger.org,BUZA,Postenweb
ambassadeursconferentie.nl,BUZA,
amb-pays-bas.fr,BUZA,Postenweb
arbeidenoverheid.nl,BZK,
architectenregister.nl,BZK,SBA
architectuurfonds.nl,OCW,SSA
atlasnatuurlijkkapitaal.nl,IenM,RIVM
awti.nl,OCW,AWTI
azerbeijan.nlambassade.org,BUZA,Postenweb
beeldmateriaal.nl,IenM,
belastingdienst-cn.nl,FIN,Belastingdienst
beleefdedeltaroute.nl,IenM,RWS
benchmarkrijk.nl,BZK,
beschikbaarheidbijdrage-medische-vervolgopleidingen.nl,VWS,
bestandenpostbus.nl,VenJ,
bestrijdingsmiddelen-omwonenden.nl,VWS,RIVM
bewustbodemgebruik.nl,IenM,RWS
biedboek.nl,BZK,RVB
bigregister.nl,VWS,CIBG
biociden.nl,VWS,RIVM
bkwi.nl,SZW,UWV
blankenburgverbinding.nl,IenM,RWS
bodemrichtlijn.nl,IenM,RWS
bouwcollege.nl,VWS,CBZ
brzoplus.nl,IenM,RWS
bureauft.nl,FIN,BFT
bureaugateway.nl,BZK,
bureaujeugdzorg.info,VWS,
burkinafaso.nlambassade.org,BUZA,Postenweb
cameroon.nlembassy.org,BUZA,Postenweb
campagnevannix.nl,VWS,
cannabisbureau.nl,VWS,CIBG
cawsw.nl,IenM,BSK
cbgjaarverslag2013.nl,VWS,CBG
cbg-meb.nl,VWS,CBG
cbpweb.nl,VenJ,CBP
cbr.nl,IenM,CBR
ccmo-online.nl,VWS,CCMO
centralecommissiedierproeven.nl,EZ,
cfto.nl,OCW,CFTO
challengestad.nl,BZK,
checkjeschoolgebouw.nl,AR,
chempak.rivm.nl,VWS,RIVM
cibg.nl,VWS,CIBG
cibgacademie.nl,VWS,CIBG
circulaireeconomienederland.nl,IenM,BSK
citychlor.eu,IenM,RWS
collegesanering.nl,VWS,CSZ
comma.elearningbz.nl,BUZA,AIB
commabz.nl,BUZA,AIB
commissiegeweldjeugdzorg.nl,VenJ,SSC-ICT
commissievanaanbestedingsexperts.nl,EZ,DICTU
communicatierijk.nl,AZ,DPC
compendiumvoordeleefomgeving.nl,IenM,PBL
consuladoholanda.org,BUZA,Postenweb
corpodata.nl,IenM,ILT
cosmeticaklachten.nl,VWS,RIVM
creatieveindustrieinbeeld.nl,OCW,
ctivd.nl,AZ,DBV
cuba.nlambassade.org,BUZA,Postenweb
cvdm.nl,OCW,CVDM
cve.nl,OCW,CVE
cvz.nl,VWS,CVZ
cybersecurityraad.nl,VenJ,NCTV
daargeefjeom.nl,OCW,
daarkunjemeethuiskomen.nl,IenM,BSK
daarwordtiedereenbetervan.nl,VWS,
datawonen.nl,BZK,
dcypher.nl,OCW,NWO
defensiepijpleidingorganisatie.nl,DEF,DPO
dekinderombudsman.nl,NO,
deleerkaart.nl,BZK,Logius
delerarenagenda.nl,OCW,
deltaviewer.nl,IenM,BSK
demijnraad.nl,EZ,RVO
denieuwepraktijk.nl,VWS,
denieuwezorgverzekering.nl,VWS,
derechtspraakvanmorgen.nl,VenJ,DV
deskundigengroepdierziekten.nl,EZ,DGA&N
destaatvanhetonderwijs.nl,OCW,IvhO
dggf.nl,EZ,RVO
dictu.nl,EZ,DICTU
diergeneeskunderegister.nl,VWS,CIBG
digicommissaris.nl,BZK,SSC-ICT
digitaleoverheid.nl,BZK,ICTU
diplomamills.nl,OCW,DUO
donorgegevens.nl,VWS,CIBG
donorregister.nl,VWS,CIBG
doorbraakprojectenmetict.nl,EZ,
drupaloverheid.nl,EZ,DICTU
dutchappointments.com,BUZA,
dutchartevents.com,BUZA,
dutchdigitaldelta.nl,EZ,ECP
dutchembassyuk.org,BUZA,Postenweb
dutch-immigration.nl,BZK,Politie
dutchmissions.com,BUZA,
dutchperformingarts.com,BUZA,
duurzaamgww.nl,EZ,RVO
dwangindezorg.nl,VWS,
eceonline.nl,EZ,RVO
echt-of-nep.nl,VWS,
ecuador.nlambassade.org,BUZA,Postenweb
ecuador.nlembajada.org,BUZA,Postenweb
ecuador.nlembassy.org,BUZA,Postenweb
eerstekamer.nl,EK,
effectiefarmoedebeleid.nl,SZW,
egc-group.org,VenJ,NCSC
eid-stelsel.nl,BZK,Logius
elearningbz.nl,BUZA,AIB
energiekostenprognose.nl,EZ,RVO
energielabelvoorwoningen.nl,EZ,RVO
energieplein20.nl,EZ,RVO
english.autoriteitnvs.nl,IenM,ANVS
english.internetpillen.nl,VWS,
english.kabinetvandekoning.nl,AZ,
english.kimnet.nl,IenM,BSK
entrepreneurialmindsindia.nl,BUZA,
enwinfo.nl,IenM,RWS
e-overheidvoorbedrijven.nl,EZ,AvB
ep-online.nl,EZ,RVO
eranetbioenergy.net,EZ,RVO
eritrea.nlambassade.org,BUZA,Postenweb
eritrea.nlembassy.org,BUZA,Postenweb
estonia-et.nlembassy.org,BUZA,Postenweb
eu2016.nl,BUZA,
euphix.org,VWS,RIVM
europeanenterprisenetwork.nl,EZ,RVO
euthanasiecommissie.nl,VWS,CIBG
eutruckplatooning.com,IenM,
eu-verantwoording.nl,AR,
evaluationdutchcaribbean.nl,BZK,
evenementenrijk.nl,BZK,UBR
evite-sendmail.nl,VWS,
examenloket.nl,OCW,DUO
examenloket.com,OCW,DUO
excellentescholen.nl,OCW,IvhO
ezinesbr.nl,BZK,Logius
ezips.rivm.nl,VWS,RIVM
farmatec.nl,VWS,CIBG
filmfonds.nl,OCW,SNFF
flitspanel.nl,BZK,ICTU
fondspodiumkunsten.nl,OCW,NFPK
functiegebouwrijksoverheid.nl,BZK,UBR
functiemix.minocw.nl,OCW,
gccs2015.com,VenJ,DV
gddiergezondheid.nl,EZ,
geluidregisterspoor.nl,IenM,BSK
gemeenteschoon.nl,IenM,RWS
gerechtelijkebrief.nl,BZK,UBR
gerechtelijkebrieven.nl,BZK,UBR
gewoontoegankelijk.nl,BZK,ICTU
