X,Y,gml_id,datum,tijd,identificatieNummeraanduiding,identificatieAdresseerbaarObject,straatnaam,huisnummer,postcode,plaats,activiteitCode,activiteitOmschrijving,huisletter
0,0,V_000005839904_84232,11111111,120150111,518010000779618,518010000779618,Schedeldoekshaven,101,2511EM,'s-Gravenhage,84232,Ministerie van Justitie en gevangeniswezen,
128495.062,509567.91,V_000003972453_8411,11111111,120150111,478200000000058,478010000000232,Raadhuisstraat,24,1474HG,Oosthuizen,8411,Algemeen overheidsbestuur,
234458.462,582169.838,V_000014840006_86923,11111111,120150111,14200010879609,14010011071490,Hanzeplein,120,9713GW,Groningen,86923,Preventieve gezondheidszorg (geen arbobegeleiding),
234458.462,582169.838,V_000014840006_8425,11111111,120150111,14200010879609,14010011071490,Hanzeplein,120,9713GW,Groningen,8425,Brandweer,
234458.462,582169.838,V_000014840006_86925,11111111,120150111,14200010879609,14010011071490,Hanzeplein,120,9713GW,Groningen,86925,Ambulancediensten en centrale posten,
87301.82,461304.449,V_000007724373_8411,11111111,120150111,629200000006952,629010000006952,Raadhuislaan,22,2242CP,Wassenaar,8411,Algemeen overheidsbestuur,
93993.553,467836.65,V_000023096381_8425,20110725,165818524,1525200000014909,1525010000014045,van den Woudestraat,1,2361VN,Warmond,8425,Brandweer,b
99630,447759,V_000023096411_8425,20110725,165818524,1892200000687337,1892010000687338,De Opril,1,2761BM,Zevenhuizen,8425,Brandweer,
103775.009,464523.068,V_000023096403_8425,20110725,165818524,1884200000046798,1884010000011580,Vrouwgeestweg,1,2481KM,Woubrugge,8425,Brandweer,a
90593.773,459770.684,V_000023096365_8425,20110725,165818524,626200000002098,626010000002098,Burgemeester Van der Haarplein,1,2251CT,Voorschoten,8425,Brandweer,
93577.011,470078.557,V_000023096357_8425,20110725,165818524,1525200000009902,1525010000006285,Nijverheidsweg,32,2215MH,Voorhout,8425,Brandweer,
112257.053,453883.668,V_000023096446_8425,20110725,165818524,497200000006489,497010000007786,Portugalweg,6,2411PR,Bodegraven,8425,Brandweer,
232992.974,581428.15,V_000014840081_8412,11111111,120150111,14200010874887,14010011066937,Eendrachtskade,2,9726CW,Groningen,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
109368.329,458003.268,V_000023096438_8425,20110725,165818524,484200000037929,484010000037929,Vinkebuurt,126,2471XD,Zwammerdam,8425,Brandweer,
188164.079,428752.4,V_000020820607_8411,20100614,132450109,268200000074928,268010000071428,Burchtstraat,126,6511RK,Nijmegen,8411,Algemeen overheidsbestuur,
265174,488588,V_000011325755_8412,11111111,120150111,1774200000279186,1774010000279187,Nicolaasplein,5,7591MA,Denekamp,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
259118,492773,V_000011325798_8412,11111111,120150111,1774200000280392,1774010000280393,Koggelsteeg,1,7631AJ,Ootmarsum,8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",
233817.714,581973.707,V_000014839989_8411,11111111,120150111,14200010873239,14010011065378,Grote Markt,1,9712HN,Groningen,8411,Algemeen overheidsbestuur,
178129,311140,V_000021651264_8411,20110103,142059705,905200000113343,905010000021452,Zoerbeemden,7,6245LR,Eijsden,8411,Algemeen overheidsbestuur,
186405,314654,V_000021651256_8411,20110103,142059705,936200000014702,936010000002576,Aan de Fremme,25,6269BK,Margraten,8411,Algemeen overheidsbestuur,
144040,440966,V_000008824401_8411,11111111,120150111,216200000007574,216010000007574,Ridderstraat,250,4101BK,Culemborg,8411,Algemeen overheidsbestuur,
92692.746,436512.26,V_000022962077_86923,20110705,104821867,599200000443557,599010000032252,Schiedamsedijk,95,3011EN,Rotterdam,86923,Preventieve gezondheidszorg (geen arbobegeleiding),
242821,562636,V_000013837281_85201,11111111,120150111,1680200000000903,1680010000001173,Kerkbrink,2,9467PH,Anloo,85201,Basisonderwijs voor leerplichtigen,
178358.701,435260.335,V_000021253382_8411,20101101,153611081,1734200000028566,1734010000032110,Europaplein,1,6673BT,Andelst,8411,Algemeen overheidsbestuur,
