"Gemeente";"CBS";"Veiligheidshuizen";"Inwoneraantal van regio"
"Hardenberg";"0160";"Veiligheidshuis IJsselland";"514650"
"Harderwijk";"0243";"NOG Veiligerhuis";"812224"
"Hardinxveld-Giessendam";"0523";"Veiligheidshuis Zuid-Holland Zuid";"484986"
"Haren";"0017";"Veiligheidshuis Groningen";"584104"
"Harlingen";"0072";"Veiligheidshuis Fryslân";"646324"
"Hattem";"0244";"NOG Veiligerhuis";"812224"
"Heemskerk";"0396";"Veiligheidshuis Kennemerland";"531591"
"Heemstede";"0397";"Veiligheidshuis Kennemerland";"531591"
"Heerde";"0246";"NOG Veiligerhuis";"812224"
"Heerenveen";"0074";"Veiligheidshuis Fryslân";"646324"
"Heerhugowaard";"0398";"Veiligheidshuis Noord-Holland Noord";"646991"
"Heerlen";"0917";"Veiligheidshuis district Heerlen";"151909"
"Heeze-Leende";"1658";"Veiligheidshuis Brabant Zuidoost";"752485"
"Heiloo";"0399";"Veiligheidshuis Noord-Holland Noord";"646991"
"Hellendoorn";"0163";"Veiligheidshuis Twente";"626009"
"Hellevoetsluis";"0530";"Veiligheidshuis Rotterdam-Rijnmond";"1279414"
"Helmond";"0794";"Veiligheidshuis Brabant Zuidoost";"752485"
"Hendrik-Ido-Ambacht";"0531";"Veiligheidshuis Zuid-Holland Zuid";"484986"
"Hengelo (O)";"0164";"Veiligheidshuis Twente";"626009"
"'s-Hertogenbosch";"0796";"Veiligheidshuis 's-Hertogenbosch";"333602"
"het Bildt";"0063";"Veiligheidshuis Fryslân";"646324"
"Heumen";"0252";"Veiligheidshuis Gelderland-Zuid";"543245"
"Heusden";"0797";"Veiligheidshuis 's-Hertogenbosch";"333602"
"Hillegom";"0534";"Veiligheidshuis Hollands-Midden";"774476"
"Hilvarenbeek";"0798";"Zorg- en Veiligheidshuis Midden-Brabant";"396517"
"Hilversum";"0402";"Veiligheidshuis Gooi en Vechtstreek";"246540"
"Hof van Twente";"1735";"Veiligheidshuis Twente";"626009"
"Hollands Kroon";"1911";"Veiligheidshuis Noord-Holland Noord";"646991"
"Hoogeveen";"0118";"Veiligheidshuis Drenthe";"488611"
"Hoogezand-Sappemeer";"0018";"Veiligheidshuis Groningen";"584104"
"Hoorn";"0405";"Veiligheidshuis Noord-Holland Noord";"646991"
"Horst aan de Maas";"1507";"Veiligheidshuis Noord Limburg";"280548"
"Houten";"0321";"Veiligheidshuis Utrecht";"692571"
"Huizen";"0406";"Veiligheidshuis Gooi en Vechtstreek";"246540"
"Hulst";"0677";"Veiligheidshuis Zeeland";"380717"
"IJsselstein";"0353";"Veiligheidshuis Utrecht";"692571"
"Kaag en Braassem";"1884";"Veiligheidshuis Hollands-Midden";"774476"
"Kampen";"0166";"Veiligheidshuis IJsselland";"514650"
"Kapelle";"0678";"Veiligheidshuis Zeeland";"380717"
"Katwijk";"0537";"Veiligheidshuis Hollands-Midden";"774476"
"Kerkrade";"0928";"Veiligheidshuis district Kerkrade";"119018"
"Koggenland";"1598";"Veiligheidshuis Noord-Holland Noord";"646991"
"Kollumerland en Nieuwkruisland";"0079";"Veiligheidshuis Fryslân";"646324"
"Korendijk";"0588";"Veiligheidshuis Zuid-Holland Zuid";"484986"
"Krimpen aan den IJssel";"0542";"Veiligheidshuis Rotterdam-Rijnmond";"1279414"
"Krimpenerwaard";"1931";"Veiligheidshuis Hollands-Midden";"774476"
"Laarbeek";"1659";"Veiligheidshuis Brabant Zuidoost";"752485"
"Landerd";"1685";"Veiligheidshuis Maas & Leijgraaf";"312109"
"Landgraaf";"0882";"Veiligheidshuis district Kerkrade";"119018"
"Landsmeer";"0415";"Veiligheidshuis Zaanstreek-Waterland";"328233"
"Langedijk";"0416";"Veiligheidshuis Noord-Holland Noord";"646991"
"Lansingerland";"1621";"Veiligheidshuis Rotterdam-Rijnmond";"1279414"
"Laren";"0417";"Veiligheidshuis Gooi en Vechtstreek";"246540"
"Leek";"0022";"Veiligheidshuis Groningen";"584104"
"Leerdam";"0545";"Veiligheidshuis Zuid-Holland Zuid";"484986"
"Leeuwarden";"0080";"Veiligheidshuis Fryslân";"646324"
"Leeuwarderadeel";"0081";"Veiligheidshuis Fryslân";"646324"
"Leiden";"0546";"Veiligheidshuis Hollands-Midden";"774476"
"Leiderdorp";"0547";"Veiligheidshuis Hollands-Midden";"774476"
"Leidschendam-Voorburg";"1916";"Veiligheidshuis Haaglanden";"1061908"
"Lelystad";"0995";"Veiligheidshuis Flevoland";"401503"
"Leudal";"1640";"Veiligheidshuis Midden Limburg";"235466"
"Leusden";"0327";"Veiligheidshuis Amersfoort";"570938"
"Lingewaal";"0733";"Veiligheidshuis Gelderland-Zuid";"543245"
"Lingewaard";"1705";"Veiligheidshuis Arnhem";"385090"
"Lisse";"0553";"Veiligheidshuis Hollands-Midden";"774476"
"Littenseradiel";"0140";"Veiligheidshuis Fryslân";"646324"
"Lochem";"0262";"NOG Veiligerhuis";"812224"
"Loon op Zand";"0809";"Zorg- en Veiligheidshuis Midden-Brabant";"396517"
"Lopik";"0331";"Veiligheidshuis Utrecht";"692571"
"Loppersum";"0024";"Veiligheidshuis Groningen";"584104"
"Losser";"0168";"Veiligheidshuis Twente";"626009"
"Maasdriel";"0263";"Veiligheidshuis Gelderland-Zuid";"543245"
"Maasgouw";"1641";"Veiligheidshuis Midden Limburg";"235466"
"Maassluis";"0556";"Veiligheidshuis Rotterdam-Rijnmond";"1279414"
"Maastricht";"0935";"Veiligheidshuis district Maastricht";"183026"
"Marum";"0025";"Veiligheidshuis Groningen";"584104"
"Medemblik";"0420";"Veiligheidshuis Noord-Holland Noord";"646991"
"Meerssen";"0938";"Veiligheidshuis district Maastricht";"183026"
"Menameradiel";"1908";"Veiligheidshuis Fryslân";"646324"
"Menterwolde";"1987";"Veiligheidshuis Groningen";"584104"
"Meppel";"0119";"Veiligheidshuis Drenthe";"488611"
"Middelburg";"0687";"Veiligheidshuis Zeeland";"380717"
"Midden-Delfland";"1842";"Veiligheidshuis Haaglanden";"1061908"
"Midden-Drenthe";"1731";"Veiligheidshuis Drenthe";"488611"
"Mill en Sint Hubert";"0815";"Veiligheidshuis Maas & Leijgraaf";"312109"
"Moerdijk";"1709";"Veiligheidshuis Bergen op Zoom";"254763"
"Molenwaard";"1927";"Veiligheidshuis Zuid-Holland Zuid";"484986"
"Montferland";"1955";"NOG Veiligerhuis";"812224"
"Montfoort";"0335";"Veiligheidshuis Utrecht";"692571"
"Mook en Middelaar";"0944";"Veiligheidshuis Noord Limburg";"280548"
"Neder-Betuwe";"1740";"Veiligheidshuis Gelderland-Zuid";"543245"
"Nederweert";"0946";"Veiligheidshuis Midden Limburg";"235466"
"Neerijnen";"0304";"Veiligheidshuis Gelderland-Zuid";"543245"
"Nieuwegein";"0356";"Veiligheidshuis Utrecht";"692571"
"Nieuwkoop";"0569";"Veiligheidshuis Hollands-Midden";"774476"
"Nijkerk";"0267";"Veiligheidshuis West Veluwe Vallei";"285834"
"Nijmegen";"0268";"Veiligheidshuis Gelderland-Zuid";"543245"
"Nissewaard";"1930";"Veiligheidshuis Rotterdam-Rijnmond";"1279414"
"Noord-Beveland";"1695";"Veiligheidshuis Zeeland";"380717"
"Noordenveld";"1699";"Veiligheidshuis Drenthe";"488611"
"Noordoostpolder";"0171";"Veiligheidshuis Flevoland";"401503"
"Noordwijk";"0575";"Veiligheidshuis Hollands-Midden";"774476"
"Noordwijkerhout";"0576";"Veiligheidshuis Hollands-Midden";"774476"
"Nuenen, Gerwen en Nederwetten";"0820";"Veiligheidshuis Brabant Zuidoost";"752485"
"Nunspeet";"0302";"NOG Veiligerhuis";"812224"
"Nuth";"0951";"Veiligheidshuis district Heerlen";"151909"
"Oegstgeest";"0579";"Veiligheidshuis Hollands-Midden";"774476"
"Oirschot";"0823";"Veiligheidshuis Brabant Zuidoost";"752485"
"Oisterwijk";"0824";"Zorg- en Veiligheidshuis Midden-Brabant";"396517"
"Oldambt";"1895";"Veiligheidshuis Groningen";"584104"
"Oldebroek";"0269";"NOG Veiligerhuis";"812224"
"Oldenzaal";"0173";"Veiligheidshuis Twente";"626009"
"Olst-Wijhe";"1773";"Veiligheidshuis IJsselland";"514650"
"Ommen";"0175";"Veiligheidshuis IJsselland";"514650"
"Onderbanken";"0881";"Veiligheidshuis district Heerlen";"151909"
"Oost Gelre";"1586";"NOG Veiligerhuis";"812224"
"Oosterhout";"0826";"Veiligheidshuis Breda";"439849"
"Ooststellingwerf";"0085";"Veiligheidshuis Fryslân";"646324"
"Oostzaan";"0431";"Veiligheidshuis Zaanstreek-Waterland";"328233"
"Opmeer";"0432";"Veiligheidshuis Noord-Holland Noord";"646991"
"Opsterland";"0086";"Veiligheidshuis Fryslân";"646324"
"Oss";"0828";"Veiligheidshuis Maas & Leijgraaf";"312109"
"Oud-Beijerland";"0584";"Veiligheidshuis Zuid-Holland Zuid";"484986"
"Oude IJsselstreek";"1509";"NOG Veiligerhuis";"812224"
"Ouder-Amstel";"0437";"Veiligheidshuis Amsterdam-Amstelland";"1008808"
"Oudewater";"0589";"Veiligheidshuis Utrecht";"692571"
"Overbetuwe";"1734";"Veiligheidshuis Arnhem";"385090"
"Papendrecht";"0590";"Veiligheidshuis Zuid-Holland Zuid";"484986"
"Peel en Maas";"1894";"Veiligheidshuis Noord Limburg";"280548"
"Pekela";"0765";"Veiligheidshuis Groningen";"584104"
"Pijnacker-Nootdorp";"1926";"Veiligheidshuis Haaglanden";"1061908"
"Purmerend";"0439";"Veiligheidshuis Zaanstreek-Waterland";"328233"
"Putten";"0273";"NOG Veiligerhuis";"812224"
"Raalte";"0177";"Veiligheidshuis IJsselland";"514650"
"Reimerswaal";"0703";"Veiligheidshuis Zeeland";"380717"
"Renkum";"0274";"Veiligheidshuis West Veluwe Vallei";"285834"
"Renswoude";"0339";"Veiligheidshuis Amersfoort";"570938"
"Reusel-De Mierden";"1667";"Veiligheidshuis Brabant Zuidoost";"752485"
"Rheden";"0275";"Veiligheidshuis Arnhem";"385090"
"Rhenen";"0340";"Veiligheidshuis Amersfoort";"570938"
"Ridderkerk";"0597";"Veiligheidshuis Rotterdam-Rijnmond";"1279414"
"Rijnwaarden";"0196";"Veiligheidshuis Arnhem";"385090"
"Rijssen-Holten";"1742";"Veiligheidshuis Twente";"626009"
"Rijswijk";"0603";"Veiligheidshuis Haaglanden";"1061908"
"Roerdalen";"1669";"Veiligheidshuis Midden Limburg";"235466"
"Roermond";"0957";"Veiligheidshuis Midden Limburg";"235466"
"Roosendaal";"1674";"Veiligheidshuis Bergen op Zoom";"254763"
"Rotterdam";"0599";"Veiligheidshuis Rotterdam-Rijnmond";"1279414"
"Rozendaal";"0277";"Veiligheidshuis Arnhem";"385090"
"Rucphen";"0840";"Veiligheidshuis Breda";"439849"
"Schagen";"0441";"Veiligheidshuis Noord-Holland Noord";"646991"
"Scherpenzeel";"0279";"Veiligheidshuis West Veluwe Vallei";"285834"
"Schiedam";"0606";"Veiligheidshuis Rotterdam-Rijnmond";"1279414"
"Schiermonnikoog";"0088";"Veiligheidshuis Fryslân";"646324"
"Schijndel";"0844";"Veiligheidshuis 's-Hertogenbosch";"333602"
"Schinnen";"0962";"Veiligheidshuis district Sittard";"148087"
"Schouwen-Duiveland";"1676";"Veiligheidshuis Zeeland";"380717"
"Simpelveld";"0965";"Veiligheidshuis district Kerkrade";"119018"
"Sint Anthonis";"1702";"Veiligheidshuis Maas & Leijgraaf";"312109"
"Sint-Michielsgestel";"0845";"Veiligheidshuis 's-Hertogenbosch";"333602"
"Sint-Oedenrode";"0846";"Veiligheidshuis 's-Hertogenbosch";"333602"
"Sittard-Geleen";"1883";"Veiligheidshuis district Sittard";"148087"
"Sliedrecht";"0610";"Veiligheidshuis Zuid-Holland Zuid";"484986"
"Slochteren";"0040";"Veiligheidshuis Groningen";"584104"
"Sluis";"1714";"Veiligheidshuis Zeeland";"380717"
"Smallingerland";"0090";"Veiligheidshuis Fryslân";"646324"
"Soest";"0342";"Veiligheidshuis Amersfoort";"570938"
"Someren";"0847";"Veiligheidshuis Brabant Zuidoost";"752485"
"Son en Breugel";"0848";"Veiligheidshuis Brabant Zuidoost";"752485"
"Stadskanaal";"0037";"Veiligheidshuis Groningen";"584104"
"Staphorst";"0180";"Veiligheidshuis IJsselland";"514650"
"Stede Broec";"0532";"Veiligheidshuis Noord-Holland Noord";"646991"
"Steenbergen";"0851";"Veiligheidshuis Bergen op Zoom";"254763"
"Steenwijkerland";"1708";"Veiligheidshuis IJsselland";"514650"
"Stein";"0971";"Veiligheidshuis district Sittard";"148087"
"Stichtse Vecht";"1904";"Veiligheidshuis Utrecht";"692571"
"Strijen";"0617";"Veiligheidshuis Zuid-Holland Zuid";"484986"
"Súdwest Fryslân";"1900";"Veiligheidshuis Fryslân";"646324"
"Ten Boer";"0009";"Veiligheidshuis Groningen";"584104"
"Terneuzen";"0715";"Veiligheidshuis Zeeland";"380717"
"Terschelling";"0093";"Veiligheidshuis Fryslân";"646324"
"Texel";"0448";"Veiligheidshuis Noord-Holland Noord";"646991"
"Teylingen";"1525";"Veiligheidshuis Hollands-Midden";"774476"
"Tholen";"0716";"Veiligheidshuis Zeeland";"380717"
"Tiel";"0281";"Veiligheidshuis Gelderland-Zuid";"543245"
"Tilburg";"0855";"Zorg- en Veiligheidshuis Midden-Brabant";"396517"
"Tubbergen";"0183";"Veiligheidshuis Twente";"626009"
"Twenterand";"1700";"Veiligheidshuis Twente";"626009"
"Tynaarlo";"1730";"Veiligheidshuis Drenthe";"488611"
"Tytsjerksteradiel";"0737";"Veiligheidshuis Fryslân";"646324"
"Uden";"0856";"Veiligheidshuis Maas & Leijgraaf";"312109"
"Uitgeest";"0450";"Veiligheidshuis Kennemerland";"531591"
"Uithoorn";"0451";"Veiligheidshuis Amsterdam-Amstelland";"1008808"
"Urk";"0184";"Veiligheidshuis Flevoland";"401503"
"Utrecht";"0344";"Veiligheidshuis Utrecht";"692571"
"Utrechtse Heuvelrug";"1581";"Veiligheidshuis Amersfoort";"570938"
"Vaals";"0981";"Veiligheidshuis district Kerkrade";"119018"
"Valkenburg aan de Geul";"0994";"Veiligheidshuis district Maastricht";"183026"
"Valkenswaard";"0858";"Veiligheidshuis Brabant Zuidoost";"752485"
"Veendam";"0047";"Veiligheidshuis Groningen";"584104"
"Veenendaal";"0345";"Veiligheidshuis Amersfoort";"570938"
"Veere";"0717";"Veiligheidshuis Zeeland";"380717"
"Veghel";"0860";"Veiligheidshuis Maas & Leijgraaf";"312109"
"Veldhoven";"0861";"Veiligheidshuis Brabant Zuidoost";"752485"
"Velsen";"0453";"Veiligheidshuis Kennemerland";"531591"
"Venlo";"0983";"Veiligheidshuis Noord Limburg";"280548"
"Venray";"0984";"Veiligheidshuis Noord Limburg";"280548"
"Vianen";"0620";"Veiligheidshuis Utrecht";"692571"
"Vlaardingen";"0622";"Veiligheidshuis Rotterdam-Rijnmond";"1279414"
"Vlagtwedde";"0048";"Veiligheidshuis Groningen";"584104"
"Vlieland";"0096";"Veiligheidshuis Fryslân";"646324"
"Vlissingen";"0718";"Veiligheidshuis Zeeland";"380717"
"Voerendaal";"0986";"Veiligheidshuis district Heerlen";"151909"
"Voorschoten";"0626";"Veiligheidshuis Hollands-Midden";"774476"
"Voorst";"0285";"NOG Veiligerhuis";"812224"
"Vught";"0865";"Veiligheidshuis 's-Hertogenbosch";"333602"
"Waalre";"0866";"Veiligheidshuis Brabant Zuidoost";"752485"
"Waalwijk";"0867";"Zorg- en Veiligheidshuis Midden-Brabant";"396517"
"Waddinxveen";"0627";"Veiligheidshuis Hollands-Midden";"774476"
"Wageningen";"0289";"Veiligheidshuis West Veluwe Vallei";"285834"
"Wassenaar";"0629";"Veiligheidshuis Haaglanden";"1061908"
"Waterland";"0852";"Veiligheidshuis Zaanstreek-Waterland";"328233"
"Weert";"0988";"Veiligheidshuis Midden Limburg";"235466"
"Weesp";"0457";"Veiligheidshuis Gooi en Vechtstreek";"246540"
"Werkendam";"0870";"Veiligheidshuis Breda";"439849"
"West Maas en Waal";"0668";"Veiligheidshuis Gelderland-Zuid";"543245"
"Westerveld";"1701";"Veiligheidshuis Drenthe";"488611"
"Westervoort";"0293";"Veiligheidshuis Arnhem";"385090"
"Westland";"1783";"Veiligheidshuis Haaglanden";"1061908"
"Weststellingwerf";"0098";"Veiligheidshuis Fryslân";"646324"
"Westvoorne";"0614";"Veiligheidshuis Rotterdam-Rijnmond";"1279414"
"Wierden";"0189";"Veiligheidshuis Twente";"626009"
"Wijchen";"0296";"Veiligheidshuis Gelderland-Zuid";"543245"
"Wijdemeren";"1696";"Veiligheidshuis Gooi en Vechtstreek";"246540"
"Wijk bij Duurstede";"0352";"Veiligheidshuis Amersfoort";"570938"
"Winsum";"0053";"Veiligheidshuis Groningen";"584104"
"Winterswijk";"0294";"NOG Veiligerhuis";"812224"
"Woensdrecht";"0873";"Veiligheidshuis Bergen op Zoom";"254763"
"Woerden";"0632";"Veiligheidshuis Utrecht";"692571"
"Wormerland";"0880";"Veiligheidshuis Zaanstreek-Waterland";"328233"
"Woudenberg";"0351";"Veiligheidshuis Amersfoort";"570938"
"Woudrichem";"0874";"Veiligheidshuis Breda";"439849"
"Zaanstad";"0479";"Veiligheidshuis Zaanstreek-Waterland";"328233"
"Zaltbommel";"0297";"Veiligheidshuis Gelderland-Zuid";"543245"
"Zandvoort";"0473";"Veiligheidshuis Kennemerland";"531591"
"Zederik";"0707";"Veiligheidshuis Zuid-Holland Zuid";"484986"
"Zeewolde";"0050";"Veiligheidshuis Flevoland";"401503"
"Zeist";"0355";"Veiligheidshuis Amersfoort";"570938"
"Zevenaar";"0299";"Veiligheidshuis Arnhem";"385090"
"Zoetermeer";"0637";"Veiligheidshuis Haaglanden";"1061908"
"Zoeterwoude";"0638";"Veiligheidshuis Hollands-Midden";"774476"
"Zuidhorn";"0056";"Veiligheidshuis Groningen";"584104"
"Zuidplas";"1892";"Veiligheidshuis Hollands-Midden";"774476"
"Zundert";"0879";"Veiligheidshuis Breda";"439849"
"Zutphen";"0301";"NOG Veiligerhuis";"812224"
"Zwartewaterland";"1896";"Veiligheidshuis IJsselland";"514650"
"Zwijndrecht";"0642";"Veiligheidshuis Zuid-Holland Zuid";"484986"
"Zwolle";"0193";"Veiligheidshuis IJsselland";"514650"
