"Gemeente";"CBS";"Veiligheidshuizen";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Veiligheidshuis Drenthe";"488611"
"Aalburg";"0738";"Veiligheidshuis Breda";"439849"
"Aalsmeer";"0358";"Veiligheidshuis Amsterdam-Amstelland";"1008808"
"Aalten";"0197";"NOG Veiligerhuis";"812224"
"Achtkarspelen";"0059";"Veiligheidshuis Fryslân";"646324"
"Alblasserdam";"0482";"Veiligheidshuis Zuid-Holland Zuid";"484986"
"Albrandswaard";"0613";"Veiligheidshuis Rotterdam-Rijnmond";"1279414"
"Alkmaar";"0361";"Veiligheidshuis Noord-Holland Noord";"646991"
"Almelo";"0141";"Veiligheidshuis Twente";"626009"
"Almere";"0034";"Veiligheidshuis Flevoland";"401503"
"Alphen aan den Rijn";"0484";"Veiligheidshuis Hollands-Midden";"774476"
"Alphen-Chaam";"1723";"Veiligheidshuis Breda";"439849"
"Ameland";"0060";"Veiligheidshuis Fryslân";"646324"
"Amersfoort";"0307";"Veiligheidshuis Amersfoort";"570938"
"Amstelveen";"0362";"Veiligheidshuis Amsterdam-Amstelland";"1008808"
"Amsterdam";"0363";"Veiligheidshuis Amsterdam-Amstelland";"1008808"
"Apeldoorn";"0200";"NOG Veiligerhuis";"812224"
"Appingedam";"0003";"Veiligheidshuis Groningen";"584104"
"Arnhem";"0202";"Veiligheidshuis Arnhem";"385090"
"Assen";"0106";"Veiligheidshuis Drenthe";"488611"
"Asten";"0743";"Veiligheidshuis Brabant Zuidoost";"752485"
"Baarle-Nassau";"0744";"Veiligheidshuis Breda";"439849"
"Baarn";"0308";"Veiligheidshuis Amersfoort";"570938"
"Barendrecht";"0489";"Veiligheidshuis Rotterdam-Rijnmond";"1279414"
"Barneveld";"0203";"Veiligheidshuis West Veluwe Vallei";"285834"
"Bedum";"0005";"Veiligheidshuis Groningen";"584104"
"Beek";"0888";"Veiligheidshuis district Sittard";"148087"
"Beemster";"0370";"Veiligheidshuis Zaanstreek-Waterland";"328233"
"Beesel";"0889";"Veiligheidshuis Noord Limburg";"280548"
"Bellingwedde";"0007";"Veiligheidshuis Groningen";"584104"
"Berg en Dal";"1945";"Veiligheidshuis Gelderland-Zuid";"543245"
"Bergeijk";"1724";"Veiligheidshuis Brabant Zuidoost";"752485"
"Bergen (L)";"0893";"Veiligheidshuis Noord Limburg";"280548"
"Bergen (NH)";"0373";"Veiligheidshuis Noord-Holland Noord";"646991"
"Bergen op Zoom";"0748";"Veiligheidshuis Bergen op Zoom";"254763"
"Berkelland";"1859";"NOG Veiligerhuis";"812224"
"Bernheze";"1721";"Veiligheidshuis Maas & Leijgraaf";"312109"
"Best";"0753";"Veiligheidshuis Brabant Zuidoost";"752485"
"Beuningen";"0209";"Veiligheidshuis Gelderland-Zuid";"543245"
"Beverwijk";"0375";"Veiligheidshuis Kennemerland";"531591"
"Binnenmaas";"0585";"Veiligheidshuis Zuid-Holland Zuid";"484986"
"Bladel";"1728";"Veiligheidshuis Brabant Zuidoost";"752485"
"Blaricum";"0376";"Veiligheidshuis Gooi en Vechtstreek";"246540"
"Bloemendaal";"0377";"Veiligheidshuis Kennemerland";"531591"
"Bodegraven-Reeuwijk";"1901";"Veiligheidshuis Hollands-Midden";"774476"
"Boekel";"0755";"Veiligheidshuis Maas & Leijgraaf";"312109"
"Borger-Odoorn";"1681";"Veiligheidshuis Drenthe";"488611"
"Borne";"0147";"Veiligheidshuis Twente";"626009"
"Borsele";"0654";"Veiligheidshuis Zeeland";"380717"
"Boxmeer";"0756";"Veiligheidshuis Maas & Leijgraaf";"312109"
"Boxtel";"0757";"Veiligheidshuis 's-Hertogenbosch";"333602"
"Breda";"0758";"Veiligheidshuis Breda";"439849"
"Brielle";"0501";"Veiligheidshuis Rotterdam-Rijnmond";"1279414"
"Bronckhorst";"1876";"NOG Veiligerhuis";"812224"
"Brummen";"0213";"NOG Veiligerhuis";"812224"
"Brunssum";"0899";"Veiligheidshuis district Heerlen";"151909"
"Bunnik";"0312";"Veiligheidshuis Amersfoort";"570938"
"Bunschoten";"0313";"Veiligheidshuis Amersfoort";"570938"
"Buren";"0214";"Veiligheidshuis Gelderland-Zuid";"543245"
"Capelle aan den IJssel";"0502";"Veiligheidshuis Rotterdam-Rijnmond";"1279414"
"Castricum";"0383";"Veiligheidshuis Noord-Holland Noord";"646991"
"Coevorden";"0109";"Veiligheidshuis Drenthe";"488611"
"Cranendonck";"1706";"Veiligheidshuis Brabant Zuidoost";"752485"
"Cromstrijen";"0611";"Veiligheidshuis Zuid-Holland Zuid";"484986"
"Cuijk";"1684";"Veiligheidshuis Maas & Leijgraaf";"312109"
"Culemborg";"0216";"Veiligheidshuis Gelderland-Zuid";"543245"
"Dalfsen";"0148";"Veiligheidshuis IJsselland";"514650"
"Dantumadiel";"1891";"Veiligheidshuis Fryslân";"646324"
"De Bilt";"0310";"Veiligheidshuis Amersfoort";"570938"
"De Fryske Marren";"1940";"Veiligheidshuis Fryslân";"646324"
"De Marne";"1663";"Veiligheidshuis Groningen";"584104"
"De Ronde Venen";"0736";"Veiligheidshuis Utrecht";"692571"
"De Wolden";"1690";"Veiligheidshuis Drenthe";"488611"
"Delft";"0503";"Veiligheidshuis Haaglanden";"1061908"
"Delfzijl";"0010";"Veiligheidshuis Groningen";"584104"
"Den Helder";"0400";"Veiligheidshuis Noord-Holland Noord";"646991"
"Deurne";"0762";"Veiligheidshuis Brabant Zuidoost";"752485"
"Deventer";"0150";"Veiligheidshuis IJsselland";"514650"
"Diemen";"0384";"Veiligheidshuis Amsterdam-Amstelland";"1008808"
"Dinkelland";"1774";"Veiligheidshuis Twente";"626009"
"Doesburg";"0221";"Veiligheidshuis Arnhem";"385090"
"Doetinchem";"0222";"NOG Veiligerhuis";"812224"
"Dongen";"0766";"Zorg- en Veiligheidshuis Midden-Brabant";"396517"
"Dongeradeel";"0058";"Veiligheidshuis Fryslân";"646324"
"Dordrecht";"0505";"Veiligheidshuis Zuid-Holland Zuid";"484986"
"Drechterland";"0498";"Veiligheidshuis Noord-Holland Noord";"646991"
"Drimmelen";"1719";"Veiligheidshuis Breda";"439849"
"Dronten";"0303";"Veiligheidshuis Flevoland";"401503"
"Druten";"0225";"Veiligheidshuis Gelderland-Zuid";"543245"
"Duiven";"0226";"Veiligheidshuis Arnhem";"385090"
"Echt-Susteren";"1711";"Veiligheidshuis Midden Limburg";"235466"
"Edam-Volendam";"0385";"Veiligheidshuis Zaanstreek-Waterland";"328233"
"Ede";"0228";"Veiligheidshuis West Veluwe Vallei";"285834"
"Eemnes";"0317";"Veiligheidshuis Amersfoort";"570938"
"Eemsmond";"1651";"Veiligheidshuis Groningen";"584104"
"Eersel";"0770";"Veiligheidshuis Brabant Zuidoost";"752485"
"Eijsden-Margraten";"1903";"Veiligheidshuis district Maastricht";"183026"
"Eindhoven";"0772";"Veiligheidshuis Brabant Zuidoost";"752485"
"Elburg";"0230";"NOG Veiligerhuis";"812224"
"Emmen";"0114";"Veiligheidshuis Drenthe";"488611"
"Enkhuizen";"0388";"Veiligheidshuis Noord-Holland Noord";"646991"
"Enschede";"0153";"Veiligheidshuis Twente";"626009"
"Epe";"0232";"NOG Veiligerhuis";"812224"
"Ermelo";"0233";"NOG Veiligerhuis";"812224"
"Etten-Leur";"0777";"Veiligheidshuis Breda";"439849"
"Ferwerderadiel";"1722";"Veiligheidshuis Fryslân";"646324"
"Franekeradeel";"0070";"Veiligheidshuis Fryslân";"646324"
"Geertruidenberg";"0779";"Veiligheidshuis Breda";"439849"
"Geldermalsen";"0236";"Veiligheidshuis Gelderland-Zuid";"543245"
"Geldrop-Mierlo";"1771";"Veiligheidshuis Brabant Zuidoost";"752485"
"Gemert-Bakel";"1652";"Veiligheidshuis Brabant Zuidoost";"752485"
"Gennep";"0907";"Veiligheidshuis Noord Limburg";"280548"
"Giessenlanden";"0689";"Veiligheidshuis Zuid-Holland Zuid";"484986"
"Gilze en Rijen";"0784";"Zorg- en Veiligheidshuis Midden-Brabant";"396517"
"Goeree-Overflakkee";"1924";"Veiligheidshuis Rotterdam-Rijnmond";"1279414"
"Goes";"0664";"Veiligheidshuis Zeeland";"380717"
"Goirle";"0785";"Zorg- en Veiligheidshuis Midden-Brabant";"396517"
"Gooise Meren";"1942";"Veiligheidshuis Gooi en Vechtstreek";"246540"
"Gorinchem";"0512";"Veiligheidshuis Zuid-Holland Zuid";"484986"
"Gouda";"0513";"Veiligheidshuis Hollands-Midden";"774476"
"Grave";"0786";"Veiligheidshuis Maas & Leijgraaf";"312109"
"'s-Gravenhage";"0518";"Veiligheidshuis Haaglanden";"1061908"
"Groningen";"0014";"Veiligheidshuis Groningen";"584104"
"Grootegast";"0015";"Veiligheidshuis Groningen";"584104"
"Gulpen-Wittem";"1729";"Veiligheidshuis district Kerkrade";"119018"
"Haaksbergen";"0158";"Veiligheidshuis Twente";"626009"
"Haaren";"0788";"Veiligheidshuis 's-Hertogenbosch";"333602"
"Haarlem";"0392";"Veiligheidshuis Kennemerland";"531591"
"Haarlemmerliede en Spaarnwoude";"0393";"Veiligheidshuis Kennemerland";"531591"
"Haarlemmermeer";"0394";"Veiligheidshuis Kennemerland";"531591"
"Halderberge";"1655";"Veiligheidshuis Bergen op Zoom";"254763"
