"Gemeente";"CBS";"Politie-eenheden";"Inwoneraantal van regio"
"Hardenberg";"0160";"Oost-Nederland";"3167052"
"Harderwijk";"0243";"Oost-Nederland";"3167052"
"Hardinxveld-Giessendam";"0523";"Rotterdam";"1764400"
"Haren";"0017";"Noord-Nederland";"1719039"
"Harlingen";"0072";"Noord-Nederland";"1719039"
"Hattem";"0244";"Oost-Nederland";"3167052"
"Heemskerk";"0396";"Noord-Holland";"1506815"
"Heemstede";"0397";"Noord-Holland";"1506815"
"Heerde";"0246";"Oost-Nederland";"3167052"
"Heerenveen";"0074";"Noord-Nederland";"1719039"
"Heerhugowaard";"0398";"Noord-Holland";"1506815"
"Heerlen";"0917";"Limburg";"1118054"
"Heeze-Leende";"1658";"Oost-Brabant";"1398196"
"Heiloo";"0399";"Noord-Holland";"1506815"
"Hellendoorn";"0163";"Oost-Nederland";"3167052"
"Hellevoetsluis";"0530";"Rotterdam";"1764400"
"Helmond";"0794";"Oost-Brabant";"1398196"
"Hendrik-Ido-Ambacht";"0531";"Rotterdam";"1764400"
"Hengelo (O)";"0164";"Oost-Nederland";"3167052"
"'s-Hertogenbosch";"0796";"Oost-Brabant";"1398196"
"het Bildt";"0063";"Noord-Nederland";"1719039"
"Heumen";"0252";"Oost-Nederland";"3167052"
"Heusden";"0797";"Oost-Brabant";"1398196"
"Hillegom";"0534";"Den Haag";"1836384"
"Hilvarenbeek";"0798";"Zeeland - West-Brabant";"1471846"
"Hilversum";"0402";"Midden-Nederland";"1911552"
"Hof van Twente";"1735";"Oost-Nederland";"3167052"
"Hollands Kroon";"1911";"Noord-Holland";"1506815"
"Hoogeveen";"0118";"Noord-Nederland";"1719039"
"Hoogezand-Sappemeer";"0018";"Noord-Nederland";"1719039"
"Hoorn";"0405";"Noord-Holland";"1506815"
"Horst aan de Maas";"1507";"Limburg";"1118054"
"Houten";"0321";"Midden-Nederland";"1911552"
"Huizen";"0406";"Midden-Nederland";"1911552"
"Hulst";"0677";"Zeeland - West-Brabant";"1471846"
"IJsselstein";"0353";"Midden-Nederland";"1911552"
