adm_pin,naam,afkorting
01590,Waarderingskamer,WK
01630,"Ministerie van Onderwijs, Cultuur en Wetenschap",OCW
01632,DUO,DUO
01640,Centraal Bureau voor Rijvaardigheidsbewijzen,CBR
01650,De Nederlandsche Bank,DNB
01670,Centraal Fonds Volkshuisvesting,CFV
01680,Raad van State,RVS
01690,Luchtverkeersleiding Nederland,LVNL
01700,Rechtspraak,RO
01760,Rijksinstituut voor Volksgezondheid en Milieu,RIVM
01762,Agentschap College Beoordeling van Geneesmiddelen,ACBG
01763,Het CIBG,CIBG
01764,Inspectie Jeugdzorg,VWSJ
01765,Intravacc,INVC
01770,Rijkstrainee,RTP
01771,Rijks ICT Traineeprogramma,RITP
01810,Bureau Keteninformatisering Werk en Inkomen,BKWI
01820,Ministerie van Sociale Zaken en Werkgelegenheid,SZW
01830,Kamer van Koophandel,KVK
01840,Algemene Inlichtingen- en Veiligheidsdienst,AIVD
01860,Onderzoeksraad voor Veiligheid,ORVV
01870,Sociale Verzekeringsbank,SVB
01880,Nederlandse Zorgautoriteit,NZA
01890,Raad voor Rechtsbijstand,RVR
01900,Tweede Kamer der Staten Generaal,TK
01911,KNMI,KNMI
01920,Ministerie van Infrastructuur en Milieu,IM
01930,Kanselarij der Nederlandse Orden,KNO
01940,"Ministerie van Volksgezondheid, Welzijn en Sport",VWS
01955,Rijksvastgoedbedrijf,RGD
01970,Financieel bij de Rijksoverheid,FPRO
01980,Kabinet van de Koning,KVDK
01991,Wajong / WSW / WIA,WAJO
02000,Werken bij Gemeenten,SWBG
02003,Gemeente Breda,GMCF
02005,Gemeente Culemborg,GCUL
02007,Gemeente Den Haag,GMDB
02008,Gemeente Ede,GEDE
02010,Gemeente Harderwijk,GMFA
02011,Gemeente Helmond,GMHL
02025,Gemeente Tilburg,GMLN
02029,Gemeente Woudenberg,GWOU
02032,Gemeente Zoetermeer,GMNS
02044,Gemeente Alkmaar,GMAR
02045,Gemeente Almelo,GMAK
02046,Gemeente Almere,GMAE
02052,Gemeente Amersfoort,GMAQ
02071,Gemeente Beek,GMBK
02073,Gemeente Beesel,GMBS
02080,Gemeente Bergen,GMBN
02081,Gemeente Bergen op Zoom,GMBL
02104,Gemeente Brielle,GMCH
02105,Gemeente Brummen,GMCJ
02114,Gemeente Coevorden,GMCV
02118,Gemeente Dronten,DRON
02120,Gemeente Westland,GMMV
02124,Gemeente Delft,GMCZ
02129,Gemeente Den Helder,GMDH
02133,Gemeente Deventer,GMDF
02162,Gemeente Enschede,GMES
02175,Gemeente Giessenlanden,GMGL
02178,Gemeente Goirle,GMGE
02181,Gemeente Gouda,GMEN
02191,Gemeente Haaren,GHRN
02192,Gemeente Haarlem,GMEV
02202,Gemeente Hattem,GMHA
02205,Gemeente Heemstede,GMFF
02211,Gemeente Heeze-Leende,GMFJ
02215,Gemeente Hellevoetsluis,GMFN
02219,Gemeente Heumen,GMFT
02220,Gemeente Heusden,GMFU
02223,Gemeente Hilvarenbeek,GMFW
02224,Gemeente Hilversum,GMHM
02229,Gemeente Hoorn,GMH
02231,Gemeente Houten,GMGC
02232,Gemeente Huizen,GMGD
02250,Gemeente Landsmeer,GMLM
02275,Gemeente Lopik,GMHJ
02306,Gemeente Muiden,GMID
02332,Gemeente Oegstgeest,GMOT
02334,Gemeente Oisterwijk,GMIW
02347,Gemeente Oss,GMJH
02351,Gemeente Ouder-Amstel,GMJK
02363,Rekenkamer Rotterdam,RKRD
02369,Gemeente Rijnwaarden,GMJZ
02372,Gemeente Rijswijk,GMKC
02380,Gemeente Teylingen,GMLK
