"Gemeente";"CBS";"Kamer van Koophandel";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Noord";"1719039"
"Aalburg";"0738";"Zuid";"3607379"
"Aalsmeer";"0358";"Noordwest";"4427175"
"Aalten";"0197";"Oost";"3167052"
"Achtkarspelen";"0059";"Noord";"1719039"
"Alblasserdam";"0482";"Zuidwest";"3981501"
"Albrandswaard";"0613";"Zuidwest";"3981501"
"Alkmaar";"0361";"Noordwest";"4427175"
"Almelo";"0141";"Oost";"3167052"
"Almere";"0034";"Noordwest";"4427175"
"Alphen aan den Rijn";"0484";"Zuidwest";"3981501"
"Alphen-Chaam";"1723";"Zuid";"3607379"
"Ameland";"0060";"Noord";"1719039"
"Amersfoort";"0307";"Noordwest";"4427175"
"Amstelveen";"0362";"Noordwest";"4427175"
"Amsterdam";"0363";"Noordwest";"4427175"
"Apeldoorn";"0200";"Oost";"3167052"
"Appingedam";"0003";"Noord";"1719039"
"Arnhem";"0202";"Oost";"3167052"
"Assen";"0106";"Noord";"1719039"
"Asten";"0743";"Zuid";"3607379"
"Baarle-Nassau";"0744";"Zuid";"3607379"
"Baarn";"0308";"Noordwest";"4427175"
"Barendrecht";"0489";"Zuidwest";"3981501"
"Barneveld";"0203";"Oost";"3167052"
"Bedum";"0005";"Noord";"1719039"
"Beek";"0888";"Zuid";"3607379"
"Beemster";"0370";"Noordwest";"4427175"
"Beesel";"0889";"Zuid";"3607379"
"Bellingwedde";"0007";"Noord";"1719039"
"Berg en Dal";"1945";"Oost";"3167052"
"Bergeijk";"1724";"Zuid";"3607379"
"Bergen (L)";"0893";"Zuid";"3607379"
"Bergen (NH)";"0373";"Noordwest";"4427175"
"Bergen op Zoom";"0748";"Zuid";"3607379"
"Berkelland";"1859";"Oost";"3167052"
"Bernheze";"1721";"Zuid";"3607379"
"Best";"0753";"Zuid";"3607379"
"Beuningen";"0209";"Oost";"3167052"
"Beverwijk";"0375";"Noordwest";"4427175"
"Binnenmaas";"0585";"Zuidwest";"3981501"
"Bladel";"1728";"Zuid";"3607379"
"Blaricum";"0376";"Noordwest";"4427175"
"Bloemendaal";"0377";"Noordwest";"4427175"
"Bodegraven-Reeuwijk";"1901";"Zuidwest";"3981501"
