"Gemeente";"CBS";"RCF Kenniscentra Handhaving";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"RCF Noord";"1778664"
"Aalburg";"0738";"RCF Zuidwest Nederland";"1484621"
"Aalsmeer";"0358";"RCF Noord-Holland";"2515623"
"Aalten";"0197";"RCF Gelderland";"2026393"
"Achtkarspelen";"0059";"RCF Noord";"1778664"
"Alblasserdam";"0482";"RCF Rotterdam Rijnmond";"1764400"
"Albrandswaard";"0613";"RCF Rotterdam Rijnmond";"1764400"
"Alkmaar";"0361";"RCF Noord-Holland";"2515623"
"Almelo";"0141";"RCF Overijssel";"1081034"
"Almere";"0034";"RCF Midden Nederland";"1911552"
"Alphen aan den Rijn";"0484";"RCF Haaglanden-Hollands Midden";"1836384"
"Alphen-Chaam";"1723";"RCF Zuidwest Nederland";"1484621"
"Ameland";"0060";"RCF Noord";"1778664"
"Amersfoort";"0307";"RCF Midden Nederland";"1911552"
"Amstelveen";"0362";"RCF Noord-Holland";"2515623"
"Amsterdam";"0363";"RCF Noord-Holland";"2515623"
"Apeldoorn";"0200";"RCF Gelderland";"2026393"
"Appingedam";"0003";"RCF Noord";"1778664"
"Arnhem";"0202";"RCF Gelderland";"2026393"
"Assen";"0106";"RCF Noord";"1778664"
"Asten";"0743";"RCF Zuidoost Nederland";"2503475"
"Baarle-Nassau";"0744";"RCF Zuidwest Nederland";"1484621"
"Baarn";"0308";"RCF Midden Nederland";"1911552"
"Barendrecht";"0489";"RCF Rotterdam Rijnmond";"1764400"
"Barneveld";"0203";"RCF Gelderland";"2026393"
"Bedum";"0005";"RCF Noord";"1778664"
"Beek";"0888";"RCF Zuidoost Nederland";"2503475"
"Beemster";"0370";"RCF Noord-Holland";"2515623"
"Beesel";"0889";"RCF Zuidoost Nederland";"2503475"
"Bellingwedde";"0007";"RCF Noord";"1778664"
"Berg en Dal";"1945";"RCF Gelderland";"2026393"
"Bergeijk";"1724";"RCF Zuidoost Nederland";"2503475"
"Bergen (L)";"0893";"RCF Zuidoost Nederland";"2503475"
"Bergen (NH)";"0373";"RCF Noord-Holland";"2515623"
"Bergen op Zoom";"0748";"RCF Zuidwest Nederland";"1484621"
"Berkelland";"1859";"RCF Gelderland";"2026393"
"Bernheze";"1721";"RCF Zuidoost Nederland";"2503475"
"Best";"0753";"RCF Zuidoost Nederland";"2503475"
"Beuningen";"0209";"RCF Gelderland";"2026393"
"Beverwijk";"0375";"RCF Noord-Holland";"2515623"
"Binnenmaas";"0585";"RCF Rotterdam Rijnmond";"1764400"
"Bladel";"1728";"RCF Zuidoost Nederland";"2503475"
"Blaricum";"0376";"RCF Midden Nederland";"1911552"
"Bloemendaal";"0377";"RCF Noord-Holland";"2515623"
"Bodegraven-Reeuwijk";"1901";"RCF Haaglanden-Hollands Midden";"1836384"
"Boekel";"0755";"RCF Zuidoost Nederland";"2503475"
"Borger-Odoorn";"1681";"RCF Noord";"1778664"
"Borne";"0147";"RCF Overijssel";"1081034"
"Borsele";"0654";"RCF Zuidwest Nederland";"1484621"
"Boxmeer";"0756";"RCF Zuidoost Nederland";"2503475"
"Boxtel";"0757";"RCF Zuidoost Nederland";"2503475"
"Breda";"0758";"RCF Zuidwest Nederland";"1484621"
"Brielle";"0501";"RCF Rotterdam Rijnmond";"1764400"
"Bronckhorst";"1876";"RCF Gelderland";"2026393"
"Brummen";"0213";"RCF Gelderland";"2026393"
"Brunssum";"0899";"RCF Zuidoost Nederland";"2503475"
"Bunnik";"0312";"RCF Midden Nederland";"1911552"
"Bunschoten";"0313";"RCF Midden Nederland";"1911552"
"Buren";"0214";"RCF Gelderland";"2026393"
"Capelle aan den IJssel";"0502";"RCF Rotterdam Rijnmond";"1764400"
"Castricum";"0383";"RCF Noord-Holland";"2515623"
"Coevorden";"0109";"RCF Noord";"1778664"
"Cranendonck";"1706";"RCF Zuidoost Nederland";"2503475"
"Cromstrijen";"0611";"RCF Rotterdam Rijnmond";"1764400"
"Cuijk";"1684";"RCF Zuidoost Nederland";"2503475"
"Culemborg";"0216";"RCF Gelderland";"2026393"
"Dalfsen";"0148";"RCF Overijssel";"1081034"
"Dantumadiel";"1891";"RCF Noord";"1778664"
"De Bilt";"0310";"RCF Midden Nederland";"1911552"
"De Fryske Marren";"1940";"RCF Noord";"1778664"
"De Marne";"1663";"RCF Noord";"1778664"
"De Ronde Venen";"0736";"RCF Midden Nederland";"1911552"
"De Wolden";"1690";"RCF Noord";"1778664"
"Delft";"0503";"RCF Haaglanden-Hollands Midden";"1836384"
"Delfzijl";"0010";"RCF Noord";"1778664"
"Den Helder";"0400";"RCF Noord-Holland";"2515623"
"Deurne";"0762";"RCF Zuidoost Nederland";"2503475"
"Deventer";"0150";"RCF Overijssel";"1081034"
"Diemen";"0384";"RCF Noord-Holland";"2515623"
"Dinkelland";"1774";"RCF Overijssel";"1081034"
"Doesburg";"0221";"RCF Gelderland";"2026393"
"Doetinchem";"0222";"RCF Gelderland";"2026393"
"Dongen";"0766";"RCF Zuidwest Nederland";"1484621"
"Dongeradeel";"0058";"RCF Noord";"1778664"
"Dordrecht";"0505";"RCF Rotterdam Rijnmond";"1764400"
"Drechterland";"0498";"RCF Noord-Holland";"2515623"
"Drimmelen";"1719";"RCF Zuidwest Nederland";"1484621"
"Dronten";"0303";"RCF Midden Nederland";"1911552"
"Druten";"0225";"RCF Gelderland";"2026393"
"Duiven";"0226";"RCF Gelderland";"2026393"
"Echt-Susteren";"1711";"RCF Zuidoost Nederland";"2503475"
"Edam-Volendam";"0385";"RCF Noord-Holland";"2515623"
"Ede";"0228";"RCF Gelderland";"2026393"
"Eemnes";"0317";"RCF Midden Nederland";"1911552"
"Eemsmond";"1651";"RCF Noord";"1778664"
"Eersel";"0770";"RCF Zuidoost Nederland";"2503475"
"Eijsden-Margraten";"1903";"RCF Zuidoost Nederland";"2503475"
"Eindhoven";"0772";"RCF Zuidoost Nederland";"2503475"
"Elburg";"0230";"RCF Gelderland";"2026393"
"Emmen";"0114";"RCF Noord";"1778664"
"Enkhuizen";"0388";"RCF Noord-Holland";"2515623"
"Enschede";"0153";"RCF Overijssel";"1081034"
"Epe";"0232";"RCF Gelderland";"2026393"
"Ermelo";"0233";"RCF Gelderland";"2026393"
"Etten-Leur";"0777";"RCF Zuidwest Nederland";"1484621"
"Ferwerderadiel";"1722";"RCF Noord";"1778664"
"Franekeradeel";"0070";"RCF Noord";"1778664"
