"Gemeente";"CBS";"Veilig Thuis regio's";"Inwoneraantal van regio"
"Gouda";"0513";"Hollands-Midden";"0"
"Grave";"0786";"Noord-Brabant Noord";"0"
"'s-Gravenhage";"0518";"Haaglanden";"0"
"Groningen";"0014";"Groningen";"0"
"Grootegast";"0015";"Groningen";"0"
"Gulpen-Wittem";"1729";"Zuid-Limburg";"0"
"Haaksbergen";"0158";"Twente";"0"
"Haaren";"0788";"Noord-Brabant Noord";"0"
"Haarlem";"0392";"Kennemerland";"0"
"Haarlemmerliede en Spaarnwoude";"0393";"Kennemerland";"0"
"Haarlemmermeer";"0394";"Kennemerland";"0"
"Halderberge";"1655";"West-brabant";"0"
"Hardenberg";"0160";"IJsselland";"0"
"Harderwijk";"0243";"Noord- en Oost-Gelderland";"0"
"Hardinxveld-Giessendam";"0523";"Zuid-Holland-Zuid";"0"
"Haren";"0017";"Groningen";"0"
"Harlingen";"0072";"Friesland";"0"
"Hattem";"0244";"Noord- en Oost-Gelderland";"0"
"Heemskerk";"0396";"Kennemerland";"0"
"Heemstede";"0397";"Kennemerland";"0"
"Heerde";"0246";"Noord- en Oost-Gelderland";"0"
"Heerenveen";"0074";"Friesland";"0"
"Heerhugowaard";"0398";"Noord-Holland Noord";"0"
"Heerlen";"0917";"Zuid-Limburg";"0"
"Heeze-Leende";"1658";"Zuidoost-Brabant";"0"
"Heiloo";"0399";"Noord-Holland Noord";"0"
"Hellendoorn";"0163";"Twente";"0"
"Hellevoetsluis";"0530";"Rotterdam-Rijnmond";"0"
"Helmond";"0794";"Zuidoost-Brabant";"0"
"Hendrik-Ido-Ambacht";"0531";"Zuid-Holland-Zuid";"0"
"Hengelo (O)";"0164";"Twente";"0"
"'s-Hertogenbosch";"0796";"Noord-Brabant Noord";"0"
"het Bildt";"0063";"Friesland";"0"
"Heumen";"0252";"Gelderland-Zuid";"0"
"Heusden";"0797";"Noord-Brabant Midden";"0"
"Hillegom";"0534";"Hollands-Midden";"0"
"Hilvarenbeek";"0798";"Noord-Brabant Midden";"0"
"Hilversum";"0402";"Gooi en Vechtstreek";"0"
"Hof van Twente";"1735";"Twente";"0"
"Hollands Kroon";"1911";"Noord-Holland Noord";"0"
"Hoogeveen";"0118";"Drenthe";"0"
"Hoogezand-Sappemeer";"0018";"Groningen";"0"
"Hoorn";"0405";"Noord-Holland Noord";"0"
"Horst aan de Maas";"1507";"Noord- en Midden Limburg";"0"
"Houten";"0321";"Utrecht";"0"
"Huizen";"0406";"Gooi en Vechtstreek";"0"
"Hulst";"0677";"Zeeland";"0"
"IJsselstein";"0353";"Utrecht";"0"
"Kaag en Braassem";"1884";"Hollands-Midden";"0"
"Kampen";"0166";"IJsselland";"0"
"Kapelle";"0678";"Zeeland";"0"
"Katwijk";"0537";"Hollands-Midden";"0"
"Kerkrade";"0928";"Zuid-Limburg";"0"
"Koggenland";"1598";"Noord-Holland Noord";"0"
"Kollumerland en Nieuwkruisland";"0079";"Friesland";"0"
"Korendijk";"0588";"Zuid-Holland-Zuid";"0"
"Krimpen aan den IJssel";"0542";"Rotterdam-Rijnmond";"0"
"Krimpenerwaard";"1931";"Hollands-Midden";"0"
"Laarbeek";"1659";"Zuidoost-Brabant";"0"
"Landerd";"1685";"Noord-Brabant Noord";"0"
"Landgraaf";"0882";"Zuid-Limburg";"0"
"Landsmeer";"0415";"Zaanstreek-Waterland";"0"
"Langedijk";"0416";"Noord-Holland Noord";"0"
"Lansingerland";"1621";"Rotterdam-Rijnmond";"0"
"Laren";"0417";"Gooi en Vechtstreek";"0"
"Leek";"0022";"Groningen";"0"
"Leerdam";"0545";"Zuid-Holland-Zuid";"0"
"Leeuwarden";"0080";"Friesland";"0"
"Leeuwarderadeel";"0081";"Friesland";"0"
"Leiden";"0546";"Hollands-Midden";"0"
"Leiderdorp";"0547";"Hollands-Midden";"0"
"Leidschendam-Voorburg";"1916";"Haaglanden";"0"
"Lelystad";"0995";"Flevoland";"0"
"Leudal";"1640";"Noord- en Midden Limburg";"0"
"Leusden";"0327";"Utrecht";"0"
"Lingewaal";"0733";"Gelderland-Midden";"0"
"Lingewaard";"1705";"Gelderland-Zuid";"0"
"Lisse";"0553";"Hollands-Midden";"0"
"Littenseradiel";"0140";"Friesland";"0"
"Lochem";"0262";"Noord- en Oost-Gelderland";"0"
"Loon op Zand";"0809";"Noord-Brabant Midden";"0"
"Lopik";"0331";"Utrecht";"0"
"Loppersum";"0024";"Groningen";"0"
"Losser";"0168";"Twente";"0"
"Maasdriel";"0263";"Gelderland-Zuid";"0"
"Maasgouw";"1641";"Noord- en Midden Limburg";"0"
"Maassluis";"0556";"Rotterdam-Rijnmond";"0"
"Maastricht";"0935";"Zuid-Limburg";"0"
"Marum";"0025";"Groningen";"0"
"Medemblik";"0420";"Noord-Holland Noord";"0"
"Meerssen";"0938";"Zuid-Limburg";"0"
"Menameradiel";"1908";"Friesland";"0"
"Menterwolde";"1987";"Groningen";"0"
"Meppel";"0119";"Drenthe";"0"
"Middelburg";"0687";"Zeeland";"0"
"Midden-Delfland";"1842";"Haaglanden";"0"
"Midden-Drenthe";"1731";"Drenthe";"0"
"Mill en Sint Hubert";"0815";"Noord-Brabant Noord";"0"
"Moerdijk";"1709";"West-brabant";"0"
"Molenwaard";"1927";"Zuid-Holland-Zuid";"0"
"Montferland";"1955";"Noord- en Oost-Gelderland";"0"
"Montfoort";"0335";"Utrecht";"0"
"Mook en Middelaar";"0944";"Gelderland-Zuid";"0"
"Neder-Betuwe";"1740";"Gelderland-Zuid";"0"
"Nederweert";"0946";"Noord- en Midden Limburg";"0"
"Neerijnen";"0304";"Gelderland-Zuid";"0"
"Nieuwegein";"0356";"Utrecht";"0"
"Nieuwkoop";"0569";"Hollands-Midden";"0"
"Nijkerk";"0267";"Gelderland-Midden";"0"
"Nijmegen";"0268";"Gelderland-Zuid";"0"
"Nissewaard";"1930";"Rotterdam-Rijnmond";"0"
"Noord-Beveland";"1695";"Zeeland";"0"
"Noordenveld";"1699";"Drenthe";"0"
"Noordoostpolder";"0171";"Flevoland";"0"
"Noordwijk";"0575";"Hollands-Midden";"0"
"Noordwijkerhout";"0576";"Hollands-Midden";"0"
"Nuenen, Gerwen en Nederwetten";"0820";"Zuidoost-Brabant";"0"
"Nunspeet";"0302";"Noord- en Oost-Gelderland";"0"
"Nuth";"0951";"Zuid-Limburg";"0"
"Oegstgeest";"0579";"Hollands-Midden";"0"
"Oirschot";"0823";"Zuidoost-Brabant";"0"
"Oisterwijk";"0824";"Noord-Brabant Midden";"0"
"Oldambt";"1895";"Groningen";"0"
"Oldebroek";"0269";"Noord- en Oost-Gelderland";"0"
"Oldenzaal";"0173";"Twente";"0"
"Olst-Wijhe";"1773";"IJsselland";"0"
"Ommen";"0175";"IJsselland";"0"
"Onderbanken";"0881";"Zuid-Limburg";"0"
