"Gemeente";"CBS";"WMO-regio's";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Drenthe";"488611"
"Aalburg";"0738";"West-Brabant";"694612"
"Aalsmeer";"0358";"Amsterdam-Amstelland";"1008808"
"Aalten";"0197";"Achterhoek";"297732"
"Achtkarspelen";"0059";"Friesland";"646324"
"Alblasserdam";"0482";"Drechtsteden";"269492"
"Albrandswaard";"0613";"Stadsregio Rijnmond";"1221301"
"Alkmaar";"0361";"Regio Alkmaar / Noord-Kennemerland";"288174"
"Almelo";"0141";"Twente";"626009"
"Almere";"0034";"Flevoland";"379863"
"Alphen aan den Rijn";"0484";"Holland-Rijnland";"524447"
"Alphen-Chaam";"1723";"West-Brabant";"694612"
"Ameland";"0060";"Friesland";"646324"
"Amersfoort";"0307";"Eemland";"325363"
"Amstelveen";"0362";"Amsterdam-Amstelland";"1008808"
"Amsterdam";"0363";"Amsterdam-Amstelland";"1008808"
"Apeldoorn";"0200";"Midden IJssel / Oost Veluwe";"345591"
"Appingedam";"0003";"Groningen";"584104"
"Arnhem";"0202";"Regio Arnhem";"416502"
"Assen";"0106";"Drenthe";"488611"
"Asten";"0743";"Peelregio";"208152"
"Baarle-Nassau";"0744";"West-Brabant";"694612"
"Baarn";"0308";"Eemland";"325363"
"Barendrecht";"0489";"Stadsregio Rijnmond";"1221301"
"Barneveld";"0203";"Food Valley";"301271"
"Bedum";"0005";"Groningen";"584104"
"Beek";"0888";"Zuid-Limburg";"602040"
"Beemster";"0370";"Zaanstreek-Waterland";"328233"
"Beesel";"0889";"Noord Limburg";"272786"
"Bellingwedde";"0007";"Groningen";"584104"
"Berg en Dal";"1945";"Regio Nijmegen";"313489"
"Bergeijk";"1724";"Zuid-Oost Brabant";"544333"
"Bergen (L)";"0893";"Noord Limburg";"272786"
"Bergen (NH)";"0373";"Regio Alkmaar / Noord-Kennemerland";"288174"
"Bergen op Zoom";"0748";"West-Brabant";"694612"
"Berkelland";"1859";"Achterhoek";"297732"
"Bernheze";"1721";"Noord-Oost Brabant";"602575"
"Best";"0753";"Zuid-Oost Brabant";"544333"
"Beuningen";"0209";"Regio Nijmegen";"313489"
"Beverwijk";"0375";"Midden-Kennemerland (IJmond)";"146463"
"Binnenmaas";"0585";"Hoeksche Waard";"84635"
"Bladel";"1728";"Zuid-Oost Brabant";"544333"
"Blaricum";"0376";"Gooi- en Vechtstreek";"213825"
"Bloemendaal";"0377";"Zuid-Kennemerland";"227658"
"Bodegraven-Reeuwijk";"1901";"Midden-Holland";"224887"
"Boekel";"0755";"Noord-Oost Brabant";"602575"
"Borger-Odoorn";"1681";"Drenthe";"488611"
"Borne";"0147";"Twente";"626009"
"Borsele";"0654";"Zeeland";"380717"
"Boxmeer";"0756";"Noord-Oost Brabant";"602575"
"Boxtel";"0757";"Noord-Oost Brabant";"602575"
"Breda";"0758";"West-Brabant";"694612"
"Brielle";"0501";"Stadsregio Rijnmond";"1221301"
"Bronckhorst";"1876";"Achterhoek";"297732"
"Brummen";"0213";"Midden IJssel / Oost Veluwe";"345591"
"Brunssum";"0899";"Zuid-Limburg";"602040"
"Bunnik";"0312";"Zuid-Oost Utrecht";"189919"
"Bunschoten";"0313";"Eemland";"325363"
"Buren";"0214";"Rivierenland";"237518"
"Capelle aan den IJssel";"0502";"Stadsregio Rijnmond";"1221301"
"Castricum";"0383";"Regio Alkmaar / Noord-Kennemerland";"288174"
"Coevorden";"0109";"Drenthe";"488611"
"Cranendonck";"1706";"Zuid-Oost Brabant";"544333"
"Cromstrijen";"0611";"Hoeksche Waard";"84635"
"Cuijk";"1684";"Noord-Oost Brabant";"602575"
"Culemborg";"0216";"Rivierenland";"237518"
"Dalfsen";"0148";"IJsselland";"514650"
"Dantumadiel";"1891";"Friesland";"646324"
"De Bilt";"0310";"Zuid-Oost Utrecht";"189919"
"De Fryske Marren";"1940";"Friesland";"646324"
"De Marne";"1663";"Groningen";"584104"
"De Ronde Venen";"0736";"Utrecht West";"222295"
"De Wolden";"1690";"Drenthe";"488611"
"Delft";"0503";"Stadsregio Haaglanden";"1145163"
"Delfzijl";"0010";"Groningen";"584104"
"Den Helder";"0400";"Kop van Noord-Holland";"163711"
"Deurne";"0762";"Peelregio";"208152"
"Deventer";"0150";"IJsselland";"514650"
"Diemen";"0384";"Amsterdam-Amstelland";"1008808"
