"Gemeente";"CBS";"RMC-regio's (Regionaal Meld- en Coördinatiepunt)";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Noord en Midden Drenthe";"189373"
"Aalburg";"0738";"West-Brabant ";"694612"
"Aalsmeer";"0358";"Agglomeratie Amsterdam";"1481223"
"Aalten";"0197";"Achterhoek";"309088"
"Achtkarspelen";"0059";"Friesland-Oost";"246716"
"Alblasserdam";"0482";"Zuid-Holland-Zuid";"484986"
"Albrandswaard";"0613";"Rijnmond";"1279414"
"Alkmaar";"0361";"Noord-Kennemerland";"274886"
"Almelo";"0141";"Twente";"626009"
"Almere";"0034";"Flevoland";"379863"
"Alphen aan den Rijn";"0484";"Zuid-Holland-Oost";"359411"
"Alphen-Chaam";"1723";"West-Brabant ";"694612"
"Ameland";"0060";"Friesland Noord";"253330"
"Amersfoort";"0307";"Eem en vallei";"626634"
"Amstelveen";"0362";"Agglomeratie Amsterdam";"1481223"
"Amsterdam";"0363";"Agglomeratie Amsterdam";"1481223"
"Apeldoorn";"0200";"Stedendriehoek";"431599"
"Appingedam";"0003";"Noord-Groningen-Eemsmond";"105178"
"Arnhem";"0202";"Arnhem/Nijmegen";"700336"
"Assen";"0106";"Noord en Midden Drenthe";"189373"
"Asten";"0743";"Zuidoost-Brabant";"752485"
"Baarle-Nassau";"0744";"West-Brabant ";"694612"
"Baarn";"0308";"Eem en vallei";"626634"
"Barendrecht";"0489";"Rijnmond";"1279414"
"Barneveld";"0203";"Eem en vallei";"626634"
"Bedum";"0005";"Noord-Groningen-Eemsmond";"105178"
"Beek";"0888";"Gewest Zuid-Limburg";"634009"
"Beemster";"0370";"Agglomeratie Amsterdam";"1481223"
"Beesel";"0889";"Gewest Limburg-Noord";"476283"
"Bellingwedde";"0007";"Oost-Groningen";"149000"
"Berg en Dal";"1945";"Arnhem/Nijmegen";"700336"
"Bergeijk";"1724";"Zuidoost-Brabant";"752485"
"Bergen (L)";"0893";"Gewest Limburg-Noord";"476283"
"Bergen (NH)";"0373";"Noord-Kennemerland";"274886"
"Bergen op Zoom";"0748";"West-Brabant ";"694612"
"Berkelland";"1859";"Achterhoek";"309088"
"Bernheze";"1721";"Noord-Oost-Brabant";"645711"
"Best";"0753";"Zuidoost-Brabant";"752485"
"Beuningen";"0209";"Arnhem/Nijmegen";"700336"
"Beverwijk";"0375";"West-Kennemerland";"387409"
"Binnenmaas";"0585";"Zuid-Holland-Zuid";"484986"
"Bladel";"1728";"Zuidoost-Brabant";"752485"
"Blaricum";"0376";"Gooi en Vechtstreek";"255347"
"Bloemendaal";"0377";"West-Kennemerland";"387409"
"Bodegraven-Reeuwijk";"1901";"Zuid-Holland-Oost";"359411"
"Boekel";"0755";"Noord-Oost-Brabant";"645711"
"Borger-Odoorn";"1681";"Zuidoost Drenthe";"168838"
"Borne";"0147";"Twente";"626009"
"Borsele";"0654";"Oosterschelde regio";"161009"
"Boxmeer";"0756";"Noord-Oost-Brabant";"645711"
"Boxtel";"0757";"Noord-Oost-Brabant";"645711"
"Breda";"0758";"West-Brabant ";"694612"
"Brielle";"0501";"Rijnmond";"1279414"
"Bronckhorst";"1876";"Achterhoek";"309088"
"Brummen";"0213";"Stedendriehoek";"431599"
"Brunssum";"0899";"Gewest Zuid-Limburg";"634009"
"Bunnik";"0312";"Utrecht";"882490"
"Bunschoten";"0313";"Eem en vallei";"626634"
"Buren";"0214";"Rivierenland";"255817"
"Capelle aan den IJssel";"0502";"Rijnmond";"1279414"
"Castricum";"0383";"Noord-Kennemerland";"274886"
"Coevorden";"0109";"Zuidoost Drenthe";"168838"
"Cranendonck";"1706";"Zuidoost-Brabant";"752485"
"Cromstrijen";"0611";"Zuid-Holland-Zuid";"484986"
"Cuijk";"1684";"Noord-Oost-Brabant";"645711"
"Culemborg";"0216";"Rivierenland";"255817"
"Dalfsen";"0148";"IJssel-Vecht";"428642"
"Dantumadiel";"1891";"Friesland Noord";"253330"
"De Bilt";"0310";"Utrecht";"882490"
"De Fryske Marren";"1940";"Zuidwest Friesland";"146278"
"De Marne";"1663";"Noord-Groningen-Eemsmond";"105178"
"De Ronde Venen";"0736";"Utrecht";"882490"
"De Wolden";"1690";"Zuidwest Drenthe";"130400"
"Delft";"0503";"Haaglanden";"1061908"
"Delfzijl";"0010";"Noord-Groningen-Eemsmond";"105178"
"Den Helder";"0400";"Kop van Noord-Holland";"163711"
"Deurne";"0762";"Zuidoost-Brabant";"752485"
"Deventer";"0150";"Stedendriehoek";"431599"
"Diemen";"0384";"Agglomeratie Amsterdam";"1481223"
"Dinkelland";"1774";"Twente";"626009"
"Doesburg";"0221";"Achterhoek";"309088"
"Doetinchem";"0222";"Achterhoek";"309088"
"Dongen";"0766";"Midden-Brabant";"396517"
"Dongeradeel";"0058";"Friesland Noord";"253330"
"Dordrecht";"0505";"Zuid-Holland-Zuid";"484986"
"Drechterland";"0498";"West-Friesland";"208394"
"Drimmelen";"1719";"West-Brabant ";"694612"
"Dronten";"0303";"Flevoland";"379863"
"Druten";"0225";"Rivierenland";"255817"
"Duiven";"0226";"Arnhem/Nijmegen";"700336"
"Echt-Susteren";"1711";"Gewest Zuid-Limburg";"634009"
"Edam-Volendam";"0385";"Agglomeratie Amsterdam";"1481223"
"Ede";"0228";"Eem en vallei";"626634"
"Eemnes";"0317";"Gooi en Vechtstreek";"255347"
"Eemsmond";"1651";"Noord-Groningen-Eemsmond";"105178"
"Eersel";"0770";"Zuidoost-Brabant";"752485"
"Eijsden-Margraten";"1903";"Gewest Zuid-Limburg";"634009"
"Eindhoven";"0772";"Zuidoost-Brabant";"752485"
"Elburg";"0230";"Noordwest Veluwe";"190541"
"Emmen";"0114";"Zuidoost Drenthe";"168838"
"Enkhuizen";"0388";"West-Friesland";"208394"
"Enschede";"0153";"Twente";"626009"
"Epe";"0232";"Stedendriehoek";"431599"
"Ermelo";"0233";"Noordwest Veluwe";"190541"
"Etten-Leur";"0777";"West-Brabant ";"694612"
"Ferwerderadiel";"1722";"Friesland Noord";"253330"
"Franekeradeel";"0070";"Friesland Noord";"253330"
"Geertruidenberg";"0779";"West-Brabant ";"694612"
"Geldermalsen";"0236";"Rivierenland";"255817"
"Geldrop-Mierlo";"1771";"Zuidoost-Brabant";"752485"
"Gemert-Bakel";"1652";"Zuidoost-Brabant";"752485"
"Gennep";"0907";"Gewest Limburg-Noord";"476283"
"Giessenlanden";"0689";"Zuid-Holland-Zuid";"484986"
"Gilze en Rijen";"0784";"Midden-Brabant";"396517"
"Goeree-Overflakkee";"1924";"Rijnmond";"1279414"
"Goes";"0664";"Oosterschelde regio";"161009"
"Goirle";"0785";"Midden-Brabant";"396517"
"Gooise Meren";"1942";"Gooi en Vechtstreek";"255347"
"Gorinchem";"0512";"Zuid-Holland-Zuid";"484986"
"Gouda";"0513";"Zuid-Holland-Oost";"359411"
"Grave";"0786";"Noord-Oost-Brabant";"645711"
"'s-Gravenhage";"0518";"Haaglanden";"1061908"
"Groningen";"0014";"Centraal en Westelijk Groningen";"329926"
"Grootegast";"0015";"Centraal en Westelijk Groningen";"329926"
"Gulpen-Wittem";"1729";"Gewest Zuid-Limburg";"634009"
"Haaksbergen";"0158";"Twente";"626009"
"Haaren";"0788";"Noord-Oost-Brabant";"645711"
"Haarlem";"0392";"West-Kennemerland";"387409"
