"Gemeente";"CBS";"Arbeidsmarktregio's";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Groningen";"740186"
"Aalburg";"0738";"West-Brabant";"678256"
"Aalsmeer";"0358";"Groot Amsterdam";"1195580"
"Aalten";"0197";"Achterhoek";"297732"
"Achtkarspelen";"0059";"Friesland";"646324"
"Alblasserdam";"0482";"Drechtsteden";"269492"
"Albrandswaard";"0613";"Rijnmond";"1346694"
"Alkmaar";"0361";"Noord-Holland Noord";"646991"
"Almelo";"0141";"Twente";"626009"
"Almere";"0034";"Flevoland";"379863"
"Alphen aan den Rijn";"0484";"Holland-Rijnland";"524447"
"Alphen-Chaam";"1723";"Midden-Brabant";"456009"
"Ameland";"0060";"Friesland";"646324"
"Amersfoort";"0307";"Amersfoort";"325363"
"Amstelveen";"0362";"Groot Amsterdam";"1195580"
"Amsterdam";"0363";"Groot Amsterdam";"1195580"
"Apeldoorn";"0200";"Stedendriehoek en Noordwest Veluwe";"599134"
"Appingedam";"0003";"Groningen";"740186"
"Arnhem";"0202";"Midden-Gelderland";"385090"
"Assen";"0106";"Groningen";"740186"
"Asten";"0743";"Helmond-De Peel";"247028"
"Baarle-Nassau";"0744";"Midden-Brabant";"456009"
"Baarn";"0308";"Amersfoort";"325363"
"Barendrecht";"0489";"Rijnmond";"1346694"
"Barneveld";"0203";"Food Valley";"332683"
"Bedum";"0005";"Groningen";"740186"
"Beek";"0888";"Zuid-Limburg";"602040"
"Beemster";"0370";"Zaanstreek/Waterland";"328233"
"Beesel";"0889";"Noord-Limburg";"272786"
"Bellingwedde";"0007";"Groningen";"740186"
"Berg en Dal";"1945";"Rijk van Nijmegen";"313489"
"Bergeijk";"1724";"Zuidoost-Brabant";"505457"
"Bergen (L)";"0893";"Noord-Limburg";"272786"
"Bergen (NH)";"0373";"Noord-Holland Noord";"646991"
"Bergen op Zoom";"0748";"West-Brabant";"678256"
"Berkelland";"1859";"Achterhoek";"297732"
"Bernheze";"1721";"Noordoost-Brabant";"602575"
"Best";"0753";"Zuidoost-Brabant";"505457"
"Beuningen";"0209";"Rijk van Nijmegen";"313489"
"Beverwijk";"0375";"Zuid-Kennemerland en IJmond";"387409"
"Binnenmaas";"0585";"Rijnmond";"1346694"
"Bladel";"1728";"Zuidoost-Brabant";"505457"
"Blaricum";"0376";"Gooi en Vechtstreek";"255347"
"Bloemendaal";"0377";"Zuid-Kennemerland en IJmond";"387409"
"Bodegraven-Reeuwijk";"1901";"Midden-Holland";"184129"
"Boekel";"0755";"Noordoost-Brabant";"602575"
"Borger-Odoorn";"1681";"Drenthe";"280644"
"Borne";"0147";"Twente";"626009"
"Borsele";"0654";"Zeeland";"380717"
"Boxmeer";"0756";"Noordoost-Brabant";"602575"
"Boxtel";"0757";"Noordoost-Brabant";"602575"
"Breda";"0758";"West-Brabant";"678256"
"Brielle";"0501";"Rijnmond";"1346694"
"Bronckhorst";"1876";"Achterhoek";"297732"
"Brummen";"0213";"Stedendriehoek en Noordwest Veluwe";"599134"
"Brunssum";"0899";"Zuid-Limburg";"602040"
"Bunnik";"0312";"Midden-Utrecht";"839900"
"Bunschoten";"0313";"Amersfoort";"325363"
"Buren";"0214";"Rivierenland";"226436"
"Capelle aan den IJssel";"0502";"Rijnmond";"1346694"
"Castricum";"0383";"Noord-Holland Noord";"646991"
"Coevorden";"0109";"Drenthe";"280644"
"Cranendonck";"1706";"Zuidoost-Brabant";"505457"
"Cromstrijen";"0611";"Rijnmond";"1346694"
"Cuijk";"1684";"Noordoost-Brabant";"602575"
"Culemborg";"0216";"Rivierenland";"226436"
"Dalfsen";"0148";"IJsselvechtstreek";"503533"
"Dantumadiel";"1891";"Friesland";"646324"
"De Bilt";"0310";"Midden-Utrecht";"839900"
"De Fryske Marren";"1940";"Friesland";"646324"
"De Marne";"1663";"Groningen";"740186"
"De Ronde Venen";"0736";"Groot Amsterdam";"1195580"
"De Wolden";"1690";"Drenthe";"280644"
"Delft";"0503";"Haaglanden";"786936"
"Delfzijl";"0010";"Groningen";"740186"
"Den Helder";"0400";"Noord-Holland Noord";"646991"
"Deurne";"0762";"Helmond-De Peel";"247028"
"Deventer";"0150";"Stedendriehoek en Noordwest Veluwe";"599134"
