"Gemeente";"CBS";"Passend Onderwijs - Primair Onderwijs ";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"PO-22-01";"158223"
"Aalburg";"0738";"PO-30-10";"125736"
"Aalsmeer";"0358";"PO-27-08";"160203"
"Aalten";"0197";"PO-25-02";"85443"
"Achtkarspelen";"0059";"PO-21-01";"646324"
"Alblasserdam";"0482";"PO-28-09";"150446"
"Albrandswaard";"0613";"PO-28-05";"117829"
"Alkmaar";"0361";"PO-27-03";"240522"
"Almelo";"0141";"PO-23-01";"224644"
"Almere";"0034";"PO-24-01";"196936"
"Alphen aan den Rijn";"0484";"PO-28-13";"134524"
"Alphen-Chaam";"1723";"PO-30-03";"415316"
"Ameland";"0060";"PO-21-01";"646324"
"Amersfoort";"0307";"PO-26-02";"284500"
"Amstelveen";"0362";"PO-27-08";"160203"
"Amsterdam";"0363";"PO-27-07";"848605"
"Apeldoorn";"0200";"PO-25-05";"158059"
"Appingedam";"0003";"PO-20-01";"615254"
"Arnhem";"0202";"PO-25-06";"321434"
"Assen";"0106";"PO-22-01";"158223"
"Asten";"0743";"PO-30-08";"279768"
"Baarle-Nassau";"0744";"PO-30-03";"415316"
"Baarn";"0308";"PO-26-02";"284500"
"Barendrecht";"0489";"PO-28-05";"117829"
"Barneveld";"0203";"PO-25-10";"301271"
"Bedum";"0005";"PO-20-01";"615254"
"Beek";"0888";"PO-31-04";"148087"
"Beemster";"0370";"PO-27-06";"151879"
"Beesel";"0889";"PO-31-01";"280548"
"Bellingwedde";"0007";"PO-20-01";"615254"
"Berg en Dal";"1945";"PO-25-07";"412582"
"Bergeijk";"1724";"PO-30-09";"214552"
"Bergen (L)";"0893";"PO-31-01";"280548"
"Bergen (NH)";"0373";"PO-27-03";"240522"
"Bergen op Zoom";"0748";"PO-30-01";"111591"
"Berkelland";"1859";"PO-25-01";"169355"
"Bernheze";"1721";"PO-30-06";"231641"
"Best";"0753";"PO-30-07";"268288"
"Beuningen";"0209";"PO-25-07";"412582"
"Beverwijk";"0375";"PO-27-11";"194115"
"Binnenmaas";"0585";"PO-28-04";"84635"
"Bladel";"1728";"PO-30-09";"214552"
"Blaricum";"0376";"PO-27-09";"255347"
"Bloemendaal";"0377";"PO-27-04";"227658"
"Bodegraven-Reeuwijk";"1901";"PO-28-14";"224887"
"Boekel";"0755";"PO-30-08";"279768"
"Borger-Odoorn";"1681";"PO-22-02";"133281"
"Borne";"0147";"PO-23-02";"401365"
"Borsele";"0654";"PO-29-02";"161009"
"Boxmeer";"0756";"PO-25-07";"412582"
"Boxtel";"0757";"PO-30-05";"324064"
"Breda";"0758";"PO-30-03";"415316"
"Brielle";"0501";"PO-28-08";"154438"
"Bronckhorst";"1876";"PO-25-03";"179264"
"Brummen";"0213";"PO-25-01";"169355"
"Brunssum";"0899";"PO-31-06";"246735"
"Bunnik";"0312";"PO-26-03";"189919"
"Bunschoten";"0313";"PO-26-02";"284500"
"Buren";"0214";"PO-25-08";"156328"
"Capelle aan den IJssel";"0502";"PO-28-18";"95409"
"Castricum";"0383";"PO-27-11";"194115"
"Coevorden";"0109";"PO-23-04";"140142"
"Cranendonck";"1706";"PO-30-09";"214552"
"Cromstrijen";"0611";"PO-28-04";"84635"
"Cuijk";"1684";"PO-25-07";"412582"
"Culemborg";"0216";"PO-25-08";"156328"
"Dalfsen";"0148";"PO-23-04";"140142"
"Dantumadiel";"1891";"PO-21-01";"646324"
"De Bilt";"0310";"PO-26-03";"189919"
"De Fryske Marren";"1940";"PO-21-01";"646324"
"De Marne";"1663";"PO-20-01";"615254"
"De Ronde Venen";"0736";"PO-26-04";"180773"
"De Wolden";"1690";"PO-22-03";"173607"
"Delft";"0503";"PO-28-02";"229134"
"Delfzijl";"0010";"PO-20-01";"615254"
"Den Helder";"0400";"PO-27-01";"163711"
"Deurne";"0762";"PO-30-08";"279768"
"Deventer";"0150";"PO-23-03";"98509"
"Diemen";"0384";"PO-27-07";"848605"
"Dinkelland";"1774";"PO-23-02";"401365"
"Doesburg";"0221";"PO-25-03";"179264"
"Doetinchem";"0222";"PO-25-03";"179264"
"Dongen";"0766";"PO-30-03";"415316"
"Dongeradeel";"0058";"PO-21-01";"646324"
"Dordrecht";"0505";"PO-28-10";"119046"
"Drechterland";"0498";"PO-27-02";"208394"
"Drimmelen";"1719";"PO-30-03";"415316"
"Dronten";"0303";"PO-24-03";"116737"
"Druten";"0225";"PO-25-07";"412582"
"Duiven";"0226";"PO-25-04";"83712"
"Echt-Susteren";"1711";"PO-31-02";"169764"
"Edam-Volendam";"0385";"PO-27-06";"151879"
"Ede";"0228";"PO-25-10";"301271"
"Eemnes";"0317";"PO-27-09";"255347"
"Eemsmond";"1651";"PO-20-01";"615254"
"Eersel";"0770";"PO-30-09";"214552"
"Eijsden-Margraten";"1903";"PO-31-05";"207218"
"Eindhoven";"0772";"PO-30-07";"268288"
"Elburg";"0230";"PO-25-09";"240620"
"Emmen";"0114";"PO-22-02";"133281"
"Enkhuizen";"0388";"PO-27-02";"208394"
"Enschede";"0153";"PO-23-02";"401365"
"Epe";"0232";"PO-25-09";"240620"
"Ermelo";"0233";"PO-25-09";"240620"
"Etten-Leur";"0777";"PO-30-03";"415316"
"Ferwerderadiel";"1722";"PO-21-01";"646324"
"Franekeradeel";"0070";"PO-21-01";"646324"
"Geertruidenberg";"0779";"PO-30-03";"415316"
"Geldermalsen";"0236";"PO-25-08";"156328"
"Geldrop-Mierlo";"1771";"PO-30-08";"279768"
"Gemert-Bakel";"1652";"PO-30-08";"279768"
"Gennep";"0907";"PO-31-01";"280548"
"Giessenlanden";"0689";"PO-28-16";"182782"
"Gilze en Rijen";"0784";"PO-30-03";"415316"
"Goeree-Overflakkee";"1924";"PO-28-11";"48209"
"Goes";"0664";"PO-29-02";"161009"
"Goirle";"0785";"PO-30-04";"275373"
"Gooise Meren";"1942";"PO-27-09";"255347"
"Gorinchem";"0512";"PO-28-16";"182782"
"Gouda";"0513";"PO-28-14";"224887"
"Grave";"0786";"PO-25-07";"412582"
"'s-Gravenhage";"0518";"PO-28-15";"636804"
"Groningen";"0014";"PO-20-01";"615254"
"Grootegast";"0015";"PO-20-01";"615254"
"Gulpen-Wittem";"1729";"PO-31-05";"207218"
"Haaksbergen";"0158";"PO-23-02";"401365"
"Haaren";"0788";"PO-30-05";"324064"
"Haarlem";"0392";"PO-27-04";"227658"
"Haarlemmerliede en Spaarnwoude";"0393";"PO-27-04";"227658"
"Haarlemmermeer";"0394";"PO-27-10";"144182"
"Halderberge";"1655";"PO-30-02";"165408"
"Hardenberg";"0160";"PO-23-04";"140142"
"Harderwijk";"0243";"PO-25-09";"240620"
"Hardinxveld-Giessendam";"0523";"PO-28-16";"182782"
"Haren";"0017";"PO-20-01";"615254"
"Harlingen";"0072";"PO-21-01";"646324"
"Hattem";"0244";"PO-23-05";"321691"
"Heemskerk";"0396";"PO-27-11";"194115"
"Heemstede";"0397";"PO-27-04";"227658"
"Heerde";"0246";"PO-23-05";"321691"
"Heerenveen";"0074";"PO-21-01";"646324"
"Heerhugowaard";"0398";"PO-27-03";"240522"
"Heerlen";"0917";"PO-31-06";"246735"
"Heeze-Leende";"1658";"PO-30-09";"214552"
"Heiloo";"0399";"PO-27-03";"240522"
"Hellendoorn";"0163";"PO-23-01";"224644"
"Hellevoetsluis";"0530";"PO-28-08";"154438"
"Helmond";"0794";"PO-30-08";"279768"
"Hendrik-Ido-Ambacht";"0531";"PO-28-09";"150446"
"Hengelo (O)";"0164";"PO-23-02";"401365"
"'s-Hertogenbosch";"0796";"PO-30-05";"324064"
"het Bildt";"0063";"PO-21-01";"646324"
