"Gemeente";"CBS";"Zorgkantoorregio's";"Inwoneraantal van regio"
"Montferland";"1955";"Zorgkantoor Arnhem";"927793"
"Montfoort";"0335";"Zorgkantoor Utrecht";"1295565"
"Mook en Middelaar";"0944";"Zorgkantoor Nijmegen";"516743"
"Neder-Betuwe";"1740";"Zorgkantoor Nijmegen";"516743"
"Nederweert";"0946";"Zorgkantoor Noord- en Midden-Limburg";"490976"
"Neerijnen";"0304";"Zorgkantoor Nijmegen";"516743"
"Nieuwegein";"0356";"Zorgkantoor Utrecht";"1295565"
"Nieuwkoop";"0569";"Zorgkantoor Zuid-Holland Noord";"549589"
"Nijkerk";"0267";"Zorgkantoor Utrecht";"1295565"
"Nijmegen";"0268";"Zorgkantoor Nijmegen";"516743"
"Nissewaard";"1930";"Zorgkantoor Zuid-Hollandse Eilanden";"405111"
"Noord-Beveland";"1695";"Zorgkantoor Zeeland";"380717"
"Noordenveld";"1699";"Zorgkantoor Drenthe";"488611"
"Noordoostpolder";"0171";"Zorgkantoor Flevoland";"204567"
"Noordwijk";"0575";"Zorgkantoor Zuid-Holland Noord";"549589"
"Noordwijkerhout";"0576";"Zorgkantoor Zuid-Holland Noord";"549589"
"Nuenen, Gerwen en Nederwetten";"0820";"Zorgkantoor Zuid-Oost Brabant";"752485"
"Nunspeet";"0302";"Zorgkantoor Zwolle";"542425"
"Nuth";"0951";"Zorgkantoor Zuid-Limburg";"602040"
"Oegstgeest";"0579";"Zorgkantoor Zuid-Holland Noord";"549589"
"Oirschot";"0823";"Zorgkantoor Zuid-Oost Brabant";"752485"
"Oisterwijk";"0824";"Zorgkantoor Midden-Brabant";"439653"
"Oldambt";"1895";"Zorgkantoor Groningen";"584104"
"Oldebroek";"0269";"Zorgkantoor Zwolle";"542425"
"Oldenzaal";"0173";"Zorgkantoor Twente";"626009"
"Olst-Wijhe";"1773";"Zorgkantoor Midden-IJssel";"176858"
"Ommen";"0175";"Zorgkantoor Zwolle";"542425"
"Onderbanken";"0881";"Zorgkantoor Zuid-Limburg";"602040"
"Oost Gelre";"1586";"Zorgkantoor Arnhem";"927793"
"Oosterhout";"0826";"Zorgkantoor West-Brabant";"694612"
"Ooststellingwerf";"0085";"Zorgkantoor Friesland";"646324"
"Oostzaan";"0431";"Zorgkantoor Zaanstreek / Waterland";"328233"
"Opmeer";"0432";"Zorgkantoor Noord-Holland Noord";"612627"
"Opsterland";"0086";"Zorgkantoor Friesland";"646324"
"Oss";"0828";"Zorgkantoor Noord-Oost Brabant";"654115"
"Oud-Beijerland";"0584";"Zorgkantoor Zuid-Hollandse Eilanden";"405111"
"Oude IJsselstreek";"1509";"Zorgkantoor Arnhem";"927793"
"Ouder-Amstel";"0437";"Zorgkantoor Amstelland en De Meerlanden";"304385"
"Oudewater";"0589";"Zorgkantoor Utrecht";"1295565"
"Overbetuwe";"1734";"Zorgkantoor Arnhem";"927793"
"Papendrecht";"0590";"Zorgkantoor Waardenland";"400351"
"Peel en Maas";"1894";"Zorgkantoor Noord- en Midden-Limburg";"490976"
"Pekela";"0765";"Zorgkantoor Groningen";"584104"
"Pijnacker-Nootdorp";"1926";"Zorgkantoor Delft Westland Oostland";"333409"
"Purmerend";"0439";"Zorgkantoor Zaanstreek / Waterland";"328233"
"Putten";"0273";"Zorgkantoor Zwolle";"542425"
"Raalte";"0177";"Zorgkantoor Midden-IJssel";"176858"
"Reimerswaal";"0703";"Zorgkantoor Zeeland";"380717"
"Renkum";"0274";"Zorgkantoor Arnhem";"927793"
"Renswoude";"0339";"Zorgkantoor Utrecht";"1295565"
"Reusel-De Mierden";"1667";"Zorgkantoor Zuid-Oost Brabant";"752485"
"Rheden";"0275";"Zorgkantoor Arnhem";"927793"
"Rhenen";"0340";"Zorgkantoor Utrecht";"1295565"
"Ridderkerk";"0597";"Zorgkantoor Zuid-Hollandse Eilanden";"405111"
"Rijnwaarden";"0196";"Zorgkantoor Arnhem";"927793"
"Rijssen-Holten";"1742";"Zorgkantoor Twente";"626009"
"Rijswijk";"0603";"Zorgkantoor Haaglanden";"786612"
"Roerdalen";"1669";"Zorgkantoor Noord- en Midden-Limburg";"490976"
"Roermond";"0957";"Zorgkantoor Noord- en Midden-Limburg";"490976"
"Roosendaal";"1674";"Zorgkantoor West-Brabant";"694612"
"Rotterdam";"0599";"Zorgkantoor Rotterdam";"720119"
"Rozendaal";"0277";"Zorgkantoor Arnhem";"927793"
"Rucphen";"0840";"Zorgkantoor West-Brabant";"694612"
"Schagen";"0441";"Zorgkantoor Noord-Holland Noord";"612627"
"Scherpenzeel";"0279";"Zorgkantoor Arnhem";"927793"
"Schiedam";"0606";"Zorgkantoor Nieuwe Waterweg Noord";"180706"
"Schiermonnikoog";"0088";"Zorgkantoor Friesland";"646324"
"Schijndel";"0844";"Zorgkantoor Noord-Oost Brabant";"654115"
"Schinnen";"0962";"Zorgkantoor Zuid-Limburg";"602040"
"Schouwen-Duiveland";"1676";"Zorgkantoor Zeeland";"380717"
"Simpelveld";"0965";"Zorgkantoor Zuid-Limburg";"602040"
"Sint Anthonis";"1702";"Zorgkantoor Noord-Oost Brabant";"654115"
"Sint-Michielsgestel";"0845";"Zorgkantoor Noord-Oost Brabant";"654115"
"Sint-Oedenrode";"0846";"Zorgkantoor Noord-Oost Brabant";"654115"
