"Gemeente";"CBS";"Centrumgemeenten vrouwenopvang / geweld in huiselijke kring";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Emmen";"488611"
"Aalburg";"0738";"Breda";"694612"
"Aalsmeer";"0358";"Amsterdam";"1014381"
"Aalten";"0197";"Arnhem";"714234"
"Achtkarspelen";"0059";"Leeuwarden";"646324"
"Alblasserdam";"0482";"Dordrecht";"400351"
"Albrandswaard";"0613";"Rotterdam";"896061"
"Alkmaar";"0361";"Alkmaar";"483280"
"Almelo";"0141";"Enschede";"626009"
"Almere";"0034";"Almere";"401503"
"Alphen aan den Rijn";"0484";"Leiden";"549589"
"Alphen-Chaam";"1723";"Breda";"694612"
"Ameland";"0060";"Leeuwarden";"646324"
"Amersfoort";"0307";"Amersfoort";"344075"
"Amstelveen";"0362";"Amsterdam";"1014381"
"Amsterdam";"0363";"Amsterdam";"1014381"
"Apeldoorn";"0200";"Apeldoorn";"502673"
"Appingedam";"0003";"Groningen";"584104"
"Arnhem";"0202";"Arnhem";"714234"
"Assen";"0106";"Emmen";"488611"
"Asten";"0743";"Helmond";"208152"
"Baarle-Nassau";"0744";"Breda";"694612"
"Baarn";"0308";"Amersfoort";"344075"
"Barendrecht";"0489";"Rotterdam";"896061"
"Barneveld";"0203";"Ede";"274665"
"Bedum";"0005";"Groningen";"584104"
"Beek";"0888";"Maastricht";"355305"
"Beemster";"0370";"Zaanstad";"328233"
"Beesel";"0889";"Venlo";"490976"
"Bellingwedde";"0007";"Groningen";"584104"
"Berg en Dal";"1945";"Nijmegen";"516743"
"Bergeijk";"1724";"Eindhoven";"570192"
"Bergen (L)";"0893";"Venlo";"490976"
"Bergen (NH)";"0373";"Alkmaar";"483280"
"Bergen op Zoom";"0748";"Breda";"694612"
"Berkelland";"1859";"Arnhem";"714234"
"Bernheze";"1721";"Den Bosch";"628256"
"Best";"0753";"Eindhoven";"570192"
"Beuningen";"0209";"Nijmegen";"516743"
"Beverwijk";"0375";"Haarlem";"526018"
"Binnenmaas";"0585";"Nissewaard";"274645"
"Bladel";"1728";"Eindhoven";"570192"
"Blaricum";"0376";"Hilversum";"255347"
"Bloemendaal";"0377";"Haarlem";"526018"
"Bodegraven-Reeuwijk";"1901";"Gouda";"224887"
"Boekel";"0755";"Den Bosch";"628256"
"Borger-Odoorn";"1681";"Emmen";"488611"
"Borne";"0147";"Enschede";"626009"
"Borsele";"0654";"Vlissingen";"380717"
"Boxmeer";"0756";"Den Bosch";"628256"
"Boxtel";"0757";"Den Bosch";"628256"
"Breda";"0758";"Breda";"694612"
"Brielle";"0501";"Nissewaard";"274645"
"Bronckhorst";"1876";"Arnhem";"714234"
"Brummen";"0213";"Apeldoorn";"502673"
"Brunssum";"0899";"Heerlen";"246735"
"Bunnik";"0312";"Utrecht";"882490"
"Bunschoten";"0313";"Amersfoort";"344075"
"Buren";"0214";"Nijmegen";"516743"
"Capelle aan den IJssel";"0502";"Rotterdam";"896061"
"Castricum";"0383";"Alkmaar";"483280"
"Coevorden";"0109";"Emmen";"488611"
"Cranendonck";"1706";"Eindhoven";"570192"
"Cromstrijen";"0611";"Nissewaard";"274645"
"Cuijk";"1684";"Den Bosch";"628256"
"Culemborg";"0216";"Nijmegen";"516743"
"Dalfsen";"0148";"Zwolle";"526469"
"Dantumadiel";"1891";"Leeuwarden";"646324"
"De Bilt";"0310";"Utrecht";"882490"
"De Fryske Marren";"1940";"Leeuwarden";"646324"
"De Marne";"1663";"Groningen";"584104"
"De Ronde Venen";"0736";"Utrecht";"882490"
"De Wolden";"1690";"Emmen";"488611"
"Delft";"0503";"Delft";"275296"
"Delfzijl";"0010";"Groningen";"584104"
