"Gemeente";"CBS";"GGD's";"Inwoneraantal van regio"
"Haaren";"0788";"GGD Hart voor Brabant";"1042228"
"Haarlem";"0392";"GGD Kennemerland";"531591"
"Haarlemmerliede en Spaarnwoude";"0393";"GGD Kennemerland";"531591"
"Haarlemmermeer";"0394";"GGD Kennemerland";"531591"
"Halderberge";"1655";"GGD West-Brabant";"694612"
"Hardenberg";"0160";"GGD IJsselland";"514650"
"Harderwijk";"0243";"GGD Noord- en Oost-Gelderland";"812224"
"Hardinxveld-Giessendam";"0523";"Dienst Gezondheid & Jeugd Zuid-Holland Zuid ";"483290"
"Haren";"0017";"GGD Groningen";"584104"
"Harlingen";"0072";"GGD Fryslân";"646324"
"Hattem";"0244";"GGD Noord- en Oost-Gelderland";"812224"
"Heemskerk";"0396";"GGD Kennemerland";"531591"
"Heemstede";"0397";"GGD Kennemerland";"531591"
"Heerde";"0246";"GGD Noord- en Oost-Gelderland";"812224"
"Heerenveen";"0074";"GGD Fryslân";"646324"
"Heerhugowaard";"0398";"GGD Hollands-Noorden";"646991"
"Heerlen";"0917";"GGD Zuid-Limburg";"602040"
"Heeze-Leende";"1658";"GGD Brabant-Zuidoost";"752485"
"Heiloo";"0399";"GGD Hollands-Noorden";"646991"
"Hellendoorn";"0163";"GGD Regio Twente";"626009"
"Hellevoetsluis";"0530";"GGD Rotterdam-Rijnmond";"1279414"
"Helmond";"0794";"GGD Brabant-Zuidoost";"752485"
"Hendrik-Ido-Ambacht";"0531";"Dienst Gezondheid & Jeugd Zuid-Holland Zuid ";"483290"
"Hengelo (O)";"0164";"GGD Regio Twente";"626009"
"'s-Hertogenbosch";"0796";"GGD Hart voor Brabant";"1042228"
"het Bildt";"0063";"GGD Fryslân";"646324"
"Heumen";"0252";"GGD Gelderland-Zuid";"543245"
"Heusden";"0797";"GGD Hart voor Brabant";"1042228"
"Hillegom";"0534";"GGD Hollands-Midden";"774476"
"Hilvarenbeek";"0798";"GGD Hart voor Brabant";"1042228"
"Hilversum";"0402";"GGD Gooi en Vechtstreek";"246540"
"Hof van Twente";"1735";"GGD Regio Twente";"626009"
"Hollands Kroon";"1911";"GGD Hollands-Noorden";"646991"
"Hoogeveen";"0118";"GGD Drenthe";"488611"
"Hoogezand-Sappemeer";"0018";"GGD Groningen";"584104"
"Hoorn";"0405";"GGD Hollands-Noorden";"646991"
"Horst aan de Maas";"1507";"GGD Limburg-Noord";"516014"
"Houten";"0321";"GGD Midden-Nederland";"1245265"
"Huizen";"0406";"GGD Gooi en Vechtstreek";"246540"
"Hulst";"0677";"GGD Zeeland";"380717"
"IJsselstein";"0353";"GGD Midden-Nederland";"1245265"
"Kaag en Braassem";"1884";"GGD Hollands-Midden";"774476"
"Kampen";"0166";"GGD IJsselland";"514650"
"Kapelle";"0678";"GGD Zeeland";"380717"
"Katwijk";"0537";"GGD Hollands-Midden";"774476"
"Kerkrade";"0928";"GGD Zuid-Limburg";"602040"
"Koggenland";"1598";"GGD Hollands-Noorden";"646991"
"Kollumerland en Nieuwkruisland";"0079";"GGD Fryslân";"646324"
"Korendijk";"0588";"Dienst Gezondheid & Jeugd Zuid-Holland Zuid ";"483290"
"Krimpen aan den IJssel";"0542";"GGD Rotterdam-Rijnmond";"1279414"
"Krimpenerwaard";"1931";"GGD Hollands-Midden";"774476"
"Laarbeek";"1659";"GGD Brabant-Zuidoost";"752485"
"Landerd";"1685";"GGD Hart voor Brabant";"1042228"
"Landgraaf";"0882";"GGD Zuid-Limburg";"602040"
"Landsmeer";"0415";"GGD Zaanstreek/Waterland";"328233"
"Langedijk";"0416";"GGD Hollands-Noorden";"646991"
"Lansingerland";"1621";"GGD Rotterdam-Rijnmond";"1279414"
"Laren";"0417";"GGD Gooi en Vechtstreek";"246540"
"Leek";"0022";"GGD Groningen";"584104"
"Leerdam";"0545";"Dienst Gezondheid & Jeugd Zuid-Holland Zuid ";"483290"
"Leeuwarden";"0080";"GGD Fryslân";"646324"
"Leeuwarderadeel";"0081";"GGD Fryslân";"646324"
"Leiden";"0546";"GGD Hollands-Midden";"774476"
"Leiderdorp";"0547";"GGD Hollands-Midden";"774476"
