"Gemeente";"CBS";"Intergemeentelijke sociale diensten";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Werkplein Baanzicht";"124932"
"Aalsmeer";"0358";"G2 Samenwerkingsverband Aalsmeer / Uithoorn";"59796"
"Aalten";"0197";"ISWI - Oude IJsselstreek en Aalten";"66460"
"Alblasserdam";"0482";"Sociale Dienst Drechtsteden";"269492"
"Appingedam";"0003";"ISD Noordoost";"47584"
"Assen";"0106";"Werkplein Baanzicht";"124932"
"Baarn";"0308";"Sociale Dienst Baarn Bunschoten Soest";"90507"
"Bergeijk";"1724";"ISD de Kempen";"87291"
"Bergen op Zoom";"0748";"ISD Brabantse Wal";"111591"
"Berkelland";"1859";"Sociale Dienst Oost Achterhoek";"102921"
"Bernheze";"1721";"OptimISD";"119424"
"Binnenmaas";"0585";"Regionale Sociale Dienst Hoeksche Waard ";"84635"
"Bladel";"1728";"ISD de Kempen";"87291"
"Bloemendaal";"0377";"IASZ";"54304"
"Brunssum";"0899";"ISD BOL";"73975"
"Bunnik";"0312";"Regionale Sociale Dienst Kromme Rijn Heuvelrug";"189919"
"Bunschoten";"0313";"Sociale Dienst Baarn Bunschoten Soest";"90507"
"Cromstrijen";"0611";"Regionale Sociale Dienst Hoeksche Waard ";"84635"
"De Bilt";"0310";"Regionale Sociale Dienst Kromme Rijn Heuvelrug";"189919"
"Delfzijl";"0010";"ISD Noordoost";"47584"
"Dordrecht";"0505";"Sociale Dienst Drechtsteden";"269492"
"Duiven";"0226";"RSD de Liemers";"83712"
"Eersel";"0770";"ISD de Kempen";"87291"
"Eijsden-Margraten";"1903";"Regionale Sociale Dienst Pentasz Mergelland";"68221"
"Ermelo";"0233";"Sociale Dienst Veluwerand";"93581"
"Ferwerderadiel";"1722";"Dienst Sociale Zaken en Werkgelegenheid Noardwest Fryslân";"85237"
"Franekeradeel";"0070";"Dienst Sociale Zaken en Werkgelegenheid Noardwest Fryslân";"85237"
"Giessenlanden";"0689";"Regionale Sociale Dienst en Kredietbank Alblasserwaard/Vijfheerenlanden ";"141941"
"Gorinchem";"0512";"Regionale Sociale Dienst en Kredietbank Alblasserwaard/Vijfheerenlanden ";"141941"
"Gulpen-Wittem";"1729";"Regionale Sociale Dienst Pentasz Mergelland";"68221"
"Haarlemmerliede en Spaarnwoude";"0393";"IASZ";"54304"
"Harderwijk";"0243";"Sociale Dienst Veluwerand";"93581"
"Hardinxveld-Giessendam";"0523";"Regionale Sociale Dienst en Kredietbank Alblasserwaard/Vijfheerenlanden ";"141941"
"Harlingen";"0072";"Dienst Sociale Zaken en Werkgelegenheid Noardwest Fryslân";"85237"
"Heemstede";"0397";"IASZ";"54304"
"Hendrik-Ido-Ambacht";"0531";"Sociale Dienst Drechtsteden";"269492"
"het Bildt";"0063";"Dienst Sociale Zaken en Werkgelegenheid Noardwest Fryslân";"85237"
"Heusden";"0797";"Baanbrekers";"112817"
"Hillegom";"0534";"ISD Bollenstreek";"120946"
"Houten";"0321";"Regionale uitvoeringsorganisatie Werk & Inkomen Lekstroom (WIL)";"177659"
"IJsselstein";"0353";"Regionale uitvoeringsorganisatie Werk & Inkomen Lekstroom (WIL)";"177659"
"Korendijk";"0588";"Regionale Sociale Dienst Hoeksche Waard ";"84635"
"Landgraaf";"0882";"ISD BOL";"73975"
"Leek";"0022";"ISD Noordenkwartier";"60947"
"Leerdam";"0545";"Regionale Sociale Dienst en Kredietbank Alblasserwaard/Vijfheerenlanden ";"141941"
"Leeuwarderadeel";"0081";"Dienst Sociale Zaken en Werkgelegenheid Noardwest Fryslân";"85237"
"Leidschendam-Voorburg";"1916";"Afdeling Werk en Inkomen ";"124878"
"Lingewaal";"0733";"Regionale Sociale Dienst en Kredietbank Alblasserwaard/Vijfheerenlanden ";"141941"
"Lisse";"0553";"ISD Bollenstreek";"120946"
"Lochem";"0262";"Het Plein";"80078"
"Loon op Zand";"0809";"Baanbrekers";"112817"
"Lopik";"0331";"Regionale uitvoeringsorganisatie Werk & Inkomen Lekstroom (WIL)";"177659"
"Loppersum";"0024";"ISD Noordoost";"47584"
"Maasdriel";"0263";"Sociale Dienst Bommelerwaard";"51540"
"Marum";"0025";"ISD Noordenkwartier";"60947"
"Meerssen";"0938";"Regionale Sociale Dienst Pentasz Mergelland";"68221"
"Menameradiel";"1908";"Dienst Sociale Zaken en Werkgelegenheid Noardwest Fryslân";"85237"
"Middelburg";"0687";"Orionis Walcheren";"114029"
"Molenwaard";"1927";"Regionale Sociale Dienst en Kredietbank Alblasserwaard/Vijfheerenlanden ";"141941"
"Nieuwegein";"0356";"Regionale uitvoeringsorganisatie Werk & Inkomen Lekstroom (WIL)";"177659"
"Noordenveld";"1699";"ISD Noordenkwartier";"60947"
"Noordwijk";"0575";"ISD Bollenstreek";"120946"
"Noordwijkerhout";"0576";"ISD Bollenstreek";"120946"
"Nuth";"0951";"ISD Kompas";"38735"
"Oirschot";"0823";"ISD de Kempen";"87291"
"Onderbanken";"0881";"ISD BOL";"73975"
"Oost Gelre";"1586";"Sociale Dienst Oost Achterhoek";"102921"
"Oud-Beijerland";"0584";"Regionale Sociale Dienst Hoeksche Waard ";"84635"
"Oude IJsselstreek";"1509";"ISWI - Oude IJsselstreek en Aalten";"66460"
"Papendrecht";"0590";"Sociale Dienst Drechtsteden";"269492"
"Reusel-De Mierden";"1667";"ISD de Kempen";"87291"
"Rijnwaarden";"0196";"RSD de Liemers";"83712"
"Schijndel";"0844";"OptimISD";"119424"
"Simpelveld";"0965";"ISD Kompas";"38735"
"Sint-Michielsgestel";"0845";"OptimISD";"119424"
"Sliedrecht";"0610";"Sociale Dienst Drechtsteden";"269492"
"Soest";"0342";"Sociale Dienst Baarn Bunschoten Soest";"90507"
"Steenbergen";"0851";"ISD Brabantse Wal";"111591"
"Steenwijkerland";"1708";"ISD Steenwijkerland en Westerveld";"62285"
"Strijen";"0617";"Regionale Sociale Dienst Hoeksche Waard ";"84635"
"Terschelling";"0093";"Dienst Sociale Zaken en Werkgelegenheid Noardwest Fryslân";"85237"
"Teylingen";"1525";"ISD Bollenstreek";"120946"
"Tynaarlo";"1730";"Werkplein Baanzicht";"124932"
"Uithoorn";"0451";"G2 Samenwerkingsverband Aalsmeer / Uithoorn";"59796"
"Utrechtse Heuvelrug";"1581";"Regionale Sociale Dienst Kromme Rijn Heuvelrug";"189919"
"Vaals";"0981";"Regionale Sociale Dienst Pentasz Mergelland";"68221"
"Veere";"0717";"Orionis Walcheren";"114029"
"Veghel";"0860";"OptimISD";"119424"
"Vianen";"0620";"Regionale uitvoeringsorganisatie Werk & Inkomen Lekstroom (WIL)";"177659"
"Vlieland";"0096";"Dienst Sociale Zaken en Werkgelegenheid Noardwest Fryslân";"85237"
"Vlissingen";"0718";"Orionis Walcheren";"114029"
"Voerendaal";"0986";"ISD Kompas";"38735"
"Voorschoten";"0626";"Afdeling Werk en Inkomen ";"124878"
"Waalwijk";"0867";"Baanbrekers";"112817"
"Wassenaar";"0629";"Afdeling Werk en Inkomen ";"124878"
"Westerveld";"1701";"ISD Steenwijkerland en Westerveld";"62285"
"Westervoort";"0293";"RSD de Liemers";"83712"
"Wijk bij Duurstede";"0352";"Regionale Sociale Dienst Kromme Rijn Heuvelrug";"189919"
"Winterswijk";"0294";"Sociale Dienst Oost Achterhoek";"102921"
"Woensdrecht";"0873";"ISD Brabantse Wal";"111591"
"Zaltbommel";"0297";"Sociale Dienst Bommelerwaard";"51540"
"Zederik";"0707";"Regionale Sociale Dienst en Kredietbank Alblasserwaard/Vijfheerenlanden ";"141941"
"Zeewolde";"0050";"Sociale Dienst Veluwerand";"93581"
"Zeist";"0355";"Regionale Sociale Dienst Kromme Rijn Heuvelrug";"189919"
"Zevenaar";"0299";"RSD de Liemers";"83712"
"Zutphen";"0301";"Het Plein";"80078"
"Zwijndrecht";"0642";"Sociale Dienst Drechtsteden";"269492"
