"Gemeente";"CBS";"Sociale Werkvoorziening";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Alescon";"213084"
"Aalburg";"0738";"!GO";"155814"
"Aalsmeer";"0358";"AM Groep";"304385"
"Aalten";"0197";"Hameland";"155005"
"Achtkarspelen";"0059";"CAPARIS NV";"354417"
"Alblasserdam";"0482";"Drechtwerk";"360525"
"Albrandswaard";"0613";"SoZaWe / Roteb / Robedrijf";"641395"
"Alkmaar";"0361";"WNK Bedrijven";"274886"
"Almelo";"0141";"Soweco N.V.";"224644"
"Almere";"0034";"Tomingroep B.V.";"452283"
"Alphen aan den Rijn";"0484";"SWA";"160365"
"Alphen-Chaam";"1723";"Diamant-groep";"310855"
"Ameland";"0060";"GR NEF (NoardEast Fryslân)";"69130"
"Amersfoort";"0307";"Amfors Groep";"284500"
"Amstelveen";"0362";"AM Groep";"304385"
"Amsterdam";"0363";"Pantar Amsterdam / Reintegratiebedrijf Amsterdam";"824490"
"Apeldoorn";"0200";"Felua-groep";"208798"
"Appingedam";"0003";"Fivelingo";"55038"
"Arnhem";"0202";"Presikhaaf Bedrijven";"385090"
"Assen";"0106";"Alescon";"213084"
"Asten";"0743";"Atlant Groep";"245395"
"Baarle-Nassau";"0744";"ATEA Bedrijven";"184840"
"Baarn";"0308";"Amfors Groep";"284500"
"Barendrecht";"0489";"Drechtwerk";"360525"
"Barneveld";"0203";"Permar WS";"244971"
"Bedum";"0005";"Ability";"50140"
"Beek";"0888";"Vixia bv";"148087"
"Beemster";"0370";"Baanstede";"328233"
"Beesel";"0889";"WAA groep n.v.";"127120"
"Bellingwedde";"0007";"Synergon";"60266"
"Berg en Dal";"1945";"Breed";"324295"
"Bergeijk";"1724";"WVK-groep";"69205"
"Bergen (L)";"0893";"WAA groep n.v.";"127120"
"Bergen (NH)";"0373";"WNK Bedrijven";"274886"
"Bergen op Zoom";"0748";"WVS-groep";"340858"
"Berkelland";"1859";"Hameland";"155005"
"Bernheze";"1721";"IBN-groep";"312109"
"Best";"0753";"WSD-Groep";"251117"
"Beuningen";"0209";"Breed";"324295"
"Beverwijk";"0375";"De Meergroep";"159751"
"Binnenmaas";"0585";"WHW-bedrijven";"84635"
"Bladel";"1728";"WVK-groep";"69205"
"Blaricum";"0376";"Tomingroep B.V.";"452283"
"Bloemendaal";"0377";"Paswerk";"227658"
"Bodegraven-Reeuwijk";"1901";"Ferm Werk";"106650"
"Boekel";"0755";"IBN-groep";"312109"
"Borger-Odoorn";"1681";"Wedeka Bedrijven";"114960"
"Borne";"0147";"SWB Groep";"137966"
"Borsele";"0654";"De Betho";"127193"
"Boxmeer";"0756";"IBN-groep";"312109"
"Boxtel";"0757";"WSD-Groep";"251117"
"Breda";"0758";"ATEA Bedrijven";"184840"
"Brielle";"0501";"De Welplaat";"154438"
"Bronckhorst";"1876";"Delta";"161695"
"Brummen";"0213";"Delta";"161695"
"Brunssum";"0899";"WOZL / WVS Oostelijk Zuid-Limburg ";"290895"
"Bunnik";"0312";"BIGA Groep BV";"189135"
"Bunschoten";"0313";"Amfors Groep";"284500"
"Buren";"0214";"Lander Werk & Integratie";"207868"
"Capelle aan den IJssel";"0502";"Promen";"287090"
"Castricum";"0383";"WNK Bedrijven";"274886"
"Coevorden";"0109";"EMCO-groep";"144155"
"Cranendonck";"1706";"De Risse Groep";"85700"
"Cromstrijen";"0611";"WHW-bedrijven";"84635"
"Cuijk";"1684";"IBN-groep";"312109"
"Culemborg";"0216";"Lander Werk & Integratie";"207868"
"Dalfsen";"0148";"Wezo groep nv";"222163"
"Dantumadiel";"1891";"GR NEF (NoardEast Fryslân)";"69130"
"De Bilt";"0310";"BIGA Groep BV";"189135"
"De Fryske Marren";"1940";"Empatec NV";"222777"
"De Marne";"1663";"Ability";"50140"
"De Ronde Venen";"0736";"PAUW Bedrijven";"235559"
"De Wolden";"1690";"Reestmond";"91957"
"Delft";"0503";"Werkse";"224305"
"Delfzijl";"0010";"Fivelingo";"55038"
"Den Helder";"0400";"Noorderkwartier N.V.";"150129"
