"Gemeente";"CBS";"NUTS-1 Regio's (Landsdelen)";"Inwoneraantal van regio"
"Gennep";"0907";"Zuid-Nederland";"3607379"
"Giessenlanden";"0689";"West-Nederland";"8007173"
"Gilze en Rijen";"0784";"Zuid-Nederland";"3607379"
"Goeree-Overflakkee";"1924";"West-Nederland";"8007173"
"Goes";"0664";"West-Nederland";"8007173"
"Goirle";"0785";"Zuid-Nederland";"3607379"
"Gooise Meren";"1942";"West-Nederland";"8007173"
"Gorinchem";"0512";"West-Nederland";"8007173"
"Gouda";"0513";"West-Nederland";"8007173"
"Grave";"0786";"Zuid-Nederland";"3607379"
"'s-Gravenhage";"0518";"West-Nederland";"8007173"
"Groningen";"0014";"Noord-Nederland";"1719039"
"Grootegast";"0015";"Noord-Nederland";"1719039"
"Gulpen-Wittem";"1729";"Zuid-Nederland";"3607379"
"Haaksbergen";"0158";"Oost-Nederland";"3568555"
"Haaren";"0788";"Zuid-Nederland";"3607379"
"Haarlem";"0392";"West-Nederland";"8007173"
"Haarlemmerliede en Spaarnwoude";"0393";"West-Nederland";"8007173"
"Haarlemmermeer";"0394";"West-Nederland";"8007173"
"Halderberge";"1655";"Zuid-Nederland";"3607379"
"Hardenberg";"0160";"Oost-Nederland";"3568555"
"Harderwijk";"0243";"Oost-Nederland";"3568555"
"Hardinxveld-Giessendam";"0523";"West-Nederland";"8007173"
"Haren";"0017";"Noord-Nederland";"1719039"
"Harlingen";"0072";"Noord-Nederland";"1719039"
"Hattem";"0244";"Oost-Nederland";"3568555"
"Heemskerk";"0396";"West-Nederland";"8007173"
"Heemstede";"0397";"West-Nederland";"8007173"
"Heerde";"0246";"Oost-Nederland";"3568555"
"Heerenveen";"0074";"Noord-Nederland";"1719039"
"Heerhugowaard";"0398";"West-Nederland";"8007173"
"Heerlen";"0917";"Zuid-Nederland";"3607379"
"Heeze-Leende";"1658";"Zuid-Nederland";"3607379"
"Heiloo";"0399";"West-Nederland";"8007173"
"Hellendoorn";"0163";"Oost-Nederland";"3568555"
"Hellevoetsluis";"0530";"West-Nederland";"8007173"
"Helmond";"0794";"Zuid-Nederland";"3607379"
"Hendrik-Ido-Ambacht";"0531";"West-Nederland";"8007173"
"Hengelo (O)";"0164";"Oost-Nederland";"3568555"
"'s-Hertogenbosch";"0796";"Zuid-Nederland";"3607379"
"het Bildt";"0063";"Noord-Nederland";"1719039"
"Heumen";"0252";"Oost-Nederland";"3568555"
"Heusden";"0797";"Zuid-Nederland";"3607379"
"Hillegom";"0534";"West-Nederland";"8007173"
"Hilvarenbeek";"0798";"Zuid-Nederland";"3607379"
"Hilversum";"0402";"West-Nederland";"8007173"
"Hof van Twente";"1735";"Oost-Nederland";"3568555"
"Hollands Kroon";"1911";"West-Nederland";"8007173"
"Hoogeveen";"0118";"Noord-Nederland";"1719039"
"Hoogezand-Sappemeer";"0018";"Noord-Nederland";"1719039"
"Hoorn";"0405";"West-Nederland";"8007173"
"Horst aan de Maas";"1507";"Zuid-Nederland";"3607379"
"Houten";"0321";"West-Nederland";"8007173"
"Huizen";"0406";"West-Nederland";"8007173"
"Hulst";"0677";"West-Nederland";"8007173"
"IJsselstein";"0353";"West-Nederland";"8007173"
"Kaag en Braassem";"1884";"West-Nederland";"8007173"
"Kampen";"0166";"Oost-Nederland";"3568555"
"Kapelle";"0678";"West-Nederland";"8007173"
"Katwijk";"0537";"West-Nederland";"8007173"
"Kerkrade";"0928";"Zuid-Nederland";"3607379"
"Koggenland";"1598";"West-Nederland";"8007173"
"Kollumerland en Nieuwkruisland";"0079";"Noord-Nederland";"1719039"
"Korendijk";"0588";"West-Nederland";"8007173"
"Krimpen aan den IJssel";"0542";"West-Nederland";"8007173"
"Krimpenerwaard";"1931";"West-Nederland";"8007173"
"Laarbeek";"1659";"Zuid-Nederland";"3607379"
"Landerd";"1685";"Zuid-Nederland";"3607379"
"Landgraaf";"0882";"Zuid-Nederland";"3607379"
"Landsmeer";"0415";"West-Nederland";"8007173"
"Langedijk";"0416";"West-Nederland";"8007173"
"Lansingerland";"1621";"West-Nederland";"8007173"
"Laren";"0417";"West-Nederland";"8007173"
"Leek";"0022";"Noord-Nederland";"1719039"
"Leerdam";"0545";"West-Nederland";"8007173"
"Leeuwarden";"0080";"Noord-Nederland";"1719039"
"Leeuwarderadeel";"0081";"Noord-Nederland";"1719039"
"Leiden";"0546";"West-Nederland";"8007173"
"Leiderdorp";"0547";"West-Nederland";"8007173"
"Leidschendam-Voorburg";"1916";"West-Nederland";"8007173"
"Lelystad";"0995";"Oost-Nederland";"3568555"
"Leudal";"1640";"Zuid-Nederland";"3607379"
"Leusden";"0327";"West-Nederland";"8007173"
"Lingewaal";"0733";"Oost-Nederland";"3568555"
"Lingewaard";"1705";"Oost-Nederland";"3568555"
"Lisse";"0553";"West-Nederland";"8007173"
"Littenseradiel";"0140";"Noord-Nederland";"1719039"
"Lochem";"0262";"Oost-Nederland";"3568555"
"Loon op Zand";"0809";"Zuid-Nederland";"3607379"
"Lopik";"0331";"West-Nederland";"8007173"
"Loppersum";"0024";"Noord-Nederland";"1719039"
"Losser";"0168";"Oost-Nederland";"3568555"
"Maasdriel";"0263";"Oost-Nederland";"3568555"
"Maasgouw";"1641";"Zuid-Nederland";"3607379"
"Maassluis";"0556";"West-Nederland";"8007173"
"Maastricht";"0935";"Zuid-Nederland";"3607379"
"Marum";"0025";"Noord-Nederland";"1719039"
"Medemblik";"0420";"West-Nederland";"8007173"
"Meerssen";"0938";"Zuid-Nederland";"3607379"
"Menameradiel";"1908";"Noord-Nederland";"1719039"
"Menterwolde";"1987";"Noord-Nederland";"1719039"
"Meppel";"0119";"Noord-Nederland";"1719039"
"Middelburg";"0687";"West-Nederland";"8007173"
"Midden-Delfland";"1842";"West-Nederland";"8007173"
"Midden-Drenthe";"1731";"Noord-Nederland";"1719039"
"Mill en Sint Hubert";"0815";"Zuid-Nederland";"3607379"
"Moerdijk";"1709";"Zuid-Nederland";"3607379"
"Molenwaard";"1927";"West-Nederland";"8007173"
"Montferland";"1955";"Oost-Nederland";"3568555"
"Montfoort";"0335";"West-Nederland";"8007173"
"Mook en Middelaar";"0944";"Zuid-Nederland";"3607379"
"Neder-Betuwe";"1740";"Oost-Nederland";"3568555"
"Nederweert";"0946";"Zuid-Nederland";"3607379"
"Neerijnen";"0304";"Oost-Nederland";"3568555"
"Nieuwegein";"0356";"West-Nederland";"8007173"
"Nieuwkoop";"0569";"West-Nederland";"8007173"
"Nijkerk";"0267";"Oost-Nederland";"3568555"
"Nijmegen";"0268";"Oost-Nederland";"3568555"
"Nissewaard";"1930";"West-Nederland";"8007173"
"Noord-Beveland";"1695";"West-Nederland";"8007173"
"Noordenveld";"1699";"Noord-Nederland";"1719039"
"Noordoostpolder";"0171";"Oost-Nederland";"3568555"
"Noordwijk";"0575";"West-Nederland";"8007173"
"Noordwijkerhout";"0576";"West-Nederland";"8007173"
"Nuenen, Gerwen en Nederwetten";"0820";"Zuid-Nederland";"3607379"
"Nunspeet";"0302";"Oost-Nederland";"3568555"
"Nuth";"0951";"Zuid-Nederland";"3607379"
"Oegstgeest";"0579";"West-Nederland";"8007173"
"Oirschot";"0823";"Zuid-Nederland";"3607379"
"Oisterwijk";"0824";"Zuid-Nederland";"3607379"
"Oldambt";"1895";"Noord-Nederland";"1719039"
"Oldebroek";"0269";"Oost-Nederland";"3568555"
"Oldenzaal";"0173";"Oost-Nederland";"3568555"
"Olst-Wijhe";"1773";"Oost-Nederland";"3568555"
"Ommen";"0175";"Oost-Nederland";"3568555"
"Onderbanken";"0881";"Zuid-Nederland";"3607379"
"Oost Gelre";"1586";"Oost-Nederland";"3568555"
"Oosterhout";"0826";"Zuid-Nederland";"3607379"
"Ooststellingwerf";"0085";"Noord-Nederland";"1719039"
"Oostzaan";"0431";"West-Nederland";"8007173"
"Opmeer";"0432";"West-Nederland";"8007173"
"Opsterland";"0086";"Noord-Nederland";"1719039"
"Oss";"0828";"Zuid-Nederland";"3607379"
"Oud-Beijerland";"0584";"West-Nederland";"8007173"
"Oude IJsselstreek";"1509";"Oost-Nederland";"3568555"
"Ouder-Amstel";"0437";"West-Nederland";"8007173"
"Oudewater";"0589";"West-Nederland";"8007173"
"Overbetuwe";"1734";"Oost-Nederland";"3568555"
"Papendrecht";"0590";"West-Nederland";"8007173"
"Peel en Maas";"1894";"Zuid-Nederland";"3607379"
"Pekela";"0765";"Noord-Nederland";"1719039"
"Pijnacker-Nootdorp";"1926";"West-Nederland";"8007173"
"Purmerend";"0439";"West-Nederland";"8007173"
"Putten";"0273";"Oost-Nederland";"3568555"
"Raalte";"0177";"Oost-Nederland";"3568555"
"Reimerswaal";"0703";"West-Nederland";"8007173"
"Renkum";"0274";"Oost-Nederland";"3568555"
"Renswoude";"0339";"West-Nederland";"8007173"
"Reusel-De Mierden";"1667";"Zuid-Nederland";"3607379"
"Rheden";"0275";"Oost-Nederland";"3568555"
"Rhenen";"0340";"West-Nederland";"8007173"
"Ridderkerk";"0597";"West-Nederland";"8007173"
"Rijnwaarden";"0196";"Oost-Nederland";"3568555"
"Rijssen-Holten";"1742";"Oost-Nederland";"3568555"
"Rijswijk";"0603";"West-Nederland";"8007173"
"Roerdalen";"1669";"Zuid-Nederland";"3607379"
"Roermond";"0957";"Zuid-Nederland";"3607379"
"Roosendaal";"1674";"Zuid-Nederland";"3607379"
"Rotterdam";"0599";"West-Nederland";"8007173"
"Rozendaal";"0277";"Oost-Nederland";"3568555"
"Rucphen";"0840";"Zuid-Nederland";"3607379"
"Schagen";"0441";"West-Nederland";"8007173"
"Scherpenzeel";"0279";"Oost-Nederland";"3568555"
"Schiedam";"0606";"West-Nederland";"8007173"
"Schiermonnikoog";"0088";"Noord-Nederland";"1719039"
"Schijndel";"0844";"Zuid-Nederland";"3607379"
"Schinnen";"0962";"Zuid-Nederland";"3607379"
"Schouwen-Duiveland";"1676";"West-Nederland";"8007173"
"Simpelveld";"0965";"Zuid-Nederland";"3607379"
"Sint Anthonis";"1702";"Zuid-Nederland";"3607379"
"Sint-Michielsgestel";"0845";"Zuid-Nederland";"3607379"
"Sint-Oedenrode";"0846";"Zuid-Nederland";"3607379"
"Sittard-Geleen";"1883";"Zuid-Nederland";"3607379"
"Sliedrecht";"0610";"West-Nederland";"8007173"
"Slochteren";"0040";"Noord-Nederland";"1719039"
"Sluis";"1714";"West-Nederland";"8007173"
"Smallingerland";"0090";"Noord-Nederland";"1719039"
"Soest";"0342";"West-Nederland";"8007173"
"Someren";"0847";"Zuid-Nederland";"3607379"
"Son en Breugel";"0848";"Zuid-Nederland";"3607379"
"Stadskanaal";"0037";"Noord-Nederland";"1719039"
"Staphorst";"0180";"Oost-Nederland";"3568555"
"Stede Broec";"0532";"West-Nederland";"8007173"
"Steenbergen";"0851";"Zuid-Nederland";"3607379"
"Steenwijkerland";"1708";"Oost-Nederland";"3568555"
"Stein";"0971";"Zuid-Nederland";"3607379"
"Stichtse Vecht";"1904";"West-Nederland";"8007173"
"Strijen";"0617";"West-Nederland";"8007173"
"Súdwest Fryslân";"1900";"Noord-Nederland";"1719039"
"Ten Boer";"0009";"Noord-Nederland";"1719039"
"Terneuzen";"0715";"West-Nederland";"8007173"
"Terschelling";"0093";"Noord-Nederland";"1719039"
"Texel";"0448";"West-Nederland";"8007173"
"Teylingen";"1525";"West-Nederland";"8007173"
"Tholen";"0716";"West-Nederland";"8007173"
"Tiel";"0281";"Oost-Nederland";"3568555"
"Tilburg";"0855";"Zuid-Nederland";"3607379"
"Tubbergen";"0183";"Oost-Nederland";"3568555"
"Twenterand";"1700";"Oost-Nederland";"3568555"
"Tynaarlo";"1730";"Noord-Nederland";"1719039"
"Tytsjerksteradiel";"0737";"Noord-Nederland";"1719039"
"Uden";"0856";"Zuid-Nederland";"3607379"
"Uitgeest";"0450";"West-Nederland";"8007173"
"Uithoorn";"0451";"West-Nederland";"8007173"
"Urk";"0184";"Oost-Nederland";"3568555"
"Utrecht";"0344";"West-Nederland";"8007173"
"Utrechtse Heuvelrug";"1581";"West-Nederland";"8007173"
"Vaals";"0981";"Zuid-Nederland";"3607379"
"Valkenburg aan de Geul";"0994";"Zuid-Nederland";"3607379"
"Valkenswaard";"0858";"Zuid-Nederland";"3607379"
"Veendam";"0047";"Noord-Nederland";"1719039"
"Veenendaal";"0345";"West-Nederland";"8007173"
"Veere";"0717";"West-Nederland";"8007173"
"Veghel";"0860";"Zuid-Nederland";"3607379"
"Veldhoven";"0861";"Zuid-Nederland";"3607379"
"Velsen";"0453";"West-Nederland";"8007173"
"Venlo";"0983";"Zuid-Nederland";"3607379"
"Venray";"0984";"Zuid-Nederland";"3607379"
"Vianen";"0620";"West-Nederland";"8007173"
"Vlaardingen";"0622";"West-Nederland";"8007173"
"Vlagtwedde";"0048";"Noord-Nederland";"1719039"
"Vlieland";"0096";"Noord-Nederland";"1719039"
"Vlissingen";"0718";"West-Nederland";"8007173"
"Voerendaal";"0986";"Zuid-Nederland";"3607379"
"Voorschoten";"0626";"West-Nederland";"8007173"
"Voorst";"0285";"Oost-Nederland";"3568555"
"Vught";"0865";"Zuid-Nederland";"3607379"
"Waalre";"0866";"Zuid-Nederland";"3607379"
"Waalwijk";"0867";"Zuid-Nederland";"3607379"
"Waddinxveen";"0627";"West-Nederland";"8007173"
"Wageningen";"0289";"Oost-Nederland";"3568555"
"Wassenaar";"0629";"West-Nederland";"8007173"
"Waterland";"0852";"West-Nederland";"8007173"
"Weert";"0988";"Zuid-Nederland";"3607379"
"Weesp";"0457";"West-Nederland";"8007173"
"Werkendam";"0870";"Zuid-Nederland";"3607379"
"West Maas en Waal";"0668";"Oost-Nederland";"3568555"
"Westerveld";"1701";"Noord-Nederland";"1719039"
"Westervoort";"0293";"Oost-Nederland";"3568555"
"Westland";"1783";"West-Nederland";"8007173"
"Weststellingwerf";"0098";"Noord-Nederland";"1719039"
"Westvoorne";"0614";"West-Nederland";"8007173"
"Wierden";"0189";"Oost-Nederland";"3568555"
"Wijchen";"0296";"Oost-Nederland";"3568555"
"Wijdemeren";"1696";"West-Nederland";"8007173"
"Wijk bij Duurstede";"0352";"West-Nederland";"8007173"
"Winsum";"0053";"Noord-Nederland";"1719039"
"Winterswijk";"0294";"Oost-Nederland";"3568555"
"Woensdrecht";"0873";"Zuid-Nederland";"3607379"
"Woerden";"0632";"West-Nederland";"8007173"
"Wormerland";"0880";"West-Nederland";"8007173"
"Woudenberg";"0351";"West-Nederland";"8007173"
"Woudrichem";"0874";"Zuid-Nederland";"3607379"
"Zaanstad";"0479";"West-Nederland";"8007173"
"Zaltbommel";"0297";"Oost-Nederland";"3568555"
"Zandvoort";"0473";"West-Nederland";"8007173"
"Zederik";"0707";"West-Nederland";"8007173"
"Zeewolde";"0050";"Oost-Nederland";"3568555"
"Zeist";"0355";"West-Nederland";"8007173"
"Zevenaar";"0299";"Oost-Nederland";"3568555"
"Zoetermeer";"0637";"West-Nederland";"8007173"
"Zoeterwoude";"0638";"West-Nederland";"8007173"
"Zuidhorn";"0056";"Noord-Nederland";"1719039"
"Zuidplas";"1892";"West-Nederland";"8007173"
"Zundert";"0879";"Zuid-Nederland";"3607379"
"Zutphen";"0301";"Oost-Nederland";"3568555"
"Zwartewaterland";"1896";"Oost-Nederland";"3568555"
"Zwijndrecht";"0642";"West-Nederland";"8007173"
"Zwolle";"0193";"Oost-Nederland";"3568555"
