"Gemeente";"CBS";"Ressorten";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Arnhem-Leeuwarden";"6797643"
"Aalburg";"0738";"'s-Hertogenbosch";"3988096"
"Aalsmeer";"0358";"Amsterdam";"2515623"
"Aalten";"0197";"Arnhem-Leeuwarden";"6797643"
"Achtkarspelen";"0059";"Arnhem-Leeuwarden";"6797643"
"Alblasserdam";"0482";"Den Haag";"3600784"
"Albrandswaard";"0613";"Den Haag";"3600784"
"Alkmaar";"0361";"Amsterdam";"2515623"
"Almelo";"0141";"Arnhem-Leeuwarden";"6797643"
"Almere";"0034";"Arnhem-Leeuwarden";"6797643"
"Alphen aan den Rijn";"0484";"Den Haag";"3600784"
"Alphen-Chaam";"1723";"'s-Hertogenbosch";"3988096"
"Ameland";"0060";"Arnhem-Leeuwarden";"6797643"
"Amersfoort";"0307";"Arnhem-Leeuwarden";"6797643"
"Amstelveen";"0362";"Amsterdam";"2515623"
"Amsterdam";"0363";"Amsterdam";"2515623"
"Apeldoorn";"0200";"Arnhem-Leeuwarden";"6797643"
"Appingedam";"0003";"Arnhem-Leeuwarden";"6797643"
"Arnhem";"0202";"Arnhem-Leeuwarden";"6797643"
"Assen";"0106";"Arnhem-Leeuwarden";"6797643"
"Asten";"0743";"'s-Hertogenbosch";"3988096"
"Baarle-Nassau";"0744";"'s-Hertogenbosch";"3988096"
"Baarn";"0308";"Arnhem-Leeuwarden";"6797643"
"Barendrecht";"0489";"Den Haag";"3600784"
"Barneveld";"0203";"Arnhem-Leeuwarden";"6797643"
"Bedum";"0005";"Arnhem-Leeuwarden";"6797643"
"Beek";"0888";"'s-Hertogenbosch";"3988096"
"Beemster";"0370";"Amsterdam";"2515623"
"Beesel";"0889";"'s-Hertogenbosch";"3988096"
"Bellingwedde";"0007";"Arnhem-Leeuwarden";"6797643"
"Berg en Dal";"1945";"Arnhem-Leeuwarden";"6797643"
"Bergeijk";"1724";"'s-Hertogenbosch";"3988096"
"Bergen (L)";"0893";"'s-Hertogenbosch";"3988096"
"Bergen (NH)";"0373";"Amsterdam";"2515623"
"Bergen op Zoom";"0748";"'s-Hertogenbosch";"3988096"
"Berkelland";"1859";"Arnhem-Leeuwarden";"6797643"
"Bernheze";"1721";"'s-Hertogenbosch";"3988096"
"Best";"0753";"'s-Hertogenbosch";"3988096"
"Beuningen";"0209";"Arnhem-Leeuwarden";"6797643"
"Beverwijk";"0375";"Amsterdam";"2515623"
"Binnenmaas";"0585";"Den Haag";"3600784"
"Bladel";"1728";"'s-Hertogenbosch";"3988096"
"Blaricum";"0376";"Arnhem-Leeuwarden";"6797643"
"Bloemendaal";"0377";"Amsterdam";"2515623"
"Bodegraven-Reeuwijk";"1901";"Den Haag";"3600784"
"Boekel";"0755";"'s-Hertogenbosch";"3988096"
"Borger-Odoorn";"1681";"Arnhem-Leeuwarden";"6797643"
"Borne";"0147";"Arnhem-Leeuwarden";"6797643"
"Borsele";"0654";"'s-Hertogenbosch";"3988096"
"Boxmeer";"0756";"'s-Hertogenbosch";"3988096"
"Boxtel";"0757";"'s-Hertogenbosch";"3988096"
"Breda";"0758";"'s-Hertogenbosch";"3988096"
"Brielle";"0501";"Den Haag";"3600784"
"Bronckhorst";"1876";"Arnhem-Leeuwarden";"6797643"
"Brummen";"0213";"Arnhem-Leeuwarden";"6797643"
"Brunssum";"0899";"'s-Hertogenbosch";"3988096"
"Bunnik";"0312";"Arnhem-Leeuwarden";"6797643"
"Bunschoten";"0313";"Arnhem-Leeuwarden";"6797643"
"Buren";"0214";"Arnhem-Leeuwarden";"6797643"
"Capelle aan den IJssel";"0502";"Den Haag";"3600784"
"Castricum";"0383";"Amsterdam";"2515623"
"Coevorden";"0109";"Arnhem-Leeuwarden";"6797643"
"Cranendonck";"1706";"'s-Hertogenbosch";"3988096"
"Cromstrijen";"0611";"Den Haag";"3600784"
"Cuijk";"1684";"'s-Hertogenbosch";"3988096"
"Culemborg";"0216";"Arnhem-Leeuwarden";"6797643"
"Dalfsen";"0148";"Arnhem-Leeuwarden";"6797643"
"Dantumadiel";"1891";"Arnhem-Leeuwarden";"6797643"
"De Bilt";"0310";"Arnhem-Leeuwarden";"6797643"
"De Fryske Marren";"1940";"Arnhem-Leeuwarden";"6797643"
"De Marne";"1663";"Arnhem-Leeuwarden";"6797643"
"De Ronde Venen";"0736";"Arnhem-Leeuwarden";"6797643"
"De Wolden";"1690";"Arnhem-Leeuwarden";"6797643"
