"Gemeente";"CBS";"Regionale Uitvoeringsdiensten - BRZO";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"BRZO-RUD Groningen";"1719039"
"Aalburg";"0738";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Aalsmeer";"0358";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Aalten";"0197";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Achtkarspelen";"0059";"BRZO-RUD Groningen";"1719039"
"Alblasserdam";"0482";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Albrandswaard";"0613";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Alkmaar";"0361";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Almelo";"0141";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Almere";"0034";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Alphen aan den Rijn";"0484";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Alphen-Chaam";"1723";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Ameland";"0060";"BRZO-RUD Groningen";"1719039"
"Amersfoort";"0307";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Amstelveen";"0362";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Amsterdam";"0363";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Apeldoorn";"0200";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Appingedam";"0003";"BRZO-RUD Groningen";"1719039"
"Arnhem";"0202";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Assen";"0106";"BRZO-RUD Groningen";"1719039"
"Asten";"0743";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Baarle-Nassau";"0744";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Baarn";"0308";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Barendrecht";"0489";"BRZO-DCMR Milieudienst Rijnmond";"3965447"
"Barneveld";"0203";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Bedum";"0005";"BRZO-RUD Groningen";"1719039"
"Beek";"0888";"BRZO-RUD Limburg Zuid";"1118054"
"Beemster";"0370";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Beesel";"0889";"BRZO-RUD Limburg Zuid";"1118054"
"Bellingwedde";"0007";"BRZO-RUD Groningen";"1719039"
"Berg en Dal";"1945";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Bergeijk";"1724";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Bergen (L)";"0893";"BRZO-RUD Limburg Zuid";"1118054"
"Bergen (NH)";"0373";"BRZO-RUD Noordzeekanaalgebied";"4443229"
"Bergen op Zoom";"0748";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Berkelland";"1859";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
"Bernheze";"1721";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Best";"0753";"BRZO-RUD Midden- en West-Brabant";"2489325"
"Beuningen";"0209";"BRZO-Omgevingsdienst Regio Nijmegen";"3167052"
