"Gemeente";"CBS";"Omgevingsdiensten (Regionale uitvoeringsdiensten)";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"RUD Drenthe";"488611"
"Aalburg";"0738";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Aalsmeer";"0358";"Omgevingsdienst Noordzeekanaalgebied";"1304419"
"Aalten";"0197";"Omgevingsdienst Achterhoek";"377810"
"Achtkarspelen";"0059";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Alblasserdam";"0482";"Omgevingsdienst Zuid-Holland-Zuid";"484986"
"Albrandswaard";"0613";"DCMR Milieudienst Rijnmond";"1279414"
"Alkmaar";"0361";"RUD Noord-Holland Noord";"646991"
"Almelo";"0141";"RUD Twente";"626009"
"Almere";"0034";"Omgevingsdienst Flevoland & Gooi en Vechtstreek";"648043"
"Alphen aan den Rijn";"0484";"Omgevingsdienst West-Holland";"508393"
"Alphen-Chaam";"1723";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Ameland";"0060";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"Amersfoort";"0307";"RUD Utrecht";"751435"
"Amstelveen";"0362";"Omgevingsdienst Noordzeekanaalgebied";"1304419"
"Amsterdam";"0363";"Omgevingsdienst Noordzeekanaalgebied";"1304419"
"Apeldoorn";"0200";"Omgevingsdienst Veluwe IJssel";"235177"
"Appingedam";"0003";"Omgevingsdienst Groningen";"584104"
"Arnhem";"0202";"Omgevingsdienst Regio Arnhem";"416502"
"Assen";"0106";"RUD Drenthe";"488611"
"Asten";"0743";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Baarle-Nassau";"0744";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Baarn";"0308";"RUD Utrecht";"751435"
"Barendrecht";"0489";"DCMR Milieudienst Rijnmond";"1279414"
"Barneveld";"0203";"Omgevingsdienst De Vallei";"254422"
"Bedum";"0005";"Omgevingsdienst Groningen";"584104"
"Beek";"0888";"RUD Zuid Limburg";"602040"
"Beemster";"0370";"Omgevingsdienst IJmond";"580267"
"Beesel";"0889";"RUD Limburg Noord";"516014"
"Bellingwedde";"0007";"Omgevingsdienst Groningen";"584104"
"Berg en Dal";"1945";"Omgevingsdienst Regio Nijmegen";"305727"
"Bergeijk";"1724";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Bergen (L)";"0893";"RUD Limburg Noord";"516014"
"Bergen (NH)";"0373";"RUD Noord-Holland Noord";"646991"
"Bergen op Zoom";"0748";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Berkelland";"1859";"Omgevingsdienst Achterhoek";"377810"
"Bernheze";"1721";"Omgevingsdienst Brabant Noord";"645711"
"Best";"0753";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Beuningen";"0209";"Omgevingsdienst Regio Nijmegen";"305727"
"Beverwijk";"0375";"Omgevingsdienst IJmond";"580267"
"Binnenmaas";"0585";"Omgevingsdienst Zuid-Holland-Zuid";"484986"
"Bladel";"1728";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Blaricum";"0376";"Omgevingsdienst Flevoland & Gooi en Vechtstreek";"648043"
"Bloemendaal";"0377";"Omgevingsdienst IJmond";"580267"
"Bodegraven-Reeuwijk";"1901";"Omgevingsdienst Midden-Holland";"224887"
"Boekel";"0755";"Omgevingsdienst Brabant Noord";"645711"
"Borger-Odoorn";"1681";"RUD Drenthe";"488611"
"Borne";"0147";"RUD Twente";"626009"
"Borsele";"0654";"RUD Zeeland";"380717"
"Boxmeer";"0756";"Omgevingsdienst Brabant Noord";"645711"
"Boxtel";"0757";"Omgevingsdienst Brabant Noord";"645711"
"Breda";"0758";"Omgevingsdienst Midden- en West-Brabant";"1091129"
"Brielle";"0501";"DCMR Milieudienst Rijnmond";"1279414"
"Bronckhorst";"1876";"Omgevingsdienst Achterhoek";"377810"
"Brummen";"0213";"Omgevingsdienst Veluwe IJssel";"235177"
"Brunssum";"0899";"RUD Zuid Limburg";"602040"
"Bunnik";"0312";"Omgevingsdienst Regio Utrecht";"512074"
"Bunschoten";"0313";"RUD Utrecht";"751435"
"Buren";"0214";"Omgevingsdienst Rivierenland";"237518"
"Capelle aan den IJssel";"0502";"DCMR Milieudienst Rijnmond";"1279414"
"Castricum";"0383";"RUD Noord-Holland Noord";"646991"
"Coevorden";"0109";"RUD Drenthe";"488611"
"Cranendonck";"1706";"Omgevingsdienst Zuidoost-Brabant";"752485"
"Cromstrijen";"0611";"Omgevingsdienst Zuid-Holland-Zuid";"484986"
"Cuijk";"1684";"Omgevingsdienst Brabant Noord";"645711"
"Culemborg";"0216";"Omgevingsdienst Rivierenland";"237518"
"Dalfsen";"0148";"RUD IJsselland";"514650"
"Dantumadiel";"1891";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"De Bilt";"0310";"Omgevingsdienst Regio Utrecht";"512074"
"De Fryske Marren";"1940";"Fryske Utfieringstsjinst Miljeu en Omjouwing";"646324"
"De Marne";"1663";"Omgevingsdienst Groningen";"584104"
"De Ronde Venen";"0736";"Omgevingsdienst Regio Utrecht";"512074"
