"Gemeente";"CBS";"MIRT-gebieden";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Noord-Nederland";"1719039"
"Aalburg";"0738";"Brabant";"2489325"
"Aalsmeer";"0358";"Noordwest-Nederland";"3163666"
"Aalten";"0197";"Oost-Nederland";"3167052"
"Achtkarspelen";"0059";"Noord-Nederland";"1719039"
"Alblasserdam";"0482";"Zuidvleugel";"3600784"
"Albrandswaard";"0613";"Zuidvleugel";"3600784"
"Alkmaar";"0361";"Noordwest-Nederland";"3163666"
"Almelo";"0141";"Oost-Nederland";"3167052"
"Almere";"0034";"Noordwest-Nederland";"3163666"
"Alphen aan den Rijn";"0484";"Zuidvleugel";"3600784"
"Alphen-Chaam";"1723";"Brabant";"2489325"
"Ameland";"0060";"Noord-Nederland";"1719039"
"Amersfoort";"0307";"Utrecht";"1263509"
"Amstelveen";"0362";"Noordwest-Nederland";"3163666"
"Amsterdam";"0363";"Noordwest-Nederland";"3163666"
"Apeldoorn";"0200";"Oost-Nederland";"3167052"
"Appingedam";"0003";"Noord-Nederland";"1719039"
"Arnhem";"0202";"Oost-Nederland";"3167052"
"Assen";"0106";"Noord-Nederland";"1719039"
"Asten";"0743";"Brabant";"2489325"
"Baarle-Nassau";"0744";"Brabant";"2489325"
"Baarn";"0308";"Utrecht";"1263509"
"Barendrecht";"0489";"Zuidvleugel";"3600784"
"Barneveld";"0203";"Oost-Nederland";"3167052"
"Bedum";"0005";"Noord-Nederland";"1719039"
"Beek";"0888";"Limburg";"1118054"
"Beemster";"0370";"Noordwest-Nederland";"3163666"
"Beesel";"0889";"Limburg";"1118054"
"Bellingwedde";"0007";"Noord-Nederland";"1719039"
"Berg en Dal";"1945";"Oost-Nederland";"3167052"
"Bergeijk";"1724";"Brabant";"2489325"
"Bergen (L)";"0893";"Limburg";"1118054"
"Bergen (NH)";"0373";"Noordwest-Nederland";"3163666"
"Bergen op Zoom";"0748";"Brabant";"2489325"
"Berkelland";"1859";"Oost-Nederland";"3167052"
"Bernheze";"1721";"Brabant";"2489325"
"Best";"0753";"Brabant";"2489325"
"Beuningen";"0209";"Oost-Nederland";"3167052"
"Beverwijk";"0375";"Noordwest-Nederland";"3163666"
"Binnenmaas";"0585";"Zuidvleugel";"3600784"
"Bladel";"1728";"Brabant";"2489325"
"Blaricum";"0376";"Noordwest-Nederland";"3163666"
"Bloemendaal";"0377";"Noordwest-Nederland";"3163666"
"Bodegraven-Reeuwijk";"1901";"Zuidvleugel";"3600784"
"Boekel";"0755";"Brabant";"2489325"
"Borger-Odoorn";"1681";"Noord-Nederland";"1719039"
"Borne";"0147";"Oost-Nederland";"3167052"
"Borsele";"0654";"Zuidwestelijke Delta";"380717"
"Boxmeer";"0756";"Brabant";"2489325"
"Boxtel";"0757";"Brabant";"2489325"
"Breda";"0758";"Brabant";"2489325"
"Brielle";"0501";"Zuidvleugel";"3600784"
"Bronckhorst";"1876";"Oost-Nederland";"3167052"
"Brummen";"0213";"Oost-Nederland";"3167052"
"Brunssum";"0899";"Limburg";"1118054"
"Bunnik";"0312";"Utrecht";"1263509"
"Bunschoten";"0313";"Utrecht";"1263509"
"Buren";"0214";"Oost-Nederland";"3167052"
"Capelle aan den IJssel";"0502";"Zuidvleugel";"3600784"
"Castricum";"0383";"Noordwest-Nederland";"3163666"
"Coevorden";"0109";"Noord-Nederland";"1719039"
"Cranendonck";"1706";"Brabant";"2489325"
"Cromstrijen";"0611";"Zuidvleugel";"3600784"
"Cuijk";"1684";"Brabant";"2489325"
"Culemborg";"0216";"Oost-Nederland";"3167052"
"Dalfsen";"0148";"Oost-Nederland";"3167052"
"Dantumadiel";"1891";"Noord-Nederland";"1719039"
"De Bilt";"0310";"Utrecht";"1263509"
"De Fryske Marren";"1940";"Noord-Nederland";"1719039"
"De Marne";"1663";"Noord-Nederland";"1719039"
"De Ronde Venen";"0736";"Utrecht";"1263509"
"De Wolden";"1690";"Noord-Nederland";"1719039"
"Delft";"0503";"Zuidvleugel";"3600784"
"Delfzijl";"0010";"Noord-Nederland";"1719039"
"Den Helder";"0400";"Noordwest-Nederland";"3163666"
"Deurne";"0762";"Brabant";"2489325"
"Deventer";"0150";"Oost-Nederland";"3167052"
"Diemen";"0384";"Noordwest-Nederland";"3163666"
"Dinkelland";"1774";"Oost-Nederland";"3167052"
"Doesburg";"0221";"Oost-Nederland";"3167052"
"Doetinchem";"0222";"Oost-Nederland";"3167052"
"Dongen";"0766";"Brabant";"2489325"
"Dongeradeel";"0058";"Noord-Nederland";"1719039"
"Dordrecht";"0505";"Zuidvleugel";"3600784"
"Drechterland";"0498";"Noordwest-Nederland";"3163666"
"Drimmelen";"1719";"Brabant";"2489325"
"Dronten";"0303";"Noordwest-Nederland";"3163666"
"Druten";"0225";"Oost-Nederland";"3167052"
"Duiven";"0226";"Oost-Nederland";"3167052"
"Echt-Susteren";"1711";"Limburg";"1118054"
"Edam-Volendam";"0385";"Noordwest-Nederland";"3163666"
"Ede";"0228";"Oost-Nederland";"3167052"
"Eemnes";"0317";"Utrecht";"1263509"
"Eemsmond";"1651";"Noord-Nederland";"1719039"
"Eersel";"0770";"Brabant";"2489325"
"Eijsden-Margraten";"1903";"Limburg";"1118054"
"Eindhoven";"0772";"Brabant";"2489325"
"Elburg";"0230";"Oost-Nederland";"3167052"
"Emmen";"0114";"Noord-Nederland";"1719039"
"Enkhuizen";"0388";"Noordwest-Nederland";"3163666"
"Enschede";"0153";"Oost-Nederland";"3167052"
"Epe";"0232";"Oost-Nederland";"3167052"
