"url","verantwoordelijk","type"
"www.aaenmaas.nl","Waterschap Aa en Maas","Waterschap"
"www.agv.nl","Waterschap Amstel, Gooi en Vecht","Waterschap"
"www.brabantsedelta.nl","Waterschap Brabantse Delta","Waterschap"
"www.dommel.nl","Waterschap De Dommel","Waterschap"
"www.hdsr.nl","Hoogheemraadschap De Stichtse Rijnlanden","Waterschap"
"www.hhdelfland.nl","Hoogheemraadschap van Delfland","Waterschap"
"www.wdodelta.nl","Waterschap Drents Overijsselse Delta","Waterschap"
"www.hhnk.nl","Hoogheemraadschap Hollands-Noorderkwartier","Waterschap"
"www.wshd.nl","Waterschap Hollandse Delta","Waterschap"
"www.hunzeenaas.nl","Waterschap Hunze en Aa's","Waterschap"
"www.noorderzijlvest.nl","Waterschap Noorderzijlvest","Waterschap"
"www.wpm.nl","Waterschap Peel en Maasvallei","Waterschap"
"www.wrij.nl","Waterschap Rijn en Ijssel","Waterschap"
"www.rijnland.net","Hoogheemraadschap van Rijnland","Waterschap"
"www.waterschaprivierenland.nl","Waterschap Rivierenland","Waterschap"
"www.overmaas.nl","Waterschap Roer en Overmaas","Waterschap"
"www.scheldestromen.nl","Waterschap Scheldestromen","Waterschap"
"www.hhsk.nl","Hoogheemraadschap van Schieland en de Krimpenerwaard","Waterschap"
"www.vallei-veluwe.nl","Waterschap Vallei en Veluwe","Waterschap"
"www.vechtstromen.nl","Waterschap Vechtstromen","Waterschap"
"www.wetterskipfryslan.nl","Wetterskip Fryslan","Waterschap"
"www.zuiderzeeland.nl","Waterschap Zuiderzeeland","Waterschap"
"www.provincie.drenthe.nl/","Provincie Drenthe","Provincie"
"www.flevoland.nl/","Provincie Flevoland","Provincie"
"www.fryslan.frl/","Provincie Fryslan","Provincie"
"www.gelderland.nl/","Provincie Gelderland","Provincie"
"www.provinciegroningen.nl/","Provincie Groningen","Provincie"
"www.limburg.nl/","Provincie Limburg","Provincie"
"www.brabant.nl/","Provincie Noord-Brabant","Provincie"
"www.noord-holland.nl/","Provincie Noord-Holland","Provincie"
"www.overijssel.nl/","Provincie Overijssel","Provincie"
"www.provincie-utrecht.nl/","Provincie Utrecht","Provincie"
"www.zeeland.nl/","Provincie Zeeland","Provincie"
"www.zuid-holland.nl/","Provincie Zuid-Holland","Provincie"
"www.passievoorpubliekeverantwoording.nl","Algemene Rekenkamer","Rijksoverheid"
"www.rekenkamer.net","Algemene Rekenkamer","Rijksoverheid"
"www.rekenkamer.nl","Algemene Rekenkamer","Rijksoverheid"
"www.rekenkamer.org","Algemene Rekenkamer","Rijksoverheid"
"www.checkjeschoolgebouw.nl","Algemene Rekenkamer","Rijksoverheid"
"www.eu-verantwoording.nl","Algemene Rekenkamer","Rijksoverheid"
"www.magazines.algemenerekenkamer.nl","Algemene Rekenkamer","Rijksoverheid"
"www.eerstekamer.nl","Eerste Kamer","Rijksoverheid"
"www.communicatierijk.nl","Ministerie Algemene Zaken","Rijksoverheid"
"www.ctivd.nl","Ministerie Algemene Zaken","Rijksoverheid"
"www.english.kabinetvandekoning.nl","Ministerie Algemene Zaken","Rijksoverheid"
"www.government.nl","Ministerie Algemene Zaken","Rijksoverheid"
"www.kabinetvandekoning.nl","Ministerie Algemene Zaken","Rijksoverheid"
"www.koninklijkhuis.nl","Ministerie Algemene Zaken","Rijksoverheid"
"www.magazines.rijksoverheid.nl","Ministerie Algemene Zaken","Rijksoverheid"
"www.mediatheekrijksoverheid.nl","Ministerie Algemene Zaken","Rijksoverheid"
"www.platformrijksoverheiddemo.nl","Ministerie Algemene Zaken","Rijksoverheid"
"www.rijkshuisstijl.nl","Ministerie Algemene Zaken","Rijksoverheid"
"www.rijksoverheid.nl","Ministerie Algemene Zaken","Rijksoverheid"
"www.roomie.nl","Ministerie Algemene Zaken","Rijksoverheid"
"www.signalentest.nl","Ministerie Algemene Zaken","Rijksoverheid"
"www.staatsieportretten-bestellen.nl","Ministerie Algemene Zaken","Rijksoverheid"
"www.wrr.nl","Ministerie Algemene Zaken","Rijksoverheid"
"www.adviespuntklokkenluiders.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.agendastad.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.aivd.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.aivdhackathon.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.aivdkennisbank.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.algemenebestuursdienst.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.almanak.zboregister.overheid.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.arbeidenoverheid.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.architectenregister.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.benchmarkrijk.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.biedboek.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.bureaugateway.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.cfv.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.challengestad.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.collegevanrijksadviseurs.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.data.overheid.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.datawonen.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.deleerkaart.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.digicommissaris.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.digid.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.digitaleoverheid.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.e-overheid.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.earonline.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.eid-stelsel.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.evaluationdutchcaribbean.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.evenementenrijk.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.ezinesbr.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.flitspanel.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.forumstandaardisatie.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.functiegebouwrijksoverheid.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.gerechtelijkebrief.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.gerechtelijkebrieven.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.gewoontoegankelijk.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.gorrijk.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.grotestedenbeleid.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.handelingenbank.info","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.helpdeskbouwregels.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.herbestemmingsoestdijk.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
"www.huurcommissie.nl","Ministerie Binnenlandse Zaken","Rijksoverheid"
