"oinID","almanak_id","cbs_id"
"1001220469000","37136","GM0003"
"1001608204000","36121","GM0005"
"1001086017000","27352","GM0007"
"1001220615000","32134","GM0009"
"1009301914000","28652","GM0010"
"1009911339000","28731","GM0015"
"1001932962000","28059","GM0017"
"1001903433000","37316","GM0018"
"1001608320000","32064","GM0022"
"1009962475000","28617","GM0024"
"1001608290000","33125","GM0025"
"1006462583000","28393","GM0034"
"1001374564000","26139","GM0037"
"1001903548000","29722","GM0040"
"1001374527000","29680","GM0047"
"1001374588000","27845","GM0048"
"1006462455000","35858","GM0050"
"1009845057000","37505","GM0053"
"1009687099000","37541","GM0056"
"1006155315000","22362","GM0058"
"1001949251000","35934","GM0059"
"1002017441000","24843","GM0060"
"1001613996000","29342","GM0063"
"1001608782000","29407","GM0070"
"1001608836000","37578","GM0072"
"1001966108000","31453","GM0074"
"1001964124000","34288","GM0079"
"1001903664000","32728","GM0080"
"1001612359000","26367","GM0081"
"1002017891000","23566","GM0085"
"1001950149000","31946","GM0086"
"1002017428000","23540","GM0088"
"1001022799000","21462","GM0090"
"1001608861000","21593","GM0093"
"1001608885000","31502","GM0096"
"1002072117000","29037","GM0098"
"1001587936000","23236","GM0106"
"1806300917000","26491","GM0109"
"1001969316000","22781","GM0114"
"1001268193000","37770","GM0118"
"1806299046000","41121","GM0119"
"1006613755000","24415","GM0140"
"1001584108000","26572","GM0141"
"1001888468000","25660","GM0147"
"1809249108000","31019","GM0148"
"1001932469000","36571","GM0150"
"1001589623000","25100","GM0153"
"1001255824000","32233","GM0158"
"1001584157000","32576","GM0160"
"1001894729000","27513","GM0163"
"1001888730000","35296","GM0164"
"1809249091000","33640","GM0166"
"1001255836000","27430","GM0168"
"1001891984000","26440","GM0171"
"1001255861000","32363","GM0173"
"1001892022000","26754","GM0175"
"1809249145000","25053","GM0177"
"1001274739000","24378","GM0180"
"1002172859000","27560","GM0183"
"1001892009000","33357","GM0184"
"1001584182000","31127","GM0189"
"1001900249000","33731","GM0193"
"1007326117000","28197","GM0196"
"1813584784000","36483","GM0197"
"1001299918000","37707","GM0200"
"1001825112000","32510","GM0202"
"1001831112000","27179","GM0203"
"1001094920000","27471","GM0209"
"1001046561000","40941","GM0213"
"1807287684000","40352","GM0214"
"1001486809000","26183","GM0216"
"1001202728000","35063","GM0221"
"1001202789000","36726","GM0222"
"1001100415000","34358","GM0225"
"1001202546000","26095","GM0226"
"1001104524000","32407","GM0228"
"1001831124000","37170","GM0230"
"1001299992000","30232","GM0232"
"1001831136000","22253","GM0233"
"1001486846000","40626","GM0236"
"1001831148000","32835","GM0243"
"1001300015000","27765","GM0244"
"1001300027000","23411","GM0246"
"1001096163000","28895","GM0252"
"1813647320000","36828","GM0262"
"1807286953000","40900","GM0263"
"1001831197000","31196","GM0267"
"1001479179000","33391","GM0268"
"1001831203000","22938","GM0269"
"1001831227000","37873","GM0273"
"1001202698000","30749","GM0274"
"1001202637000","38004","GM0275"
"1001202662000","25634","GM0277"
"1001104469000","38050","GM0279"
"1001101857000","23734","GM0281"
"1001299967000","30397","GM0285"
"1001104536000","32273","GM0289"
"1001202601000","23981","GM0293"
"1001974658000","26666","GM0294"
"1001096874000","24056","GM0296"
"1807288111000","32790","GM0297"
"1001202649000","36525","GM0299"
"1813584620000","36962","GM0301"
"1001831185000","38081","GM0302"
"1001935823000","26889","GM0303"
"1004190105000","22640","GM0304"
"1002508369000","35134","GM0307"
"1001739657000","35974","GM0308"
"1002313273000","35756","GM0310"
"1002691401000","32201","GM0312"
"1002508631000","28326","GM0313"
"1001739712000","29645","GM0317"
"1002313388000","38261","GM0321"
"1002508667000","29800","GM0327"
"1002313455000","29923","GM0331"
"1001721628000","36085","GM0335"
"1001104512000","26860","GM0339"
"1001104500000","31352","GM0340"
"1001739682000","38312","GM0342"
"1002220647000","38122","GM0344"
"1001104470000","32921","GM0345"
"1002508679000","22403","GM0351"
"1002691760000","25942","GM0352"
"1002313832000","38362","GM0353"
"1002692016000","28557","GM0355"
"1002313546000","24713","GM0356"
"1001900675000","38409","GM0358"
"1001721926000","38624","GM0361"
"1001900663000","28270","GM0362"
"1002564440000","25698","GM0363"
"1001801284000","31527","GM0370"
"1809584803000","41074","GM0373"
"1001999266000","29600","GM0375"
"1002794056000","31318","GM0376"
"1001509822000","35480","GM0377"
"1810243428000","35518","GM0383"
"1001997233000","21518","GM0384"
"1001801338000","22102","GM0385"
"1001516619000","33494","GM0388"
"1001005650000","38688","GM0392"
"1001509913000","22752","GM0393"
"1001708879000","25768","GM0394"
"1001999291000","23365","GM0396"
"1001509937000","24295","GM0397"
"1001722219000","40448","GM0398"
"1001722244000","27630","GM0399"
"1001945907000","24611","GM0400"
"1001941914000","28797","GM0402"
"1001516814000","24950","GM0405"
"1002310612000","35806","GM0406"
"1001801491000","21723","GM0415"
"1001722311000","37098","GM0416"
"1002310594000","29164","GM0417"
"1001516826000","23294","GM0420"
"1002014294000","39007","GM0431"
"1001516905000","26028","GM0432"
"1001900687000","33532","GM0437"
"1001801582000","38751","GM0439"
"1823646518000","28858","GM0441"
"1002000155000","22715","GM0448"
"1001999321000","26536","GM0450"
"1001900651000","40702","GM0451"
"1002587439000","38811","GM0453"
"1001997634000","33836","GM0457"
"1001509962000","28231","GM0473"
"1003148889000","27115","GM0479"
"1001918412000","29079","GM0482"
"1001490394000","34040","GM0484"
"1001876946000","29877","GM0489"
"1815096288000","28022","GM0498"
"1001911193000","23644","GM0501"
"1001877045000","22846","GM0502"
"1001569417000","39076","GM0503"
"1001915794000","40563","GM0505"
"1001962577000","30894","GM0512"
"1001997956000","28975","GM0513"
"1002308836000","24873","GM0518"
"1002008221000","23504","GM0523"
"1001911259000","25383","GM0530"
"1002118907000","33795","GM0531"
"1004620732000","29758","GM0532"
"1002528265000","32323","GM0534"
"1002528423000","27030","GM0537"
"1001877185000","31244","GM0542"
"1002008269000","25207","GM0545"
"1002311112000","26226","GM0546"
"1001797724000","39225","GM0547"
"1002528198000","30853","GM0553"
"1001320257000","30349","GM0556"
"1816172638000","26403","GM0569"
"1002528381000","27985","GM0575"
"1002528319000","34729","GM0576"
"1001797840000","38899","GM0579"
"1001877367000","34946","GM0584"
"1816963216000","30982","GM0585"
"1006817841000","23784","GM0588"
"1001721689000","30578","GM0589"
"1001919775000","35435","GM0590"
"1001877410000","40741","GM0597"
"1001876387000","38936","GM0599"
"1001527812000","27300","GM0603"
