"actorenId","actorenName","actorenComment"
"10648/a132b71b-4c28-4622-9a5d-f9a7d1026d69","Ministerie van Onderwijs, Cultuur en Wetenschap","1994"
"10648/1de594af-916a-415e-bc03-8fcfda244bc8","Ministerie van Onderwijs en Wetenschappen","1965-1994"
"10648/4a081c63-7d29-401f-9e33-574c7631ab08","Ministerie van Justitie","1813-2010"
"10648/79ea38ff-57f1-4893-ad77-23cb6b3b3110","Ministerie van Binnenlandse Zaken en Koninkrijksrelaties","1813"
"10648/a4570897-8f85-4a70-afff-939312aad497","Raad voor Studie- en Beroepskeuzevoorlichting (SZW)","1991-1996"
"10648/81b1e937-af39-4eb2-a0b0-e7bf30e30e99","Ministerie van Financiën","1815"
"10648/d58cdb29-d2da-4de6-8c9b-0ad83d39b571","Algemene Leiding Centrale Directies (Financiën)","2004-2012"
"10648/01f2289f-a1fc-41d1-a400-91a2e4882384","Ministerie van Sociale Zaken en Werkgelegenheid","1971"
"10648/d81deca6-6336-45a6-9d2e-c586ae58fced","Directoraat-Generaal Belastingdienst (Financiën)","1975"
"10648/a646a93d-f88c-48eb-a641-3bceadee3c01","Algemene Leiding (SZW)","1975"
"10648/c3251ba7-1201-4c05-8495-0dfe6c3b35dd","Bureau Secretaris-Generaal (SZW)","1975"
"10648/fad64ca6-1fc6-447d-bffd-3656801a62c9","Directoraat-Generaal voor Fiscale Zaken (Financiën)","1975"
"10648/5fd77594-fc0f-4307-99b4-b3b69f2be1f6","Auditdienst (SZW)","1980-2012"
"10648/9dc78838-18da-483e-a514-3d9d9af81833","Directie Algemene Fiscale Politiek (Financiën)","1975"
"10648/cc20757a-c5b1-430c-a21b-616d7b80231b","Directie Directe Belastingen (Financiën)","1975"
"10648/0e41fdf9-a163-4747-90b1-75047f7ea809","Directie Douane en Verbruiksbelastingen (Financiën)","2006-2014"
"10648/32f45ea7-216d-4b23-9847-e1eae7d83753","Directie Wetgeving Douane (Financiën)","1975-2006"
"10648/bd6bae35-f314-474a-b195-47a88016dd1b","Directie Wetgeving Verbruiksbelastingen (Financiën)","1975-2006"
"10648/5befc1fe-634e-4f2b-8158-268bb9400506","Directie Internationale Fiscale Zaken (Financiën)","1975-2014"
"10648/139b501e-1735-488a-9edf-cfe24cd9d602","Directie Bestuursondersteuning (SZW)","1995-2002"
"10648/1fe4302c-c47c-4257-9a8a-9b79b0a37547","Directie Algemene Zaken (SZW)","1987-2005"
"10648/5e0069e3-6c4e-40a3-9a2b-4c4c8d2c8da2","Directoraat-Generaal Rijksbegroting (Financiën)","1975"
"10648/c3f6963f-8c37-471e-9a21-8c0c626726c1","Directie Begrotingszaken (Financiën)","1975"
"10648/9e8e4f2a-ffaf-451c-b0d9-cf00185bd175","Belastingdienst (Financiën)","1975"
"10648/915e9dae-a825-4e76-93ec-c18cfc1e1f3b","Directie Communicatie (SZW)","2002"
"10648/8a5d7230-249d-49d1-a04c-3b9fa7fd2c1e","Generale Thesaurie (Financiën)","1975"
"10648/a517a5f2-342a-4c97-8e44-2e2e8c413a3b","Algemene Leiding (Financiën)","1975"
"10648/539afcba-1a33-46d5-9ade-bd7e4acdf471","Directie Financieel Economische Zaken (SZW)","1975"
"10648/2669ed10-61af-422f-8873-396ff08a9c09","Directie ICT-Diensten (SZW)","2006-2009"
"10648/44c0b4d9-e671-443b-8149-8ccb7a66416e","Directie SZW-Consult","1975-1998"
"10648/863f29a0-971e-4d29-86c4-db62eedddeb3","Directie Domeinen Onroerende Zaken (Financiën)","2008-2009"
"10648/d8621422-f3f4-4a80-b8c2-ccb7830863ff","Dienst Domeinen Roerende Zaken (Financiën)","1994"
"10648/93312988-228d-4c63-b3e4-a6b1326360fb","Directie Naleving (SZW)","2004-2012"
"10648/d9e5ba72-b967-4dbe-bf1d-0933dc532e80","Dienst Domeinen Onroerende Zaken (Financiën)","1994-2009"
"10648/69812e72-af6c-4e54-9a13-8d740c1b9d4f","Directie Wetgeving, Bestuurlijke en Juridische Aangelegenheden  (SZW)","1975"
"10648/3e2d24f0-53b5-4ad3-8339-57dd3807251a","Rijksvastgoed- en Ontwikkelingsbedrijf (Financiën)","2009-2012"
"10648/eaaecc71-7f47-4514-8a1e-0a550febf110","Directie Bedrijfsvoering (SZW)","2004"
"10648/5d74d5b5-a57c-4dbb-93e2-196cb9156042","Raad voor Vastgoed Rijksoverheid (Financiën)","2001"
"10648/1b0824c3-7c49-4c19-94b6-d76d946cb42a","Projectdirectie Vastgoed (Financiën)","2001-2013"
"10648/46d377e3-c9d1-4919-87e4-409f33c66dde","Directie Domeinen (Financiën)","1975-2008"
"10648/d807bbeb-1b33-4efa-abde-ec29c135b1b4","Dienst Domeinen (Financiën)","1975-2008"
