ZBO (afkorting),Volledige naam,Jaartal,Departement,Omzet (totaal),Omzet moeder-departement,Omzet overige departementen,Omzet tarieven,Omzet premies,Overig,FTE,Website,Geëvalueerd,Evaluatie voorzien (ja / nee),Datum laatste evaluatie,Link laatste evaluatie,Volgende evaluatie
Stimuleringsfonds Creatieve Industrie,Stimuleringsfonds Creatieve Industrie,2014,OCW,"11,6","11,6",0,0,0,0,23,http://www.stimuleringsfonds.nl/,nee,ja,n.v.t.,n.v.t.,2018
Mondriaan Fonds,Mondriaan Fonds,2014,OCW,26,26,0,0,0,0,30,http://www.mondriaanfonds.nl/,nee,ja,n.v.t.,n.v.t.,2018
KB,Koninklijke Bibliotheek,2014,OCW,"46,9","46,9",0,0,0,0,400,http://www.kb.nl/,nee,ja,n.v.t.,n.v.t.,2020
NPO,De Nederlande Publieke Omroep,2014,OCW,"85,2","85,2",0,0,0,0,11,http://www.npo.nl/,nee,nee,n.v.t.,n.v.t.,niet gepland
NVAO,Nederlands-Vlaamse Accreditatieorganisatie,2014,OCW,"3,8","3,8",0,0,0,0,48,http://www.nvao.net/,ja,ja,12/09/13,https://zoek.officielebekendmakingen.nl/kst-32210-24.html,2018
NWO,Nederlandse organisatie voor Wetenschappelijk onderzoek,2014,OCW,"687,4","687,4",0,0,0,0,417,http://www.nwo.nl/,nee,ja,n.v.t.,n.v.t.,2017
Stimuleringsfonds Journalistiek,Stimuleringsfonds voor de Journalistiek,2014,OCW,"2,1","2,1",0,0,0,0,7,http://www.persinnovatie.nl/,ja,ja,06/12/11,https://zoek.officielebekendmakingen.nl/kst-32827-28.html,2018
PF,Participatiefonds,2014,OCW,"199,4","2,6",0,0,"196,8",0,0,https://www.participatiefonds.nl/,nee,nee,n.v.t.,n.v.t.,niet gepland
VF,Vervangingsfonds,2014,OCW,305,"3,4",0,0,"301,6",0,"33,4",http://www.vervangingsfonds.nl/,nee,nee,n.v.t.,n.v.t.,niet gepland
BFT,Bureau Financieel Toezicht,2014,VenJ,"6,4","6,3",0,0,0,"0,1","45,2",www.bureauft.nl,nee,nee,n.v.t.,n.v.t.,niet gepland
COA,Centraal Orgaan Opvang Asielzoekers (COA),2014,VenJ,"740,9","740,9",0,0,0,0,1230,www.coa.nl,ja,ja,01/01/15,https://zoek.officielebekendmakingen.nl/blg-515256,2020
CBP,College Bescherming Persoonsgegevens,2014,VenJ,"8,2","8,2",0,0,0,0,"74,2",www.cbpweb.nl,nee,nee,n.v.t.,n.v.t.,niet gepland
NRGD,College gerechtelijk deskundigen,2014,VenJ,"1,5","1,5",0,0,0,0,8,www.nrgd.nl,ja,ja,09/04/15,https://zoek.officielebekendmakingen.nl/blg-515256,2020
CVTA,College van toezicht auteursrechten,2014,VenJ,"0,7","0,7",0,0,0,0,"2,5",www.cvta.nl,nee,nee,n.v.t.,n.v.t.,niet gepland
CRM,College voor de Rechten van de Mens,2014,VenJ,"5,8","5,8",0,0,0,0,55,www.mensenrechten.nl,nee,ja,n.v.t.,n.v.t.,2017
SGM,Commissie Schadefonds Geweldsmisdrijven,2014,VenJ,"6,3","6,3",0,0,0,0,"84,6",www.schadefonds.nl,nee,nee,n.v.t.,n.v.t.,niet gepland
IFV,Instituut Fysieke Veiligheid,2014,VenJ,"62,5",31,0,0,0,"31,6",210,www.IFV.nl,nee,nee,n.v.t.,n.v.t.,niet gepland
LBIO,Landelijk Bureau Inning Onderhoudsbijdragen,2014,VenJ,"7,3","4,7",0,0,0,"2,6",82,www.lbio.nl,nee,ja,n.v.t.,n.v.t.,2018
OVV,Onderzoeksraad voor Veiligheid,2014,VenJ,"11,1","11,1",0,0,0,0,65,www.onderzoeksraad.nl,ja,ja,29/06/15,https://zoek.officielebekendmakingen.nl/kst-32008-2.html,2019
Politieacademie,Politieacademie,2014,VenJ,"179,7","124,5",0,0,0,"55,2","1485,4",www.politieacademie.nl,nee,nee,n.v.t.,n.v.t.,niet gepland
RvR,Raad voor Rechtsbijstand,2014,VenJ,"450,9","52,3",0,0,0,"398,6","207,8",www.rvr.org,nee,nee,n.v.t.,n.v.t.,niet gepland
Nidos,Stichting Nidos,2014,VenJ,"26,9","24,7",0,0,0,"2,2",236,www.nidos.nl,nee,nee,n.v.t.,n.v.t.,niet gepland
AFM,Autoriteit Financiële Markten,2014,FIN,"81,6","20,5",0,61,0,0,560,www.afm.nl,nee,ja,n.v.t.,n.v.t.,2016
DNB,De Nederlandsche Bank,2014,FIN,"136,4","19,8",0,"116,6",0,0,"803,9",www.dnb.nl,nee,ja,n.v.t.,n.v.t.,2016
Waarderingskamer,Waarderingskamer,2014,FIN,4,"1,2",0,0,0,"2,8",19,www.waarderingskamer.nl,nee,ja,n.v.t.,n.v.t.,2016
SVB,Sociale Verzekeringsbank (SVB),2014,SZW,40176,4594,38,0,35524,20,2646,www.svb.nl,ja,ja,16/12/15,https://zoek.officielebekendmakingen.nl/blg-643236,2020
UWV,Uitvoeringsinstituut Werknemersverzekeringen (UWV),2014,SZW,24411,4141,23,0,20247,0,16766,www.uwv.nl,ja,ja,16/12/15,https://zoek.officielebekendmakingen.nl/blg-643236,2020
CAK,Centraal Administratie Kantoor,2014,VWS,"98,3","98,3",0,0,0,0,"672,1",www.hetcak.nl,nee,ja,n.v.t.,n.v.t.,2018
CCMO en METC's,Centrale Commissie voor Mensgebonden Onderzoek en Medisch Ethische Commissies,2014,VWS,"1,8","1,8",0,0,0,0,16,www.ccmo.nl,ja,ja,10/02/15,https://zoek.officielebekendmakingen.nl/kst-29963-13.html,2020
SARSR,Stichting Afwikkeling rechtsherstel Sinti en Roma,2014,VWS,0,0,0,0,0,0,0,geen,nee,nee,n.v.t.,n.v.t.,niet gepland
CSZ,College Sanering Zorginstellingen,2014,VWS,"2,9","2,9",0,0,0,0,11,www.collegesanering.nl,nee,nee,n.v.t.,n.v.t.,niet gepland
NZa,Nederlandse Zorgautoriteit,2014,VWS,"47,1","47,1",0,0,0,0,318,www.nza.nl,ja,ja,02/09/14,https://zoek.officielebekendmakingen.nl/kst-25268-87.html,2019
ZiNL,Zorginstituut Nederland,2014,VWS,63,63,0,0,0,0,"383,8",www.zorginstituutnederland.nl,ja,ja,22/10/14,https://zoek.officielebekendmakingen.nl/kst-25268-99.html,2019
PUR,Pensioen- en Uitkeringsraad,2014,VWS,"3,6","3,6",0,0,0,0,3,,nee,ja,22/10/14,https://zoek.officielebekendmakingen.nl/kst-25268-99.html,2019
CBG,College ter Beoordeling van Geneesmiddelen,2014,VWS,"0,8",0,0,0,0,0,175,www.cbg-meb.nl,nee,ja,n.v.t.,n.v.t.,2016
ZonMW,Zorgonderzoek Nederland / Medische Wetenschappen,2014,VWS,"88,6","88,6",0,0,0,0,0,www.zonmw.nl,nee,ja,n.v.t.,n.v.t.,2016
