ZBO (afkorting),Volledige naam,Jaartal,Departement,Omzet (totaal),Omzet moeder-departement,Omzet overige departementen,Omzet tarieven,Omzet premies,Overig,FTE,Website,Geëvalueerd,Evaluatie voorzien (ja / nee),Datum laatste evaluatie,Link laatste evaluatie,Volgende evaluatie
Huurcommissie,Huurcommissie,2014,BZK/WenR,"13,2","12,2",0,1,0,0,100,www.huurcommissie.nl,nee,ja,n.v.t.,n.v.t.,2016
SAIP,Stichting Administratie Indonesische Pensioenen,2014,BZK/WenR,"27,7","15,8","11,9",0,0,0,0,www.saip.nl,nee,nee,n.v.t.,n.v.t.,niet gepland
Bureau Architectenregister,Bureau Architectenregister,2014,BZK/WenR,1,"0,1",0,"0,9",0,0,"6,5",www.architectenregister.nl,nee,ja,n.v.t.,n.v.t.,2016
Kiesraad,Kiesraad,2014,BZK/WenR,"2,1","2,1",0,0,0,0,16,www.kiesraad.nl,nee,ja,n.v.t.,n.v.t.,2019
CTGB,College voor de toelating van gewasbeschermingsm. en biociden,2014,EZ,"9,6","1,9","0,6","7,1",0,0,110,www.ctgb.nl,ja,ja,13/10/11,https://zoek.officielebekendmakingen.nl/kst-27858-100.html,2016
CBS,Centraal Bureau voor de Statistiek,2014,EZ,"175,2","155,4","19,8",0,0,0,1759,www.cbs.nl,ja,nee,22/01/12,https://zoek.officielebekendmakingen.nl/kst-25268-74.html,niet gepland
COKZ/NCAE,Stichting Centraal Orgaan voor Kwaliteitsaangelegenheden in de Zuivel,2014,EZ,"8,1","0,1",0,8,0,0,51,www.cokz.nl,nee,nee,,,niet gepland
Raad voor Plantenrassen,Raad voor Plantenrassen,2014,EZ,"1,3","0,8",0,"0,5",0,0,0,www.plantenrassen.nl,ja,ja,24/01/12,https://zoek.officielebekendmakingen.nl/kst-25268-75.html,2017
KVK,Kamer van Koophandel,2014,EZ,"216,4","134,9",0,"81,6",0,0,1388,www.kvk.nl,ja,ja,2010,https://zoek.officielebekendmakingen.nl/kst-32004-2.html,2017
RvB ACM,Autoriteit Consument en Markt,2014,EZ,"0,7","0,7",0,0,0,0,3,https://www.acm.nl/nl/,ja,ja,18/12/15,https://zoek.officielebekendmakingen.nl/kst-25268-132.html,2020
RvA,Raad voor Accreditatie,2014,EZ,"12,7","0,2",0,"12,4",0,0,96,www.rva.nl,nee,ja,n.v.t.,n.v.t.,2016
SBB,Staatsbosbeheer,2014,EZ,"152,6","26,6",0,0,0,126,905,www.staatsbosbeheer.nl,ne,nee,n.v.t.,n.v.t.,niet gepland
TNO,TNO,2014,EZ,526,"139,9","33,6",0,0,"352,5",2736,www.tno.nl,nee,nee,n.v.t.,n.v.t.,niet gepland
Verispect BV,Verispect,2014,EZ,"14,6","14,6",0,0,0,0,32,www.agentschaptelecom.nl,nee,nee,n.v.t.,n.v.t.,niet gepland
Kadaster,Kadaster,2014,IenM,"269,9","30,7","5,6","221,3",0,"12,3",1661,www.kadaster.nl,ja,ja,17/12/15,https://zoek.officielebekendmakingen.nl/kst-25268-129.html,2020
CBR,Centraal Bureau Rijvaardigheidsbewijzen (CBR),2014,IenM,118,3,0,115,0,0,1038,www.cbr.nl,nee,nee,n.v.t.,n.v.t.,2017
Nea,Nederlandse Emissieautoriteit,2014,IenM,"0,1",0,0,0,0,0,"0,4",www.emissieautoriteit.nl/,nee,nee,n.v.t.,n.v.t.,2017
CvTE,College voor Toetsen en Examens,2014,OCW,"14,4","14,4",0,0,0,0,25,http://www.cve.nl/,ja,ja,01/05/14,https://zoek.officielebekendmakingen.nl/kst-25268-129.html,2020
CvdM,Commissariaat voor de Media,2014,OCW,"5,5","5,5",0,0,0,0,46,http://www.cvdm.nl/,ja,ja,12/11/13,https://zoek.officielebekendmakingen.nl/kst-33750-VIII-60.html,2018
Mediafonds,Mediafonds,2014,OCW,"18,6","18,6",0,0,0,0,13,http://www.mediafonds.nl/,nee,nee,n.v.t.,n.v.t.,niet gepland
Cultuurparticipatie,Fonds voor Cultuurparticipatie,2014,OCW,"12,4","12,4",0,0,0,0,20,http://www.cultuurparticipatie.nl/,nee,ja,n.v.t.,n.v.t.,2018
Nederlands Filmfonds,Nederlands Filmfonds,2014,OCW,"49,4","49,4",0,0,0,0,30,http://www.filmfonds.nl/,nee,ja,n.v.t.,n.v.t.,2018
Podiumkunsten,Fonds Podiumkunsten,2014,OCW,45,45,0,0,0,0,43,http://www.fondspodiumkunsten.nl/,nee,ja,n.v.t.,n.v.t.,2018
Letterenfonds,Nederlands Letterenfonds,2014,OCW,"10,2","10,2",0,0,0,0,30,http://www.letterenfonds.nl/,nee,ja,n.v.t.,n.v.t.,2018
