DSTA_GR_naam,Adres,Postcode,Plaats,CBS_GR_naam,CBS_GR_code
Afvalbeheer Regio Centraal Groningen (ARCG),Postbus 742,9700 AS,Groningen,Afvalbeheer Regio Centraal Groningen (ARCG),GR0316
Afvalschap IJmond-Zaanstreek,Postbus 1188,1500 AD,Zaandam,,
Afvalstoffenverwijdering Oost- en Zuidoost Groningen (SOZOG),Postbus 140,9500 AC,Stadskanaal,,
Afvalverwijdering Utrecht,Postbus 3250,3760 DG,Soest,,
Alescon,Postbus 990,9400 AZ,Assen,,
Alg Muziekschool Oost-Groningen,Jachtlaan 19 A,9675 JA,Winschoten,,
Aquon,Postbus 328,4000 AH,Tiel,Aquon,GR0698
BAR-organisatie,Koningsplein 1,2980 AG ,Ridderkerk,BAR-organisatie,GR0828
Baanbrekers,Postbus 15,5140 AA,Waalwijk,,
Bedrijvenpark Drachten Azeven,Hoofdstraat 82,9244 CR,Beetsterzwaag,,
Bedrijvenpark Ekkersrijt,Postbus 8,5690 AA,Son,,
Bedrijvenpark Rengers,Postbus 13,9620 AA,Slochteren,,
Bedrijvenschap Businesspark Venlo (Venlo Green Park),Postbus 105,5900 AC,Venlo,,
Bedrijvenschap Harnaschpolder,Postbus 595,2600 AN,Delft,,
Bedrijvenschap Hoefweg,Postbus 1,2650 AA,Berkel En Rodenrijs,,
Bedrijvenschap Regio Gouda,"p/a Gemeente Gouda, Postbus 1086",2800 BB,Gouda,,
Belastingsamenwerking Gemeenten en Waterschappen,Postbus 1275,6040 KG,Roermond,,
Belastingsamenwerking Gouwe-Rijnland (BSGR),Postbus 1141,2302 BC,Leiden,,
Belastingsamenwerking Oost-Brabant (BSOB),Postbus 154,5340 AD,Oss,,
Belastingsamenwerking Rivierenland,Postbus 18,4000 AA,Tiel,,
Belastingsamenwerking West-Brabant,Postbus 502,4870 AM,Etten-Leur,,
Bestuur Regio Utrecht (BRU),Postbus 14107,3508 SE,Utrecht,Bestuur Regio Utrecht (BRU),GR0022
Bestuursacademie Zuid-Nederland in liquidatie (GR-BAZN),Meerkoldreef 6,5042 PN ,Tilburg,,
Bestuursdienst Ommen-Hardenberg,Postbus 500,7770 BA,Hardenberg,,
Bijsterhuizen,Bijsterhuizen 25-27,6604 LM,Wijchen,,
Brabants Historisch Informatie Centrum (BHIC),Postbus 81,5201 AB,'s-Hertogenbosch,,
Brandweer Delft-Rijswijk,Postbus 52155,2501 CD,'s-Gravenhage,,
Bureau Openbare verlichting,Ambachtsstraat 1e,3371 XA,Hardinxveld-Giessendam,,
Centraal Afvalverwerkingsbedrijf W-Friesland,Postbus 9199,1800 GD,Alkmaar,,
Centraal Nautisch Beheer Noordzeekanaalgebied,Postbus 19406,1000 GK,Amsterdam,,
DCMR Milieudienst Rijnmond,Postbus 843,3100 AV,Schiedam,,
De Marrekrite,Ruiterskwartier 119A,8911 BS,Leeuwarden,,
De noordelijke Rekenkamer,Lauwers 14,9405 BL,Assen,,
Delta,Postbus 269,7200 AG,Zutphen,,
Diamant-groep,Postbus 5033,5004 EA,Tilburg,Diamant-groep,GR0506
Dienst Dommelvallei,Postbus 10101,5660 GA,Geldrop,,
Dienst Sociale Werkvoorziening Rijswijk E O,Postbus 586,2700 AN,Zoetermeer,,
Dienst Sociale Werkvoorziening in West-Friesland Op/maat,Postbus 566,1620 AN,Hoorn,Dienst Sociale Werkvoorziening in West-Friesland Op/maat,GR0266
Dienst Sociale Zaken en Werkgelegenheid Noardwest Fryslân,Postbus 4,8800 AA,Franeker,Dienst Sociale Zaken en Werkgelegenheid Noardwest Fryslân,GR0435
Emco-Groep,Postbus 2040,7801 CA,Emmen,,
"Epe,Hattem en Heerde vh Noord-Veluwe","p/a Gemeente Epe, Postbus 600",8160 AP,Epe,,
Erfgoedcentrum Nieuw land,Postbus 73,8200 AB,Lelystad,,
Exploitatiemaatschappij Bedrijvenpark Drachten,Postbus 10000,9244 ZP,Beetsterzwaag,,
GGD Brabant-Zuidoost,Postbus 810,5700 AV,Helmond,GGD Brabant-Zuidoost,GR0358
GGD Drenthe,Postbus 144,9400 AC,Assen,,
GGD Flevoland,Postbus 1120,8200 AM,Lelystad,,
GGD Gelre IJssel,Postbus 51,7300 AB,Apeldoorn,,
GGD Hart voor Brabant,Postbus 3024,5003 DA,Tilburg,,
GGD Hollands Noorden,Postbus 324,1740 AH,Schagen,,
GGD IJsselland,Postbus 1453,8001 BL,Zwolle,,
GGD Midden-Nederland,Postbus 51,3700 AB,Zeist,,
GGD Regio Nijmegen,Postbus 1120,6501 BC,Nijmegen,,
GGD Zaanstreek Waterland,Postbus 2056,1500 GB,Zaandam,,
GGD Zeeland,Postbus 345,4460 AS,Goes,,
GGD Zuid-Holland West,Postbus 6080,2702 AB,Zoetermeer,,
GGD Zuid-Limburg,Postbus 2022,6160 HA,Geleen,GGD Zuid-Limburg,GR0520
"GR ""De Kompanjie""",Postbus 85,9640 AB,Veendam,"GR ""De Kompanjie""",GR0662
GR Alblasserwaard-Vijfheerenlanden,Postbus 119,4200 AC,Gorinchem,,
"GR BEL-combinatie (werkorganisatie gemeenten Blaricum, Eemnes en Laren)",Postbus 71,3755 ZH,Eemnes,,
GR Bedrijvenpark Medel,Postbus 6278,4000 HG,Tiel,,
GR Cocensus,Postbus 797,2130 AT,Hoofddorp,,
GR De Betho,Postbus 222,4460 AE,Goes,,
GR Felua (Felua-groep),Postbus 625,7300 AP,Apeldoorn,GR Felua (Felua-groep),GR0253
GR Gebiedsontwikkeling Luchthaven Twente e.o. (Area Development Twente),Zuidkampweg gebouw Z31,7524 PJ ,Enschede,,
GR ISD Kompas,Postbus 22021,6360 BZ,Nuth,,
GR Kleinschalig Collectief Vervoer Brabant Noordoost,Raadhuislaan 2,5341 GM,Oss,,
GR Leer-werkbedrijf Noard East Fryslân,Postbus 9,9290 AA,Kollum,,
GR Meerstad,Postbus 13,9620 AA,Slochteren,,
GR Nazorg Gesloten Stortplaatsen Bavel-Dorst en Zevenbergen,Postbus 90156,4800 RH,Breda,,
GR Regionale uitvoeringsdienst Noord-Holland Noord,Dampten 2,1624 NR,Hoorn ,,
GR Samenwerking De Liemers,Postbus 45,6920 AA,Duiven,,
GR Samenwerking Kempengemeenten,Postbus 11,5540 AA,Reusel,,
GR Samenwerkingsorgaan Hoeksche Waard,Postbus 7059,3286 ZH,Klaaswaal,,
GR Samenwerkingsverband Heiso (Atlant Groep),Postbus 272,5700 AG,Helmond,GR Samenwerkingsverband Heiso (Atlant Groep),GR0448
GR Sociale werkvoorziening 'Fryslân',Postbus 515,9200 AM,Drachten,GR Sociale werkvoorziening 'Fryslân',GR0296
GR Sportpark Souburgh,Postbus 2,2950 AA,Alblasserdam,,
"GR VAST (voorheen ""De Waddeneilanden"")",postbus 203,8860 AE ,Harlingen,,
GR Veiligheid & Gezondheidsregio Groningen,Postbus 584,9700 AN,Groningen,,
GR Veiligheidsregio Rotterdam-Rijnmond,Postbus 9154,3007 AD,Rotterdam,GR Veiligheidsregio Rotterdam-Rijnmond,GR0617
GR Veiligheidsregio Zeeland,Postbus 8016,4330 EA,Middelburg,,
GR Werk-leerbedrijf NoardEast Fryslân,Postbus 9,9290 AA,Kollum,GR Werk-leerbedrijf NoardEast Fryslân,GR0681
GR Werkvoorzieningsschap De Avelingen Groep,Postbus 210,4200 AE,Gorinchem,GR Werkvoorzieningsschap De Avelingen Groep,GR0270
GROGZ West Brabant (GGD West Brabant),Postbus 3024,5003 DA,Tilburg,GROGZ West Brabant (GGD West Brabant),GR0485
Gemeenschappelijk Belasting- en registratiedienst,Postbus 31300,6370 AH,Landgraaf,,
Gemeenschappelijk Belastingkantoor Lococensus-Tricijn,Postbus 1098,8001 BB,Zwolle,,
Gemeenschappelijk waterschaps laboratorium (Aquon),Postbus 328,4000 AH,Tiel,,
Gemeenschappelijke Gezondheidsdienst Noord-Kennemerland,Postbus 9333,1800 GH,Alkmaar,,
Gemeenschappelijke Raad voor het Openbaar Bibliotheekwerk Bussum en Naarden,Postbus 6000,1400 HA,Bussum,,
Gemeenschappelijke Regeling Belastingsamenwerking Sabewa Zeeland,Postbus 1155,4530 GD,Terneuzen,,
Gemeenschappelijke Regeling Bleizo,Postbus 111,2665 ZJ,Bleiswijk,,
Gemeenschappelijke Regeling De Regionale Belastinggroep,Postbus 2929,2601 CX,Delft,,
Gemeenschappelijke Regeling Drechtsteden,Postbus 619,3300 AP,Dordrecht,Gemeenschappelijke Regeling Drechtsteden,GR0621
Gemeenschappelijke Regeling FUMO,Postbus 21000,8900 JA,Leeuwarden,,
