DSTA_GR_naam,Adres,Postcode,Plaats,CBS_GR_naam,CBS_GR_code
Gemeenschappelijke Regeling Gesubsidieerde Arbeid Kop van Noord-Holland (GRGA),Postbus 315,1740 AH,Schagen,,
Gemeenschappelijke Regeling Hefpunt,Postbus 88,9700 AB,Groningen,,
Gemeenschappelijke Regeling Het Waterschapshuis,Postbus 2180,3800 CD,Amersfoort,,
Gemeenschappelijke Regeling IJsselgemeenten,Postbus 566,2900 AN,Capelle aan den IJssel,,
Gemeenschappelijke Regeling Metropoolregio Eindhoven,Postbus 98,5600 AZ,EINDHOVEN,,
Gemeenschappelijke Regeling NEF Trion,Postbus 9,9290 AA,Kollum,,
Gemeenschappelijke Regeling Omnibuzz,Postbus 99,6160 AB,Geleen,,
Gemeenschappelijke Regeling Regio Hart van Brabant (voorheen ROM),Postbus 90154,5000 LG,Tilburg,Gemeenschappelijke Regeling Regio Hart van Brabant (voorheen ROM),GR0835
Gemeenschappelijke Regeling Regio West-Brabant,Postbus 503,4870 AM,Etten-Leur,,
Gemeenschappelijke Regeling Reinigingstaak Borsele - Goes,Postbus 1,4450 AA,Heinkenszand,,
Gemeenschappelijke Regeling Sallcon,Postbus 152,7400 AD,Deventer,Gemeenschappelijke Regeling Sallcon,GR0244
Gemeenschappelijke Regeling Vixia,Postbus 239,6130 AE,Sittard,Gemeenschappelijke Regeling Vixia,GR0544
Gemeenschappelijke Regeling Waddenfonds,Ruiterkwartier 121a,8911 BS,Leeuwarden,Gemeenschappelijke Regeling Waddenfonds,GR0702
Gemeenschappelijke Regeling aandelen Slibverwerking 2009/ N.V. Huisvuilcentrale Noord-Holland,Postbus 9199,1800 GD,Alkmaar,,
Gemeenschappelijke Regeling beheer grondwateronttrekking Delft Noord,Postbus 3061,2601 DB,Delft,,
Gemeenschappelijke Regeling omgevingsdienst Haaglanden,Postbus 14060,2501 GB,'s-Gravenhage,,
Gemeenschappelijke Vuilverwerking Dordrecht en omstreken (Gevudo),p/a Postbus 348,3300 AJ,Dordrecht,,
Gemeenschappelijke Vuilverwerking Leiden e.o.,Admiraal Banckertweg 15,2315 SR,Leiden,,
Gemeenschappelijke regeling Cure,Postbus 90150,5600 RB,Eindhoven,,
Gemeenschappelijke regeling Regio Stedendriehoek,Postbus 5000,7400 GC,Deventer,,
Gemeenschappelijke regeling Samenwerking De Bevelanden,Postbus 2118,4460 MC,Goes,,
Gemeentelijk Belastingkantoor Twente,Postbus 845,7550 AV,Hengelo,,
Gemeentelijke Kredietbank Drenthe,Postbus 426,9400 AK,Assen,,
Gesubsidieerde arbeid Kop van Noord-Holland,Postbus 315,1740 AH,Schagen,,
Gewest Gooi en Vechtstreek,Postbus 251,1400 AG,Bussum,Gewest Gooi en Vechtstreek,GR0006
Glastuinbouw Bergerden,Postbus 15,6680 AA,Bemmel,,
Gr Groengebied Amstelland,Postbus 2571,2002 RB,Haarlem,,
Gr Milieusamenwerking en Afvalverwerking Regio Nijmegen,Postbus 1029,6501 BA,Nijmegen,,
Gr Zeeuwse Muziekschool,Kuiperspoort 21,4331 GS,Middelburg,,
Gr voor Sociale Kredietverlening en Schuldhulpverlening in Limburg (Kredietbank Limburg),Postbus 103,6400 AC,Heerlen,,
Groenbeheer Hoeksche Waard,Postbus 4103,2980 GC,Ridderkerk,,
Groenzoom,Kleihoogt 7a,2651 KV,Berkel En Rodenrijs,,
Grondbank RZG Zuidplas,Postbus 90602,2509 LP,'s-Gravenhage,,
Groningen seaports,Postbus 20004,9930 PA,Delfzijl,Groningen seaports,GR0084
Hameland,Postbus 58,7130 AB,Lichtenvoorde,,
Hamelandgroep,Postbus 58,7130 AB,Lichtenvoorde,,
Havenschap Moerdijk,Postbus 17,4780 AA,Moerdijk,,
Het Utrechts Archief,Postbus 131,3500 AC,Utrecht,,
Historisch centrum Overijssel,Eikenstraat 20,8021 WX ,Zwolle,,
ICT Samenwerking Zuidwest-Fryslân,Postbus 67,8700 AB,Bolsward,,
IJmond Werkt!,Postbus 282,1940 AG,Beverwijk,,
ISD Brabantse Wal,Postbus 35,4600 AA,Bergen op Zoom,,
ISD Brunssum Onderbanken Landgraaf (ISD BOL),Postbus 114,6440 AC,Brunssum,,
ISD Kop van Noord Holland,Postbus 346,1740 AH,Schagen,,
ISD Oldambt,Postbus 2,9670 AA,Winschoten,,
ISD Optimisd,Postbus 421,5460 AK,Veghel,,
ISD Zuidwest-Fryslân,Postbus 30,8700 AA,Bolsward,,
ISWI,Postbus 62,7070 AB,Ulft,,
Industrieschap De Plaspoelpolder,Postbus 5305,2280 HH,Rijswijk,,
Instituut voor Amateuristische Kunstbeoefening (IVAK) in Noord-Oost Groningen,Postbus 23,9930 AA,Delfzijl,,
Intergemeentelijk Samenwerkingsorgaan Midden-Holland,Postbus 45,2800 AA,Gouda,Intergemeentelijk Samenwerkingsorgaan Midden-Holland,GR0011
Intergemeentelijk Samenwerkingsorgaan Waterland,Postbus 188,1440 AD,Purmerend,,
Intergemeentelijk Samenwerkingsverband Werk en Inkomen Steenwijkerland en Westerveld,Postbus 300,8330 AH,Steenwijk,,
Intergemeentelijke Sociale Dienst Bollenstreek,Postbus 255,2160 AG,Lisse,Intergemeentelijke Sociale Dienst Bollenstreek,GR0461
Intergemeentelijke Sociale Dienst Midden Langstraat,Postbus 15,5140 AA,Waalwijk,,
Intergemeentelijke Sociale Dienst Noordenkwartier,Postbus 107,9300 AC,Roden,,
Intergemeentelijke Sociale Dienst Noordoost,Postbus 100,9930 AC,Delfzijl,Intergemeentelijke Sociale Dienst Noordoost,GR0594
Intergemeentelijke Sociale Dienst Oost Achterhoek,Postbus 109,7140 AC,Groenlo,Intergemeentelijke Sociale Dienst Oost Achterhoek,GR0645
Intergemeentelijke Sociale Dienst het Plein,Postbus 9010,7200 GL,Zutphen,Intergemeentelijke Sociale Dienst het Plein,GR0666
"Intergemeentelijke Werkvoorziening Gennep, Mook en Middelaar",Postbus 9003,6590 HD,Gennep,,
Kempisch bedrijvenpark,Postbus 11,5530 AA,Bladel,,
Koepelschap voor het Buitenstedelijk Groen,Postbus 341,3100 AH,Schiedam,,
Lander,Postbus 128,4190 CC,Geldermalsen,,
Landschap Waterland,Postbus 2571,2002 RB,Haarlem,,
Logopedische Dienst Kring Sliedrecht,Postbus 161,3350 AD,Papendrecht,,
Léte,Postbus 280,4330 AG,Middelburg,,
Meerschap Paterswolde,Veenweg 46,9752 XS,Haren,,
Metropoolregio Rotterdam Den Haag,Postbus 66,2501 CB,Den Haag,,
Milieudienst IJmond,Postbus 325,1940 AH,Beverwijk,,
Milieudienst Kop van Noord Holland,Postbus 8,1720 AA,Schagen,,
Milieudienst Regio Alkmaar,Postbus 53,1800 BC,Alkmaar,,
Milieudienst West-Holland,Postbus 159,2300 AD,Leiden,,
Milieudienst Westfriesland,Postbus 2095,1620 EB,Hoorn,,
Milieupark Geul en Maas,Postbus 90,6230 AB,Meerssen,,
Milieupark Margraten/Gulpen-Wittem,Postbus 10,6269 ZG,Margraten,,
Milieusamenwerking Regio Arnhem,Postbus 9200,6800 HA,Arnhem,,
Milieustation Aalburg/Woudrichem,Handelstraat 4,4283 JK,Giessen,,
Natuur- en Recreatieschap Dobbeplas,Postbus 341,3100 AH,Schiedam,,
Natuur- en Recreatieschap Haringvliet,Postbus 341,3100 AH,Schiedam,,
Natuur- en Recreatieschap IJsselmonde,Posbus 341,3100 AH,Schiedam,,
Natuur- en Recreatieschap de Grevelingen,Postbus 341,3100 AH,Schiedam,,
Natuur- en recreatieschap Lingegebied,p/a Postbus 15 ,4140 AA ,Leerdam,,
Natuur- en recreatieschap Reeuwijkse Plassen,Postbus 341,3100 AH,Schiedam,,
Natuur- en recreatieschap Veluwerandmeren,Postbus 271,3840 AG,Harderwijk,,
Nieuw Reijerwaard,Postbus 4010,2980 GA,Ridderkerk,,
Noaberkracht Dinkeland-Tubbergen,p/a Gemeente Dinkelland Nicolaasplein 5,7591 MA,Denekamp,Noaberkracht Dinkeland-Tubbergen,GR0705
Noord-Hollands Archief,Postbus 3006,2001 DA,Haarlem,,
Noord-Veluwe,Postbus 271,3840 AG,Hardewijk,,
OGGZ Rotterdam-Rijnmond,Postbus 70032,3000 LP,Rotterdam,,
OV-bureau Groningen Drenthe,Postbus 189,9400 AD,Assen,OV-bureau Groningen Drenthe,GR0587
Omgevingsdienst Brabant Noord,Postbus 88,5430 AB ,Cuijk,,
Omgevingsdienst Flevoland & Gooi en Vechtstreek,Postbus 2341,8203 AH,Lelystad,,
Omgevingsdienst Groningen,"p/a Provincie Groningen, Postbus 610",9700 AP,Groningen,,
Omgevingsdienst Haaglanden,Postbus 14060,2501 GB,'s-Gravenhage,,
Omgevingsdienst Midden en West Brabant,Postbus 75,5000 AB,Tilburg,Omgevingsdienst Midden en West Brabant,GR0712
Omgevingsdienst Midden-Holland,Postbus 45,2800 AA,GOUDA,,
Omgevingsdienst West-Holland,Postbus 159,2300 AD,Leiden,,
Omgevingsdienst Zuid Holland Zuid,Postbus 550,3300 AN,Dordrecht,Omgevingsdienst Zuid Holland Zuid,GR0669
Omgevingsdienst Zuidoost-Brabant,Postbus 8035,5601 KA ,Eindhoven,,
Omgevingsdienst regio Utrecht,Postbus 461,3700 AL,Zeist,,
Openbaar Lichaam Afvalstoffenverwijdering Zeeland,Postbus 27,4500 AA,Oostburg,Openbaar Lichaam Afvalstoffenverwijdering Zeeland,GR0328
Openbaar Lichaam Crematoria Twente,Usselerrietweg 40,7546 PE,Enschede,,
Openbaar Lichaam Eurode,Eurode-Park 1-9,6461 KB,Kerkrade,,
Openbaar Lichaam Gezamenlijke Brandweer,Postbus 1300,3180 AH,Rozenburg,Openbaar Lichaam Gezamenlijke Brandweer,GR0552
Openbaar Lichaam Midden IJsselmonde,Postbus 501,2990 EA,Barendrecht,Openbaar Lichaam Midden IJsselmonde,GR0458
Openbaar Lichaam Ontwikkelingsmaatschappij Bedrijvenpark A-7,p/a Gemeente Heerenveen Postbus 15000,8440 GA,Heerenveen,,
Openbaar Lichaam Sociale Werkvoorziening Drechtsteden (Drechtwerk),Postbus 528,3300 AM,Dordrecht,Openbaar Lichaam Sociale Werkvoorziening Drechtsteden (Drechtwerk),GR0298
Openbaar Lichaam Voortgezet Onderwijs in Samenwerkingsverband in Waddinxveen en Boskoop,Postbus 161,2740 AD,Waddinxveen,,
Openbaar Speciaal en Voortgezet Speciaal Onderwijs in West-Friesland,Postbus 353,1620 AJ,Hoorn,,
Openbare Gezondheidszorg Amstelland,,,Amstelveen,,
Orionis Walcheren,Postbus 1,4380 AA,Vlissingen,,
Park Lingezegen,Industrieweg - Oost 21,6662 NE,Elst,,
Parkschap Nationaal Park De Biesbosch,Postbus 8,3300 AA,Dordrecht,,
Parkstad Limburg,Postbus 200,6400 AE,Heerlen,,
Pauw Bedrijven,Postbus 155,3620 AD,Breukelen Ut,,
Permar,Postbus 350,6710 BJ,Ede,,
Plassenschap Loosdrecht en omstreken,Postbus 8058,3503 RB,Utrecht,,
Pmgevingsdienst Veluwe Ijssel,Postbus 971,7301 BE ,Apeldoorn,,
Presikhaaf Bedrijven,Postbus 9038,6800 EX,Arnhem,,
Projectbureau Herstucturering Tuinbouw Bommelerwaard,Postbus 10 002,5300 DA,Zaltbommel,,
RHC Drents Archief,Postbus 595,9400 AN,Assen,,
RSD Kromme Rijn - Heuvelrug,Postbus 13,3700 AA,Zeist,,
RUD Zuid-limburg,Postbus 5700,6202 MA,Maastricht,,
Recreatie Midden Nederland,Postbus 8058,3503 RB,Utrecht,,
Recreatiegemeenschap Salland,Postbus 6300,7401 JH,Deventer,,
Recreatieschap Achterhoek/Liemers,Spalderkampseweg 1,6999 AG,Hummelo,,
Recreatieschap Alkmaarder/Uitgeestermeer,Postbus 2571,2002 RB,Haarlem,,
Recreatieschap Drenthe,Brink 4b,7981 BZ,Diever,,
Recreatieschap Geestmerambacht,Postbus 2571,2002 RB,Haarlem,,
Recreatieschap Hitlandbos,Postbus 341,3100 AH,Schiedam,,
Recreatieschap Krimpenerwaard,Postbus 341,3100 AH,Schiedam,,
Recreatieschap Midden-Delfland,Postbus 341,3100 AH,Schiedam,,
"Recreatieschap Nederrijn, Lek en Waal",Postbus 6139,4000 HC,Tiel,,
Recreatieschap Over-Betuwe,Postbus 6139,4000 HC,Tiel,,
Recreatieschap Rottemeren,Postbus 341,3100 AH,Schiedam,,
Recreatieschap Spaarnewoude,Postbus 2571,2002 RB,Haarlem,,
Recreatieschap Stichtse Groenlanden,Postbus 8058,3505 RB,Utrecht,,
"Recreatieschap Utrechtse Heuvelrug, Vallei-en Kromme Rijngebied",Postbus 8058,3503 RB,Utrecht,,
Recreatieschap Vinkeveense Plassen (RMN),Postbus 8058,3503 RB,Utrecht,,
Recreatieschap Voorne-Putten-Rozenburg,Postbus 341,3100 AH,Schiedam,,
Recreatieschap West-Friesland,Postbus 20,1610 AA,Bovenkarspel,,
"Recreatieschap de Marrekrite, heet voortaan Recreatieschap voor het Friese Waterland",Emmakade 87A,8291 AH,Leeuwarden,,
Recreatieschap het Twiske,Postbus 2571,2002 RB,Haarlem,,
Regeling Erfgoedcentrum Nieuw land,Postbus 73,8200 AB,Lelystad,,
Regeling WVK-groep,Postbus 10,5530 AA,Bladel,,
Regio Achterhoek,Postbus 53,7000 AB,Doetinchem,,
Regio De Vallei,Postbus 9022,6710 HK,Ede,,
Regio FoodValley,Postbus 9022,6711 DD,Ede,,
Regio Noord-Veluwe,Postbus 271,3840 AG,Elburg,Regio Noord-Veluwe,GR0024
Regio Rivierenland,Postbus 137,4000 AC,Tiel,,
Regio Twente,Postbus 1400,7500 BK,Enschede,,
Regio Zuid-Holland Zuid,Postbus 365,3300 AJ,Dordrecht,,
Regionaal Archief Rivierenland,Postbus 169,4000 AD,Tiel,,
Regionaal Archief West-Brabant,Beukenlaan 1d,4731 CD,Oudenbosch,,
Regionaal Bureau Leerlingzaken Gooi en Vechtstreek,Postbus 251,1400 AG,Bussum,,
Regionaal Historisch Centrum Alkmaar (Regionaal Archief),Postbus 9232,1800 GE,Alkmaar,,
Regionaal Historisch Centrum Groninger archieven,Postbus 30040,9700 RM,Groningen,,
Regionaal Historisch Centrum Rijnstreek en Lopikerwaard,Postbus 45,3440 AA,Woerden,,
Regionaal Historisch Centrum ZuidOost Utrecht,Postbus 64,3960 BB,Wbduurstede,,
Regionaal Milieubedrijf,Postbus 88,5430 AB,Cuijk,,
Regionaal Reinigingsbedrijf AVALEX,Postbus 16428,2500 BK,'s-Gravenhage,Regionaal Reinigingsbedrijf AVALEX,GR0447
Regionaal bedrijventerrein Twente/Businesspark Twente,Wierdensestraat 25B,7607 GE,Almelo,,
Regionale Afvalstoffendienst Hoeksche Waard (RAD Hoeksche Waard),Smidsweg 20 A,3273 LK,Westmaas,,
Regionale Ambulance Voorziening (RAV) Brabant Midden-West-Noord,Postbus 3024,5003 DA,Tilburg,Regionale Ambulance Voorziening (RAV) Brabant Midden-West-Noord,GR0708
Regionale Brandweerorganisatie Zuid-Groningen,Postbus 140,9500 AC,Stadskanaal,,
Regionale Dienst Openbare Gezondheidszorg Hollands Midden (RDOG),Postbus 121,2300 AC,Leiden,,
Regionale ICT-dienst Utrecht,Postbus 300,3720 AH,Bilthoven,,
Regionale Sociale Dienst & Kredietbank Alblasserwaard-Oost/Vijfheerenlanden,Postbus 50,4200 AB,Gorinchem,Regionale Sociale Dienst & Kredietbank Alblasserwaard-Oost/Vijfheerenlanden,GR0462
Regionale Sociale Dienst Hoeksche Waard,Postbus 1568,3260 BB,Oud-Beijerland,,
Regionale Sociale Dienst Kromme Rijn-Heuvelrug (GR RDWI),Postbus 13,3700 AA,Zeist,Regionale Sociale Dienst Kromme Rijn-Heuvelrug (GR RDWI),GR0710
Regionale Sociale Dienst Pentasz Margraten,Postbus 7,6270 AA,Gulpen,,
Regionale Vuilverwerking Ullerberg (REVU),"p/a Gemeente Ermelo, Postbus 500",3850 AM,Ermelo,,
Regionale Werkvoorziening Amersfoort (RWA),Uraniumweg 15,3812 RJ,Amersfoort,,
Regionale ontwikkelingsorganisatie Zuidplas,Postbus 90602,2509 LP,'s-Gravenhage,,
Regionalisering Leerplicht West-Brabant,Postbus 16,4250 DA ,Werkendam,,
Reiniging BLINK,Postbus 950,5700 AZ,Helmond,,
Reinigingsbedrijf Midden-Nederland,Postbus 203,3760 AE,Soest,,
Reinigingsdienst Maasland,Postbus 4096,6080 AB,Haelen,,
Reinigingsdienst Waardlanden,Postbus 555,4200 AN,Gorinchem,,
Reinigingsdienst de Liemers,"p/a Gemeente Zevenaar, Postbus 10",6900 AA,Zevenaar,,
Reinigingsdiensten Rd4,Postbus 641,6400 AP,Heerlen,Reinigingsdiensten Rd4,GR0412
Reinigingstaken Ehv (CURE),Postbus 7195,5605 JD,Eindhoven,,
Rwa Bedrijven,Postbus 3045,3800 AH,Amersfoort,,
SED organisatie,Postbus 20,1610 AA,Bovenkarspel,,
SW Pauw bedrijven,Postbus 155,2620 AD,Breukelen,,
SW bedrijf de Sluis,Postbus 166,3440 AD,Woerden,,
Samenwerking A2-gemeenten,Postbus 10.000,5590 GA,Heeze,,
Samenwerking K5-gemeenten,Postbus 2507,2940 AA,Lekkerkerk,,
Samenwerkingsorgaan Holland Rijnland,Postbus 558,2300 AN,Leiden,,
Samenwerkingsorganisatie De Wolden Hoogeveen,Postbus 100,7900 AC,Hoogeveen,,
Samenwerkingsverband Aalsmeer-Uithoorn,Postbus 541,1420 CA,Uithoorn,,
Samenwerkingsverband Collectief Vervoer Zeeuwsch-Vlaanderen (Taxicom),Postbus 35,4530 AA,Terneuzen,,
Samenwerkingsverband NOFA,Postbus 2,9285 ZV,Buitenpost,,
Samenwerkingsverband Noord-NL,Postbus 779,9700 AT,Groningen,Samenwerkingsverband Noord-NL,GR0425
Samenwerkingsverband Regio Eindhoven,Postbus 985,5600 AZ,Eindhoven,,
Samenwerkingsverband Regio de Friese wouden,Postbus 229,9200 AE,Drachten,,
Samenwerkingsverband Sociale Werkvoorziening 'Fryslân-west' ( NV Empatec),Postbus 280,8600 AG,Sneek,Samenwerkingsverband Sociale Werkvoorziening 'Fryslân-west' ( NV Empatec),GR0446
Samenwerkingsverband Sociale werkvoorziening 'Fryslân' ( Caparis),Postbus 515,9200 AM,Drachten,,
Samenwerkingsverband Vastgoedinformatie Heffingen en Waardebepaling (SVHW),Postbus 7059,3286 ZH,Klaaswaal,,
Samenwerkingsverband Welzijnzorg Oosterschelde Regio (SWVO),Stationspark 27E,4462 DZ,Goes,Samenwerkingsverband Welzijnzorg Oosterschelde Regio (SWVO),GR0137
Samenwerkingsverband Ypenburg,ILSY-plantsoen 1,2497 GA,Den Haag,,
Samenwerkingsverband afvalstoffenverwijdering Noordoost Groningen (SANOG),Postbus 20000,9930 PA,Delfzijl,,
Schadeschap Luchthaven Schiphol,Postbus 716,2130 AS,Hoofddorp,,
Schoollogo.Maas en Waal,Postbus 9000,6600 HA,Wijchen,,
Servicebureau Gemeenten,Postbus 2188,3800 CD,Amersfoort,,
Servicepunt71,Postbus 171,2300 AD,Leiden,,
