collection_time,source_url,name,url_nationale_ombudsman
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Belastingsamenwerking Rivierenland,https://www.nationaleombudsman.nl/instanties/belastingsamenwerking-rivierenland
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Belastingsamenwerking SaBeWa Zeeland (gemeenschappelijke regeling),https://www.nationaleombudsman.nl/instanties/belastingsamenwerking-sabewa-zeeland-gemeenschappelijke-regeling
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Belastingsamenwerking Tribuut,https://www.nationaleombudsman.nl/instanties/belastingsamenwerking-tribuut
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Belastingsamenwerking West-Brabant,https://www.nationaleombudsman.nl/instanties/belastingsamenwerking-west-brabant
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Bemiddelaars Interlandelijke Adopties (vergunninghouders),https://www.nationaleombudsman.nl/instanties/bemiddelaars-interlandelijke-adopties-vergunninghouders
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Bestuur Regio Utrecht (BRU),https://www.nationaleombudsman.nl/instanties/bestuur-regio-utrecht-bru
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Bestuur van Gerechtshoven (alleen griffiepersoneel),https://www.nationaleombudsman.nl/instanties/bestuur-van-gerechtshoven-alleen-griffiepersoneel
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Bevoegde autoriteiten Rijnschipperspatenten,https://www.nationaleombudsman.nl/instanties/bevoegde-autoriteiten-rijnschipperspatenten
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Bijsterhuizen (gemeenschappelijke regeling),https://www.nationaleombudsman.nl/instanties/bijsterhuizen-gemeenschappelijke-regeling
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Bloembollenkeuringsdienst (BKD),https://www.nationaleombudsman.nl/instanties/bloembollenkeuringsdienst-bkd
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Bonaire (openbaar lichaam / public entity),https://www.nationaleombudsman.nl/instanties/bonaire-openbaar-lichaam-public-entity
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Borgstellingsfonds voor de landbouw,https://www.nationaleombudsman.nl/instanties/borgstellingsfonds-voor-de-landbouw
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Bosschap,https://www.nationaleombudsman.nl/instanties/bosschap
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Brandweer Parkstad-Limburg,https://www.nationaleombudsman.nl/instanties/brandweer-parkstad-limburg
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Breed,https://www.nationaleombudsman.nl/instanties/breed
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,"Buitengewoon opsporingsambtenaren (bijvoorbeeld sociaal rechercheurs, milieupolitie)",https://www.nationaleombudsman.nl/instanties/buitengewoon-opsporingsambtenaren-bijvoorbeeld-sociaal-rechercheurs-milieupolitie
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Bureau Beheer landbouwgronden,https://www.nationaleombudsman.nl/instanties/bureau-beheer-landbouwgronden
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Bureau Financieel Toezicht (Notarissen),https://www.nationaleombudsman.nl/instanties/bureau-financieel-toezicht-notarissen
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Bureau Jeugdzorg Limburg,https://www.nationaleombudsman.nl/instanties/bureau-jeugdzorg-limburg-
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Bureau Jeugdzorg Noord-Brabant,https://www.nationaleombudsman.nl/instanties/bureau-jeugdzorg-noord-brabant
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Bureau Medische Advisering,https://www.nationaleombudsman.nl/instanties/bureau-medische-advisering
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,Bureau Veritas,https://www.nationaleombudsman.nl/instanties/bureau-veritas
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,CAK (Centraal Administratie Kantoor),https://www.nationaleombudsman.nl/instanties/cak-centraal-administratie-kantoor
06/09/2016 22:16:36,https://www.nationaleombudsman.nl/overheidsinstanties,CBR (Centraal Bureau Rijvaardigheidsbewijzen),https://www.nationaleombudsman.nl/instanties/cbr-centraal-bureau-rijvaardigheidsbewijzen
