Domain Name,Domain Type,Agency
russia-ru.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
vaarweginformatie.nl,Rijksoverheid,Ministerie van Infrastructuur en Milieu
aimonline.nl,Rijksoverheid,Ministerie van Infrastructuur en Milieu
cbi.nl,Rijksoverheid,Ministerie van Buitenlandse Zaken
rsj.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
tuinbouw.nl,Rijksoverheid,Ministerie van Economische Zaken
pakistan.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
lintjes.nl,Rijksoverheid,Ministerie van Binnenlandse Zaken
iran.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
nctv.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
japan-jp.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
emissieautoriteit.nl,Rijksoverheid,Ministerie van Infrastructuur en Milieu
frankrijk.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
china.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
australia.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
bkd.eu,Rijksoverheid,Ministerie van Economische Zaken
marokko.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
eherkenning.nl,Rijksoverheid,Ministerie van Economische Zaken
antwerpen.nlconsulaat.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
atlasleefomgeving.nl,Rijksoverheid,Ministerie van Infrastructuur en Milieu
grensinfopunt.nl,Rijksoverheid,Ministerie van Sociale Zaken en Werkgelegenheid
forensischinstituut.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
uae.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
duurzaamdoen.nl,Rijksoverheid,Ministerie van Infrastructuur en Milieu
maroc.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
innovatie-estafette.nl,Rijksoverheid,Ministerie van Infrastructuur en Milieu
istanbul-tr.nlconsulate.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
india.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
republicadodominicana.nlembajada.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
agentschapszw.nl,Rijksoverheid,Ministerie van Sociale Zaken en Werkgelegenheid
indonesie.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
spanje.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
inspectieloket.nl,Rijksoverheid,Ministerie van Infrastructuur en Milieu
verenigdkoninkrijk.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
dsta.nl,Rijksoverheid,Ministerie van Financiën
rijksacademie.nl,Rijksoverheid,Ministerie van Financiën
lafrance.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
indonesia.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
belgie.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
cultuur.nl,Rijksoverheid,"Ministerie van Onderwijs, Cultuur en Wetenschap"
erfgoedinspectie.nl,Rijksoverheid,"Ministerie van Onderwijs, Cultuur en Wetenschap"
turkije.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
turkey-tr.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
dusseldorf.nlkonsulat.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
atnfi.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
burgernet.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
rechtvoorjou.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
wrr.nl,Rijksoverheid,Ministerie van Algemene Zaken
ivenj.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
