Naam,Jaar oprichting,BetrokkenheidRijk bij de oprichting,Financiëlerelatie,Bestuurlijke relatie
Stichting Geschillencommissies voor Consumentenzaken,1970,Nee,"Ja, artikel 32",Nee
Stichting Meld Misdaad Anoniem,2003,"Ja, doen oprichten","Ja, artikel 33","Ja, In het bestuur van de stichting participeren ook vertegenwoordigers van VenJ."
Stichting COMENSHA (vrouwenhandel),1987,Nee,"Ja, artikel 33",Nee
"Stichting Maatschappij, Veiligheid en Justitie",1986,Nee,"Ja, artikel 33","Ja, aan het bestuur neemt de voorzitter van het College van PG’s deel"
Stichting Magenta,1992,Nee,"Ja, artikel 33",Nee
Stichting Aanpak Voertuigcriminaliteit,1997,Nee,"Ja, artikel 33",Nee
Het Juridisch Loket,2004,"Ja, doen oprichten","Ja, artikel 32",Nee
Het Europees Consumenten Centrum (ECC),2006,"Ja, doen oprichten","Ja, artikel 32",Nee
Stichting M. (Meld Misdaad anoniem),2003,"Ja, (mede) opgericht","Ja, artikel 31","Ja, de NP en VenJ maken deel uit v/h bestuur."
Stichting Arbeidsmarkt en Opleidingstrajecten Politie (SAOP).,2010,"Ja, (mede) opgericht","Ja, artikel 31","Ja, een van de bestuursleden is medewerker van DGPol."
Stichting Halt,1990,"Ja, (mede) opgericht","Ja, artikel 35",nee
Stichting Federatie van Kinderhulporganisaties,2000,Nee,"Ja, artikel 35",Nee
Slachtofferhulp Nederland,1984,"Ja, (mede) opgericht","Ja, artikel 34",Nee
Stichting Slachtoffer in Beeld,1990,"Ja, (mede) opgericht","Ja, artikel 34",Nee
Reclassering Nederland,1995,Nee,"Ja, artikel 34",Nee
Stichting Verslavingsreclassering,,Nee,"Ja, artikel 34",Nee
Centrum voor Criminaliteitspreventie en Veiligheid,2004,"Ja, (mede) opgericht","Ja, artikel 34",Nee
"Leger des Heils, Jeugd en Reclassering",,Nee,"Ja, artikel 34",Nee
