Naam,Opgericht,Betrokkenheid,Best. rel.,Fin. rel.
Dr. Ir. Cornelis Lely Stichting,1987,Doen oprichten,ja,
St. Advisering Bestuursrechtspraak voor Milieu en Ruimtelijke Ordening (StAB),1995,Opgericht,ja,97.01.06
St. Afvalfonds,2008,Doen oprichten,n.u.,21.01.02
St. Airport Coordination Netherlands (SACN),1998,Opgericht,n.u.,
St. Beheer en Toezicht SCG,1989,Opgericht,n.u.,
St. Bereikbaarheid Rijnmond,1993,Doen oprichten,nee,
St. Bodembeheer Krimpenerwaard,1998,Doen oprichten,ja,
St. Bodemsanering in Gebruik Zijnde Bedrijfsterreinen Zuid (BSB Zuid),1994,Doen oprichten,n.u.,
St. Bodemsanering NS,1996,Doen oprichten,ja,13.04.02+16.01.02
St. Bureau Afval Overleg Orgaan (AOO),1991,Opgericht,ja,
St. Bureau Commissie voor de Milieueffectrapportage (MER),1991,Mede opgericht,ja,13.04.02
St. Bureau Voorlichting Binnenvaart,1989,Doen oprichten,n.u.,
St. Centrum Ondergronds Bouwen (COB),1995,Doen oprichten,indirect,
St. Connekt,2000,Doen oprichten,ja,
St. Coördinatie Certificatie Milieu- en arbomanagementsystemen (SCCM),1995,Mede opgericht,ja,
"St. CROW, kennisplatform voor infrastructuur, verkeer en openbare ruimte",1987,Doen oprichten,n.u.,
St. Deltares,2007,Opgericht,ja,
St. Emissiepreventie Koudetechniek (STEK),1991,Doen oprichten,ja,
St. Fonds Collectief Onderzoek Kennis-CT (vh FCO GWW),1997,Doen oprichten,ja,
St. GBKN,1992,Doen oprichten,n.u.,
St. Geonovum,2007,Doen oprichten,n.u.,13.02.01
St. Geschillencommissie voor Publieksmilieuverslagen,2001,Doen oprichten,ja,
St. Incident Management Vrachtauto's (STIMVA),2000,Mede opgericht,ja,
St. Infrastructuur Kwaliteitsborging Bodembeheer (SIKB),2000,Doen oprichten,n.u.,
St. Kennis voor Klimaat,2008,Doen oprichten,ja,12.01.01+13.04.07
St. Kennisontwikkeling Kennisoverdracht Bodem (SKB),1999,Mede opgericht,ja,13.04.02
St. Klimaat voor Ruimte,2004,Doen oprichten,n.u.,
St. LSNed Leidingenstraat Nederland (vh Buisleidingenstraat Zuid-West Nederland),1978,Mede opgericht,ja,
St. Mainport en Groen,1996,Doen oprichten,ja,
St. Mariene Informatie Service (MARIS),1989,Doen oprichten,n.u.,
St. Milieu Centraal,1997,Doen oprichten,ja,21.05.02
St. Milieukeur (SMK),1992,Doen oprichten,ja,
St. Nationale en Internationale Wegvervoer Organisatie (NIWO),1946,Doen oprichten,n.u.,
St. Nationale Nautische Verkeersdienst Opleiding (NNVO),2004,Mede opgericht,ja,
St. Nederland Maritiem Land,1997,Doen oprichten,n.u.,18.01.02
St. Nederlands Normalisatie Instituut (NNI) (NEN),1916,Opgericht,n.u.,
St. Netherlands Water Partnership (NWP),1999,Mede opgericht,ja,
St. Proces- en Systeeminnovatie in de Bouwsector (PSIBouw),2004,Doen oprichten,n.u.,
"St. Rioned, Platform Buitenriolering Nederland",1986,Doen oprichten,n.u.,11.01.02
St. SAB Stichting Afvalstoffen & Vaardocumenten Binnenvaart,1993,Doen oprichten,ja,
St. SBR (vh Bouwresearch),1968,Doen oprichten,n.u.,
St. Spoorwegpensioenfonds,1993,Doen oprichten,n.u.,
"St. Sureac, Mulieu Accountancy Vastgoed en Certificatie",1996,Mede opgericht,n.u.,
St. Sustainability Challenge Foundation,1994,Doen oprichten,n.u.,
St. SVB-BGT (Samenwerkingsverband van Bronhouders Basisregistratie Grootschalige Topografie),2013,Doen oprichten,n.u.,13.02.02
"St. VAM, Opleidingsinstituut voor het Motorvoertuig-, Tweewieler- en Aanverwant Bedrijf (Innovam)",1982,Doen oprichten,n.u.,
St. Wetenschappelijk Onderzoek KNMI,1991,Opgericht,n.u.,
St. Wetenschappelijk Onderzoek Verkeersveiligheid (SWOV),1962,Doen oprichten,n.u.,
