Naam,KvK nummer,Website,Jaar van oprichting,Betrokkenheid Rijk bij de oprichting,Financiële relatie,Bestuurlijke relatie
Stichting Ascert,9112654,www.ascert.nl,2005,Doen oprichten,"Ja, projectsubsidie",Nee
Stichting Beheer Certificatie Liften,30179645,www.sbcl.nl,2002,Doen oprichten,Nee,Nee
Stichting Beheer Certificatie van deskundigen,27311340,,2008,Doen oprichten,"Ja, projectsubsidie",Nee
Stichting Beheer Certificatieregeling Arbodiensten,30151245,www.sbca.nl,1998,Doen oprichten,Nee,Nee
Stichting Beheer Certificering Vuurwerk en Explosieven,27306524,,2007,Doen oprichten,Nee,Nee
Stichting Blik op werk,27285045,www.blikopwerk.nl,2006,Doen oprichten,Nee,Nee
Stichting Centraal College van Deskundigen Drukapparatuur CCvD-DA,24386674,,2005,Doen oprichten,Nee,Nee
"Stichting Forum, instituut voor multiculturele ontwikkeling",41187567,www.forum.nl,1993,Doen oprichten,Ja,Nee
Stichting Inlichtingenbureau,27244197,www.inlichtingenbureau.nl,2001,Opgericht,"Ja, wettelijke rijksbijdrage","Ja, benoeming voorzitter, goedkeuring plannen en begroting, aanwijzingsrecht"
Stichting Nederlands Migratie Instituut,41154950,www.nmigratie.nl,1991,Doen oprichten,Ja,Nee
Stichting Persoonscertificatie Energietechniek (STIPEL),30147344,www.stipel.nl,1998,Doen oprichten,Nee,Nee
Stichting Stimulansz,27194311,www.stimulansz.nl,2000,Doen oprichten,Nee,Nee
Stichting Toezicht Certificatieschema's Verticaal Transport,11046480,www.tcvt.nl,1999,Doen oprichten,Nee,Nee
Stichting Werken onder Overdruk,34307106,www.werkenonderoverdruk.nl,2008,Doen oprichten,Nee,Nee
