Stichting,Website,Jaar van oprichting,Betrokkenheid Rijk bij oprichting,Financiële relatie,Bestuurlijke relatie
Koninklijk Paleis op de Dam,www.paleisamsterdam.nl,1987,Geen,Ja,Ja
Verkiezing Overheidsmanager v/h Jaar,www.overheidsmanager.nl,2002,Doen oprichten,Ja,Ja
Antilliaanse MedeFinanciering Organisatie,www.samfo.org/,2002,Doen oprichten,Ja,Nee
Centrum Arbeidsverhoudingen Overheidpersoneel,www.caop.nl,1994,Mede opgericht,Ja,Nee
Europees Instituut Bestuurskunde,www.eipa.nl,1981,Mede opgericht,Ja,Ja
Fondo Desaroyo Aruba,Geen website,2000,Doen oprichten,Ja,Nee
Huis voor de Democratie en Rechtstaat (ProDemos),www.prodemos.nl,2010,Opgericht,Ja,Nee
ICTU,www.ictu.nl,2001,Mede opgericht,Ja,Ja
Kenniscentrum EU decentraal,www.europadecentraal.nl,2002,Doen oprichten,Ja,Nee
Oorlogsgravenstichting,www.ogs.nl,1946,Doen oprichten,Ja,Nee
Pensioenfonds Caribische Nederland,www.pensioenfondscn.com,2010,Doen oprichten,Ja,Ja
Ontwikkeling Nederlandse Antillen (SONA),www.usona.an,2003,Mede opgericht,Ja,Nee
Verdeling Overheidsbijdragen Centrales,Geen website,1973,Opgericht,Ja,Nee
Verbond Sectorwerkgevers Overheid,www.vso-werkgevers.nl,2005,Mede opgericht,Ja,Ja
Vut-fonds overheidspersoneel,www.abp.nl,1994,Mede opgericht,Ja (als werkgever),Ja
A+O fonds,www.aofondsrijk.nl,1988,Mede opgericht,Ja,Ja
Nederlands Normalisatie Instituut,www.nen.nl,1916,Opgericht,Ja,Nee
Bouwresearch,www.sbr.nl,1968,Doen oprichten,Ja,Nee
Waarborgfonds Sociale Woningbouw,www.wsw.nl,1983,Doen oprichten,Ja (gedeelde achterborg),Nee
Sureac (Greencalc),www.greencalc.com,1996,Mede opgericht,Ja,Ja
Vernieuwing Bouw,www.vernieuwingbouw.nl,2010,Doen oprichten,Ja,Ja
