"cbsId", "cbsName", "cbsComment"
"GM0766", "Dongen", "Gemeentelijke herindeling per 01-01-1997. <br>Begindatum voor 1830"
"GM0058", "Dongeradeel", "Ontstaan per 01-01-1984"
"GM0505", "Dordrecht", "Begindatum voor 1830"
"GM0498", "Drechterland", "Gemeentelijke herindeling per 01-01-2006. <br>Naamswijziging per 01-01-1980"
"GM1719", "Drimmelen", "Naamswijziging per 25-04-1998"
"GM0303", "Dronten", "Ontstaan per 01-01-1972"
"GM0225", "Druten", "Begindatum voor 1830"
"GM0226", "Duiven", "Begindatum voor 1830"
"GM1711", "Echt-Susteren", "Ontstaan per 01-01-2003"
"GM0385", "Edam-Volendam", "Naamswijziging per 01-01-1975. <br>Gemeentelijke herindeling per 01-01-2016"
"GM0228", "Ede", "Begindatum voor 1830"
"GM0317", "Eemnes", "Begindatum voor 1830"
"GM1651", "Eemsmond", "Naamswijziging per 01-01-1992"
"GM0770", "Eersel", "Gemeentelijke herindeling per 01-01-1997. <br>Begindatum voor 1830"
"GM1903", "Eijsden-Margraten", "Ontstaan per 01-01-2011"
"GM0772", "Eindhoven", "Begindatum voor 1830"
"GM0230", "Elburg", "Begindatum voor 1830"
"GM0114", "Emmen", "Gemeentelijke herindeling per 01-01-1998. <br>Begindatum voor 1830"
"GM0388", "Enkhuizen", "Begindatum voor 1830"
"GM0153", "Enschede", "Begindatum voor 1830"
"GM0232", "Epe", "Begindatum voor 1830"
"GM0233", "Ermelo", "Begindatum voor 1830"
"GM0777", "Etten-Leur", "Naamswijziging per 01-01-1968"
"GM1722", "Ferwerderadiel", "Naamswijziging per 01-01-1999"
"GM0070", "Franekeradeel", "Begindatum voor 1830"
"GM0653", "Gaasterlân-Sleat", "Opgeheven per 01-01-2014. <br>Naamswijziging per 05-06-1985"
"GM0779", "Geertruidenberg", "Gemeentelijke herindeling per 01-01-1997. <br>Begindatum voor 1830"
"GM0236", "Geldermalsen", "Begindatum voor 1830"
"GM1771", "Geldrop-Mierlo", "Ontstaan per 01-01-2004"
"GM1652", "Gemert-Bakel", "Ontstaan per 01-01-1997"
"GM0907", "Gennep", "Begindatum 02-01-1839"
"GM0689", "Giessenlanden", "Ontstaan per 01-01-1986"
"GM0784", "Gilze en Rijen", "Begindatum voor 1830"
"GM0511", "Goedereede", "Opgeheven per 01-01-2013. <br>Begindatum voor 1830"
"GM0664", "Goes", "Begindatum voor 1830"
"GM0785", "Goirle", "Begindatum voor 1830"
"GM0512", "Gorinchem", "Begindatum voor 1830"
"GM0513", "Gouda", "Begindatum voor 1830"
"GM0693", "Graafstroom", "Opgeheven per 01-01-2013. <br>Ontstaan per 01-01-1986"
"GM0365", "Graft-De Rijp", "Opgeheven per 01-01-2015. <br>Ontstaan per 01-08-1970"
"GM0786", "Grave", "Begindatum voor 1830"
"GM0518", "'s-Gravenhage (gemeente)", "Begindatum voor 1830"
"GM0241", "Groesbeek", "Gemeentelijke herindeling per 01-01-2015. <br>Begindatum voor 1830"
"GM0014", "Groningen (gemeente)", "Begindatum voor 1830"
"GM0015", "Grootegast", "Begindatum voor 1830"
"GM1729", "Gulpen-Wittem", "Ontstaan per 01-01-1999"
"GM0158", "Haaksbergen", "Begindatum voor 1830"
"GM0788", "Haaren", "Gemeentelijke herindeling per 01-01-1996. <br>Begindatum voor 1830"
"GM0392", "Haarlem", "Begindatum voor 1830"
"GM0393", "Haarlemmerliede en Spaarnwoude", "Begindatum 13-06-1857"
"GM0394", "Haarlemmermeer", "Begindatum 16-11-1855"
"GM1655", "Halderberge", "Ontstaan per 01-01-1997"
"GM0160", "Hardenberg", "Gemeentelijke herindeling per 01-01-2001. <br>Ontstaan per 01-05-1941"
"GM0243", "Harderwijk", "Begindatum voor 1830"
"GM0523", "Hardinxveld-Giessendam", "Ontstaan per 01-01-1957"
"GM0017", "Haren", "Begindatum voor 1830"
"GM0395", "Harenkarspel", "Opgeheven per 01-01-2013. <br>Begindatum voor 1830"
"GM0072", "Harlingen", "Begindatum voor 1830"
"GM0244", "Hattem", "Begindatum voor 1830"
"GM0396", "Heemskerk", "Begindatum voor 1830"
"GM0397", "Heemstede", "Begindatum voor 1830"
"GM0246", "Heerde", "Begindatum voor 1830"
