collection_time,source_url,organisatienaam,oin,afgifte_datum
06/09/2016 23:06:48,https://register.digikoppeling.nl/overview/index?searchText=&offset=30&max=30&sort=sortName&order=asc,Dienst Dommelvallei,00000001852722096000,10-11-2014
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,Dienst Justis,00000004000000008000,23-06-2010
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,Dienst Justiti?le Inrichtingen,00000004000000015000,14-10-2010
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,Dienst Landelijk Gebied,00000001822546978000,07-06-2013
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,Dienst Publiek & Communicatie,00000004000000148000,23-10-2012
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,Dienst SoZaWe Noardwest Fryslan,00000001807315436000,11-09-2014
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,Dienst Uitvoering Onderwijs,00000002800866472001,22-12-2015
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,Dienst Uitvoering Onderwijs (DUO),00000001800866472000,08-10-2009
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,Dienst voor het kadaster en de openbare registers,00000001802327497000,19-02-2009
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,Doc-Direkt,00000004000000074000,11-04-2011
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,Domeinen Roerende Zaken,00000004000000040000,18-11-2010
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,FMHaaglanden,00000004000000075000,11-04-2011
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,FUMO Regionale Uitvoeringsdienst FR,00000001852608263000,02-05-2013
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,GBLT,00000001817397863000,10-11-2009
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,GGD Amsterdam,00000002002564440001,29-12-2014
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,GGD Brabant Zuidoost,00000001812723703000,10-08-2011
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,GGD Hollands Noorden,00000001817205767000,22-12-2014
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,GGD Zaanstreek Waterland,00000001807360430000,29-12-2014
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,GGD Zeeland,00000001006073207000,22-12-2014
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,GI Drenthe,00000001813850782000,29-10-2014
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,GI Groningen,00000001812641437000,30-10-2014
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,GI Jeugdzorg Nederland,00000001850133233000,07-11-2014
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,GI Leger des Heils,00000001815095120000,30-10-2014
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,GI Overijssel,00000001808844313000,30-10-2014
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,GR Cocensus,00000001817660665000,23-04-2015
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,Gelders Archief,00000001811159279000,30-03-2016
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,Gemeenschappelijk Dienstencentrum ICT,00000004000000003000,13-03-2009
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,Gemeenschappelijke Regeling Bestuursdienst Ommen-Hardenberg,00000001851754880000,11-08-2014
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,Gemeenschappelijke Regeling Drechtsteden,00000001817301409000,22-12-2009
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,Gemeenschappelijke Regeling Ferm Werk,00000001004981741000,11-04-2016
06/09/2016 23:06:52,https://register.digikoppeling.nl/overview/index?searchText=&offset=60&max=30&sort=sortName&order=asc,Gemeenschappelijke Regeling Gemeentelijke Kredietbank Drenthe,00000001007924641000,08-07-2013
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeenschappelijke Regeling ICT-samenwerking Hoeksche Waard,00000001853556222000,11-08-2014
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeenschappelijke Regeling Omgevingsdienst Midden- en West-Brabant,00000001852256450000,14-11-2014
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeenschappelijke Regeling Omgevingsdienst Regio Utrecht,00000001851750126000,05-02-2016
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeenschappelijke Regeling UW Samenwerking,00000001852635758000,11-11-2013
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeenschappelijke regeling IJsselgemeenten,00000001854442996000,08-08-2016
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeenschappelijke regeling MER,00000001852243601000,14-11-2013
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeenschappelijke regeling Samenwerking De Bevelanden,00000001853394179000,07-04-2016
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente 's Hertogenbosch,00000001001709124000,06-05-2009
06/09/2016 23:06:55,https://register.digikoppeling.nl/overview/index?searchText=&offset=90&max=30&sort=sortName&order=asc,Gemeente Aa en Hunze,00000001806300966000,13-12-2013
