collection_date,owms_label,owms_uri,don_uri,don_label,afkorting,endDate,parent,type,opvolger_label
24/08/2016,s-Graveland,http://standaarden.overheid.nl/owms/terms/'s-Graveland_(gemeente),https://data.overheid.nl/overheidsorganisatie/s-graveland,s-Graveland,,31/12/01,,Gemeente,Wijdemeren
24/08/2016,s-Gravendeel,http://standaarden.overheid.nl/owms/terms/'s-Gravendeel_(gemeente),https://data.overheid.nl/overheidsorganisatie/s-gravendeel,s-Gravendeel,,31/12/06,,Gemeente,Binnenmaas
24/08/2016,s-Gravenhage,http://standaarden.overheid.nl/owms/terms/'s-Gravenhage,https://data.overheid.nl/overheidsorganisatie/s-gravenhage,s-Gravenhage,,,,Gemeente,
24/08/2016,s-Gravenzande,http://standaarden.overheid.nl/owms/terms/'s-Gravenzande_(gemeente),https://data.overheid.nl/overheidsorganisatie/s-gravenzande,s-Gravenzande,,31/12/03,,Gemeente,Westland
24/08/2016,s-Hertogenbosch,http://standaarden.overheid.nl/owms/terms/'s-Hertogenbosch,https://data.overheid.nl/overheidsorganisatie/s-hertogenbosch,s-Hertogenbosch,,,,Gemeente,
24/08/2016,Aa en Hunze,http://standaarden.overheid.nl/owms/terms/Aa_en_Hunze,https://data.overheid.nl/overheidsorganisatie/aa-en-hunze,Aa en Hunze,,,,Gemeente,
24/08/2016,Aalburg,http://standaarden.overheid.nl/owms/terms/Aalburg_(gemeente),https://data.overheid.nl/overheidsorganisatie/aalburg,Aalburg,,,,Gemeente,
24/08/2016,Aalsmeer,http://standaarden.overheid.nl/owms/terms/Aalsmeer_(gemeente),https://data.overheid.nl/overheidsorganisatie/aalsmeer,Aalsmeer,,,,Gemeente,
24/08/2016,Aalten,http://standaarden.overheid.nl/owms/terms/Aalten_(gemeente),https://data.overheid.nl/overheidsorganisatie/aalten,Aalten,,,,Gemeente,
24/08/2016,Abcoude,http://standaarden.overheid.nl/owms/terms/Abcoude_(gemeente),https://data.overheid.nl/overheidsorganisatie/abcoude,Abcoude,,31/12/10,,Gemeente,De Ronde Venen
24/08/2016,ABG-organisatie,http://standaarden.overheid.nl/owms/terms/abgorg,,,,,,Regionaal samenwerkingsorgaan,
24/08/2016,Achtkarspelen,http://standaarden.overheid.nl/owms/terms/Achtkarspelen,,,,,,Gemeente,
24/08/2016,Adviescollege toetsing administratieve lasten,http://standaarden.overheid.nl/owms/terms/Adviescollege_toetsing_administratieve_lasten,,,,,,Adviescollege,
24/08/2016,Adviescommissie vennootschapsrecht,http://standaarden.overheid.nl/owms/terms/Adviescommissie_vennootschapsrecht,,,,,,Adviescollege,
24/08/2016,Adviescommissie voor burgerlijk procesrecht,http://standaarden.overheid.nl/owms/terms/Adviescommissie_voor_burgerlijk_procesrecht,,,,,,Adviescollege,
24/08/2016,Adviescommissie voor Vreemdelingenzaken,http://standaarden.overheid.nl/owms/terms/Adviescommissie_voor_Vreemdelingenzaken,,,,,,Adviescollege,
24/08/2016,Adviesraad gevaarlijke stoffen,http://standaarden.overheid.nl/owms/terms/Adviesraad_gevaarlijke_stoffen,,,,,,Adviescollege,
24/08/2016,Adviesraad Internationale Vraagstukken,http://standaarden.overheid.nl/owms/terms/Adviesraad_Internationale_Vraagstukken,,,,,,Adviescollege,
24/08/2016,Adviesraad voor het Wetenschaps- en Technologiebeleid,http://standaarden.overheid.nl/owms/terms/Adviesraad_voor_het_Wetenschaps-_en_Technologiebeleid,,,,,,Adviescollege,
24/08/2016,Agentschap CBI,http://standaarden.overheid.nl/owms/terms/Agentschap_CBI,,,,,http://standaarden.overheid.nl/owms/terms/Ministerie_van_Buitenlandse_Zaken,Dienst,
24/08/2016,Agentschap College ter Beoordeling van Geneesmiddelen,http://standaarden.overheid.nl/owms/terms/Agentschap_College_ter_Beoordeling_van_Geneesmiddelen,,,CBG,,"http://standaarden.overheid.nl/owms/terms/Ministerie_van_Volkshuisvesting,_Ruimtelijke_Ordening_en_Milieubeheer",Dienst,
24/08/2016,Agentschap NL,http://standaarden.overheid.nl/owms/terms/Agentschap_NL,https://data.overheid.nl/overheidsorganisatie/agentschap-nl,Agentschap NL,,31/12/13,http://standaarden.overheid.nl/owms/terms/Ministerie_van_Economische_Zaken_Landbouw_en_Innovatie,Dienst,Rijksdienst voor Ondernemend Nederland
24/08/2016,Agentschap SZW,http://standaarden.overheid.nl/owms/terms/Agentschap_SZW,https://data.overheid.nl/overheidsorganisatie/agentschap-szw,Agentschap SZW,,,http://standaarden.overheid.nl/owms/terms/Ministerie_van_Sociale_Zaken_en_Werkgelegenheid,Dienst,
24/08/2016,Agentschap Telecom,http://standaarden.overheid.nl/owms/terms/Agentschap_Telecom,https://data.overheid.nl/overheidsorganisatie/agentschap-telecom,Agentschap Telecom,,,http://standaarden.overheid.nl/owms/terms/Ministerie_van_Economische_Zaken,Rijksinspectie,
24/08/2016,Akersloot,http://standaarden.overheid.nl/owms/terms/Akersloot_(gemeente),https://data.overheid.nl/overheidsorganisatie/akersloot,Akersloot,,31/12/01,,Gemeente,Castricum
24/08/2016,Alblasserdam,http://standaarden.overheid.nl/owms/terms/Alblasserdam_(gemeente),https://data.overheid.nl/overheidsorganisatie/alblasserdam,Alblasserdam,,,,Gemeente,
24/08/2016,Albrandswaard,http://standaarden.overheid.nl/owms/terms/Albrandswaard,https://data.overheid.nl/overheidsorganisatie/albrandswaard,Albrandswaard,,,,Gemeente,
24/08/2016,Algemeen Burgerlijk Pensioenfonds,http://standaarden.overheid.nl/owms/terms/Algemeen_Burgerlijk_Pensioenfonds,,,ABP,,,Overheidsorganisatie,
24/08/2016,Algemene Energieraad,http://standaarden.overheid.nl/owms/terms/Algemene_Energieraad,,,,,,Adviescollege,
24/08/2016,Algemene Inlichtingen en Veiligheidsdienst,http://standaarden.overheid.nl/owms/terms/Algemene_Inlichtingen_en_Veiligheidsdienst,,,AIVD,,http://standaarden.overheid.nl/owms/terms/Ministerie_van_Binnenlandse_Zaken_en_Koninkrijksrelaties,Overheidsorganisatie,
24/08/2016,Algemene Inspectiedienst,http://standaarden.overheid.nl/owms/terms/Algemene_Inspectiedienst,,,,18/02/12,"http://standaarden.overheid.nl/owms/terms/Ministerie_van_Landbouw,_Natuur_en_Voedselkwaliteit",Rijksinspectie,Nederlandse Voedsel- en Warenautoriteit
24/08/2016,Algemene Rekenkamer,http://standaarden.overheid.nl/owms/terms/Algemene_Rekenkamer,https://data.overheid.nl/overheidsorganisatie/algemene-rekenkamer,Algemene Rekenkamer,,,,Hoog College van Staat,
