gemeente,provincie,stand op 01/01/2016,taakstelling 1e helft 2016,taakstelling 1e helft 2016 inclusief voor/achter,realisatie januari 2016,realisatie februari 2016,realisatie maart 2016,realisatie april 2016,realisatie mei 2016,realisatie juni 2016,realisatie tot 1 juli 2016,achter/voor realisatie tot juli 2016,achterstand tot 1 juli 2016,voorsprong realisatie tot 1 juli 2016
Voerendaal,Provincie Limburg,9,15,24,0,4,0,4,0,0,8,16,16,
Weert,Provincie Limburg,17,58,75,21,11,3,6,2,10,53,22,22,
's Hertogenbosch,Provincie Noord-Brabant,50,178,228,27,39,22,24,37,21,170,58,58,
Aalburg,Provincie Noord-Brabant,-11,16,5,0,2,0,3,1,3,9,-4,,-4
Alphen-Chaam,Provincie Noord-Brabant,-3,12,9,1,1,1,1,0,0,4,5,5,
Asten,Provincie Noord-Brabant,6,20,26,9,0,0,2,4,5,20,6,6,
Baarle-Nassau,Provincie Noord-Brabant,-3,8,5,0,0,0,3,0,0,3,2,2,
Bergeijk,Provincie Noord-Brabant,0,22,22,5,2,0,4,8,15,34,-12,,-12
Bergen op Zoom,Provincie Noord-Brabant,26,78,104,6,9,5,4,7,3,34,70,70,
Bernheze,Provincie Noord-Brabant,10,35,45,6,0,0,5,11,4,26,19,19,
Best,Provincie Noord-Brabant,20,34,54,7,2,0,2,0,13,24,30,30,
Bladel,Provincie Noord-Brabant,9,24,33,0,2,3,4,1,0,10,23,23,
Boekel,Provincie Noord-Brabant,8,12,20,3,5,1,0,4,0,13,7,7,
Boxmeer,Provincie Noord-Brabant,-22,34,12,3,2,7,0,1,3,16,-4,,-4
Boxtel,Provincie Noord-Brabant,-3,36,33,9,1,4,3,10,28,55,-22,,-22
Breda,Provincie Noord-Brabant,48,214,262,28,27,44,53,37,43,232,30,30,
Cranendonck,Provincie Noord-Brabant,-3,25,22,0,0,3,1,4,0,8,14,14,
Cuijk,Provincie Noord-Brabant,6,29,35,5,-3,6,1,7,9,25,10,10,
Deurne,Provincie Noord-Brabant,-6,38,32,2,6,4,4,1,12,29,3,3,
Dongen,Provincie Noord-Brabant,-24,30,6,2,0,1,3,1,7,14,-8,,-8
Drimmelen,Provincie Noord-Brabant,5,32,37,1,7,7,1,0,4,20,17,17,
Eersel,Provincie Noord-Brabant,6,22,28,1,4,2,0,0,2,9,19,19,
Eindhoven,Provincie Noord-Brabant,17,263,280,19,28,35,29,25,89,225,55,55,
Etten-Leur,Provincie Noord-Brabant,7,50,57,3,1,1,5,8,32,50,7,7,
Geertruidenberg,Provincie Noord-Brabant,2,26,28,8,0,0,0,4,3,15,13,13,
Geldrop-Mierlo,Provincie Noord-Brabant,2,46,48,5,1,13,14,3,17,53,-5,,-5
Gemert-Bakel,Provincie Noord-Brabant,4,35,39,6,0,5,5,8,2,26,13,13,
Gilze en Rijen,Provincie Noord-Brabant,-8,31,23,0,0,10,1,4,6,21,2,2,
Goirle,Provincie Noord-Brabant,2,28,30,5,1,1,46,5,4,62,-32,,-32
Grave,Provincie Noord-Brabant,8,16,24,8,1,0,0,0,3,12,12,12,
Haaren,Provincie Noord-Brabant,1,16,17,1,0,5,0,1,2,9,8,8,
Halderberge,Provincie Noord-Brabant,-3,35,32,4,0,2,18,2,4,30,2,2,
Heeze-Leende,Provincie Noord-Brabant,2,19,21,2,0,0,2,3,0,7,14,14,
Helmond,Provincie Noord-Brabant,0,106,106,2,4,14,17,12,16,65,41,41,
Heusden,Provincie Noord-Brabant,-25,51,26,1,9,3,1,4,15,33,-7,,-7
Hilvarenbeek,Provincie Noord-Brabant,-4,18,14,0,0,4,1,1,0,6,8,8,
Laarbeek,Provincie Noord-Brabant,8,26,34,8,1,0,5,1,1,16,18,18,
Landerd,Provincie Noord-Brabant,7,18,25,1,0,12,4,10,1,28,-3,,-3
Loon op Zand,Provincie Noord-Brabant,1,27,28,0,4,10,0,4,3,21,7,7,
Mill en Sint Hubert,Provincie Noord-Brabant,6,13,19,2,2,1,0,12,2,19,0,,0
Moerdijk,Provincie Noord-Brabant,-1,44,43,1,5,3,4,4,9,26,17,17,
Nuenen ca,Provincie Noord-Brabant,12,27,39,5,3,1,2,6,2,19,20,20,
Oirschot,Provincie Noord-Brabant,-1,22,21,0,1,1,5,4,5,16,5,5,
Oisterwijk,Provincie Noord-Brabant,13,31,44,5,4,0,10,6,9,34,10,10,
Oosterhout,Provincie Noord-Brabant,13,64,77,17,2,8,0,9,9,45,32,32,
Oss,Provincie Noord-Brabant,27,106,133,15,14,3,11,21,17,81,52,52,
Reusel-De Mierden,Provincie Noord-Brabant,12,15,27,0,6,4,4,0,0,14,13,13,
Roosendaal,Provincie Noord-Brabant,1,91,92,13,4,3,13,7,36,76,16,16,
Rucphen,Provincie Noord-Brabant,26,27,53,22,2,0,4,10,2,40,13,13,
Schijndel,Provincie Noord-Brabant,7,28,35,4,6,7,3,0,5,25,10,10,
Sint Anthonis,Provincie Noord-Brabant,3,14,17,5,3,0,1,2,6,17,0,,0
Sint Oedenrode,Provincie Noord-Brabant,25,22,47,9,1,8,0,3,3,24,23,23,
Sint Michielsgestel,Provincie Noord-Brabant,18,34,52,9,0,2,5,6,4,26,26,26,
Someren,Provincie Noord-Brabant,7,22,29,11,0,3,10,5,1,30,-1,,-1
Son en Breugel,Provincie Noord-Brabant,-6,20,14,-1,2,0,0,2,3,6,8,8,
Steenbergen,Provincie Noord-Brabant,8,28,36,1,1,4,4,5,0,15,21,21,
Tilburg,Provincie Noord-Brabant,-17,249,232,23,37,25,36,36,97,254,-22,,-22
Uden,Provincie Noord-Brabant,17,49,66,16,7,2,14,5,10,54,12,12,
Valkenswaard,Provincie Noord-Brabant,11,36,47,3,8,3,9,7,11,41,6,6,
Veghel,Provincie Noord-Brabant,0,45,45,4,8,6,2,4,7,31,14,14,
Veldhoven,Provincie Noord-Brabant,19,52,71,12,1,9,4,5,12,43,28,28,
Vught,Provincie Noord-Brabant,6,31,37,10,0,1,0,0,26,37,0,,0
Waalre,Provincie Noord-Brabant,5,20,25,4,0,0,2,0,3,9,16,16,
Waalwijk,Provincie Noord-Brabant,-4,55,51,0,2,7,17,17,2,45,6,6,
Werkendam,Provincie Noord-Brabant,-1,32,31,0,12,1,1,1,8,23,8,8,
Woensdrecht,Provincie Noord-Brabant,30,26,56,0,13,2,21,9,8,53,3,3,
Woudrichem,Provincie Noord-Brabant,10,17,27,4,1,0,1,10,5,21,6,6,
Zundert,Provincie Noord-Brabant,9,26,35,2,15,5,0,4,2,28,7,7,
Aalsmeer,Provincie Noord-Holland,-21,37,16,1,4,0,0,6,0,11,5,5,
Alkmaar,Provincie Noord-Holland,-4,126,122,26,16,25,12,19,12,110,12,12,
Amstelveen,Provincie Noord-Holland,-2,103,101,4,13,6,3,3,19,48,53,53,
Amsterdam,Provincie Noord-Holland,912,965,1877,135,190,131,131,143,132,862,1015,1015,
Beemster,Provincie Noord-Holland,6,11,17,3,5,0,0,0,3,11,6,6,
Bergen NH,Provincie Noord-Holland,8,36,44,14,1,1,1,17,6,40,4,4,
Beverwijk,Provincie Noord-Holland,8,48,56,16,4,8,15,6,9,58,-2,,-2
Blaricum,Provincie Noord-Holland,-6,11,5,0,0,0,1,5,0,6,-1,,-1
Bloemendaal,Provincie Noord-Holland,14,27,41,5,1,3,10,15,13,47,-6,,-6
Castricum,Provincie Noord-Holland,1,41,42,1,7,9,7,1,5,30,12,12,
Den Helder,Provincie Noord-Holland,8,67,75,21,9,22,7,2,16,77,-2,,-2
Diemen,Provincie Noord-Holland,14,32,46,6,9,2,0,11,0,28,18,18,
Drechterland,Provincie Noord-Holland,11,23,34,3,2,0,3,9,2,19,15,15,
Edam-Volendam,Provincie Noord-Holland,36,42,78,6,2,1,2,4,10,25,53,53,
Enkhuizen,Provincie Noord-Holland,0,22,22,2,1,9,0,0,5,17,5,5,
Gooise Meren,Provincie Noord-Holland,3,65,68,7,7,7,21,4,5,51,17,17,
Haarlem,Provincie Noord-Holland,41,184,225,52,60,17,35,14,32,210,15,15,
Haarlemmerliede ca,Provincie Noord-Holland,-2,7,5,0,0,0,0,0,0,0,5,5,
Haarlemmermeer,Provincie Noord-Holland,159,170,329,26,14,13,9,27,23,112,217,217,
Heemskerk,Provincie Noord-Holland,-18,46,28,7,0,9,4,0,9,29,-1,,-1
Heemstede,Provincie Noord-Holland,2,32,34,7,4,1,11,10,-4,29,5,5,
Heerhugowaard,Provincie Noord-Holland,7,63,70,7,9,13,6,11,16,62,8,8,
Heiloo,Provincie Noord-Holland,2,27,29,2,2,9,1,5,14,33,-4,,-4
Hilversum,Provincie Noord-Holland,0,103,103,8,10,18,24,6,12,78,25,25,
Hollands Kroon,Provincie Noord-Holland,6,56,62,22,4,5,0,7,17,55,7,7,
Hoorn,Provincie Noord-Holland,0,85,85,8,6,6,6,9,25,60,25,25,
Huizen,Provincie Noord-Holland,-20,49,29,5,1,1,8,-1,2,16,13,13,
Koggenland,Provincie Noord-Holland,-4,27,23,5,5,7,2,9,0,28,-5,,-5
Landsmeer,Provincie Noord-Holland,16,13,29,5,1,7,1,-1,0,13,16,16,
Langedijk,Provincie Noord-Holland,-5,33,28,3,6,5,0,1,2,17,11,11,
Laren,Provincie Noord-Holland,17,13,30,8,4,5,-1,4,0,20,10,10,
Medemblik,Provincie Noord-Holland,26,52,78,20,7,6,1,2,2,38,40,40,
Oostzaan,Provincie Noord-Holland,6,11,17,0,3,0,0,0,4,7,10,10,
Opmeer,Provincie Noord-Holland,-6,14,8,2,7,0,5,0,0,14,-6,,-6
Ouder Amstel,Provincie Noord-Holland,-3,16,13,1,3,1,2,0,0,7,6,6,
Purmerend,Provincie Noord-Holland,9,94,103,18,13,26,9,8,7,81,22,22,
Schagen,Provincie Noord-Holland,-7,55,48,0,4,1,5,20,5,35,13,13,
Stede-Broec,Provincie Noord-Holland,-2,26,24,0,0,0,4,0,11,15,9,9,
Texel,Provincie Noord-Holland,5,16,21,0,7,1,3,0,0,11,10,10,
Uitgeest,Provincie Noord-Holland,6,16,22,4,4,3,1,4,1,17,5,5,
Uithoorn,Provincie Noord-Holland,11,34,45,0,9,6,0,2,0,17,28,28,
Velsen,Provincie Noord-Holland,11,79,90,17,11,9,12,7,4,60,30,30,
Waterland,Provincie Noord-Holland,21,21,42,5,4,2,0,5,0,16,26,26,
Weesp,Provincie Noord-Holland,-1,22,21,2,-1,1,3,4,3,12,9,9,
Wijdemeren,Provincie Noord-Holland,5,28,33,2,1,2,7,4,1,17,16,16,
Wormerland,Provincie Noord-Holland,5,19,24,8,0,3,3,0,0,14,10,10,
Zaanstad,Provincie Noord-Holland,7,178,185,20,3,19,16,13,47,118,67,67,
Zandvoort,Provincie Noord-Holland,-1,20,19,2,0,4,0,22,8,36,-17,,-17
Almelo,Provincie Overijssel,-182,85,-97,2,11,8,5,0,0,26,-123,,-123
Borne,Provincie Overijssel,20,26,46,7,16,-1,2,5,1,30,16,16,
Dalfsen,Provincie Overijssel,5,33,38,2,5,0,14,3,0,24,14,14,
Deventer,Provincie Overijssel,32,116,148,27,9,22,20,14,71,163,-15,,-15
Dinkelland,Provincie Overijssel,4,31,35,1,5,0,1,10,3,20,15,15,
Enschede,Provincie Overijssel,1,187,188,19,14,44,58,48,35,218,-30,,-30
Haaksbergen,Provincie Overijssel,-5,29,24,3,1,1,0,6,8,19,5,5,
Hardenberg,Provincie Overijssel,15,70,85,15,4,15,22,19,8,83,2,2,
Hellendoorn,Provincie Overijssel,5,42,47,4,3,15,3,4,21,50,-3,,-3
Hengelo,Provincie Overijssel,5,96,101,19,15,13,13,19,21,100,1,1,
Hof van Twente,Provincie Overijssel,0,41,41,23,5,12,6,6,6,58,-17,,-17
Kampen,Provincie Overijssel,-1,61,60,6,2,4,9,4,11,36,24,24,
Losser,Provincie Overijssel,-15,27,12,0,0,0,4,2,1,7,5,5,
Oldenzaal,Provincie Overijssel,-14,38,24,2,1,6,5,1,13,28,-4,,-4
Olst-Wijhe,Provincie Overijssel,-2,21,19,2,1,0,16,4,12,35,-16,,-16
Ommen,Provincie Overijssel,8,21,29,8,1,2,9,2,2,24,5,5,
Raalte,Provincie Overijssel,27,43,70,19,14,10,11,7,3,64,6,6,
Rijssen-Holten,Provincie Overijssel,1,45,46,3,4,4,12,6,16,45,1,1,
Staphorst,Provincie Overijssel,-2,20,18,1,1,2,0,3,1,8,10,10,
Steenwijkerland,Provincie Overijssel,1,51,52,27,7,8,1,4,2,49,3,3,
Tubbergen,Provincie Overijssel,-1,25,24,3,2,3,0,3,0,11,13,13,
Twenterand,Provincie Overijssel,9,40,49,11,6,9,7,7,11,51,-2,,-2
Wierden,Provincie Overijssel,4,29,33,3,3,3,11,12,5,37,-4,,-4
Zwartewaterland,Provincie Overijssel,-2,27,25,3,0,0,2,4,2,11,14,14,
Zwolle,Provincie Overijssel,31,146,177,28,18,17,27,15,51,156,21,21,
Amersfoort,Provincie Utrecht,90,179,269,15,42,23,23,39,37,179,90,90,
Baarn,Provincie Utrecht,9,29,38,3,2,3,3,5,3,19,19,19,
Bunnik,Provincie Utrecht,-1,18,17,1,7,0,1,2,0,11,6,6,
Bunschoten,Provincie Utrecht,13,25,38,1,6,0,0,0,0,7,31,31,
De Bilt,Provincie Utrecht,48,50,98,8,0,8,4,-3,10,27,71,71,
