gemeente,provincie,stand op 01/01/2016,taakstelling 1e helft 2016,taakstelling 1e helft 2016 inclusief voor/achter,realisatie januari 2016,realisatie februari 2016,realisatie maart 2016,realisatie april 2016,realisatie mei 2016,realisatie juni 2016,realisatie tot 1 juli 2016,achter/voor realisatie tot juli 2016,achterstand tot 1 juli 2016,voorsprong realisatie tot 1 juli 2016
Utrechtse Heuvelrug,Provincie Utrecht,21,57,78,4,3,8,6,18,4,43,35,35,
Veenendaal,Provincie Utrecht,-3,75,72,5,19,5,0,5,12,46,26,26,
Vianen,Provincie Utrecht,-5,24,19,6,6,0,0,6,1,19,0,,0
Wijk bij Duurstede,Provincie Utrecht,5,28,33,6,8,1,0,7,0,22,11,11,
Woerden,Provincie Utrecht,-15,60,45,2,4,0,5,6,6,23,22,22,
Woudenberg,Provincie Utrecht,4,15,19,5,1,0,0,6,8,20,-1,,-1
Zeist,Provincie Utrecht,0,73,73,1,2,3,13,4,11,34,39,39,
Borsele,Provincie Zeeland,-2,27,25,7,3,2,14,1,3,30,-5,,-5
Goes,Provincie Zeeland,-15,44,29,1,7,4,9,1,2,24,5,5,
Hulst,Provincie Zeeland,9,33,42,2,1,9,10,1,7,30,12,12,
Kapelle,Provincie Zeeland,-7,15,8,3,0,10,1,0,2,16,-8,,-8
Middelburg,Provincie Zeeland,28,56,84,4,16,11,3,19,2,55,29,29,
Noord Beveland,Provincie Zeeland,0,9,9,5,0,1,1,3,1,11,-2,,-2
Reimerswaal,Provincie Zeeland,4,26,30,6,1,11,9,1,2,30,0,,0
Schouwen-Duiveland,Provincie Zeeland,10,40,50,10,6,3,3,4,11,37,13,13,
Sluis,Provincie Zeeland,14,28,42,6,11,5,7,0,7,36,6,6,
Terneuzen,Provincie Zeeland,23,65,88,14,14,5,10,21,12,76,12,12,
Tholen,Provincie Zeeland,-2,30,28,8,8,1,2,1,3,23,5,5,
Veere,Provincie Zeeland,5,26,31,0,0,3,0,2,2,7,24,24,
Vlissingen,Provincie Zeeland,18,53,71,9,12,9,9,5,9,53,18,18,
Alblasserdam,Provincie Zuid-Holland,1,24,25,0,0,1,5,2,8,16,9,9,
Albrandswaard,Provincie Zuid-Holland,25,30,55,0,6,7,3,-1,11,26,29,29,
Alphen a/d Rijn,Provincie Zuid-Holland,6,127,133,11,7,5,29,15,56,123,10,10,
Barendrecht,Provincie Zuid-Holland,14,56,70,6,4,1,6,3,7,27,43,43,
Binnenmaas,Provincie Zuid-Holland,-5,34,29,2,2,2,9,2,1,18,11,11,
Bodegraven-Reewijk,Provincie Zuid-Holland,-5,39,34,3,12,2,0,7,3,27,7,7,
Brielle,Provincie Zuid-Holland,-13,20,7,0,0,0,0,2,1,3,4,4,
Capelle a/d IJssel,Provincie Zuid-Holland,4,78,82,9,2,5,8,3,21,48,34,34,
Cromstrijen,Provincie Zuid-Holland,-2,16,14,0,0,0,0,3,-1,2,12,12,
Delft,Provincie Zuid-Holland,1,119,120,20,17,19,26,11,21,114,6,6,
's Gravenhage,Provincie Zuid-Holland,164,605,769,60,87,76,89,95,227,634,135,135,
Dordrecht,Provincie Zuid-Holland,30,140,170,16,11,19,13,76,49,184,-14,,-14
Giessenlanden,Provincie Zuid-Holland,-10,17,7,0,1,6,2,1,11,21,-14,,-14
Goeree-Overflakkee,Provincie Zuid-Holland,2,57,59,3,0,2,6,6,3,20,39,39,
Gorinchem,Provincie Zuid-Holland,-14,42,28,10,7,8,2,0,5,32,-4,,-4
Gouda,Provincie Zuid-Holland,1,84,85,17,2,4,9,2,24,58,27,27,
Hardinxveld-Giessendam,Provincie Zuid-Holland,2,21,23,3,9,6,2,4,10,34,-11,,-11
Hellevoetsluis,Provincie Zuid-Holland,5,46,51,9,9,3,0,5,9,35,16,16,
Hendrik-Ido-Ambacht,Provincie Zuid-Holland,3,35,38,9,1,0,12,1,11,34,4,4,
Hillegom,Provincie Zuid-Holland,-6,25,19,0,0,6,8,5,0,19,0,,0
Kaag en Braassem,Provincie Zuid-Holland,3,31,34,5,1,0,3,10,24,43,-9,,-9
Katwijk,Provincie Zuid-Holland,-21,75,54,19,8,6,18,4,4,59,-5,,-5
Korendijk,Provincie Zuid-Holland,-5,13,8,0,0,0,0,0,4,4,4,4,
Krimpen a/d IJssel,Provincie Zuid-Holland,3,35,38,7,2,0,5,5,6,25,13,13,
Krimpenerwaard,Provincie Zuid-Holland,14,64,78,23,18,4,14,11,5,75,3,3,
Lansingerland,Provincie Zuid-Holland,2,69,71,1,10,5,4,2,5,27,44,44,
Leerdam,Provincie Zuid-Holland,-11,25,14,3,11,3,0,1,6,24,-10,,-10
Leiden,Provincie Zuid-Holland,58,143,201,19,29,37,24,32,18,159,42,42,
Leiderdorp,Provincie Zuid-Holland,-3,32,29,6,2,11,2,4,2,27,2,2,
Leidschendam-Voorburg,Provincie Zuid-Holland,2,87,89,10,4,13,9,14,29,79,10,10,
Lisse,Provincie Zuid-Holland,7,27,34,4,12,1,8,8,1,34,0,,0
Maassluis,Provincie Zuid-Holland,9,38,47,10,21,22,20,45,-36,82,-35,,-35
Midden-Delfland,Provincie Zuid-Holland,-4,22,18,0,1,0,0,7,0,8,10,10,
Molenwaard,Provincie Zuid-Holland,-24,35,11,11,17,7,0,2,12,49,-38,,-38
Nieuwkoop,Provincie Zuid-Holland,15,32,47,5,4,10,7,16,10,52,-5,,-5
Nissewaard,Provincie Zuid-Holland,-12,100,88,15,7,4,0,5,21,52,36,36,
Noordwijk,Provincie Zuid-Holland,0,31,31,0,3,0,2,3,1,9,22,22,
Noordwijkerhout,Provincie Zuid-Holland,-10,19,9,0,11,7,0,0,0,18,-9,,-9
Oegstgeest,Provincie Zuid-Holland,-11,28,17,0,1,8,0,3,1,13,4,4,
Oud Beijerland,Provincie Zuid-Holland,-14,28,14,0,3,1,1,1,2,8,6,6,
Papendrecht,Provincie Zuid-Holland,-20,38,18,14,0,6,8,3,2,33,-15,,-15
Pijnacker-Nootdorp,Provincie Zuid-Holland,19,61,80,4,16,4,4,11,13,52,28,28,
Ridderkerk,Provincie Zuid-Holland,11,54,65,0,2,7,17,11,10,47,18,18,
Rijswijk,Provincie Zuid-Holland,-19,57,38,4,7,4,5,2,8,30,8,8,
Rotterdam,Provincie Zuid-Holland,172,734,906,97,70,92,130,107,128,624,282,282,
Schiedam,Provincie Zuid-Holland,15,91,106,8,11,5,4,3,0,31,75,75,
Sliedrecht,Provincie Zuid-Holland,4,30,34,8,14,5,0,1,8,36,-2,,-2
Strijen,Provincie Zuid-Holland,-2,11,9,0,4,1,4,0,0,9,0,,0
Teylingen,Provincie Zuid-Holland,-9,42,33,0,0,4,3,5,1,13,20,20,
Vlaardingen,Provincie Zuid-Holland,-17,85,68,23,5,19,10,6,31,94,-26,,-26
Voorschoten,Provincie Zuid-Holland,4,30,34,3,0,2,6,0,25,36,-2,,-2
Waddinxveen,Provincie Zuid-Holland,-12,31,19,0,0,1,3,0,2,6,13,13,
Wassenaar,Provincie Zuid-Holland,-9,31,22,4,3,3,2,1,15,28,-6,,-6
Westland,Provincie Zuid-Holland,5,123,128,14,10,11,28,12,8,83,45,45,
Westvoorne,Provincie Zuid-Holland,4,17,21,0,5,2,1,8,6,22,-1,,-1
Zederik,Provincie Zuid-Holland,-2,17,15,5,8,5,0,7,5,30,-15,,-15
Zoetermeer,Provincie Zuid-Holland,26,146,172,10,19,30,45,15,54,173,-1,,-1
Zoeterwoude,Provincie Zuid-Holland,4,10,14,4,1,4,0,13,0,22,-8,,-8
Zuidplas,Provincie Zuid-Holland,-16,48,32,19,3,18,4,0,2,46,-14,,-14
Zwijndrecht,Provincie Zuid-Holland,-10,53,43,6,13,10,17,-21,7,32,11,11,
