Datum aanvraag,Consent nummer,Aantal,Goederen omschrijving,land van herkomst,land van bestemming (**),Ad-hoc J/N (***),VP/AN (****),Vervoermiddel,Plaats van uitgang
01/05/2005,25337549,420,Ontstekers,VS,Israël,N,,Vliegtuig,Schiphol
01/05/2005,25337530,5000,Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
01/07/2005,25349059,1257,"Delen van munitie (ontstekers, lonten)",Zuid-Afrika,Oostenrijk,N,,Schip/auto/spoor,Rotterdam
01/11/2005,25357078,520200,"450.200 centraalvuurpatronen, 70.000 slaghoedjes",VS,Spanje,N,,Schip,Rotterdam
01/12/2005,melding,56,Vrachtauto's,"VS, Luxemburg",Senegal,N,,Schip,Amsterdam
01/14/2005,25370996,2350,Patronen,Duitsland,VK,N,,Vrachtauto/schip,Rotterdam
01/14/2005,25360877,11600,kg. Nitrocellulose,Zwitserland,VK,N,,Vrachtauto/schip,Rotterdam
01/17/2005,25375157,450,Kardoezen voor kanonnen ,VK,Duitsland,N,,Vrachtauto/schip,Rotterdam
01/17/2005,25376498,80,"40 Aandrijvingen geleideraket, 40 ontstekers",Brazilië,België,N,,Schip/vrachtauto,Rotterdam
01/18/2005,25376501,200,Elektrische ontstekers,VS,België,N,,Auto,Onbekend
01/24/2005,25392418,100,"Munitie, ontstekers",VS,Israël,N,,Vliegtuig,Schiphol
01/25/2005,25398335,2532,Patronen,Duitsland,VK,N,,Auto/schip,Rotterdam
01/25/2005,25398378,226,"26 Springladingen, 130 ladingen, 64 handgranaten, 6 geleideraketten",Zwitserland,Australië,N,,Spoor/schip,Rotterdam
01/26/2005,25398351,1,Deel van geleidegeleideraket,VK,Zwitserland,N,,Auto/schip,Rotterdam
01/26/2005,25400143,197,Pistolen + delen / toebehoren,Duitsland,VK,N,,Auto/schip,Rotterdam
01/26/2005,25400313,45,Ontstekers (defect),België,VS,N,,Auto/vliegtuig,Schiphol
01/27/2005,25407008,200,Pistolen kal. 9mm,Portugal,VS,N,,Schip,Rotterdam
01/27/2005,25407016,1025,Semi-autom. kogelgeweren,Portugal,VS,N,,Schip,Rotterdam
01/28/2005,25413180,20000,Patronen kal. 20mm,Zwitserland,Saoedi-Arabië,N,,Auto/schip,Rotterdam
01/28/2005,25413199,7500000,Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
01/28/2005,25408322,2350,Trainingspatronen,Duitsland,VK,N,,Auto/schip,Rotterdam
01/28/2005,25414403,30210,Lichtspoormunitie kal. 40mm,VK,Duitsland,N,,Auto/schip,Venlo
02/01/2005,25425146,2,"Enkelloops kogelgeweren, reserveloop",VK,Duitsland,N,,Auto/schip,Onbekend
02/02/2005,25431820,220,Kogelpatronen,VS,Tanzania,N,,Vliegtuig,Schiphol
