afgifte datum,nummer,SGP,CAT,goederen omschrijving,D/T,Verl.,V/N,U/D,T.v.v.,land van bestemming,land van eindbestemming,oorsprong /herkomst,land van oorsprong,waarde (€),verval datum
01/13/2004,23728109,ML6,A02,"Pantservoertuigen, type Fennek",D,N,N,2,12012004,DUITSLAND,DUITSLAND,NEDERLAND,,22000000,31012005
01/13/2004,23728427,ML5b,B10,Delen van radarvuurleidingsystemen,D,N,N,2,12012004,GRIEKENLAND,GRIEKENLAND,ONBEKEND,,68027,31012005
01/13/2004,23727781,ML10a,A10,Delen van F-16 gevechtsvliegtuigen,T,N,N,2,12012004,VS,VS,ISRAËL,,464373,31012005
01/13/2004,23729202,ML5b,B10,Delen van rondzoekradarsysteem,D,N,N,2,12012004,VS,VS,NEDERLAND,,428,31012005
01/14/2004,23540029,ML15d,B04,Thermische handkijker,T,N,N,2,1122003,CHILI,CHILI,NEDERLAND,,30000,31012005
01/14/2004,23728176,ML6,A10,Delen van Fennek pantservoertuigen,D,N,N,2,12012004,DUITSLAND,DUITSLAND,NEDERLAND,,335429,31012005
01/14/2004,23749513,ML1a,A08,Machinepistool en kogelgeweer,D,N,N,2,14012004,SPANJE,SPANJE,ONBEKEND,,300,31012005
01/14/2004,23728419,ML5b,B10,Deel van radarvuurleidingsysteem,D,N,N,2,12012004,SPANJE,SPANJE,NEDERLAND,,9350,31012005
01/14/2004,23726637,ML9a,A10,"Smeerolieën, verf en artikelen t.b.v. onderzeeboten",D,N,N,2,12012004,TAIWAN,TAIWAN,EG-landen,,9016,31012005
01/14/2004,23733455,ML9a,A10,"Smeerolieën, verf en artikelen t.b.v. onderzeeboten",D,N,N,2,13012004,TAIWAN,TAIWAN,EG-landen,,170988,31012005
01/14/2004,23737469,ML9a,A10,"Smeerolieën, verf en artikelen t.b.v. onderzeeboten",D,N,V,2,13012004,TAIWAN,TAIWAN,NEDERLAND,,424301,31012005
01/14/2004,23732378,ML10b,B10,Receiver transmitter t.b.v. Chinook CH47D helicopter,T,N,N,2,13012004,VS,VS,VS,,33585,31012005
01/15/2004,23756595,ML1a,A08,"Kogelgeweer kaliber 9,3x64",D,N,N,2,15012004,DUITSLAND,DUITSLAND,DUITSLAND,,1200,31012005
01/15/2004,23758040,ML1d,A10,Vizierkijkers alsmede delen en toebehoren daarvoor,D,N,N,2,15012004,FRANKRIJK,FRANKRIJK,ONBEKEND,,1500000,31012005
01/15/2004,23441977,ML11,B04,Communicatiesysteem,T,N,N,2,30102003,OMAN,OMAN,NEDERLAND,,15000,31012005
01/15/2004,23737434,ML6,A10,Onderdelen van M41 tanks,D,N,N,2,14012004,VS,VS,VS,,11167,31012005
01/16/2004,23764296,ML1a,A08,"Kogelgeweer, kaliber .30-06",D,N,N,2,16012004,DUITSLAND,DUITSLAND,BELGIË,,200,31012005
01/16/2004,23753111,ML6,A10,Delen van Leopard II tanks,D,N,N,2,15012004,OOSTENRIJK,OOSTENRIJK,NEDERLAND,,646548,31012005
01/16/2004,23756897,ML11,B10,PCB-boards en delen van militaire telefonie systemen ,D,N,N,2,15012004,VK,VK,NEDERLAND,,993815,31012005
01/16/2004,23756560,ML5b,B10,Delen van radarvuurleidingsystemen,D,N,N,2,15012004,VK,VK,NEDERLAND,,1825,31012005
01/16/2004,23762714,ML10a,A10,Cooling turbine voor een F-16 gevechtsvliegtuig,T,N,N,2,16012004,VS,VS,VS,,10000,31012005
01/19/2004,23674831,ML10a,A10,Cooling Turbine zijnde deel van F-16 gevechtsvliegtuig,T,N,N,2,30122003,SINGAPORE,SINGAPORE,VS,,10000,31012005
01/19/2004,23762986,ML9a,A10,Controle- en meet apparatuur t.b.v. onderzeeboten ,D,N,N,2,16012004,TAIWAN,TAIWAN,NEDERLAND,,13865,31012005
01/19/2004,23627558,ML10b,B10,"Altimeters, zijnde onderdelen voor militaire vliegtuigen",T,N,N,2,18122003,VK,VK,VS,,20000,31012005
01/19/2004,23764601,ML10a,A10,Delen militaire gevechtsvliegtuigenn en  helicopters,D,N,N,2,16012004,VS,VS,ONBEKEND,,419815,31012005
01/20/2004,23780747,ML1a,A08,"Revolver, kaliber .357M",D,N,N,2,20012004,DUITSLAND,DUITSLAND,VS,,1050,31012005
01/20/2004,23590107,ML10b,B10,Cooling turbine voor een Hercules C-130 transportvliegtuig,T,N,N,2,11122003,THAILAND,THAILAND,VS,,55000,31012005
01/20/2004,23644088,ML5b,B10,Delen van radarsystemen,D,N,N,2,22122003,VS,VS,NEDERLAND,,1630,31012005
01/21/2004,23782766,ML10a,A10,Delen van gevechtsvliegtuigen en gevechtshelicopters,T,N,N,2,20012004,DUITSLAND,DUITSLAND,NEDERLAND,,1286800,31012005
01/21/2004,23775425,ML15d,B10,Koelers en convertors t.b.v. warmtebeeldcamera's,D,N,N,2,20012004,FRANKRIJK,FRANKRIJK,NEDERLAND,,188220,31012005
01/21/2004,23768372,ML1d,A10,Vizierkjkers,D,N,V,2,19012004,SPANJE,SPANJE,ONBEKEND,,32193,30062004
01/21/2004,23780895,ML6,A10,Delen van pantservoertuigen,D,N,V,2,20012004,VS,VS,VS,,1637279,31012005
01/22/2004,23775441,ML5b,B10,Delen van radar- en C3-systemen,D,N,V,2,20012004,BANGLADESH,BANGLADESH,NEDERLAND,,18855,28022005
01/22/2004,23798336,ML1a,A08,"Pistolen, kaliber 9 mm",D,N,N,2,22012004,DUITSLAND,DUITSLAND,ONBEKEND,,400,31012005
01/22/2004,23792672,ML11,B10,Delen van communicatiesystemen,D,N,N,2,21012004,DUITSLAND,DUITSLAND,NEDERLAND,,3565,31012005
01/22/2004,23775476,ML5b,B10,Componenten voor Combat Direction System,D,N,V,2,20012004,DUITSLAND,DUITSLAND,NEDERLAND,,570974,31012005
01/22/2004,23792184,ML6,B10,Delen van Fennek verkenningsvoertuigen,D,N,N,2,21012004,DUITSLAND,DUITSLAND,NEDERLAND,,625,31012005
01/22/2004,23792192,ML6,B10,Delen van Fennek verkenningsvoertuigen,D,N,N,2,21012004,DUITSLAND,DUITSLAND,NEDERLAND,,1630,31012005
01/22/2004,23792206,ML6,B10,Delen van Fennek verkenningsvoertuigen,D,N,N,2,21012004,DUITSLAND,DUITSLAND,NEDERLAND,,2538,31012005
01/22/2004,23568179,ML11,B04,Communicatiesystemen en delen daarvoor,D,N,V,2,8122003,FRANKRIJK,MALEISIË,NEDERLAND,,212290,31012005
01/22/2004,23792591,ML11,B10,Onderdelen voor communicatiesystemen ,D,N,N,2,21012004,FRANKRIJK,FRANKRIJK,NEDERLAND,,60008,31012005
01/22/2004,23792176,ML3,A10,Schakels .50M9 t.b.v. patroonbanden,D,N,N,2,21012004,FRANKRIJK,BELGIË,NEDERLAND,,48750,31012005
01/22/2004,23792583,ML5b,B10,Onderdelen t.b.v radarvuurleidingsystemen,D,N,N,2,21012004,GRIEKENLAND,GRIEKENLAND,ONBEKEND,,40687,31012005
01/22/2004,23792656,ML5b,B10,Delen van radarvuurleidingsystemen,D,N,N,2,21012004,GRIEKENLAND,GRIEKENLAND,NEDERLAND,,340,31012005
01/22/2004,23775492,ML5b,B10,Delen van radarvuurgeleidingsystemen,D,N,V,2,20012004,QATAR,QATAR,NEDERLAND,,726620,31012005
01/22/2004,23775557,ML5b,B10,Delen van radarvuurleidingsystemen,D,N,V,2,20012004,THAILAND,THAILAND,NEDERLAND,,26780,31012005
01/22/2004,23792664,ML5b,B10,Onderdelen t.b.v. vuurleidingsystemen,D,N,N,2,21012004,THAILAND,THAILAND,ONBEKEND,,59886,31012005
01/22/2004,23775573,ML5b,B04,"Radarsysteem, alsmede technologie daarvoor",D,N,V,2,20012004,VK,VK,NEDERLAND,,20240732,31012005
01/22/2004,23771837,ML11,B10,Voedingen voor MK162 Decoy Systems,D,N,N,2,19012004,VS,VS,NEDERLAND,,30701,31012005
01/22/2004,23771861,ML11,B10,Voeding voor MK162 Decoy system,D,N,N,2,19012004,VS,VS,NEDERLAND,,6448,31012005
01/23/2004,23792648,ML5b,B10,Delen van radarvuurleidingsysteem,D,N,N,2,21012004,BAHREIN,BAHREIN,ONBEKEND,,16085,31012005
01/23/2004,23797887,ML9e,A10,Onderdelen van periscopen voor onderzeeboten,D,N,N,2,22012004,DUITSLAND,DUITSLAND,NEDERLAND,,7344,31012005
01/23/2004,23797895,ML9e,A10,Onderdelen van periscopen voor onderzeeboten,D,N,N,2,22012004,DUITSLAND,DUITSLAND,NEDERLAND,,26111,31012005
01/23/2004,23797909,ML9e,A10,Sub-samenstellingen van een periscoop,D,N,N,2,22012004,DUITSLAND,DUITSLAND,NEDERLAND,,455914,31012005
01/23/2004,23775565,ML5b,B10,Delen van radarsystemen,D,N,V,2,20012004,MAROKKO,MAROKKO,NEDERLAND,,821070,31012005
01/23/2004,23782758,ML3,A08,Gebruikte munitie en delen daarvan,T,N,N,2,20012004,VS,VS,ONBEKEND,,80,31012005
01/23/2004,23782936,ML3,A08,Gebruikte munitie en delen daarvan,T,N,N,2,20012004,VS,VS,ONBEKEND,,70,31012005
01/26/2004,23806215,ML1a,A08,"Kogelgeweer, kaliber 7x64",D,N,N,2,26012004,DUITSLAND,DUITSLAND,DUITSLAND,,250,31012005
01/26/2004,23814129,ML1a,A08,"Kogelbuks, kaliber .375",T,N,N,2,26012004,DUITSLAND,DUITSLAND,DUITSLAND,,3000,31012005
01/26/2004,23814889,ML4b,A10,Optische delen voor raketafweersystemen,D,N,N,2,26012004,DUITSLAND,DUITSLAND,NEDERLAND,,161707,31012005
01/26/2004,23816350,ML5b,B10,Delen van radarsystemen,D,N,V,2,26012004,VS,VS,NEDERLAND,,1369,31012005
01/27/2004,23816334,ML1a,A08,"Centraalvuurpistool, kaliber .45ACP",D,N,N,2,26012004,DUITSLAND,DUITSLAND,VS,,300,31012005
01/27/2004,23816733,ML1a,A08,"Kogelgeweer, kaliber .30MI",D,N,N,2,27012004,DUITSLAND,DUITSLAND,VS,,50,31012005
01/27/2004,23824256,ML1a,A08,"Revolver, kaliber .38 spec.",D,N,N,2,27012004,DUITSLAND,DUITSLAND,VS,,160,31012005
01/27/2004,23816342,ML4a,A10,Lithium batterijen t.b.v. inbouw in nabijheidsbuizen,D,N,N,2,26012004,DUITSLAND,DUITSLAND,NEDERLAND,,14000,31012005
01/27/2004,23808285,ML6,A10,Kabeldoorvoeringen t.b.v. Leopard II tanks,D,N,N,2,23012004,DUITSLAND,DUITSLAND,DUITSLAND,,303,31012005
01/27/2004,23808390,ML5b,B10,Delen van radarvuurleidingsystemen,T,N,N,2,23012004,TURKIJE,TURKIJE,NEDERLAND,,3000,31012005
01/27/2004,23808358,ML5b,B10,Delen van radarvuurleidingsystemen,D,N,N,2,23012004,ZUID-KOREA,ZUID-KOREA,ONBEKEND,,101206,31012005
01/27/2004,23808374,ML5b,B10,Delen van radarvuurleidingsystemen,T,N,N,2,23012004,ZUID-KOREA,ZUID-KOREA,ONBEKEND,,265119,31012005
01/28/2004,23824469,ML5b,B10,Delen van waarnemingsperiscopen voor Leopard II tanks,D,N,N,2,27012004,DUITSLAND,SPANJE,NEDERLAND,,27485,31012005
01/28/2004,23826852,ML5b,B10,Delen van waarnemingsperiscopen voor Leopard II tanks,D,N,N,2,27012004,DUITSLAND,SPANJE,NEDERLAND,,68515,31012005
01/28/2004,23826860,ML5b,B10,Delen van waarnemingsperiscopen voor Leopard II tanks,D,N,N,2,27012004,DUITSLAND,SPANJE,NEDERLAND,,107991,31012005
01/28/2004,23816873,ML10a,A10,Deel van AH64 gevechtshelicopter,T,N,N,2,27012004,FRANKRIJK,FRANKRIJK,FRANKRIJK,,621,31012005
01/28/2004,23696185,ML15d,B04,Thermische camera en toebehoren daarvoor,T,N,V,2,6012004,KOEWEIT,KOEWEIT,NEDERLAND,,90000,31012005
01/28/2004,23816377,ML11,B10,Integratedhelmsets t.b.v.communicatiesystemen,D,N,V,2,26012004,NOORWEGEN,NOORWEGEN,VS,,867230,31012005
01/28/2004,23806479,ML9a,A10,Controle en meet apparatuur t.b.v. onderzeeboten ,D,N,N,2,23012004,TAIWAN,TAIWAN,NEDERLAND,,33225,31012005
01/28/2004,23806487,ML9a,A10,Controle en meet apparatuur t.b.v. onderzeeboten ,D,N,N,2,23012004,TAIWAN,TAIWAN,NEDERLAND,,241524,31012005
01/28/2004,23816881,ML10a,A10,Delen van F-16 gevechtsvliegtuigen,T,N,N,2,27012004,VK,VK,NEDERLAND,,598,31012005
01/28/2004,23826879,ML10a,A10,Brandstofpomp (AFP) voor een F-16 gevechtsvliegtuig,T,N,N,2,27012004,VS,VS,VS,,22000,31012005
01/29/2004,23833719,ML21,B09,Software voor Leopard I en II trainingssimulator,D,N,N,2,28012004,DENEMARKEN,DENEMARKEN,NEDERLAND,,365000,31012005
01/29/2004,23834790,ML1a,A08,"Combinatiegeweer, kaliber 16/5, 6x50R ",D,N,N,2,29012004,DUITSLAND,DUITSLAND,DUITSLAND,,500,31012005
01/29/2004,23817179,ML3,A10,"Kogelpunten, kalibers 9mm, .44, .45 en .38/.357",D,N,N,2,27012004,DUITSLAND,DUITSLAND,ZUID-AFRIKA,,2483,31012005
01/29/2004,23666790,ML4a,A10,Delen van Stinger raketten,D,N,V,2,29122003,DUITSLAND,DUITSLAND,NEDERLAND,,832891,31012005
01/29/2004,23753138,ML10b,A10,Cooling Turbine voor een Hercules C-130 transportvliegtuig,T,N,N,2,15012004,GRIEKENLAND,GRIEKENLAND,VS,,55000,31012005
01/29/2004,23696177,ML15d,B04,Thermische handkijker met toebehoren,T,N,N,2,6012004,ROEMENIË,ROEMENIË,NEDERLAND,,30000,31012005
01/29/2004,23696207,ML15d,B04,Thermische observatiekijker,T,N,N,2,6012004,ROEMENIË,ROEMENIË,NEDERLAND,,250000,31012005
01/29/2004,23567067,ML14,B10,Delen en toebehoren voor simulatoren,D,N,V,2,8122003,SINGAPORE,SINGAPORE,NEDERLAND,,600000,31012005
01/29/2004,23627574,ML10a,A10,Jet Fuel Starters voor F-16 gevechtsvliegtuigen,T,N,N,2,18122003,THAILAND,THAILAND,VS,,146305,31012005
01/29/2004,23833107,ML14,B10,Delen van militaire lasersimulatiesystemen,D,N,N,2,28012004,ZWEDEN,ZWEDEN,NEDERLAND,,7713,31012005
01/29/2004,23833115,ML14,B10,Delen van militaire simulatiesystemen,D,N,N,2,28012004,ZWEDEN,ZWEDEN,NEDERLAND,,8090,31012005
01/30/2004,23837234,ML10a,A10,Delen van F-16 gevechtsvliegtuigen,T,N,N,2,29012004,DENEMARKEN,DENEMARKEN,VS,,500000,31012005
01/30/2004,23841568,ML10a,A10,Delen van NH90 gevechtshelicopter,T,N,N,2,29012004,DUITSLAND,DUITSLAND,DUITSLAND,,29302,31012005
01/30/2004,23839180,ML6,A10,Delen van PZH 2000 voertuigen,D,N,N,2,29012004,DUITSLAND,DUITSLAND,NEDERLAND,,3342,31012005
01/30/2004,23840456,ML6,A10,Delen van brandstofpompen voor M-60 tanks,D,N,N,2,29012004,DUITSLAND,DUITSLAND,VS,,1710,31012005
01/30/2004,23841576,ML6,B10,Delen van Fennek verkenningsvoertuigen,D,N,N,2,29012004,DUITSLAND,DUITSLAND,NEDERLAND,,22950,31012005
01/30/2004,23841584,ML6,B10,Delen van Fennek verkenningsvoertuigen,D,N,N,2,29012004,DUITSLAND,DUITSLAND,NEDERLAND,,37170,31012005
01/30/2004,23841665,ML6,B10,Delen van Fennek verkenningsvoertuigen,D,N,N,2,29012004,DUITSLAND,DUITSLAND,NEDERLAND,,45711,31012005
01/30/2004,23841673,ML6,B10,Delen van Fennek verkenningsvoertuigen,D,N,N,2,29012004,DUITSLAND,DUITSLAND,NEDERLAND,,53790,31012005
01/30/2004,23728168,ML5b,B10,Delen en documentatie t.b.v. radarvuurgeleidingsystemen,D,N,N,2,12012004,ZUID-KOREA,ZUID-KOREA,ONBEKEND,,1343408,31012005
01/30/2004,23728184,ML5b,B10,"Job kits,apparatuur en documentatie voor marineprogramma",D,N,N,2,12012004,ZUID-KOREA,ZUID-KOREA,ONBEKEND,,2000000,31012005
02/02/2004,23599643,ML4b,B10,Wired Gimbals en Seeker cards t.b.v. Gill anti-tankraketten,D,N,V,2,12/09/2003,ISRAËL,ISRAËL,NEDERLAND,,7044734,02/28/2005
02/02/2004,23622998,ML5b,B10,Delen van radarsystemen,D,N,V,2,12/12/2003,ZUID-KOREA,ZUID-KOREA,NEDERLAND,,141528,01/31/2005
02/02/2004,23833948,ML1a,A08,Combinatiegeweer kaliber 12/.308,D,N,N,2,01/15/2004,DUITSLAND,DUITSLAND,ONBEKEND,,500,01/31/2005
02/02/2004,23844842,ML9a,A10,Apparatuur t.b.v. onderzeeboten,D,N,N,2,01/29/2004,TAIWAN,TAIWAN,NEDERLAND,,6936,02/28/2005
02/02/2004,23846063,ML10a,A10,Delen van Eurofighter gevechtsvliegtuigen,T,N,N,2,01/29/2004,DUITSLAND,DUITSLAND,DUITSLAND,,40000,02/28/2005
02/02/2004,23846187,ML6,A10,Tankwielen voor Leopard II tanks,T,N,N,2,01/30/2004,DUITSLAND,DUITSLAND,DUITSLAND,,51000,02/28/2005
02/02/2004,23851407,ML6,A10,Delen van Leopard II tanks,D,N,N,2,01/29/2004,DUITSLAND,DUITSLAND,NEDERLAND,,3045,02/28/2005
02/02/2004,23851431,ML6,A10,Delen van Leopard II tanks,D,N,N,2,01/29/2004,DUITSLAND,DUITSLAND,NEDERLAND,,164125,02/28/2005
02/03/2004,23844427,ML4,A10,Delen van SAM raketten,D,N,N,2,01/29/2004,DUITSLAND,DUITSLAND,NEDERLAND,,14653,02/28/2005
02/03/2004,23851474,ML10c,A10,Motoronderdelen van Eurojet/Eurofighter ,D,N,N,2,01/30/2004,DUITSLAND,DUITSLAND,NEDERLAND,,21200,02/28/2005
02/03/2004,23851490,ML5b,B10,Subsystemen t.b.v. C3-systemen ,D,N,N,2,01/29/2004,DUITSLAND,DUITSLAND,NEDERLAND,,8939798,02/28/2005
02/03/2004,23851512,ML5b,B10,Delen van radar- en C3 systemen,D,N,N,2,01/29/2004,DUITSLAND,DUITSLAND,NEDERLAND,,40625,02/28/2005
02/03/2004,23851539,ML5b,B10,Delen van radar- en C3 systemen,D,N,N,2,01/29/2004,DUITSLAND,DUITSLAND,ONBEKEND,,163470,02/28/2005
02/03/2004,23851547,ML5b,B10,Delen van radar- en C3 systemen,D,N,N,2,01/23/2004,GRIEKENLAND,GRIEKENLAND,ONBEKEND,,376320,02/28/2005
02/03/2004,23851555,ML5b,B10,Delen van radar- en C3 systemen,D,N,N,2,01/29/2004,GRIEKENLAND,GRIEKENLAND,VS,,12110,02/28/2005
02/03/2004,23851571,ML5b,B10,Gereedschap en testapparatuur voor C3-systeem,T,N,V,2,01/23/2004,ZUID-KOREA,ZUID-KOREA,NEDERLAND,,200000,02/28/2005
02/04/2004,23851652,ML1a,A08,"Kogelgeweer, kaliber 243Win",D,N,N,2,01/27/2004,DUITSLAND,DUITSLAND,DUITSLAND,,100,02/28/2005
02/04/2004,23857723,ML3,A09,"Kogelpatronen, diverse kalibers",D,N,N,2,02/02/2004,DUITSLAND,DUITSLAND,SERVIE-MONTE,,1451,02/28/2005
02/04/2004,23867397,ML2a,A10,Canisters en onderdelen t.b.v. het PAC3 programma,D,N,V,2,01/16/2004,VS,VS,NEDERLAND,,8060000,02/28/2005
02/05/2004,23749653,ML6,A10,Koelaggregaten met toebehoren ,D,N,N,2,01/13/2004,DUITSLAND,DUITSLAND,NEDERLAND,,32082,02/28/2005
02/05/2004,23851350,ML1a,A08,"Enkelloops kogelgeweer, kaliber 8x57JS",T,N,N,2,01/30/2004,DUITSLAND,DUITSLAND,DUITSLAND,,1500,02/28/2005
02/05/2004,23851563,ML1a,A08,"Kogelgeweer kaliber .308Win,  8x57en 6.5x55",D,N,N,2,01/30/2004,DUITSLAND,DUITSLAND,ONBEKEND,,1500,02/28/2005
02/05/2004,23857898,ML6,A10,Onderdelen  t.b.v. pantservoertuigen,T,N,N,2,02/02/2004,DUITSLAND,DUITSLAND,NEDERLAND,,840000,02/28/2005
02/05/2004,23866994,ML3,A10,"Kogelpunten, kal.: 9mm, 10mm, .38, .44 en .45",D,N,N,2,02/03/2004,FRANKRIJK,FRANKRIJK,ZUID-AFRIKA,,5908,02/28/2005
02/05/2004,23873397,ML6,A10,Delen van Leopard II tanks,D,N,N,2,02/03/2004,DUITSLAND,DUITSLAND,NEDERLAND,,1091,02/28/2005
02/06/2004,23808307,ML21,B09,Software tools(prgrammatuur),D,N,N,2,01/21/2004,GRIEKENLAND,GRIEKENLAND,NEDERLAND,,110000,02/28/2005
02/06/2004,23808315,ML5b,B04,Testnodes (hardware) ,D,N,N,2,01/21/2004,GRIEKENLAND,GRIEKENLAND,NEDERLAND,,100000,02/28/2005
