afgifte datum,nummer,SGP,CAT,goederen omschrijving,D/T,Verl.,V/N,U/D,T.v.v.,land van bestemming,land van eindbestemming,oorsprong /herkomst,land van oorsprong,waarde (€),verval datum
01/05/2004,23551713,ML15d,B08,Thermische camera met toebehoren,T,N,N,2,3122003,CHINA,CHINA,NEDERLAND,,95000,31012005
01/05/2004,23638169,ML1a,A08,"Revolver, kal .44 Magn en kogelgeweer, kal .308 Winch",D,N,N,2,19122003,MALEISIË,MALEISIË,ONBEKEND,,2135,31012005
01/05/2004,23638274,ML3,A09,"Kogelpatronen, kalibers .44 Magnum en .308 Winch  ",D,N,N,2,19122003,MALEISIË,MALEISIË,NEDERLAND,,750,31012005
01/05/2004,23683245,ML3,A10,"Projectielen, 105 mm",D,N,N,2,31122003,OOSTENRIJK,OOSTENRIJK,NEDERLAND,,8285,31012005
01/05/2004,23503638,ML11,B04,Communicatiesystemen schip/helicopter,T,N,N,2,20112003,VK,OMAN,NEDERLAND,,688000,31012005
01/06/2004,23666030,ML10a,A10,Beeldschermen t.b.v. gevechtsvliegtuigen,T,N,N,2,29122003,DENEMARKEN,DENEMARKEN,VS,,54024,31012005
01/06/2004,23699532,ML6,A02,Gevechtsvoertuig ULAN,T,N,N,2,6012004,OOSTENRIJK,OOSTENRIJK,OOSTENRIJK,,4200000,31012005
01/07/2004,23697076,ML6,A10,Tussenplaten t.b.v. rupsbanden voor pantservoertuigen,D,N,N,2,6012004,DUITSLAND,DUITSLAND,NEDERLAND,,42009,31012005
01/07/2004,23697106,ML6,A10,Grondplaten t.b.v. rupsbanden voor pantservoertuigen,D,N,N,2,6012004,DUITSLAND,DUITSLAND,NEDERLAND,,54015,31012005
01/07/2004,23696169,ML5b,B10,Delen van radar- en C3-systemen,D,N,N,2,6012004,GRIEKENLAND,GRIEKENLAND,ONBEKEND,,35010,31012005
01/07/2004,23691965,ML10a,A10,Power units zijnde delen voor F-16 gevechtsvliegtuigen,T,N,N,2,6012004,VS,VS,VS,,6300,31012005
01/08/2004,23696150,ML5b,B10,Delen van radar- en C3-systemen,D,N,N,2,6012004,ARGENTINIË,ARGENTINIË,ONBEKEND,,47714,31012005
01/08/2004,23666782,ML4b,A10,Patriot transmitters,D,N,V,2,29122003,DUITSLAND,DUITSLAND,NEDERLAND,,7650000,31012005
01/08/2004,23708884,ML6,B10,Delen van Fennek verkenningsvoertuigen,D,N,N,2,7012004,DUITSLAND,DUITSLAND,NEDERLAND,,2129,31012005
01/08/2004,23708914,ML6,A10,Delen van Leopard II tanks,D,N,N,2,7012004,DUITSLAND,DUITSLAND,NEDERLAND,,11500,31012005
01/08/2004,23711427,ML6,A10,Loop- en steunwielen voor pantservoertuigen,D,N,N,2,8012004,DUITSLAND,DUITSLAND,NEDERLAND,,3600,31012005
01/08/2004,23715619,ML6,A10,Delen van PZH2000 voertuigen,D,N,N,2,8012004,DUITSLAND,DUITSLAND,NEDERLAND,,37499,31012005
01/08/2004,23715627,ML6,A10,Delen van Leopard II tanks,D,N,N,2,8012004,DUITSLAND,DUITSLAND,NEDERLAND,,926,31012005
01/08/2004,23715643,ML6,A10,Delen van Leopard II tanks,D,N,N,2,8012004,DUITSLAND,DUITSLAND,NEDERLAND,,49362,31012005
01/08/2004,23708892,ML6,A10,Delen van Leopard II tanks,D,N,N,2,7012004,SPANJE,SPANJE,NEDERLAND,,9785,31012005
01/08/2004,23696193,ML5b,B10,Delen van radarvuurleidingsystemen,D,N,N,2,6012004,ZUID-KOREA,ZUID-KOREA,ONBEKEND,,366000,31012005
01/08/2004,23708906,ML5b,B10,Delen van radarvuurgeleidingsystemen,D,N,N,2,7012004,ZUID-KOREA,ZUID-KOREA,ONBEKEND,,7530,31012005
01/08/2004,23711443,ML6,A10,Tankwielen t.b.v. pantservoertuigen,D,N,N,2,8012004,ZWEDEN,ZWEDEN,NEDERLAND,,357733,31012005
01/08/2004,23711451,ML6,A10,Tankwielen t.b.v. pantservoertuigen,D,N,N,2,8012004,ZWEDEN,ZWEDEN,NEDERLAND,,7950,31012005
01/08/2004,23711478,ML6,A10,Tankwielen t.b.v. pantservoertuigen,D,N,N,2,8012004,ZWEDEN,ZWEDEN,NEDERLAND,,250413,31012005
01/08/2004,23715635,ML6,A10,Delen van pantservoertuigen,D,N,N,2,8012004,ZWITSERLAND,ZWITSERLAND,NEDERLAND,,27800,31012005
01/09/2004,23666820,ML10b,B10,Delen van NH 90 helicopter,D,N,V,2,29122003,DIVERSE LANDEN,DIVERSE LANDEN,NEDERLAND,,31905940,31012005
01/09/2004,23722941,ML5b,B10,Deel van waarnemingsperiscoop t.b.v. pantservoertuigen,T,N,N,2,9012004,DUITSLAND,DUITSLAND,NEDERLAND,,6498,31012005
01/09/2004,23711389,ML6,A10,Loopwielen t.b.v. Leopard II tanks,T,N,N,2,8012004,DUITSLAND,DUITSLAND,NEDERLAND,,36000,31012005
01/09/2004,23711397,ML6,A10,Loopwielen t.b.v. Leopard II tanks,T,N,N,2,8012004,DUITSLAND,DUITSLAND,NEDERLAND,,36000,31012005
01/09/2004,23711400,ML6,A10,Loopwielen t.b.v. Leopard II tanks,T,N,N,2,8012004,DUITSLAND,DUITSLAND,NEDERLAND,,36000,31012005
01/09/2004,23711419,ML6,A10,Loopwielen t.b.v. Leopard II tanks,T,N,N,2,8012004,DUITSLAND,DUITSLAND,NEDERLAND,,36000,31012005
01/09/2004,23711435,ML6,A10,Spanwielen t.b.v. Leopard II tanks,T,N,N,2,8012004,DUITSLAND,DUITSLAND,NEDERLAND,,12000,31012005
01/09/2004,23715597,ML6,A10,Delen van Leopard II tanks,D,N,N,2,8012004,DUITSLAND,DUITSLAND,NEDERLAND,,1701,31012005
01/09/2004,23666812,M10,A10,Delen van AH-64 en CH-47 hefschroefvliegtuigen,D,N,V,2,29122003,EG LANDEN,EG LANDEN,VS,,500000,31012005
01/09/2004,23666804,ML10a,A10,Componenten en apparatuur voor F-16 gevechtsvliegtuigen,D,N,N,2,29122003,VS,VS,NEDERLAND,,2288831,31012005
01/09/2004,23666839,M10,A10,Delen van AH-64 en CH-47 hefschroefvliegtuigen,D,N,V,2,29122003,VS,VS,VS,,500000,31012005
01/12/2004,23718030,ML1a,A08,"Kogelgeweer, kaliber 7x64",D,N,N,2,12012004,DUITSLAND,DUITSLAND,OOSTENRIJK,,100,31012005
01/12/2004,23723816,ML8b6,A09,Rookzwak buskruit,D,N,N,2,9012004,DUITSLAND,DUITSLAND,NEDERLAND,,6576,31012005
01/12/2004,23723859,ML10a,A10,Delen van F-18 gevechtsvliegtuigen,T,N,N,2,9012004,VK,VK,NEDERLAND,,1384,31012005
01/13/2004,23723832,ML10b,A10,Delen van landingsgestellen van hefschroefvliegtuigen,D,N,V,2,9012004,DIVERSE LANDEN,DIVERSE LANDEN,NEDERLAND,,20000000,31012005
01/13/2004,23723840,ML6,A10,"Delen van pantservoertuigen, type Fennek",D,N,V,2,9012004,DUITSLAND,DUITSLAND,NEDERLAND,,5000000,31012005
