Datum afgifte,nummer,SG-Post,Omschrijving goederen,Opgegeven eindgebruik,D/T,Land van eindbestemming,Land van herkomst,Waarde(€),Datum verval
06/10/2008,27673414,3A001a5a4,Analoog/digitaalomzetters,Tbv electrochemische metingen,D,India,Onbekend,"37,800",06/30/2009
06/10/2008,27685005,,"Apparatuur, software en technologie voor informatiebeveiliging",Informatiebeveiliging,D,Diverse landen,Onbekend,"62,735",06/30/2011
06/11/2008,27712525,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Verenigd Koninkrijk,Onbekend,"172,085",06/30/2009
06/11/2008,27712622,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Verenigd Koninkrijk,Onbekend,"189,225",06/30/2009
06/11/2008,27491316,1A227,Stralingafschermende ramen,Tbv de verwerking van radiofarmaceutische producten,D,Zuid-Korea,Onbekend,"152,612",06/30/2009
06/11/2008,27793649,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen,D,Israël,Onbekend,"6,025",06/30/2009
06/11/2008,27815324,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,T,Zuid-Korea,Onbekend,"3,000",06/30/2009
06/11/2008,27818110,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,T,Zuid-Korea,Onbekend,"16,035",04/30/2009
06/12/2008,27637914,2B350g,Kleppen,Tbv de voedingsmiddelenindustrie,D,China,Onbekend,"4,255",06/30/2009
06/16/2008,27815448,0B001,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Frankrijk,Onbekend,"76,500",06/30/2009
06/17/2008,27807925,1C350-46,Triethanolamine,Tbv laboratoriumonderzoek,D,Turkije,Onbekend,282,06/30/2009
06/18/2008,27760015,1C350-50,Natriumsulfide,Ontharen en behandelen van huiden en vellen,D,Eritrea,Onbekend,"13,600",06/30/2009
06/18/2008,27806961,6A003b4,Camera's,Inspectie van elektrische installaties,D,China,Onbekend,"50,138",06/30/2009
06/18/2008,27807089,6A003b4,Camera's,Inspectie van elektrische installaties,D,China,Onbekend,"39,372",06/30/2009
06/19/2008,27772463,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Verenigde Staten van Amerika,Onbekend,"1,250,000",06/30/2009
06/19/2008,27783236,1C350-02,Fosforoxychloride,Vervaardiging van geneesmiddelen,D,India,Onbekend,"313,675",06/30/2009
06/19/2008,27824471,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv de jacht,D,Kroatië,Onbekend,"8,830",06/30/2009
06/20/2008,27787363,0B002a,Voedingssystemen,Vervaardigen van een verrijkingsinstallatie,D,VS via VK,Onbekend,"240,000",06/30/2009
06/20/2008,27807941,1C350-24,Waterstoffluoride,Onderzoek van bodemmonsters,D,Saoedi-Arabië,Onbekend,"1,150",06/30/2009
06/20/2008,27824412,2B350a,Reactor,Tbv de chemische industrie,D,Taiwan via Zwitserland,Onbekend,"133,500",06/30/2009
06/20/2008,27824501,6A003b3,Camera's,Demonstratie tbv militair gebruik,T,Singapore,Onbekend,"3,000",06/30/2009
06/23/2008,27806481,1C002b4b,Aluminium,Tbv civiel gebruik,D,Israël,Onbekend,"11,875",06/30/2009
06/23/2008,27714064,1C010b,Koolstofvezel,vervaardiging van sportartikelen,D,China,Onbekend,"163,111",06/30/2009
06/23/2008,27792472,1C350-02,Fosforoxychloride,Vervaardiging van geneesmiddelen,D,India,Onbekend,"3,000,000",06/30/2009
06/23/2008,27792480,1C350-07,Fosfortrichloride,Vervaardiging van anti-oxidanten en thermische stabilisatoren,D,India,Onbekend,"1,693,845",06/30/2009
06/23/2008,27818153,2B350g,Kleppen,Tbv een azijnzuurfabriek,D,Zuid-Afrika,Onbekend,"16,176",06/30/2009
06/24/2008,27806473,1C350-07,Fosfortrichloride,Vervaardiging van geneesmiddelen,D,India,Onbekend,"203,889",06/30/2009
06/24/2008,27823025,2B350g,Kleppen,Tbv de chemische industrie,D,Turkije,Onbekend,206,06/30/2009
06/24/2008,27829066,3A233a,Spectrometer,Analyse van synthetische stoffen,D,Oman,Onbekend,"65,494",06/30/2009
06/25/2008,27818102,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Duitsland,Onbekend,"82,000",06/30/2009
06/26/2008,27824455,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,D,Vs via Israël,Onbekend,"12,500",06/30/2009
06/27/2008,27824382,1C350-38,Fosforpentachloride,Vervaardiging van geneesmiddelen,D,India,Onbekend,"489,333",06/30/2009
06/27/2008,27826725,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,D,Koeweit,Onbekend,"8,190",06/30/2009
06/27/2008,27824463,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv de jacht,D,Kroatië,Onbekend,"3,030",06/30/2009
06/30/2008,27833136,1C350-07,Fosfortrichloride,Vervaardiging van brandvertragers,D,Taiwan,Onbekend,"3,973,940",07/31/2009
