Datum afgifte,nummer,SG-Post,Omschrijving goederen,Opgegeven eindgebruik,D/T,Land van eindbestemming,Land van herkomst,Waarde(€),Datum verval
05-01-2004,23632284,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen,D,Chili via België,Nederland,"25,740",31-01-2005
06-01-2004,23653915,1C350-16,Dimethylamine,Vervaardiging van herbiciden,D,Kroatië,Nederland,"15,000",31-01-2005
07-01-2004,23691973,1C450b8,Methyldiethanolamine,Tbv de olie-industrie,D,Zuid-Afrika,Onbekend,"377,834",31-01-2005
08-01-2004,23674858,1C350-02,Fosforoxychloride,Vervaardiging van harsen,D,Turkije,Onbekend,"5,100",31-01-2005
08-01-2004,23711486,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Demonstratie,T,Jordanië,Onbekend,"6,600",31-01-2005
08-01-2004,23711494,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Demonstratie,T,Jordanië,Onbekend,"2,200",31-01-2005
14-01-2004,23477165,1C350-07,Fosfortrichloride,Vervaardiging van fosfieten,D,Taiwan,Duitsland,"525,000",31-01-2005
14-01-2004,23729237,0C002,"Uraniumhexafluoride (U-235 < 5,0%)",Energie-opwekking,T,Zuid-Korea,Nederland,"30,404,816",31-01-2005
16-01-2004,23724456,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Reparatie en onderhoud ,D,Verenigde Arabische Emiraten,Nederland,"325,400",31-01-2005
19-01-2004,23726866,1C350-46,Triethanolamine,Vervaardiging van verf,D,Aruba,Onbekend,"1,164",31-01-2005
19-01-2004,23727579,1C350-24,Waterstoffluoride,Tbv laboratoriumonderzoek,D,Slovenië,Onbekend,333,31-01-2005
19-01-2004,23728028,1C350-46,Triethanolamine,Tbv kosmetische- en voedingsmiddelenlindustrie,D,Jordanië,Onbekend,"11,454",31-01-2005
20-01-2004,23727609,1C350-24,Waterstoffluoride,Tbv laboratoriumonderzoek,D,Servië en Montenegro,Onbekend,12,31-01-2005
20-01-2004,23771551,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,D,Cyprus,Onbekend,"558,740",31-01-2005
21-01-2004,23770407,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden (vliegvelden en werven),D,China,Nederland,"176,400",31-01-2005
22-01-2004,23745380,1C350-02,Fosforoxychloride,Vervaardiging van harsen,D,Brazilië,Duitsland,"7,200",31-01-2005
22-01-2004,23771853,6E002,Productieapparatuur en technologie,Vervaardiging van beeldversterkerbuizen,D,Rusland,Nederland,"6,745,976",31-01-2005
22-01-2004,23790564,1C350-46,Triethanolamine,Verwerking in cement,D,IJsland,Onbekend,"21,510",31-01-2005
22-01-2004,23792044,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Onderzoek,D,Vietnam,Nederland,"6,050",31-01-2005
27-01-2004,23706822,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden (vliegvelden en werven),D,China,Nederland,"12,000",31-01-2005
27-01-2004,23706830,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv politie en/of douane,D,China,Nederland,"16,150",31-01-2005
27-01-2004,23706849,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv politie en/of douane,D,China,Nederland,"16,100",31-01-2005
27-01-2004,23756056,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden (civiel),D,China via Hongkong,Nederland,"6,000",31-01-2005
27-01-2004,23762706,1C350-43,Natriumfluoride,Vervaardiging van mondspoeling,D,Suriname,Onbekend,238,31-01-2005
27-01-2004,23771721,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Testen,D,Saoedi-Arabië,Onbekend,"5,500",31-01-2005
27-01-2004,23796619,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv politie en/of douane,D,China,Nederland,"4,000",31-01-2005
27-01-2004,23808382,1C350-47,Fosforpentasulfide,Vervaardiging van pesticiden,D,Egypte,Duitsland,"125,038",31-01-2005
27-01-2004,23816784,1C350-16,Dimethylamine,Vervaardiging van herbiciden,D,Israël,Onbekend,"32,000",31-01-2005
27-01-2004,23816792,1C350-16,Dimethylamine,Vervaardiging van herbiciden,D,Argentinië,Onbekend,"141,926",31-01-2005
28-01-2004,23706857,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden (vliegvelden en werven),D,China,Nederland,"29,000",31-01-2005
28-01-2004,23818868,1C350-52,Zwaveldichloride,Tbv laboratoriumonderzoek,D,Verenigde Staten van Amerika,Onbekend,10,31-01-2005
28-01-2004,23824345,1C350-43,Natriumfluoride,Vervaardiging van pigmenten,D,Hongarije,Onbekend,"7,557",31-01-2005
28-01-2004,23828197,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden (vliegvelden en werven),D,China,Onbekend,"58,000",31-01-2005
29-01-2004,23841541,1C350-16,Dimethylamine,Vervaardiging van herbiciden,D,Argentinië,Onbekend,"141,926",31-01-2005
30-01-2004,23465639,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,D,Jordanië,Nederland,"4,900",31-01-2005
02-02-2004,23724448,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Reparatie van buizen,T,Vietnam,Nederland,"2,275",28-02-2005
02-02-2004,23771586,1C350-50,Natriumsulfide,Ontharen en behandelen van huiden en vellen,D,Ethiopië,Onbekend,"6,125",28-02-2005
02-02-2004,23846020,1C350-07,Fosfortrichloride,Vervaardiging van fosfieten,D,Taiwan,Onbekend,"37,656",31-12-2004
02-02-2004,23846039,1C350-07,Fosfortrichloride,Vervaardiging van fosfieten,D,Taiwan,Onbekend,"45,033",31-12-2004
02-02-2004,23846047,1C350-07,Fosfortrichloride,Vervaardiging van fosfieten,D,Taiwan,Onbekend,"72,315",31-01-2005
04-02-2004,23771470,1C350-07,Fosfortrichloride,Vervaardiging van fosfieten,D,Taiwan,Onbekend,"45,188",28-02-2005
04-02-2004,23771713,1C350-07,Fosfortrichloride,Vervaardiging van fosfieten,D,Taiwan,Onbekend,"307,840",28-02-2005
04-02-2004,23828200,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen,D,Roemenië,Onbekend,"9,934",28-02-2005
04-02-2004,23832186,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen,D,Roemenië,Onbekend,"5,998",28-02-2005
04-02-2004,23857901,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv politie en/of douane,T,Cyprus via Israël,Onbekend,"2,985",28-02-2005
04-02-2004,23857928,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,D,Zuid-Afrika,Onbekend,"66,300",28-02-2005
04-02-2004,23859009,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,D,Zuid-Afrika,Onbekend,"44,390",28-02-2005
05-02-2004,23867354,0B001c,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Duitsland,Onbekend,"37,617,013",28-02-2005
05-02-2004,23867362,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Reparatie van buizen,T,Singapore via België,Nederland,"1,785",28-02-2005
10-02-2004,23826887,3A001a7,Geïntegreerde schakelingen,Dataverwerking,D,India,Nederland,"4,061",28-02-2005
10-02-2004,23883007,1C450b8,Methyldiethanolamine,Tbv de gasindustrie,D,Tunesië,Onbekend,"664,950",31-01-2005
10-02-2004,23883023,1C450b8,Methyldiethanolamine,Tbv de gasindustrie,D,Tunesië,Nederland,"117,821",31-01-2005
10-02-2004,23883074,1C350-38,Fosforpentachloride,Vervaardiging van farmaceutische producten,D,Kroatië,Duitsland,"18,368",28-02-2005
10-02-2004,23883082,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Demonstratie,T,Singapore,Nederland,"2,400",28-02-2005
10-02-2004,23883090,1C350-02,Fosforoxychloride,Vervaardiging van farmaceutische producten,D,Kroatië,Duitsland,"10,575",28-02-2005
11-02-2004,23834197,1C350-50,Natriumsulfide,Ontharen en behandelen van huiden en vellen,D,Ethiopië,Onbekend,"37,800",28-02-2005
11-02-2004,23887150,3A001a7,Geïntegreerde schakelingen,Tbv satellietontvangstapparatuur,D,India,Nederland,"7,150",28-02-2005
12-02-2004,23851423,1C350-24,Waterstoffluoride,Vervaardiging van reinigingsmiddel,D,Roemenië,Onbekend,"11,423",28-02-2007
13-02-2004,23873400,1C350-38,Fosforpentachloride,Vervaardiging van farmaceutische producten,D,Kroatië,Onbekend,"83,250",28-02-2005
13-02-2004,23873419,1C350-02,Fosforoxychloride,Vervaardiging van farmaceutische producten,D,Kroatië,Onbekend,"49,350",28-02-2005
13-02-2004,23910993,1C350-47,Fosforpentasulfide,Vervaardiging van pesticiden,D,India,Onbekend,"513,000",31-03-2005
17-02-2004,23925141,3B001,Productie-apparatuur voor halfgeleiderelementen of -materialen,Vervaardiging van halfgeleiderelementen of -materialen,D,Israël,Onbekend,"6,240,000",28-02-2005
18-02-2004,23905191,1C350-02,Fosforoxychloride,Vervaardiging van insecticiden en fungiciden,D,Zuid-Korea,Duitsland,"350,000",28-02-2007
19-02-2004,23534630,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,T,Brazilië via België,Nederland,"6,810",28-02-2005
20-02-2004,23887142,3A233,Spectrometer,Onderzoek van water- en bodemmonsters,D,India,Onbekend,"142,240",28-02-2005
20-02-2004,23953013,1C350-47,Fosforpentasulfide,Vervaardiging van geneesmiddelen,D,Zuid-Afrika,Onbekend,"18,931",28-02-2005
23-02-2004,23882973,"5A002a1,5D002a,5E002",Apparatuur voor informatiebeveiliging,Informatiebeveiliging,D,Diverse landen,Onbekend,"1,500,000",28-02-2007
23-02-2004,23882981,,Diverse elektronica,Diversen (zie toelichting),D,Diverse landen,Onbekend,"3,000,000",28-02-2007
23-02-2004,23925133,2B230,(Onderdelen voor) drukomzetters,Vervaardiging van halfgeleiderelementen of -materialen,D,Israël,Onbekend,"960,000",28-02-2005
23-02-2004,23954826,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Onderzoek en ontwikkeling,D,Kroatië,Onbekend,"4,178",28-02-2005
24-02-2004,23947757,1C350-07,Fosfortrichloride,Vervaardiging van organische peroxiden en chloriden,D,Mexico,Onbekend,"159,588",28-02-2005
25-02-2004,23771705,1C350-07,Fosfortrichloride,Vervaardiging van fosfieten,D,Taiwan,Onbekend,"437,174",28-02-2005
25-02-2004,23771748,1C350-07,Fosfortrichloride,Vervaardiging van fosfieten,D,Taiwan,Onbekend,"46,426",28-02-2005
26-02-2004,23547287,2B352b,Fermentoren,Cultivatie van plantencellen,D,India,Onbekend,"57,965",28-02-2005
27-02-2004,23922096,1C350-24,Waterstoffluoride,Tbv laboratoriumonderzoek,D,Servië en Montenegro,Onbekend,190,28-02-2005
27-02-2004,23947722,1C350-46,Triethanolamine,Tbv de olie-industrie,D,Algerije,Onbekend,"44,266",28-02-2005
27-02-2004,23954834,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Wetenschappelijk onderzoek,D,China via Hongkong,Onbekend,"45,870",28-05-2005
01-03-2004,23958201,0C001,"Uraniumhexafluoride (U-235 < 0,4%)",Uraniumverrijking,T,Rusland,Onbekend,"666,296",28-02-2005
03-03-2004,23961709,2B230,(Onderdelen voor) drukomzetters,Vervaardiging van halfgeleiderelementen of -materialen,D,Taiwan,Onbekend,"567,145",31-03-2005
04-03-2004,23947730,1C350-38,Fosforpentachloride,Vervaardiging van farmaceutische producten,D,Zuid-Korea,Duitsland,"15,864",31-03-2007
04-03-2004,23961717,3B001,Productie-apparatuur voor halfgeleiderelementen of -materialen,Vervaardiging van halfgeleiderelementen of -materialen,D,Taiwan,Onbekend,"30,935,190",31-03-2005
04-03-2004,23988798,1C350-25,Methylbenzilaat,Vervaardiging van geneesmiddelen,D,Taiwan,Nederland,800,31-03-2005
04-03-2004,24008894,3B001,Productie-apparatuur voor halfgeleiderelementen of -materialen,Vervaardiging van halfgeleiderelementen of -materialen,D,Israël,Onbekend,"2,100,000",31-03-2005
04-03-2004,24013413,3A233,Spectrometer ,Onderzoek van water- en bodemmonsters,D,Rusland,Canada,"105,195",31-03-2005
08-03-2004,23992906,3A233a,Spectrometer,Onderzoek van water- en bodemmonsters,D,India,Canada,"116,639",31-03-2005
08-03-2004,24023036,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen,D,Singapore via Israël,Onbekend,"20,850",31-03-2005
08-03-2004,24023044,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen,D,Singapore via Israël,Onbekend,"9,700",31-03-2005
10-03-2004,23732386,1C350-50,Natriumsulfide,Ontharen en behandelen van huiden en vellen,D,Ethiopië,Italië,"36,540",31-03-2005
10-03-2004,23857871,1C350-07,Fosfortrichloride,Vervaardiging van organische fosfieten,D,Saoedi-Arabië,Onbekend,"216,000",31-03-2005
10-03-2004,23961741,1C350-24,Waterstoffluoride,Vervaardiging van reinigingsmiddel,D,Roemenië,Onbekend,"1,142,240",31-03-2005
15-03-2004,24008886,2B230,(Onderdelen voor) drukomzetters,Vervaardiging van halfgeleiderelementen of -materialen,D,Israël,Onbekend,"1,440,000",31-03-2005
15-03-2004,24053539,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv de jacht,D,Rusland,Nederland,"45,000",31-03-2005
15-03-2004,24064956,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Luchtmacht Roemenie,T,Roemenië via Israël,Nederland,"12,251",31-03-2005
16-03-2004,24064964,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Reparatie van buizen,T,Roemenië,Nederland,"1,996",31-03-2005
16-03-2004,24064972,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen,D,Roemenië,Nederland,"45,000",31-03-2005
17-03-2004,23723875,"5A002,5D,5E002",Apparatuur voor informatiebeveiliging,Informatiebeveiliging,D,Diverse landen,Verenigde Staten van Amerika,"15,000,000",31-03-2007
19-03-2004,23511940,1C350-16,Dimethylamine,Vervaardiging van herbiciden,D,Iran,Onbekend,"10,880",31-03-2005
19-03-2004,24062341,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden (vliegvelden en werven),T,China,Onbekend,"6,100",31-03-2005
19-03-2004,24091236,1C350-02,Fosforoxychloride,Tbv metaalgieterijen,D,Zuid-Afrika,Onbekend,"9,519",31-03-2005
19-03-2004,24091244,1C350-02,Fosforoxychloride,Vervaardiging van farmaceutische producten,D,Mexico,Onbekend,"120,120",31-03-2005
19-03-2004,24091252,1C350-02,Fosforoxychloride,Vervaardiging van farmaceutische producten,D,Singapore,Onbekend,"7,029",31-03-2005
23-03-2004,24064913,1C350-16,Dimethylamine,Vervaardiging van herbiciden,D,Guatemala,Onbekend,"8,487",31-03-2005
23-03-2004,24076288,1C350-46,Triethanolamine,Vervaardiging van verf,D,Nederlandse Antillen,Onbekend,905,31-03-2005
25-03-2004,24116182,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Montage in astronomische telescoop,D,China,Nederland,"66,000",31-03-2005
25-03-2004,24117286,1C350-07,Fosfortrichloride,Vervaardiging van fosfieten,D,Taiwan,Onbekend,"302,955",31-03-2005
26-03-2004,24058840,1C350-47,Fosforpentasulfide,"Vervaardiging van het pesticiden, smeer- en oplosmiddelen",D,Roemenië,Duitsland,"157,650",31-03-2007
31-03-2004,24137376,3B001f1,Delen van lasermodules voor wafersteppers,Vervaardiging van microchips,D,Israël,Verenigde Staten van Amerika,"3,569,445",31-03-2007
01-04-2004,24127672,6A003b4,Camera's,Onderzoek,D,Turkije,Lidstaten EU,"29,000",30-04-2005
05-04-2004,24077012,1C350-47,Fosforpentasulfide,Tbv de mijnbouw,D,Chili,Duitsland,"238,821",30-04-2005
05-04-2004,24121186,1C350-46,Triethanolamine,Vervaardiging van verf,D,Nederlandse Antillen,Onbekend,"1,645",30-04-2005
06-04-2004,24151069,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Reparatie van buizen,T,Israël,Nederland,"1,647",30-04-2005
06-04-2004,24156257,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik (luchtmacht),D,Cyprus,Nederland,"12,642",30-04-2005
07-04-2004,24156672,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik (luchtmacht),D,Cyprus,Nederland,"4,214",30-04-2005
08-04-2004,24161269,6A002a2b1,Microkanalenplaten,Tbv nachtzichtapparatuur,T,China,China,"3,912",30-04-2005
08-04-2004,24169863,1C350-16,Dimethylamine,Vervaardiging van herbiciden,D,Israël,Onbekend,"235,527",30-04-2005
08-04-2004,24169871,1C350-16,Dimethylamine,Vervaardiging van herbiciden,D,Argentinië,Onbekend,"7,379",30-04-2005
09-04-2004,24127699,1C350-46,Triethanolamine,Tbv veterinair gebruik,D,Jordanië,Onbekend,"22,663",30-04-2005
13-04-2004,24169812,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen,T,Cyprus via Israël,Onbekend,995,30-04-2005
13-04-2004,24177807,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen,T,Cyprus via Israël,Onbekend,"1,990",30-04-2005
14-04-2004,24156699,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,D,Finland via Israël,Onbekend,"57,290",30-04-2005
15-04-2004,24167313,1C350-38,Fosforpentachloride,Vervaardiging van geneesmiddelen,D,Zuid-Korea,Duitsland,"237,174",30-04-2005
16-04-2004,23947773,3A233,Spectrometer,Onderzoek,D,Verenigde Arabische Emiraten,Canada,"110,979",30-04-2005
19-04-2004,24167321,1C350-38,Fosforpentachloride,Vervaardiging van geneesmiddelen,D,India,Duitsland,"22,500",30-04-2005
19-04-2004,24196933,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Reparatie van buizen,T,Vietnam,Nederland,"2,275",30-04-2005
20-04-2004,24196887,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Reparatie van buizen,T,Chili via België,Nederland,"2,145",30-05-2005
20-04-2004,24196909,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Onderzoek en ontwikkeling,D,India,Nederland,"1,800",30-04-2005
20-04-2004,24196917,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Reparatie van buizen,T,Chili via België,Nederland,"2,145",30-04-2005
20-04-2004,24203034,1C350-38,Fosforpentachloride,Vervaardiging van geneesmiddelen,D,Zuid-Korea,Onbekend,"237,174",30-04-2007
23-04-2004,23988046,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,D,Singapore,Onbekend,"1,853",30-04-2005
26-04-2004,24131661,,Diverse elektronica,Diversen (zie toelichting),D,Wereld muv gevoelige landen,Onbekend,"1,200,000",30-04-2007
28-04-2004,24219593,3A233a,Elan DRC II spectrometer,Tbv geologisch onderzoek,D,Polen,Canada,"167,549",30-04-2005
29-04-2004,24123324,1C350-38,Fosforpentachloride,Vervaardiging van batterijvloeistof,D,Taiwan,Onbekend,"395,290",30-04-2005
29-04-2004,24225895,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen,T,China,Onbekend,"1,873",30-04-2005
29-04-2004,24225925,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen,T,China,Onbekend,"28,080",30-04-2005
03-05-2004,24171221,1C350-46,Triethanolamine,Tbv de olie-industrie,D,Oman,Onbekend,"41,719",30-04-2005
03-05-2004,24213072,3A233a,Elan 9000 spectrometer,Analyse van drink- en zeewater,D,Kroatië,Canada,"254,254",30-04-2005
03-05-2004,24231151,1C350-16,Dimethylamine,Vervaardiging van geneesmiddelen,D,Kroatië,Nederland,"2,500",30-04-2005
04-05-2004,24241831,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Testen,D,Zuid-Korea,Nederland,"7,385",31-05-2005
06-05-2004,24161560,1C350-46,Triethanolamine,Tbv de olie-industrie,D,Libië,Onbekend,"24,336",31-05-2005
06-05-2004,24213048,1C350-24,Waterstoffluoride,Vervaardiging van reinigingsmiddel,D,Nederlandse Antillen,Onbekend,"3,190",31-05-2005
07-05-2004,24243095,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen,D,Roemenië,Nederland,"1,475",31-05-2005
07-05-2004,24243109,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,D,Singapore,Nederland,"12,139",31-05-2005
07-05-2004,24248194,1C350-16,Dimethylamine,Vervaardiging van ionenwisselaar,D,Oekraïne,Onbekend,"267,000",30-06-2005
07-05-2004,24261298,1C350-02,Fosforoxychloride,Vervaardiging van pesticiden,D,Zuid-Afrika,Onbekend,"134,300",30-04-2005
10-05-2004,24235432,1C350-16,Dimethylamine,Vervaardiging van herbiciden,D,Costa Rica,Nederland,"225,484",31-05-2005
10-05-2004,24236188,1C350-46,Triethanolamine,Vervaardiging van verf,D,Saoedi-Arabië,Onbekend,468,31-05-2005
11-05-2004,23958996,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden,D,China,Onbekend,"39,500",31-05-2005
11-05-2004,24197220,9D001,Software,Ontwikkeling van raketmotoren,D,Peru,Onbekend,"8,199",31-05-2005
11-05-2004,24248186,1C350-07,Fosfortrichloride,Vervaardiging van organische fosfieten,D,Argentinië,Onbekend,"221,760",31-05-2007
11-05-2004,24258769,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Reparatie van buizen,T,India,Nederland,"22,436",31-05-2005
11-05-2004,24260682,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Reparatie van buizen,T,Israël,Onbekend,"2,034",31-05-2005
11-05-2004,24260704,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen,D,Bulgarije,Nederland,"2,750",31-05-2005
12-05-2004,23513374,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden,T,China,Onbekend,"18,600",31-05-2005
12-05-2004,23513382,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden (vliegvelden en werven),T,China,Nederland,"5,350",31-05-2005
12-05-2004,23626594,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden (vliegvelden en werven),T,China,Nederland,"142,284",31-05-2005
12-05-2004,24197069,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,D,Jordanië,Onbekend,"5,300",31-05-2005
12-05-2004,24197085,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,D,Jordanië,Onbekend,"5,300",31-05-2005
12-05-2004,24263045,1C350-02,Fosforoxychloride,Vervaardiging van farmaceutische producten,D,Taiwan,Onbekend,"7,232",30-04-2005
12-05-2004,24268004,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,D,Singapore,Nederland,"165,279",31-05-2005
14-05-2004,24173690,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv politie en/of douane,D,China,Nederland,"8,100",31-05-2005
14-05-2004,24261735,1C350-46,Triethanolamine,Tbv laboratoriumonderzoek,D,Servië en Montenegro,Onbekend,14,31-05-2005
17-05-2004,24282597,3A225,Inverter t.b.v. AB412 helicopter,Tbv militair gebruik,T,Verenigde Staten van Amerika,Onbekend,820,31-05-2005
18-05-2004,24196925,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden (vliegvelden en werven),D,China,Nederland,"157,500",31-05-2005
18-05-2004,24260712,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Onderzoek en ontwikkeling,T,Israël,Onbekend,"1,694",31-05-2005
18-05-2004,24288153,1C350-47,Fosforpentasulfide,Tbv de mijnbouw,D,Kazachstan,Duitsland,"130,862",31-05-2005
24-05-2004,24298396,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden (civiel),D,China,Onbekend,"8,100",31-05-2005
24-05-2004,24307182,1C450b8,Methyldiethanolamine,Tbv de olie-industrie,D,Israël,Onbekend,"11,807",31-05-2005
25-05-2004,24266966,0C001,Thorium metaal,Tbv synthese,D,Zuid-Korea,Verenigde Staten van Amerika,"25,000",31-05-2005
26-05-2004,24305562,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,D,Singapore,Onbekend,"3,690",31-05-2005
26-05-2004,24311031,1C350-07,Fosfortrichloride,Vervaardiging van fosfonzuren,D,India,Onbekend,"22,040",31-05-2005
26-05-2004,24311058,1C350-02,Fosforoxychloride,Vervaardiging van brandvertragers,D,Taiwan,Onbekend,"316,790",31-05-2005
26-05-2004,24311066,1C350-02,Fosforoxychloride,Vervaardiging van farmaceutische producten,D,Mexico,Onbekend,"22,192",31-05-2005
26-05-2004,24313492,1C350-07,Fosfortrichloride,Vervaardiging van organische peroxiden en chloriden,D,Mexico,Onbekend,"364,873",31-05-2005
01-06-2004,24213064,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Testen,D,Israël,Onbekend,"2,000",30-06-2005
01-06-2004,24282589,1C350-07,Fosfortrichloride,Vervaardiging van (vloeibare) fosfiet anti-oxidanten,D,India,Onbekend,"166,667",31-05-2005
01-06-2004,24303160,1C350-02,Fosforoxychloride,Vervaardiging van harsen,D,Turkije,Onbekend,"5,100",31-05-2005
01-06-2004,24303195,1C350-38,Fosforpentachloride,Vervaardiging van geneesmiddelen,D,Zuid-Korea,Onbekend,"206,996",31-05-2005
08-06-2004,24307204,1C350-46,Triethanolamine,Tbv de olie-industrie,D,Nigeria,Onbekend,"33,795",30-06-2004
08-06-2004,24339769,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen,D,Roemenië,Onbekend,"4,065",30-06-2005
08-06-2004,24339785,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen,D,Roemenië,Onbekend,"1,475",30-06-2005
10-06-2004,24371875,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden,D,Botswana via Israël,Nederland,"6,075",30-06-2005
14-06-2004,24358550,0C002,"Uraniumhexafluoride (U-235 < 5,0%)",Energie-opwekking,T,Zuid-Korea,Nederland,"67,359,325",30-06-2005
14-06-2004,24395480,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen,D,Roemenië,Nederland,"5,540",30-06-2005
15-06-2004,24260690,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,T,Israël,Nederland,"1,675",30-06-2005
15-06-2004,24322513,1C350-32,Benzilzuur,Vervaardiging van geneesmiddelen,D,Argentinië,Nederland,"16,750",30-06-2005
15-06-2004,24389634,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden,T,Cyprus via Israël,Nederland,995,30-06-2005
17-06-2004,24351769,2B352a,Fermentoren,Vervaardiging van geneesmiddelen,D,India,Onbekend,"95,000",30-06-2005
17-06-2004,24403955,1C350-03,Dimethylmethylfosfonaat,Vervaardiging van polymeren,D,Turkije,Nederland,"6,512",30-06-2005
18-06-2004,24389618,1C350-38,Fosforpentachloride,Vervaardiging van bindmiddel,D,Zuid-Afrika,Duitsland,"110,600",30-06-2005
18-06-2004,24389626,1C350-02,Fosforoxychloride,Vervaardiging van farmaceutische producten,D,Zuid-Afrika,Duitsland,"85,000",30-06-2005
18-06-2004,24425479,1C350-46,Triethanolamine,Tbv de olie-industrie,D,Nigeria,Onbekend,"33,795",30-06-2005
