"almanakId","cbsId","almanakName","almanakComment","cbsName","cbsComment"
"22179","GM1680","Gemeente Aa en Hunze","","Aa en Hunze",""
"23199","GM0738","Gemeente Aalburg","","Aalburg",""
"38409","GM0358","Gemeente Aalsmeer","","Aalsmeer",""
"36483","GM0197","Gemeente Aalten","","Aalten",""
"35934","GM0059","Gemeente Achtkarspelen","","Achtkarspelen",""
"29079","GM0482","Gemeente Alblasserdam","","Alblasserdam",""
"35356","GM0613","Gemeente Albrandswaard","","Albrandswaard",""
"38624","GM0361","Gemeente Alkmaar","","Alkmaar",""
"26572","GM0141","Gemeente Almelo","","Almelo",""
"28393","GM0034","Gemeente Almere","","Almere",""
"34040","GM0484","Gemeente Alphen aan den Rijn","","Alphen aan den Rijn",""
"28359","GM1723","Gemeente Alphen-Chaam","","Alphen-Chaam",""
"24843","GM0060","Gemeente Ameland","","Ameland",""
"35134","GM0307","Gemeente Amersfoort","","Amersfoort",""
"28270","GM0362","Gemeente Amstelveen","","Amstelveen",""
"21915","GM0363S56","Stadsdeel Centrum","","Amsterdam - stadsdeel Centrum",""
"40084","GM0363S90","Stadsdeel Nieuw-West","","Amsterdam - stadsdeel Nieuw-West",""
"39732","GM0363S10","Stadsdeel Noord","","Amsterdam - stadsdeel Noord",""
"39963","GM0363S88","Stadsdeel Oost","","Amsterdam - stadsdeel Oost",""
"39885","GM0363S91","Stadsdeel West","","Amsterdam - stadsdeel West",""
"40007","GM0363S89","Stadsdeel Zuid","","Amsterdam - stadsdeel Zuid",""
"39832","GM0363S17","Stadsdeel Zuidoost","","Amsterdam - stadsdeel Zuidoost",""
"37707","GM0200","Gemeente Apeldoorn","","Apeldoorn",""
"37136","GM0003","Gemeente Appingedam","","Appingedam",""
"32510","GM0202","Gemeente Arnhem","","Arnhem",""
"23236","GM0106","Gemeente Assen","","Assen",""
"30279","GM0743","Gemeente Asten","","Asten",""
"22221","GM0744","Gemeente Baarle-Nassau","","Baarle-Nassau",""
"35974","GM0308","Gemeente Baarn","","Baarn",""
"29877","GM0489","Gemeente Barendrecht","","Barendrecht",""
"27179","GM0203","Gemeente Barneveld","","Barneveld",""
"36121","GM0005","Gemeente Bedum","","Bedum",""
"34989","GM0888","Gemeente Beek","","Beek (L.)","Begindatum 02-01-1839"
"31527","GM0370","Gemeente Beemster","","Beemster",""
"21559","GM0889","Gemeente Beesel","","Beesel",""
"27352","GM0007","Gemeente Bellingwedde","","Bellingwedde",""
"21977","GM1724","Gemeente Bergeijk","","Bergeijk",""
"21692","GM0893","Gemeente Bergen (L)","","Bergen (L.)",""
"41074","GM0373","Gemeente Bergen NH","","Bergen (NH.)",""
"30437","GM0748","Gemeente Bergen op Zoom","","Bergen op Zoom",""
"36670","GM1859","Gemeente Berkelland","","Berkelland","Ontstaan per 01-01-2005"
"33233","GM1721","Gemeente Bernheze","","Bernheze",""
"28932","GM0753","Gemeente Best","","Best",""
"27471","GM0209","Gemeente Beuningen","","Beuningen",""
"29600","GM0375","Gemeente Beverwijk","","Beverwijk",""
"29342","GM0063","Gemeente Het Bildt","","het Bildt","Begindatum voor 1830"
"35756","GM0310","Gemeente De Bilt","","De Bilt",""
