"almanakId","cbsId"
"33032","GM1652"
"33696","GM0907"
"34252","GM0689"
"30003","GM0784"
"33275","GM0664"
"30496","GM0785"
"30894","GM0512"
"28975","GM0513"
"34507","GM0786"
"24873","GM0518"
"24194","GM0014"
"28731","GM0015"
"34134","GM1729"
"32233","GM0158"
"28763","GM0788"
"38688","GM0392"
"22752","GM0393"
"25768","GM0394"
"30535","GM1655"
"32576","GM0160"
"32835","GM0243"
"23504","GM0523"
"28059","GM0017"
"37578","GM0072"
"27765","GM0244"
"23365","GM0396"
"24295","GM0397"
"23411","GM0246"
"31453","GM0074"
"40448","GM0398"
"31783","GM0917"
"39347","GM1658"
"27630","GM0399"
"24611","GM0400"
"27513","GM0163"
"25383","GM0530"
"21849","GM0794"
"33795","GM0531"
"35296","GM0164"
"40498","GM0796"
"28895","GM0252"
"23118","GM0797"
"32323","GM0534"
"31842","GM0798"
"28797","GM0402"
"24670","GM1735"
"24449","GM1911"
"37770","GM0118"
"37316","GM0018"
"24950","GM0405"
"26292","GM1507"
"38261","GM0321"
"35806","GM0406"
"34650","GM0677"
"38362","GM0353"
"27951","GM1884"
"33640","GM0166"
"26332","GM0678"
"27030","GM0537"
"40395","GM0928"
"22332","GM1598"
"34288","GM0079"
"23784","GM0588"
"31244","GM0542"
"25516","GM1659"
"32885","GM1685"
"34171","GM0882"
"21723","GM0415"
"37098","GM0416"
"35243","GM1621"
"29164","GM0417"
"32064","GM0022"
"25207","GM0545"
"32728","GM0080"
"26367","GM0081"
"26226","GM0546"
"39225","GM0547"
"38521","GM1916"
"30046","GM0995"
"25595","GM0082"
"24482","GM1640"
"29800","GM0327"
"31912","GM0733"
"37823","GM1705"
"30853","GM0553"
"24415","GM0140"
"36828","GM0262"
"25473","GM0809"
"29923","GM0331"
"28617","GM0024"
"27430","GM0168"
"40900","GM0263"
"39485","GM1641"
"30349","GM0556"
"32664","GM0935"
"37471","GM1663"
"33125","GM0025"
"23294","GM0420"
"23819","GM0938"
"29842","GM1908"
"37397","GM1987"
"41121","GM0119"
"22048","GM0687"
"36436","GM1842"
"35710","GM1731"
"23083","GM0815"
"30656","GM1709"
"36632","GM1955"
"36085","GM0335"
"21431","GM0944"
"33600","GM1740"
"33458","GM0946"
"22640","GM0304"
"24713","GM0356"
"26403","GM0569"
"31196","GM0267"
"33391","GM0268"
"40319","GM1695"
"25983","GM1699"
"26440","GM0171"
"27985","GM0575"
"34729","GM0576"
"24805","GM0820"
"38081","GM0302"
"25248","GM0951"
"38899","GM0579"
"34584","GM0823"
"26989","GM0824"
"33197","GM1895"
"22938","GM0269"
"32363","GM0173"
"34399","GM1773"
"26754","GM0175"
"22496","GM0881"
"36871","GM1586"
"22438","GM0826"
"23566","GM0085"
"39007","GM0431"
"26028","GM0432"
"31946","GM0086"
"37907","GM0828"
"34946","GM0584"
"36780","GM1509"
"33532","GM0437"
"30578","GM0589"
"26937","GM1734"
"35435","GM0590"
"21320","GM1894"
"37361","GM0765"
"33077","GM1926"
"38751","GM0439"
"37873","GM0273"
"25053","GM0177"
"24338","GM0703"
"30749","GM0274"
"26860","GM0339"
"32102","GM1667"
"38004","GM0275"
"31352","GM0340"
"40741","GM0597"
"28197","GM0196"
"27230","GM1672"
"33952","GM1742"
"27300","GM0603"
"31165","GM1669"
"31636","GM0957"
"27383","GM0736"
"39382","GM1674"
"25634","GM0277"
"27671","GM0840"
"28858","GM0441"
"38050","GM0279"
"23681","GM0606"
"23540","GM0088"
"22562","GM0844"
"32166","GM0962"
"27798","GM1676"
"28097","GM0965"
"21660","GM1702"
"39441","GM0845"
"40795","GM0846"
"29280","GM1883"
"29505","GM0610"
"29722","GM0040"
"34543","GM1714"
"21462","GM0090"
"38312","GM0342"
"21622","GM0847"
"31060","GM0848"
"26139","GM0037"
"24378","GM0180"
"29758","GM0532"
"34909","GM0851"
"24145","GM1708"
"29239","GM0971"
"34861","GM1904"
"22905","GM0617"
"26708","GM1900"
"23448","GM0715"
"21593","GM0093"
"22715","GM0448"
"29957","GM1525"
"33998","GM0716"
"23734","GM0281"
"38194","GM0855"
"27560","GM0183"
"36239","GM1700"
"30704","GM1730"
"31592","GM0737"
"37613","GM0856"
"26536","GM0450"
"40702","GM0451"
"33357","GM0184"
"38122","GM0344"
"32976","GM1581"
"34323","GM0981"
"39606","GM0994"
"36195","GM0858"
"29680","GM0047"
"32921","GM0345"
"22602","GM0717"
"29116","GM0860"
"30186","GM0861"
"38811","GM0453"
"25285","GM0983"
"39557","GM0984"
"38483","GM0620"
"30793","GM0622"
"27845","GM0048"
"31502","GM0096"
"27711","GM0718"
"22144","GM0986"
"35396","GM0626"
"30397","GM0285"
"37665","GM0865"
"35025","GM0866"
"29448","GM0867"
"23854","GM0627"
"32273","GM0289"
"40204","GM0629"
"32026","GM0852"
"40980","GM0988"
"33836","GM0457"
"24103","GM0870"
"35895","GM0668"
"31991","GM1701"
"23981","GM0293"
"36327","GM1783"
"29037","GM0098"
"34694","GM0614"
"31127","GM0189"
"24056","GM0296"
"22675","GM1696"
"25942","GM0352"
"37505","GM0053"
"26666","GM0294"
"32470","GM0873"
"39172","GM0632"
"21391","GM1690"
"22295","GM0880"
"22403","GM0351"
"21356","GM0874"
"27115","GM0479"
"32790","GM0297"
"28231","GM0473"
"32629","GM0707"
"21260","GM0478"
"35858","GM0050"
"28557","GM0355"
"36525","GM0299"
"28493","GM0637"
"39267","GM0638"
"37541","GM0056"
"30143","GM1892"
"36154","GM0879"
"36962","GM0301"
"24016","GM1896"
"39296","GM0642"
"33731","GM0193"
"24259","GM1924"
"27268","GM1927"
"25698","GM0363"
"23895","GM1921"
"38936","GM0599"
"129780","GM1931"
"129864","GM1930"
"14557","PV20"
"14866","PV21"
"15184","PV22"
"15185","PV23"
"15632","PV24"
"16071","PV25"
"16317","PV26"
"16412","PV27"
"16771","PV28"
"17166","PV29"
"18166","PV30"
"17466","PV31"
"21099","WS24"
"117611","GR0701"
"30943","GM1945"
"29199","GM1942"
,"GM0363S85"
,"GM0491"
,"GM0568"
,"GM0055"
,"GM0381"
,"GM0504"
,"GM0511"
,"GM0693"
,"GM0365"
,"GM0241"
,"GM0395"
,"GM0694"
,"GM1671"
,"GM0559"
,"GM0265"
,"GM0424"
,"GM0425"
,"GM0643"
,"GM0571"
,"GM0580"
,"GM0644"
,"GM0599D01"
,"GM0599D63"
,"GM0599D06"
,"GM0599D12"
,"GM0599D11"
,"GM0599D05"
,"GM0599D07"
,"GM0599D08"
,"GM0599D02"
,"GM0599D04"
,"GM0599D10"
,"GM0599D03"
,"GM0599D64"
,"GM0599D09"
,"GM0599D13"
,"GM0458"
,"GM0608"
,"GM0051"
,"GM0612"
,"GM0282"
,"GM0623"
,"GM0476"
,"GM0305"
,"GM0363S02"
,"GM0363S03"
,"GM0363S05"
,"GM0363S08"
,"GM0363S11"
,"GM0363S12"
,"GM0363S13"
,"GM0363S16"
,"GM0363S18"
,"GM0363S57"
,"GM0363S62"
,"GM0364"
,"GM0366"
,"GM0497"
,"GM0064"
,"GM0311"
,"GM0905"
,"GM0808"
,"GM0329"
,"GM0333"
,"GM0936"
,"GM0083"
,"GM0412"
,"GM0104"
,"GM0595"
,"GM0600"
,"GM0091"
,"GM0459"
,"GM0462"
,"GM0463"
,"GM0710"
,"GM0683"
